FORMNO	CHILDID	PASSID	PASSET	NUMPRNT	NUMPASS	VALPASS	DECPASS
R2INDX	ET010004	1	23	0	7	25	2
R2INDX	ET010006	1	17	0	6	15000	1
R2INDX	ET010007	1	16	1	0	-88	90
R2INDX	ET010008	1	26	0	2	10	4
R2INDX	ET010009	1	25	1	0	-88	90
R2INDX	ET010011	1	16	1	0	-88	1
R2INDX	ET010012	1	13	0	2	42	1
R2INDX	ET010015	1	19	0	1	20	2
R2INDX	ET010021	1	11	1	0	-88	1
R2INDX	ET010023	1	11	-88	-88	-88	88
R2INDX	ET010024	1	99	4	2	200	5
R2INDX	ET010025	1	11	2	1	20	80
R2INDX	ET010028	1	15	0	4	800	2
R2INDX	ET010029	1	11	1	11	2260	1
R2INDX	ET010030	1	23	0	1	400	3
R2INDX	ET010032	1	15	0	4	50	3
R2INDX	ET010033	1	15	0	-77	400	1
R2INDX	ET010041	1	26	0	1	2500	2
R2INDX	ET010043	1	12	0	4	215	1
R2INDX	ET010045	1	30	-88	-88	-88	88
R2INDX	ET010046	1	30	1	1	5	1
R2INDX	ET010047	1	30	-88	-88	-88	88
R2INDX	ET010049	1	15	0	10	500	1
R2INDX	ET010050	1	30	-88	-88	-88	88
R2INDX	ET010051	1	30	0	0	-88	88
R2INDX	ET010055	1	30	0	6	7000	1
R2INDX	ET010057	1	16	1	0	-88	90
R2INDX	ET010060	1	23	0	3	40	2
R2INDX	ET010061	1	30	-88	-88	-88	88
R2INDX	ET010062	1	30	-88	-88	-88	88
R2INDX	ET010063	1	23	1	15	150	8
R2INDX	ET010065	1	23	0	41	660	1
R2INDX	ET010066	1	9	0	8	142	2
R2INDX	ET010069	1	23	0	10	100	1
R2INDX	ET010071	1	23	1	1	10	2
R2INDX	ET010072	1	13	0	26	880	4
R2INDX	ET010075	1	23	0	5	92	2
R2INDX	ET010077	1	15	1	2	130	2
R2INDX	ET010080	1	30	-88	-88	-88	88
R2INDX	ET010081	1	23	1	4	2	2
R2INDX	ET010082	1	16	1	0	-88	90
R2INDX	ET010083	1	13	0	9	280	1
R2INDX	ET010084	1	30	-88	-88	-88	88
R2INDX	ET010085	1	30	0	-88	-88	88
R2INDX	ET010086	1	23	0	2	1000	1
R2INDX	ET010088	1	13	0	26	880	17
R2INDX	ET010089	1	23	1	2	1	1
R2INDX	ET010091	1	30	-88	-88	-88	88
R2INDX	ET010092	1	25	0	0	-88	88
R2INDX	ET010093	1	23	99	2	150	2
R2INDX	ET010095	1	15	0	10	20	2
R2INDX	ET010097	1	13	0	6	176	1
R2INDX	ET010098	1	30	-88	-88	-88	88
R2INDX	ET020004	1	2	1	0	-77	90
R2INDX	ET020004	2	1	2	0	-77	90
R2INDX	ET020008	1	21	1	2	900	1
R2INDX	ET020015	1	12	1	0	-88	90
R2INDX	ET020016	1	1	0	12	110	80
R2INDX	ET020016	2	30	0	3	6	7
R2INDX	ET020017	1	21	1	1	900	1
R2INDX	ET020022	1	13	0	3	120	1
R2INDX	ET020023	1	20	1	0	-88	3
R2INDX	ET020029	1	13	2	0	-88	90
R2INDX	ET020030	1	2	0	1	6000	80
R2INDX	ET020031	1	16	2	0	-88	90
R2INDX	ET020033	1	30	0	1	2	1
R2INDX	ET020035	1	20	1	2	30	1
R2INDX	ET020036	1	13	0	8	240	80
R2INDX	ET020037	1	15	12	12	106	1
R2INDX	ET020039	1	15	0	2	28	2
R2INDX	ET020042	1	24	1	1	500	2
R2INDX	ET020044	1	13	-77	6	50	16
R2INDX	ET020047	1	13	1	1	200	1
R2INDX	ET020047	2	20	1	1	100	1
R2INDX	ET020050	1	15	0	19	300	2
R2INDX	ET020057	1	13	0	3	100	80
R2INDX	ET020060	1	21	1	1	500	1
R2INDX	ET020060	2	30	1	1	45	1
R2INDX	ET020060	3	24	1	1	267	1
R2INDX	ET020061	1	23	0	10	120	80
R2INDX	ET020064	1	23	0	1	50	80
R2INDX	ET020065	1	15	0	3	207	2
R2INDX	ET020067	1	23	0	16	700	80
R2INDX	ET020067	2	15	0	6	300	3
R2INDX	ET020071	1	23	0	20	180	80
R2INDX	ET020072	1	20	2	0	-88	90
R2INDX	ET020076	1	1	0	7	80	80
R2INDX	ET020081	1	23	0	50	3000	1
R2INDX	ET020081	2	24	0	1	70	1
R2INDX	ET020083	1	15	0	6	46	80
R2INDX	ET020087	1	13	0	7	60	16
R2INDX	ET020092	1	15	2	2	160	2
R2INDX	ET020100	1	30	0	1	1	1
R2INDX	ET030002	1	13	0	6	120	80
R2INDX	ET030003	1	25	0	1	30000	80
R2INDX	ET030007	1	20	0	1	10	2
R2INDX	ET030011	1	23	0	5	14	1
R2INDX	ET030012	1	16	1	0	-88	90
R2INDX	ET030016	1	13	4	0	-88	90
R2INDX	ET030025	1	10	0	6	10000	2
R2INDX	ET030044	1	21	0	1	600	80
R2INDX	ET030046	1	13	0	3	40	1
R2INDX	ET030047	1	13	0	5	250	1
R2INDX	ET030051	1	22	0	3	200	3
R2INDX	ET030053	1	21	1	0	-77	90
R2INDX	ET030062	1	12	0	2	32	6
R2INDX	ET030075	1	21	0	4	8000	80
R2INDX	ET030077	1	11	0	15	10000	1
R2INDX	ET030082	1	10	0	10	2500	80
R2INDX	ET030087	1	15	0	1	300	80
R2INDX	ET030088	1	22	5	25	1850	1
R2INDX	ET030089	1	15	0	5	260	80
R2INDX	ET030093	1	21	0	2	3000	1
R2INDX	ET030095	1	26	0	4	60	80
R2INDX	ET030096	1	1	0	10	125	1
R2INDX	ET030096	2	30	0	1	5	2
R2INDX	ET030097	1	25	1	0	-88	90
R2INDX	ET030100	1	38	0	2	5000	1
R2INDX	ET030100	2	30	0	1	30000	1
R2INDX	ET030100	3	30	0	2	6500	1
R2INDX	ET040002	1	23	0	4	50	2
R2INDX	ET040003	1	23	0	4	300	1
R2INDX	ET040004	1	24	0	1	-88	3
R2INDX	ET040004	2	30	0	1	35000	3
R2INDX	ET040004	3	23	0	5	4000	3
R2INDX	ET040009	1	26	0	3	570	1
R2INDX	ET040010	1	26	0	3	40	1
R2INDX	ET040011	1	1	0	6	120	6
R2INDX	ET040012	1	23	0	4	12	2
R2INDX	ET040013	1	30	0	1	7	1
R2INDX	ET040013	2	30	0	1	10	1
R2INDX	ET040014	1	26	0	1	120	1
R2INDX	ET040017	1	13	0	5	91	1
R2INDX	ET040018	1	23	0	20	44	1
R2INDX	ET040021	1	23	0	3	20	1
R2INDX	ET040025	1	15	0	10	150	2
R2INDX	ET040027	1	99	-99	-99	-99	99
R2INDX	ET040031	1	24	0	1	-88	1
R2INDX	ET040032	1	15	0	4	600	2
R2INDX	ET040033	1	1	0	8	100	3
R2INDX	ET040035	1	13	0	6	100	1
R2INDX	ET040037	1	17	0	1	24000	80
R2INDX	ET040038	1	15	0	8	100	1
R2INDX	ET040039	1	13	0	8	200	1
R2INDX	ET040041	11	11	1	2	50	1
R2INDX	ET040046	1	26	0	1	50	1
R2INDX	ET040047	1	13	0	3	65	1
R2INDX	ET040049	1	1	-88	9	200	1
R2INDX	ET040051	1	30	0	1	20000	80
R2INDX	ET040052	1	24	0	1	-88	88
R2INDX	ET040053	1	27	1	0	-88	90
R2INDX	ET040054	1	13	0	1	245	1
R2INDX	ET040057	1	30	0	50	3500	1
R2INDX	ET040057	2	24	0	1	-88	1
R2INDX	ET040057	3	30	0	1	70000	80
R2INDX	ET040058	1	30	0	4	15	3
R2INDX	ET040060	1	1	0	1	5	1
R2INDX	ET040065	1	13	0	4	230	1
R2INDX	ET040066	1	13	0	7	300	1
R2INDX	ET040067	1	15	0	5	150	1
R2INDX	ET040068	1	15	0	3	160	80
R2INDX	ET040070	1	12	1	0	-88	90
R2INDX	ET040071	1	12	2	0	-88	90
R2INDX	ET040071	2	15	4	0	-88	90
R2INDX	ET040072	1	9	0	4	500	2
R2INDX	ET040073	1	15	0	10	120	1
R2INDX	ET040074	1	13	0	3	90	1
R2INDX	ET040075	1	23	0	4	20	1
R2INDX	ET040076	1	1	-99	-99	-88	90
R2INDX	ET040078	1	13	0	5	150	1
R2INDX	ET040080	1	15	0	5	110	2
R2INDX	ET040081	1	16	1	0	-88	90
R2INDX	ET040082	1	23	0	4	12	2
R2INDX	ET040084	1	1	0	5	40	1
R2INDX	ET040084	2	8	1	1	1000	1
R2INDX	ET040086	1	8	1	1	1000	5
R2INDX	ET040086	2	1	4	3	45	5
R2INDX	ET040087	1	30	0	2	85	1
R2INDX	ET040087	2	30	0	1	20	1
R2INDX	ET040090	1	30	0	-77	-77	1
R2INDX	ET040094	1	13	0	6	150	2
R2INDX	ET040095	1	15	0	6	200	1
R2INDX	ET040097	1	13	1	7	200	1
R2INDX	ET040100	1	15	0	7	180	3
R2INDX	ET050001	1	1	0	1	20	80
R2INDX	ET050002	1	1	0	11	90	80
R2INDX	ET050004	1	1	0	8	120	1
R2INDX	ET050006	1	1	0	9	130	80
R2INDX	ET050007	1	1	0	4	100	1
R2INDX	ET050007	2	8	0	1	600	1
R2INDX	ET050009	1	1	0	9	130	1
R2INDX	ET050010	1	1	0	12	138	1
R2INDX	ET050011	1	1	0	15	150	1
R2INDX	ET050012	1	1	0	8	100	1
R2INDX	ET050017	1	23	0	1	1000	1
R2INDX	ET050018	1	1	0	17	185	1
R2INDX	ET050019	1	1	0	10	100	1
R2INDX	ET050020	1	1	0	13	110	80
R2INDX	ET050021	1	1	0	10	100	1
R2INDX	ET050022	1	1	0	10	130	80
R2INDX	ET050023	1	23	0	4	40	1
R2INDX	ET050024	1	1	0	9	100	1
R2INDX	ET050026	1	1	0	9	130	80
R2INDX	ET050027	1	1	0	6	100	80
R2INDX	ET050028	1	1	0	10	100	1
R2INDX	ET050030	1	23	0	-77	2500	3
R2INDX	ET050031	1	1	0	9	100	2
R2INDX	ET050032	1	27	1	0	-88	90
R2INDX	ET050033	1	15	0	16	70	1
R2INDX	ET050034	1	23	0	10	1000	80
R2INDX	ET050036	1	23	0	5	50	80
R2INDX	ET050038	1	1	0	12	150	1
R2INDX	ET050039	1	15	0	8	28	16
R2INDX	ET050040	1	1	0	5	-77	1
R2INDX	ET050040	3	8	1	1	-77	1
R2INDX	ET050042	1	1	0	9	80	80
R2INDX	ET050043	1	1	2	2	20	80
R2INDX	ET050043	2	4	0	1	10	80
R2INDX	ET050045	1	1	0	12	105	1
R2INDX	ET050049	1	1	0	9	130	1
R2INDX	ET050051	1	1	0	12	150	80
R2INDX	ET050052	1	13	0	7	100	1
R2INDX	ET050054	1	15	0	5	50	1
R2INDX	ET050055	1	15	0	5	20	5
R2INDX	ET050056	1	1	0	4	45	1
R2INDX	ET050057	1	15	0	4	37	2
R2INDX	ET050060	1	15	1	3	50	2
R2INDX	ET050063	1	15	0	7	35	1
R2INDX	ET050064	1	1	1	0	-88	90
R2INDX	ET050065	1	15	0	13	55	1
R2INDX	ET050067	1	1	10	2	20	2
R2INDX	ET050068	1	1	0	10	-77	80
R2INDX	ET050070	1	15	0	10	30	1
R2INDX	ET050073	1	1	0	6	-77	1
R2INDX	ET050073	2	30	0	2	3000	1
R2INDX	ET050074	1	1	0	7	50	1
R2INDX	ET050078	1	1	0	8	100	1
R2INDX	ET050079	1	1	0	10	90	1
R2INDX	ET050081	1	1	2	6	33	3
R2INDX	ET050082	1	1	0	8	140	80
R2INDX	ET050083	1	1	0	10	150	3
R2INDX	ET050084	1	1	0	8	100	1
R2INDX	ET050085	1	1	0	12	160	1
R2INDX	ET050086	1	1	0	8	120	1
R2INDX	ET050087	1	1	0	9	100	1
R2INDX	ET050088	1	1	0	2	30	1
R2INDX	ET050089	1	1	0	9	140	1
R2INDX	ET050090	1	1	0	8	300	1
R2INDX	ET050090	2	30	0	3	2700	1
R2INDX	ET050091	1	1	0	4	80	1
R2INDX	ET050091	2	30	0	2	2200	1
R2INDX	ET050092	1	1	0	8	78	1
R2INDX	ET050093	1	1	0	16	150	1
R2INDX	ET050094	1	1	0	5	50	1
R2INDX	ET050095	1	1	0	3	-77	5
R2INDX	ET050095	2	30	0	2	1500	5
R2INDX	ET050096	1	1	4	11	350	1
R2INDX	ET050096	2	30	1	1	1000	1
R2INDX	ET050097	1	1	0	7	200	1
R2INDX	ET050097	2	30	0	2	1900	1
R2INDX	ET050098	1	1	0	15	150	1
R2INDX	ET050099	1	1	0	9	125	0
R2INDX	ET050100	1	1	0	18	150	1
R2INDX	ET060002	1	1	0	10	150	1
R2INDX	ET060003	1	1	0	4	35	1
R2INDX	ET060003	2	4	0	1	70	1
R2INDX	ET060004	1	1	0	8	67	1
R2INDX	ET060004	2	4	0	1	40	1
R2INDX	ET060005	1	1	0	2	30	1
R2INDX	ET060005	2	4	0	1	15	1
R2INDX	ET060006	1	1	0	7	59	1
R2INDX	ET060006	2	4	0	1	30	1
R2INDX	ET060007	1	1	0	10	110	1
R2INDX	ET060007	2	4	0	1	70	1
R2INDX	ET060008	1	1	0	6	20	1
R2INDX	ET060008	2	4	0	2	30	1
R2INDX	ET060009	1	1	0	4	20	1
R2INDX	ET060009	2	4	0	1	10	1
R2INDX	ET060010	1	1	0	9	80	16
R2INDX	ET060010	2	4	0	1	25	16
R2INDX	ET060011	1	1	0	9	47	1
R2INDX	ET060011	2	4	0	2	50	1
R2INDX	ET060012	1	1	0	10	50	1
R2INDX	ET060012	2	4	0	1	20	1
R2INDX	ET060013	1	1	0	2	70	1
R2INDX	ET060013	2	4	0	1	70	1
R2INDX	ET060014	1	1	0	5	90	1
