FORMNO	CHILDID	SUPPRGID	SUPKIND	SUPWHO	SUPSTRT	SUPEND	SUPFREQ	SUPRID	SUPEXP	SUPIMP1	SUPIMP2
R2INDX	ET010002	1	12	15	1998	99	6	0	4	4	77
R2INDX	ET010004	1	12	15	1995	99	4	7	4	4	6
R2INDX	ET010005	1	12	15	1993	99	4	80	4	5	77
R2INDX	ET010005	2	12	15	1993	99	4	80	4	4	77
R2INDX	ET010008	1	12	15	1994	99	4	9	4	4	77
R2INDX	ET010010	1	12	15	1998	99	6	0	4	4	77
R2INDX	ET010010	2	12	15	1998	99	6	0	4	5	77
R2INDX	ET010015	1	12	15	1994	99	4	4	4	4	77
R2INDX	ET010020	1	12	15	1994	99	4	8	5	4	6
R2INDX	ET010023	1	5	15	1994	1997	6	2	4	2	4
R2INDX	ET010023	2	9	15	1994	1997	6	2	4	2	4
R2INDX	ET010023	3	12	15	1994	1997	6	4	4	4	2
R2INDX	ET010025	1	5	15	1994	99	4	15	4	4	5
R2INDX	ET010032	1	12	15	1995	99	4	6	2	4	77
R2INDX	ET010035	1	12	15	1995	1995	4	5	4	4	77
R2INDX	ET010036	1	12	15	1997	99	4	3	3	4	5
R2INDX	ET010038	1	12	15	1995	99	4	15	4	4	5
R2INDX	ET010040	1	12	15	1999	99	6	15	3	4	5
R2INDX	ET010041	1	7	15	1994	99	6	7	2	4	77
R2INDX	ET010044	1	12	15	1993	1996	4	7	2	4	5
R2INDX	ET010049	1	12	15	1997	99	4	3	2	4	77
R2INDX	ET010050	1	12	15	1999	99	4	0	3	4	5
R2INDX	ET010051	1	12	15	1997	99	6	0	4	4	3
R2INDX	ET010052	1	12	15	1993	99	4	4	2	4	77
R2INDX	ET010056	1	12	15	1993	99	6	4	5	4	77
R2INDX	ET010059	1	14	15	1998	99	6	6	4	1	77
R2INDX	ET010063	1	12	15	1998	1993	4	9	2	4	5
R2INDX	ET010063	2	12	15	1999	99	4	0	3	4	77
R2INDX	ET010064	1	12	15	1999	99	4	2	4	4	3
R2INDX	ET010067	1	12	15	1993	99	4	3	4	4	77
R2INDX	ET010070	1	14	15	1998	1994	6	2	5	2	4
R2INDX	ET010071	1	12	11	1997	99	6	0	3	4	5
R2INDX	ET010072	1	12	15	1993	99	4	80	2	4	77
R2INDX	ET010072	2	14	30	1994	99	6	3	4	2	77
R2INDX	ET010073	1	12	15	1996	99	4	0	4	4	5
R2INDX	ET010075	1	12	15	1999	99	6	80	4	4	77
R2INDX	ET010076	1	14	15	1997	99	4	9	1	1	77
R2INDX	ET010076	2	12	15	1998	99	4	0	2	4	77
R2INDX	ET010076	3	12	15	1998	99	4	15	2	4	77
R2INDX	ET010079	1	12	15	1997	99	6	1	2	4	77
R2INDX	ET010080	1	14	30	1998	99	6	3	2	9	77
R2INDX	ET010080	2	12	15	1998	99	4	0	4	4	77
R2INDX	ET010084	1	12	15	1993	1997	4	7	2	4	77
R2INDX	ET010086	1	12	15	1999	99	6	0	4	4	77
R2INDX	ET010088	1	12	15	1993	99	4	80	2	4	77
R2INDX	ET010088	2	14	30	1994	99	7	2	4	2	77
R2INDX	ET010089	1	12	15	1996	99	4	4	4	4	6
R2INDX	ET010092	1	12	15	1994	99	5	6	4	4	5
R2INDX	ET010093	1	12	15	1993	99	4	6	5	4	77
