FORMNO	CHILDID	POSID	ID	POSHELD	POSFIRST	POSYEARS	POSTILL	POSREL	POSOUT	POSEFFEC
R2INDX	ET010037	1	2	19	1990	3	0	0	3	2
R2INDX	ET020082	1	1	15	1995	2	0	0	1	2
R2INDX	ET030019	1	1	8	1993	6	1	0	8	2
R2INDX	ET030029	1	1	7	1998	2	1	0	12	0
R2INDX	ET030059	1	1	8	1995	4	1	0	7	3
R2INDX	ET030079	1	1	8	1993	6	1	0	8	2
R2INDX	ET030082	1	2	6	1992	7	0	0	6	3
R2INDX	ET030099	1	1	8	1989	10	0	0	7	0
R2INDX	ET040018	1	1	7	1993	5	0	0	10	3
R2INDX	ET040055	1	1	8	1983	11	0	0	6	2
R2INDX	ET040061	1	1	2	1994	5	1	0	10	3
R2INDX	ET040077	1	1	8	1986	12	1	0	8	3
R2INDX	ET040079	1	1	6	1987	12	1	0	14	2
R2INDX	ET040086	1	5	6	1985	14	1	0	13	2
R2INDX	ET050010	1	1	15	1993	5	1	0	10	2
R2INDX	ET050045	1	1	6	1998	0	1	0	6	2
R2INDX	ET050045	2	1	7	1983	15	0	0	10	3
R2INDX	ET050066	1	1	1	1998	1	1	0	1	2
R2INDX	ET050073	1	1	8	1990	2	0	1	8	0
R2INDX	ET050090	1	1	15	1993	6	1	0	1	2
R2INDX	ET060007	1	1	1	1998	1	1	1	7	3
R2INDX	ET060012	1	1	14	1997	2	1	1	7	2
R2INDX	ET060028	1	1	7	1983	1	0	0	15	0
R2INDX	ET060032	1	1	15	1989	2	0	0	1	2
R2INDX	ET060037	1	1	19	1976	2	0	1	3	2
R2INDX	ET060038	1	1	16	1998	1	1	0	6	0
R2INDX	ET060053	1	1	15	1992	3	0	0	1	2
R2INDX	ET060055	1	1	15	1994	5	1	0	10	2
R2INDX	ET060059	1	1	15	1992	1	0	0	1	2
R2INDX	ET060081	1	1	14	1988	5	0	0	4	0
R2INDX	ET070002	1	1	7	1998	2	1	0	1	0
R2INDX	ET070007	1	1	7	1994	5	1	0	6	3
R2INDX	ET070011	1	1	15	1992	7	1	0	1	0
R2INDX	ET070038	1	1	15	1994	5	1	0	8	2
R2INDX	ET070041	1	1	18	1997	2	1	0	10	3
R2INDX	ET070046	1	1	1	1999	0	1	0	6	2
R2INDX	ET070047	1	1	3	1996	2	1	0	7	3
R2INDX	ET070051	1	1	15	1983	16	1	0	8	2
R2INDX	ET070081	1	1	18	1941	61	1	1	10	0
R2INDX	ET070100	1	1	17	1996	2	0	0	1	0
R2INDX	ET080005	1	1	15	1992	4	0	0	1	2
R2INDX	ET080007	1	1	15	1984	13	0	1	3	0
R2INDX	ET080008	1	1	7	1996	3	1	0	2	3
R2INDX	ET080008	2	2	19	1996	3	1	0	7	2
R2INDX	ET080012	1	1	15	1981	12	1	1	15	2
R2INDX	ET080016	1	1	15	1997	1	0	0	4	2
R2INDX	ET080021	1	1	7	1984	5	0	1	6	3
R2INDX	ET080028	1	1	15	1988	3	0	1	9	0
R2INDX	ET080031	1	1	2	1998	1	1	1	3	0
R2INDX	ET080031	2	2	19	1998	1	1	0	2	0
R2INDX	ET080032	1	1	15	1967	17	0	0	15	2
R2INDX	ET080039	1	1	7	1972	13	0	0	13	2
R2INDX	ET080039	2	1	2	1990	8	0	0	7	2
R2INDX	ET080039	4	1	7	1978	7	0	0	13	2
R2INDX	ET080040	1	1	15	1985	14	1	1	3	3
R2INDX	ET080046	1	1	15	1998	1	1	0	1	0
R2INDX	ET080052	1	1	15	1985	2	0	0	6	2
R2INDX	ET080072	1	1	15	1983	2	0	0	3	2
R2INDX	ET080074	1	1	15	1989	10	1	0	3	0
R2INDX	ET080076	1	1	6	1987	12	1	0	15	2
R2INDX	ET080080	1	1	2	1999	0	0	1	7	2
R2INDX	ET080082	1	1	15	1994	5	1	0	15	2
R2INDX	ET080093	1	1	5	1998	0	1	1	15	2
R2INDX	ET080094	1	1	4	1985	3	0	0	2	0
R2INDX	ET080094	2	1	14	1986	1	0	1	3	0
R2INDX	ET080099	1	1	14	1999	0	1	1	6	0
R2INDX	ET080100	1	1	15	1996	3	1	0	16	0
R2INDX	ET090006	1	2	15	1985	11	0	0	16	0
R2INDX	ET090007	1	1	15	1994	3	0	0	3	0
R2INDX	ET090018	1	1	15	1986	13	1	0	1	2
R2INDX	ET090021	1	1	15	1993	6	1	0	2	3
R2INDX	ET090022	1	1	15	1998	1	0	1	9	0
R2INDX	ET090027	1	1	7	1993	3	0	0	6	3
R2INDX	ET090039	1	1	15	1996	3	1	0	3	2
R2INDX	ET090040	1	1	15	1983	5	0	1	1	0
R2INDX	ET090044	1	1	15	1998	0	1	0	10	0
R2INDX	ET090051	1	1	16	1995	4	1	0	6	2
R2INDX	ET090053	1	1	15	1987	12	1	0	14	3
R2INDX	ET090053	2	1	6	1998	1	1	0	13	3
R2INDX	ET090053	3	1	18	1998	1	1	0	6	2
R2INDX	ET090058	1	1	15	1996	3	1	0	3	0
R2INDX	ET090068	1	1	15	1995	3	1	0	16	0
R2INDX	ET090070	1	1	15	1998	1	1	0	16	3
R2INDX	ET090079	1	1	18	1984	2	0	0	2	3
R2INDX	ET090080	1	1	18	1997	2	1	0	8	2
R2INDX	ET090088	1	1	15	1986	12	1	0	10	2
R2INDX	ET090095	1	1	15	1985	3	0	0	6	2
R2INDX	ET100005	1	1	18	1995	4	1	0	15	3
R2INDX	ET100021	1	1	13	1986	13	1	1	8	0
R2INDX	ET100025	1	1	13	1989	10	1	0	8	0
R2INDX	ET100025	2	2	13	1991	8	1	1	8	0
R2INDX	ET100039	1	2	10	1990	8	1	0	8	0
R2INDX	ET100052	1	1	7	1993	6	1	1	8	2
R2INDX	ET100060	1	1	13	1981	18	1	0	8	0
R2INDX	ET100062	1	1	8	1988	11	1	0	8	0
R2INDX	ET100083	1	1	2	1986	13	1	0	8	0
R2INDX	ET100084	1	1	8	1996	3	1	0	7	3
R2INDX	ET100098	1	1	18	1998	1	1	0	6	2
R2INDX	ET110007	1	1	1	1999	0	1	0	10	2
R2INDX	ET110025	1	1	15	1985	14	1	1	10	3
R2INDX	ET110040	1	8	7	1988	5	0	0	2	0
R2INDX	ET110048	1	1	15	1984	15	1	0	15	2
R2INDX	ET110062	1	1	15	1997	1	0	0	10	2
R2INDX	ET110073	1	1	15	1984	15	1	0	2	2
R2INDX	ET110100	1	1	16	1998	1	1	0	10	3
R2INDX	ET120009	1	1	7	1995	4	1	1	1	0
R2INDX	ET120020	1	1	15	1996	3	1	0	1	2
R2INDX	ET120020	2	1	18	1998	1	1	0	7	3
R2INDX	ET120027	1	1	12	1998	1	1	1	12	3
R2INDX	ET120064	1	2	19	1997	2	1	0	13	3
R2INDX	ET120065	1	1	12	1983	16	1	0	8	0
R2INDX	ET120065	2	1	18	1992	7	1	1	3	0
R2INDX	ET120067	1	1	18	1994	4	1	0	6	0
R2INDX	ET120082	1	1	17	1996	2	1	1	6	0
R2INDX	ET120083	1	1	18	1988	5	0	0	10	2
R2INDX	ET120083	2	1	6	1993	6	1	1	10	2
R2INDX	ET120093	1	1	18	1992	7	1	0	6	0
R2INDX	ET130023	1	2	16	1995	5	1	0	10	2
R2INDX	ET130049	1	1	7	1996	3	1	0	9	3
R2INDX	ET130065	1	1	7	1986	5	0	0	10	0
R2INDX	ET130074	1	4	18	1979	5	0	0	8	3
R2INDX	ET130086	1	1	3	1997	2	1	1	8	0
R2INDX	ET130086	2	2	19	1998	1	1	0	7	2
R2INDX	ET130087	1	1	17	1998	1	1	0	8	2
R2INDX	ET130088	1	1	11	1983	16	1	0	4	2
R2INDX	ET130093	1	2	19	1998	2	1	0	7	2
R2INDX	ET140018	1	1	8	1978	21	1	0	2	0
R2INDX	ET140085	1	1	6	1996	3	1	0	7	3
R2INDX	ET150004	1	1	15	1997	2	1	0	14	0
R2INDX	ET150021	1	1	15	1994	3	0	0	12	0
R2INDX	ET150023	1	1	17	1997	2	1	1	10	0
R2INDX	ET150028	1	1	14	1995	3	1	0	10	2
R2INDX	ET150055	1	1	13	1990	9	1	0	8	0
R2INDX	ET150056	1	1	15	1983	16	1	0	15	0
R2INDX	ET150062	1	1	7	1990	9	1	0	10	3
R2INDX	ET150079	1	1	15	1986	13	1	0	2	3
R2INDX	ET150100	1	1	15	1983	2	0	1	3	2
R2INDX	ET160013	1	1	7	1984	10	0	0	2	3
R2INDX	ET160023	1	1	6	1998	1	1	0	3	0
R2INDX	ET160025	1	2	18	1998	1	1	0	10	3
R2INDX	ET160025	2	2	18	1993	6	1	0	15	3
R2INDX	ET160033	1	1	7	1993	3	0	0	1	3
R2INDX	ET160037	1	1	3	1980	19	1	1	16	2
R2INDX	ET160045	1	1	1	1973	16	0	0	4	3
