formno	childid	id	age	memsex	relate	livhse	grade	still	chgrade	chstill	whynot	agegrade	agestsch	hhschtyp	perf	schoolen	disab	act1	months1	days1	hours1	act2	months2	days2	hours2	act3	months3	days3	hours3	sleep	chcare	hhchore	npaywork	paywork	school	study	play	inegsday	inegwage	inegchld	inegvill	inegcomp
R28YRS	IN011001	0	12	2	0	1	 	 	7	1	 	 	5	3	2	2	0	17	 	 	 	 	 	 	 	 	 	 	 	9	0	2	0	0	7	2	4	 	 	 	 	 
R28YRS	IN011001	1	39	1	1	1	7	0	 	 	 	 	 	 	 	 	0	12	6	6	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R28YRS	IN011001	2	31	2	1	1	5	0	 	 	 	 	 	 	 	 	0	12	10	6	8	15	12	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R28YRS	IN011001	3	14	1	7	1	 	 	7	1	 	 	5	3	2	2	0	17	 	 	 	 	 	 	 	 	 	 	 	9	0	2	0	0	7	2	4	 	 	 	 	 
R28YRS	IN011002	0	12	2	0	1	 	 	7	1	 	 	5	3	4	2	0	17	 	 	 	 	 	 	 	 	 	 	 	8	0	3	0	0	7	4	2	 	 	 	 	 
R28YRS	IN011002	1	79	2	6	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R28YRS	IN011002	2	39	1	1	1	10	0	 	 	 	 	 	 	 	 	0	6	10	6	11	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R28YRS	IN011002	3	34	2	1	1	7	0	 	 	 	 	 	 	 	 	0	9	5	7	4	15	12	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R28YRS	IN011002	4	17	1	7	1	 	 	12	1	 	 	5	3	1	1	0	17	 	 	 	 	 	 	 	 	 	 	 	7	0	3	0	0	7	4	3	 	 	 	 	 
R28YRS	IN011002	5	16	1	7	1	 	 	11	1	 	 	5	3	1	1	0	17	 	 	 	 	 	 	 	 	 	 	 	8	0	2	0	0	6	4	4	 	 	 	 	 
R28YRS	IN011003	0	12	2	0	1	 	 	6	1	 	 	6	3	2	2	0	17	 	 	 	 	 	 	 	 	 	 	 	9	0	2	0	0	8	2	3	 	 	 	 	 
R28YRS	IN011003	1	34	1	1	1	5	0	 	 	 	 	 	 	 	 	0	12	10	6	10	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R28YRS	IN011003	2	27	2	1	1	7	0	 	 	 	 	 	 	 	 	0	15	12	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R28YRS	IN011003	3	11	2	7	1	 	 	5	1	 	 	6	3	2	2	0	17	 	 	 	 	 	 	 	 	 	 	 	9	0	2	0	0	8	2	3	 	 	 	 	 
R28YRS	IN011003	28	8	1	7	1	 	 	1	1	 	 	5	3	2	2	0	17	 	 	 	 	 	 	 	 	 	 	 	9	0	0	0	0	8	2	5	 	 	 	 	 
R28YRS	IN011004	0	12	1	0	1	 	 	5	1	 	 	7	3	3	3	0	17	 	 	 	 	 	 	 	 	 	 	 	8	0	1	0	0	7	2	6	 	 	 	 	 
R28YRS	IN011004	1	44	1	1	1	7	0	 	 	 	 	 	 	 	 	0	12	9	4	10	3	3	5	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R28YRS	IN011004	2	31	2	1	1	0	0	 	 	 	 	 	 	 	 	0	15	12	7	4	12	12	2	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R28YRS	IN011004	3	15	1	 	1	 	 	9	1	 	 	6	3	2	1	0	17	 	 	 	 	 	 	 	 	 	 	 	8	0	1	0	0	7	3	5	 	 	 	 	 
R28YRS	IN011005	0	12	2	0	1	 	 	7	1	 	 	3	1	1	2	0	17	 	 	 	 	 	 	 	 	 	 	 	8	0	2	0	0	8	4	2	 	 	 	 	 
R28YRS	IN011005	1	67	2	6	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R28YRS	IN011005	2	39	1	1	1	14	0	 	 	 	 	 	 	 	 	0	13	12	6	8	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R28YRS	IN011005	3	33	2	1	1	13	0	 	 	 	 	 	 	 	 	0	15	12	7	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R28YRS	IN011005	4	11	1	7	1	 	 	5	1	 	 	3	1	2	2	0	17	 	 	 	 	 	 	 	 	 	 	 	8	0	2	0	0	8	4	2	 	 	 	 	 
R28YRS	IN011006	0	11	2	0	1	 	 	6	1	 	 	5	3	2	2	0	17	 	 	 	 	 	 	 	 	 	 	 	8	0	1	0	0	8	4	3	 	 	 	 	 
R28YRS	IN011006	1	42	1	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R28YRS	IN011006	2	30	2	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R28YRS	IN011006	3	15	1	7	1	 	 	6	0	21	12	6	 	 	 	0	12	11	6	9	 	 	 	 	 	 	 	 	8	0	3	0	9	0	0	4	 	 	 	 	 
R28YRS	IN011006	4	35	2	13	1	3	0	 	 	 	 	 	 	 	 	0	9	12	7	5	15	12	7	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
R28YRS	IN011006	5	52	2	5	1	6	0	 	 	 	 	 	 	 	 	0	17	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
