FORMNO	CHILDID	CROPID	CROP	QNTHARV	VLCRSLD	CROPCOST
R28YRS	IN041026	3	54	-77	4000	1500
R28YRS	IN041026	4	4	-77	1500	300
R28YRS	IN041026	5	30	.2	300	100
R28YRS	IN041035	1	53	36	8100	5000
R28YRS	IN041039	1	53	21	7500	8000
R28YRS	IN041045	1	53	6	0	5000
R28YRS	IN041046	1	53	4.8	0	350
R28YRS	IN041046	2	48	2	6000	0
R28YRS	IN041047	1	53	6	0	2000
R28YRS	IN041047	2	48	2	4000	0
R28YRS	IN041047	3	30	2.4	4320	1000
R28YRS	IN041048	1	53	15	0	2500
R28YRS	IN041048	2	30	1.2	1000	400
R28YRS	IN041048	3	48	0	0	1300
R28YRS	IN041050	1	53	-77	4000	0
R28YRS	IN051001	1	53	24.3	0	9000
R28YRS	IN051003	1	53	5	0	2200
R28YRS	IN051003	2	30	.2	0	200
R28YRS	IN051004	1	53	6.4	0	5000
R28YRS	IN051005	1	53	20	5000	8000
R28YRS	IN051006	1	53	7	0	2400
R28YRS	IN051006	2	60	.2	300	100
R28YRS	IN051008	1	53	4	0	5000
R28YRS	IN051009	1	53	24	6000	10000
R28YRS	IN051009	2	45	30	30000	20000
R28YRS	IN051010	1	53	10.4	0	7000
R28YRS	IN051012	1	32	8	6000	5000
R28YRS	IN051013	1	32	6	4000	2000
R28YRS	IN051013	2	30	.7	0	800
R28YRS	IN051016	1	53	16	0	4000
R28YRS	IN051016	2	53	16	0	4000
R28YRS	IN051020	1	67	7	7000	5000
R28YRS	IN051022	1	88	1	2500	500
R28YRS	IN051022	2	53	1.6	0	500
R28YRS	IN051023	1	88	3	5000	4000
R28YRS	IN051026	1	53	0	0	25000
R28YRS	IN051029	1	53	3.2	0	1500
R28YRS	IN051030	1	53	16	0	5000
R28YRS	IN051030	2	67	30	50000	30000
R28YRS	IN051031	1	53	12	0	7000
R28YRS	IN051032	1	53	20	4800	6000
R28YRS	IN051033	1	53	8	0	1800
R28YRS	IN051036	1	67	27	27000	15000
R28YRS	IN051036	2	53	10	0	3000
R28YRS	IN051037	1	53	2.4	0	1000
R28YRS	IN051039	1	31	2	5000	3000
R28YRS	IN051040	1	53	32	4800	10000
R28YRS	IN051040	2	30	10	1120	2000
R28YRS	IN051048	1	53	32.4	0	4000
R28YRS	IN051048	2	57	60	0	700
R28YRS	IN051049	1	67	2000	20000	150000
R28YRS	IN061001	1	53	64	50000	20000
R28YRS	IN061001	2	30	5	10000	5000
R28YRS	IN061002	1	53	36	10000	7000
R28YRS	IN061002	2	75	10	5000	3000
R28YRS	IN061002	3	30	-77	3000	1500
R28YRS	IN061003	1	53	10	3000	7000
R28YRS	IN061003	2	30	4	3000	2000
R28YRS	IN061004	1	53	12	3000	5500
R28YRS	IN061005	1	53	2.4	0	500
R28YRS	IN061005	2	32	9	0	50
R28YRS	IN061006	1	53	48	40000	20000
R28YRS	IN061006	2	30	2	10000	5000
R28YRS	IN061006	3	68	1	5000	1500
R28YRS	IN061007	1	80	3	1200	800
R28YRS	IN061007	2	53	17.6	6000	2700
R28YRS	IN061007	3	30	1.5	1000	200
R28YRS	IN061008	1	53	11.2	6340	4000
R28YRS	IN061009	1	53	10.4	0	3000
R28YRS	IN061009	2	30	1.6	0	300
R28YRS	IN061009	3	80	1	1500	800
R28YRS	IN061009	4	48	88	1000	0
R28YRS	IN061009	5	80	0	0	0
R28YRS	IN061010	1	53	12.8	0	4000
R28YRS	IN061010	2	30	.33	0	200
R28YRS	IN061012	1	53	2	0	3000
R28YRS	IN061014	1	53	32	5760	10000
R28YRS	IN061014	2	30	.05	0	400
R28YRS	IN061015	1	53	24.3	0	5400
R28YRS	IN061015	2	30	2	1500	600
R28YRS	IN061016	1	53	16	3840	4500
R28YRS	IN061016	2	30	.3	88	500
R28YRS	IN061017	1	53	27	5850	14000
R28YRS	IN061017	2	30	1	-88	1400
R28YRS	IN061018	1	53	11	3000	2500
R28YRS	IN061018	2	30	1	400	500
R28YRS	IN061019	1	53	15.2	-88	7300
R28YRS	IN061019	2	30	1	-88	1500
R28YRS	IN061021	1	53	2	-88	700
R28YRS	IN061029	1	53	37	17000	17000
R28YRS	IN061029	2	30	2	5400	1000
R28YRS	IN061030	1	53	24	0	10000
R28YRS	IN061030	2	30	1	4000	1500
R28YRS	IN061030	3	50	3	3000	2000
R28YRS	IN061030	4	75	6	6000	2000
R28YRS	IN061031	1	8	4.5	5000	2000
R28YRS	IN061032	1	53	12.8	0	5470
R28YRS	IN061032	2	30	.5	0	1550
R28YRS	IN061032	3	45	40	2000	0
R28YRS	IN061033	1	53	4	0	600
R28YRS	IN061033	2	48	.3	1000	0
R28YRS	IN061033	3	77	1.2	1200	500
R28YRS	IN061033	4	32	0	0	400
R28YRS	IN061033	5	45	1.2	1000	0
R28YRS	IN061033	6	75	16	7000	3000
