FORMNO	CHILDID	SASSID	SASSET	NUMSASS	VALSASS	DECSASS
R28YRS	IN011002	1	88	 	 	 
R28YRS	IN011002	2	88	 	 	 
R28YRS	IN011002	3	88	 	 	 
R28YRS	IN011006	1	88	 	 	 
R28YRS	IN011006	2	88	 	 	 
R28YRS	IN011006	3	88	 	 	 
R28YRS	IN011007	1	88	 	 	 
R28YRS	IN011007	2	88	 	 	 
R28YRS	IN011007	3	88	 	 	 
R28YRS	IN011008	1	30	1	4000	1
R28YRS	IN011008	2	88	 	 	 
R28YRS	IN011008	3	88	 	 	 
R28YRS	IN011009	1	88	 	 	 
R28YRS	IN011009	2	88	 	 	 
R28YRS	IN011009	3	88	 	 	 
R28YRS	IN011010	1	88	 	 	 
R28YRS	IN011010	2	88	 	 	 
R28YRS	IN011010	3	88	 	 	 
R28YRS	IN011011	1	23	1	200	4
R28YRS	IN011011	2	88	 	 	 
R28YRS	IN011011	3	88	 	 	 
R28YRS	IN011015	1	23	1	1000	2
R28YRS	IN011015	2	30	1	3000	1
R28YRS	IN011015	3	88	 	 	 
R28YRS	IN011018	1	1	5	400	3
R28YRS	IN011018	2	88	 	 	 
R28YRS	IN011018	3	88	 	 	 
R28YRS	IN011019	1	88	 	 	 
R28YRS	IN011019	2	88	 	 	 
R28YRS	IN011019	3	88	 	 	 
R28YRS	IN011021	1	88	 	 	 
R28YRS	IN011021	2	88	 	 	 
R28YRS	IN011021	3	88	 	 	 
R28YRS	IN011022	1	21	1	3000	6
R28YRS	IN011022	2	88	 	 	 
R28YRS	IN011022	3	88	 	 	 
R28YRS	IN011023	1	88	 	 	 
R28YRS	IN011023	2	88	 	 	 
R28YRS	IN011023	3	88	 	 	 
R28YRS	IN011024	1	88	 	 	 
R28YRS	IN011024	2	88	 	 	 
R28YRS	IN011024	3	88	 	 	 
R28YRS	IN011026	1	21	2	3000	2
R28YRS	IN011026	2	88	 	 	 
R28YRS	IN011026	3	88	 	 	 
R28YRS	IN011035	1	21	1	1000	2
R28YRS	IN011035	2	88	 	 	 
R28YRS	IN011035	3	88	 	 	 
R28YRS	IN011037	1	23	1	700	1
R28YRS	IN011037	2	88	 	 	 
R28YRS	IN011037	3	88	 	 	 
R28YRS	IN011043	1	23	4	7000	4
R28YRS	IN011043	2	88	 	 	 
R28YRS	IN011043	3	88	 	 	 
R28YRS	IN011047	1	21	1	1500	3
R28YRS	IN011047	2	88	 	 	 
R28YRS	IN011047	3	88	 	 	 
R28YRS	IN011048	1	21	1	1500	2
R28YRS	IN011048	2	88	 	 	 
R28YRS	IN011048	3	88	 	 	 
R28YRS	IN011050	1	17	25	20000	6
R28YRS	IN011050	2	88	 	 	 
R28YRS	IN011050	3	88	 	 	 
R28YRS	IN021002	1	88	 	 	 
R28YRS	IN021002	2	88	 	 	 
R28YRS	IN021002	3	88	 	 	 
R28YRS	IN021003	1	1	2	150	2
R28YRS	IN021003	2	88	 	 	 
R28YRS	IN021003	3	88	 	 	 
R28YRS	IN021005	1	88	 	 	 
R28YRS	IN021005	2	88	 	 	 
R28YRS	IN021005	3	88	 	 	 
R28YRS	IN021006	1	1	3	150	1
R28YRS	IN021006	2	88	 	 	 
R28YRS	IN021006	3	88	 	 	 
R28YRS	IN021007	1	88	 	 	 
R28YRS	IN021007	2	88	 	 	 
R28YRS	IN021007	3	88	 	 	 
R28YRS	IN021008	1	88	 	 	 
R28YRS	IN021008	2	88	 	 	 
R28YRS	IN021008	3	88	 	 	 
R28YRS	IN021009	1	4	1	250	1
R28YRS	IN021009	2	88	 	 	 
R28YRS	IN021009	3	88	 	 	 
R28YRS	IN021010	1	4	1	0	1
R28YRS	IN021010	2	88	 	 	 
R28YRS	IN021010	3	88	 	 	 
R28YRS	IN021011	1	88	 	 	 
R28YRS	IN021011	3	88	 	 	 
R28YRS	IN021012	1	88	 	 	 
R28YRS	IN021012	2	88	 	 	 
R28YRS	IN021012	3	88	 	 	 
R28YRS	IN021013	1	1	2	80	1
R28YRS	IN021013	2	88	 	 	 
R28YRS	IN021013	3	88	 	 	 
R28YRS	IN021016	1	4	4	350	2
R28YRS	IN021017	1	1	3	150	3
R28YRS	IN021017	2	88	 	 	 
R28YRS	IN021017	3	88	 	 	 
R28YRS	IN021018	1	1	3	200	1
R28YRS	IN021018	2	88	 	 	 
R28YRS	IN021018	3	88	 	 	 
R28YRS	IN021024	1	1	2	40	1
R28YRS	IN021024	2	88	 	 	 
R28YRS	IN021024	3	88	 	 	 
R28YRS	IN021026	1	1	4	250	1
R28YRS	IN021026	2	88	 	 	 
R28YRS	IN021026	3	88	 	 	 
R28YRS	IN021028	1	21	1	2000	2
R28YRS	IN021028	2	88	 	 	 
R28YRS	IN021028	3	88	 	 	 
R28YRS	IN021029	1	1	0	-88	90
R28YRS	IN021029	2	3	0	-88	90
R28YRS	IN021029	3	88	 	 	 
R28YRS	IN021031	1	2	1	4000	6
R28YRS	IN021031	2	1	4	200	80
R28YRS	IN021031	3	88	 	 	 
R28YRS	IN021032	1	88	 	 	 
R28YRS	IN021032	2	88	 	 	 
R28YRS	IN021032	3	88	 	 	 
R28YRS	IN021033	1	8	3	0	1
R28YRS	IN021033	2	1	6	100	1
R28YRS	IN021033	3	4	1	100	1
R28YRS	IN021035	1	4	1	200	1
R28YRS	IN021035	2	88	 	 	 
R28YRS	IN021035	3	88	 	 	 
R28YRS	IN021036	1	1	5	350	1
R28YRS	IN021037	1	88	 	 	 
R28YRS	IN021037	2	88	 	 	 
R28YRS	IN021037	3	88	 	 	 
R28YRS	IN021038	1	4	1	250	2
R28YRS	IN021038	2	88	 	 	 
R28YRS	IN021038	3	88	 	 	 
R28YRS	IN021039	1	4	2	1000	3
R28YRS	IN021039	2	2	1	5000	3
R28YRS	IN021039	3	88	 	 	 
R28YRS	IN021043	1	88	 	 	 
R28YRS	IN021043	2	88	 	 	 
R28YRS	IN021043	3	88	 	 	 
R28YRS	IN021046	1	1	5	100	1
R28YRS	IN021046	2	88	 	 	 
R28YRS	IN021046	3	88	 	 	 
R28YRS	IN021047	1	1	2	70	1
R28YRS	IN021047	2	88	 	 	 
R28YRS	IN021047	3	88	 	 	 
R28YRS	IN021048	1	8	4	400	1
R28YRS	IN021048	2	88	 	 	 
R28YRS	IN021048	3	88	 	 	 
R28YRS	IN031004	1	21	1	1500	3
R28YRS	IN031004	2	88	 	 	 
R28YRS	IN031004	3	88	 	 	 
R28YRS	IN031011	1	6	6	1000	2
R28YRS	IN031011	2	88	 	 	 
R28YRS	IN031011	3	88	 	 	 
R28YRS	IN031013	1	7	0	-88	88
R28YRS	IN031013	2	88	 	 	 
R28YRS	IN031013	3	88	 	 	 
R28YRS	IN031016	1	88	 	 	 
R28YRS	IN031016	2	88	 	 	 
R28YRS	IN031016	3	88	 	 	 
R28YRS	IN031017	1	1	4	300	4
R28YRS	IN031017	2	88	 	 	 
R28YRS	IN031017	3	88	 	 	 
R28YRS	IN031018	1	88	 	 	 
R28YRS	IN031018	2	88	 	 	 
R28YRS	IN031018	3	88	 	 	 
R28YRS	IN031020	1	88	 	 	 
R28YRS	IN031020	2	88	 	 	 
R28YRS	IN031020	3	88	 	 	 
R28YRS	IN031021	1	88	 	 	 
R28YRS	IN031021	2	88	 	 	 
R28YRS	IN031021	3	88	 	 	 
R28YRS	IN031022	1	26	1	10000	1
R28YRS	IN031022	2	26	0	-88	88
R28YRS	IN031022	3	88	 	 	 
R28YRS	IN031024	1	1	6	200	80
R28YRS	IN031024	2	88	 	 	 
R28YRS	IN031024	3	88	 	 	 
R28YRS	IN031025	1	21	1	800	80
R28YRS	IN031025	2	88	 	 	 
R28YRS	IN031025	3	88	 	 	 
R28YRS	IN031029	1	88	 	 	 
R28YRS	IN031029	2	88	 	 	 
R28YRS	IN031029	3	88	 	 	 
