FORMNO	CHILDID	WORKID	WORKACT	WORKPAY	PAYNAME	RANKPAY
R28YRS	IN011009	1	4	1	1	1
R28YRS	IN011028	1	4	1	1	1
R28YRS	IN011039	1	4	1	0	1
R28YRS	IN021003	1	6	1	0	1
R28YRS	IN021004	1	1	77	0	1
R28YRS	IN021005	1	6	1	0	1
R28YRS	IN021009	1	6	1	2	1
R28YRS	IN021015	1	6	1	0	1
R28YRS	IN021019	1	6	1	1	1
R28YRS	IN021021	1	6	1	2	1
R28YRS	IN021022	1	6	1	0	77
R28YRS	IN021023	1	6	1	0	1
R28YRS	IN021025	1	6	1	0	1
R28YRS	IN021025	2	1	88	88	88
R28YRS	IN021026	1	6	1	2	1
R28YRS	IN021031	1	6	2	2	1
R28YRS	IN021032	1	7	1	0	1
R28YRS	IN021034	1	6	1	0	1
R28YRS	IN021035	1	6	1	0	1
R28YRS	IN021036	1	6	1	0	1
R28YRS	IN021037	1	6	3	0	1
R28YRS	IN021038	1	6	1	0	1
R28YRS	IN021043	1	6	1	0	1
R28YRS	IN021044	1	6	1	0	1
R28YRS	IN021045	1	5	1	1	1
R28YRS	IN021045	2	6	1	1	77
R28YRS	IN021046	1	6	1	0	1
R28YRS	IN021050	1	6	1	0	1
R28YRS	IN031003	1	4	2	0	1
R28YRS	IN041001	1	6	1	0	1
R28YRS	IN041002	1	1	1	1	1
R28YRS	IN041014	1	6	1	0	1
R28YRS	IN041022	1	1	1	1	1
R28YRS	IN051013	1	5	1	1	1
R28YRS	IN051013	2	6	1	1	1
R28YRS	IN051014	1	7	2	2	1
R28YRS	IN051015	1	3	1	0	1
R28YRS	IN051019	1	3	1	2	1
R28YRS	IN051019	2	6	3	2	88
R28YRS	IN051021	1	5	1	0	1
R28YRS	IN051047	1	7	1	0	1
R28YRS	IN051050	1	4	2	1	1
R28YRS	IN061023	1	6	1	0	88
R28YRS	IN061026	1	5	1	0	1
R28YRS	IN061031	1	5	1	0	1
R28YRS	IN061047	1	7	3	0	1
R28YRS	IN071003	1	5	1	2	1
R28YRS	IN071003	2	6	3	0	88
R28YRS	IN071028	1	5	1	0	1
R28YRS	IN071041	1	5	1	0	1
R28YRS	IN081011	1	7	1	0	1
R28YRS	IN081015	1	7	77	0	1
R28YRS	IN081016	1	5	1	0	1
R28YRS	IN081024	1	5	1	2	1
R28YRS	IN081026	1	7	1	2	1
R28YRS	IN081048	1	7	1	0	1
R28YRS	IN091017	1	6	1	0	1
R28YRS	IN091036	1	7	1	1	1
R28YRS	IN091040	1	7	1	88	88
R28YRS	IN101039	1	5	1	0	1
R28YRS	IN111020	1	7	1	0	1
R28YRS	IN111021	1	5	1	0	1
R28YRS	IN111024	1	1	88	88	1
R28YRS	IN111024	2	6	1	0	1
R28YRS	IN111027	1	5	1	2	1
R28YRS	IN111033	1	6	1	0	1
R28YRS	IN111041	1	6	1	0	1
R28YRS	IN111043	1	6	1	0	1
R28YRS	IN121023	1	4	1	2	1
R28YRS	IN121039	1	7	1	1	1
R28YRS	IN121040	1	1	1	1	1
R28YRS	IN121041	1	1	1	2	1
R28YRS	IN121041	2	6	3	0	1
R28YRS	IN121042	1	5	1	0	1
R28YRS	IN121046	1	6	1	0	1
R28YRS	IN121047	1	1	1	2	1
R28YRS	IN121051	1	6	1	2	1
R28YRS	IN121051	2	1	1	2	88
R28YRS	IN121051	3	2	1	2	88
R28YRS	IN131020	1	7	3	0	1
R28YRS	IN131029	1	7	77	88	1
R28YRS	IN131042	1	3	1	2	1
R28YRS	IN131042	2	6	1	2	1
R28YRS	IN151005	1	6	1	0	88
R28YRS	IN151006	1	6	1	0	1
R28YRS	IN151007	1	6	1	2	1
R28YRS	IN151009	1	6	1	0	1
R28YRS	IN151010	1	6	1	0	1
R28YRS	IN151011	1	6	1	0	1
R28YRS	IN151014	1	5	1	1	1
R28YRS	IN151017	1	5	1	1	1
R28YRS	IN151029	1	6	1	0	1
R28YRS	IN151030	1	6	1	2	1
R28YRS	IN151031	1	6	1	1	1
R28YRS	IN151039	1	6	1	0	1
R28YRS	IN151043	1	6	1	0	1
R28YRS	IN151047	1	7	1	1	1
R28YRS	IN161001	1	6	1	2	1
R28YRS	IN161003	1	6	1	0	1
R28YRS	IN161004	1	6	1	0	1
R28YRS	IN161008	1	1	1	88	1
R28YRS	IN161012	1	6	1	0	1
R28YRS	IN161018	1	6	1	0	1
R28YRS	IN161020	1	6	1	0	1
R28YRS	IN161021	1	5	1	0	1
R28YRS	IN161022	1	6	1	0	1
R28YRS	IN161024	1	6	1	0	1
R28YRS	IN161026	1	6	1	0	1
R28YRS	IN161027	1	6	1	0	1
R28YRS	IN161029	1	6	1	1	1
R28YRS	IN161036	1	6	1	2	1
R28YRS	IN161037	1	6	1	0	1
R28YRS	IN161048	1	6	1	0	1
R28YRS	IN161050	1	7	1	0	1
R28YRS	IN171002	1	7	1	2	1
R28YRS	IN171009	1	1	4	0	1
R28YRS	IN171009	2	6	1	2	88
R28YRS	IN171011	1	1	1	2	1
R28YRS	IN171013	1	5	1	0	88
R28YRS	IN171013	2	6	1	0	1
R28YRS	IN171015	1	5	1	2	1
R28YRS	IN171017	1	1	1	0	1
R28YRS	IN171017	2	6	1	2	88
R28YRS	IN171019	1	1	1	0	1
R28YRS	IN171020	1	2	4	0	1
R28YRS	IN171021	1	1	1	0	1
R28YRS	IN171022	1	1	77	0	1
R28YRS	IN171022	2	6	3	0	88
R28YRS	IN171027	1	6	1	0	1
R28YRS	IN171030	1	6	3	2	1
R28YRS	IN171032	1	6	1	0	1
R28YRS	IN171042	1	1	77	88	1
R28YRS	IN171048	1	6	1	2	1
R28YRS	IN171049	1	1	1	2	1
R28YRS	IN181002	1	7	2	1	1
R28YRS	IN181004	1	6	1	1	1
R28YRS	IN181006	1	1	3	0	1
R28YRS	IN181007	1	1	3	0	1
R28YRS	IN181008	1	6	3	2	1
R28YRS	IN181009	1	5	3	2	1
R28YRS	IN181010	1	6	2	2	1
R28YRS	IN181012	1	1	3	0	1
R28YRS	IN181013	1	1	3	0	1
R28YRS	IN181014	1	6	1	2	1
R28YRS	IN181014	2	7	1	2	88
R28YRS	IN181015	1	6	1	0	1
R28YRS	IN181016	1	5	1	0	88
R28YRS	IN181016	2	1	3	0	1
R28YRS	IN181017	1	1	3	0	1
R28YRS	IN181018	1	1	1	0	1
R28YRS	IN181018	2	5	1	0	88
R28YRS	IN181019	1	6	2	2	1
R28YRS	IN181022	1	7	4	0	1
R28YRS	IN181023	1	5	1	0	1
R28YRS	IN181026	1	1	2	0	1
R28YRS	IN181027	1	1	3	0	1
R28YRS	IN181029	1	7	1	1	1
R28YRS	IN181030	1	5	2	0	1
R28YRS	IN181031	1	1	1	2	1
R28YRS	IN181032	1	1	3	2	1
R28YRS	IN181034	1	5	1	2	1
R28YRS	IN181035	1	6	3	1	1
R28YRS	IN181038	1	6	1	1	1
R28YRS	IN181039	1	1	3	2	1
R28YRS	IN181040	1	6	3	0	1
R28YRS	IN181042	1	6	1	1	1
R28YRS	IN181043	1	7	1	2	1
R28YRS	IN181044	1	1	3	0	1
R28YRS	IN181044	2	6	1	1	88
R28YRS	IN181045	1	5	1	2	1
R28YRS	IN181046	1	6	2	2	1
R28YRS	IN181047	1	6	3	2	1
R28YRS	IN181050	1	7	1	0	1
R28YRS	IN191002	1	1	3	0	1
R28YRS	IN191003	1	5	1	0	1
R28YRS	IN191004	1	1	3	1	88
R28YRS	IN191004	2	5	1	2	1
R28YRS	IN191005	1	6	2	2	1
R28YRS	IN191006	1	1	3	2	1
R28YRS	IN191006	2	6	3	2	88
R28YRS	IN191007	1	6	2	2	88
R28YRS	IN191007	2	1	3	2	1
R28YRS	IN191008	1	1	77	0	1
R28YRS	IN191009	1	1	3	0	1
R28YRS	IN191010	1	6	2	1	1
R28YRS	IN191011	1	6	1	1	1
R28YRS	IN191012	1	7	4	2	1
R28YRS	IN191013	1	1	4	0	88
R28YRS	IN191013	2	6	3	1	1
R28YRS	IN191014	1	6	1	1	1
R28YRS	IN191015	1	1	1	1	1
R28YRS	IN191016	1	6	1	0	1
R28YRS	IN191016	2	7	1	0	88
R28YRS	IN191017	1	6	1	1	1
R28YRS	IN191018	1	6	1	0	1
R28YRS	IN191019	1	6	1	0	1
R28YRS	IN191020	1	6	77	88	1
R28YRS	IN191020	2	7	1	0	88
R28YRS	IN191021	1	5	3	2	1
R28YRS	IN191022	1	1	3	2	88
R28YRS	IN191022	2	2	1	0	1
R28YRS	IN191023	1	6	3	2	1
R28YRS	IN191024	1	1	3	2	1
R28YRS	IN191024	2	6	3	2	88
R28YRS	IN191024	3	2	1	2	88
R28YRS	IN191025	1	1	3	2	88
R28YRS	IN191025	2	7	2	2	1
R28YRS	IN191026	1	6	2	2	1
R28YRS	IN191027	1	1	3	2	1
R28YRS	IN191028	1	1	1	2	1
R28YRS	IN191030	1	1	2	1	1
R28YRS	IN191031	1	4	2	1	1
R28YRS	IN191032	1	1	77	88	1
R28YRS	IN191033	1	1	77	2	1
R28YRS	IN191034	1	6	1	1	1
R28YRS	IN191037	1	6	1	1	1
R28YRS	IN191038	1	6	1	1	1
R28YRS	IN191039	1	2	1	1	1
R28YRS	IN191040	1	1	3	2	88
R28YRS	IN191040	2	5	3	2	88
R28YRS	IN191040	3	2	1	0	1
R28YRS	IN191040	4	6	3	2	88
R28YRS	IN191041	1	5	4	2	1
R28YRS	IN191041	2	6	2	2	88
R28YRS	IN191041	3	3	2	2	88
R28YRS	IN191042	1	1	3	0	1
R28YRS	IN191043	1	1	3	0	1
R28YRS	IN191044	1	6	3	2	1
R28YRS	IN191045	1	1	2	1	1
R28YRS	IN191045	2	6	1	1	88
R28YRS	IN191046	1	1	4	0	88
R28YRS	IN191046	2	5	1	0	1
R28YRS	IN191049	1	5	3	0	88
R28YRS	IN191049	2	2	3	2	1
R28YRS	IN191050	1	6	1	1	1
R28YRS	IN201026	1	2	1	0	1
R28YRS	IN201048	1	7	1	2	1
R28YRS	IN201049	1	3	2	0	1
R28YRS	IN201051	1	7	1	0	1
