FORMNO	CHILDID	GRPID	GROUP	IDGRP	YEARMEM	BENGRP1	BENGRP2	FRQATTEN	LEADMEM	YEARLEAD	PAREPOST	WHYJOIN	INFLNCE
R28YRS	IN011001	1	6	2	2000	3	88	3	0	-88	88	88	88
R28YRS	IN011005	1	23	3	2000	3	6	3	0	-88	88	88	88
R28YRS	IN011006	1	6	3	2003	3	6	3	0	-88	88	88	88
R28YRS	IN011015	1	6	2	2003	3	6	3	0	-88	88	88	88
R28YRS	IN011019	1	6	2	2002	3	4	3	0	-88	88	88	88
R28YRS	IN011023	1	6	2	2003	3	11	3	0	-88	88	88	88
R28YRS	IN011024	1	6	2	2000	3	88	3	0	-88	88	88	88
R28YRS	IN011024	2	6	4	2006	3	88	3	0	-88	88	88	88
R28YRS	IN011025	1	6	2	2003	3	4	4	0	-88	88	88	88
R28YRS	IN011032	1	6	2	2006	4	3	3	0	-88	88	88	88
R28YRS	IN011033	1	6	2	2002	3	4	3	0	-88	88	88	88
R28YRS	IN011037	1	6	2	2002	3	5	3	1	2002	0	5	3
R28YRS	IN011038	1	6	3	2006	3	88	3	0	-88	88	88	88
R28YRS	IN011042	1	6	4	2006	3	4	3	1	2006	0	5	0
R28YRS	IN011045	1	6	3	2006	3	4	4	0	-88	88	88	88
R28YRS	IN011046	1	6	3	2006	3	6	3	0	-88	88	88	88
R28YRS	IN011050	1	6	2	1997	3	88	3	0	-88	88	88	88
R28YRS	IN021001	1	6	2	2002	3	6	3	1	2002	0	5	3
R28YRS	IN021005	1	6	2	2000	3	5	3	1	2006	0	7	0
R28YRS	IN021006	1	6	2	1998	4	3	6	0	-88	88	88	88
R28YRS	IN021009	1	6	2	2000	3	4	4	0	-88	88	88	88
R28YRS	IN021009	2	6	5	2006	3	88	3	0	-88	88	88	88
R28YRS	IN021010	1	6	3	2000	3	6	3	1	2000	0	13	2
R28YRS	IN021011	1	6	2	2004	3	6	2	1	2004	0	8	3
R28YRS	IN021013	1	6	2	1995	3	88	3	1	1997	0	5	3
R28YRS	IN021014	1	6	2	2003	3	4	3	0	-88	88	88	88
R28YRS	IN021015	1	6	2	2006	3	4	3	1	2006	0	6	2
R28YRS	IN021016	1	6	3	2003	3	4	3	0	-88	88	88	88
R28YRS	IN021017	1	6	4	2001	3	88	3	0	-88	88	88	88
R28YRS	IN021017	2	6	5	2001	3	88	3	0	-88	88	88	88
R28YRS	IN021018	1	6	2	2006	3	6	3	0	-88	88	88	88
R28YRS	IN021019	1	6	2	2005	3	6	3	0	-88	88	88	88
R28YRS	IN021020	1	6	2	2005	3	88	3	0	-88	88	88	88
R28YRS	IN021021	1	6	2	2002	2	88	3	0	-88	88	88	88
R28YRS	IN021022	1	6	2	2003	3	6	3	0	-88	88	88	88
R28YRS	IN021023	1	6	2	2003	3	4	3	0	-88	88	88	88
R28YRS	IN021024	1	6	2	2003	3	4	3	1	2003	0	5	2
R28YRS	IN021026	1	27	1	2004	6	88	5	1	2004	0	6	0
R28YRS	IN021026	2	6	2	2006	3	88	3	0	-88	88	88	88
R28YRS	IN021027	1	6	4	2005	4	6	2	0	-88	88	88	88
R28YRS	IN021028	1	6	1	2003	3	6	3	1	2003	0	5	88
R28YRS	IN021029	1	6	2	2002	3	6	2	1	2002	0	5	2
R28YRS	IN021030	1	6	3	2001	3	4	3	1	2001	0	5	3
R28YRS	IN021031	1	6	7	1998	3	4	3	0	-88	88	88	88
R28YRS	IN021033	1	6	2	2003	3	6	3	1	2003	1	5	2
R28YRS	IN021035	1	6	1	2003	3	6	3	0	-88	88	88	88
R28YRS	IN021036	1	6	2	2006	3	4	3	0	-88	88	88	88
R28YRS	IN021036	2	28	1	1997	6	8	4	1	1997	0	6	0
R28YRS	IN021038	1	6	3	2006	3	4	3	0	-88	88	88	88
R28YRS	IN021038	2	1	2	2006	3	4	3	0	-88	88	88	88
R28YRS	IN021039	1	6	2	2004	3	4	3	0	-88	88	88	88
R28YRS	IN021039	2	1	3	2004	3	4	3	0	-88	88	88	88
R28YRS	IN021042	1	6	4	2002	3	4	3	1	2002	0	6	0
R28YRS	IN021044	1	6	2	2001	4	3	3	0	-88	88	88	88
R28YRS	IN021046	1	6	2	2004	3	5	3	0	-88	88	88	88
R28YRS	IN031002	1	28	1	2004	4	7	3	1	2006	0	10	2
R28YRS	IN031003	1	6	4	2004	3	88	6	0	-88	88	88	88
R28YRS	IN031003	2	11	4	2005	3	88	3	0	-88	88	88	88
R28YRS	IN031003	3	11	4	2005	3	88	3	0	-88	88	88	88
R28YRS	IN031005	1	6	5	2006	3	5	5	0	-88	88	88	88
R28YRS	IN031012	1	6	1	2000	3	88	3	0	-88	88	88	88
R28YRS	IN031015	1	6	2	2000	1	3	3	0	-88	88	88	88
R28YRS	IN031016	1	1	2	2002	3	5	4	0	-88	88	88	88
R28YRS	IN031017	1	22	4	1980	2	5	3	0	-88	88	88	88
R28YRS	IN031024	1	6	2	2005	3	88	3	0	-88	88	88	88
R28YRS	IN031025	1	6	2	1999	3	88	3	1	1999	0	6	2
R28YRS	IN031025	2	6	7	1999	3	88	3	0	-88	88	88	88
R28YRS	IN031026	1	6	3	1996	1	11	3	0	-88	88	88	88
R28YRS	IN031027	1	6	4	2006	4	3	3	0	-88	88	88	88
R28YRS	IN031028	1	6	4	2006	6	3	3	1	2006	0	4	2
R28YRS	IN031029	1	6	2	2000	3	4	3	0	-88	88	88	88
R28YRS	IN031030	1	6	2	2006	3	6	3	0	-88	88	88	88
R28YRS	IN031031	1	6	2	2006	1	3	3	0	-88	88	88	88
R28YRS	IN031032	1	6	3	2005	3	6	3	0	-88	88	88	88
R28YRS	IN031034	1	6	3	2006	3	4	3	0	-88	88	88	88
R28YRS	IN031036	1	6	2	2006	3	88	3	0	-88	88	88	88
R28YRS	IN031039	1	6	1	2000	1	3	3	1	2000	0	5	2
R28YRS	IN031041	1	16	2	2002	3	4	3	0	-88	88	88	88
R28YRS	IN031042	1	6	3	2005	3	4	3	0	-88	88	88	88
R28YRS	IN031043	1	6	2	2007	3	6	4	0	-88	88	88	88
R28YRS	IN031048	1	6	2	2005	3	5	3	0	-88	88	88	88
R28YRS	IN041001	1	6	2	2000	3	4	3	1	2000	0	6	2
R28YRS	IN041002	1	6	2	2004	3	5	3	0	-88	88	88	88
R28YRS	IN041003	1	6	2	1996	3	88	3	0	-88	88	88	88
R28YRS	IN041004	1	6	1	2002	3	88	3	0	-88	88	88	88
R28YRS	IN041005	1	1	1	2002	3	5	4	0	-88	88	88	88
R28YRS	IN041005	2	6	2	2003	4	2	4	0	-88	88	88	88
R28YRS	IN041007	1	1	2	2003	3	88	3	0	-88	88	88	88
R28YRS	IN041007	2	6	3	2001	3	5	3	0	-88	88	88	88
R28YRS	IN041010	1	6	2	1999	4	88	3	0	-88	88	88	88
R28YRS	IN041011	1	6	2	2004	3	4	3	0	-88	88	88	88
R28YRS	IN041011	2	1	1	2005	2	4	3	0	-88	88	88	88
R28YRS	IN041012	1	6	2	2004	3	4	3	0	-88	88	88	88
