FORMNO	CHILDID	OUTID	REMREL	REMEST	REMGOOD
R28YRS	IN011046	1	1	3600	-88
R28YRS	IN021001	1	7	1800	250
R28YRS	IN021008	1	13	5000	-88
R28YRS	IN021011	1	21	500	900
R28YRS	IN021016	1	7	1000	-88
R28YRS	IN021017	1	21	20000	-88
R28YRS	IN021020	1	0	2400	2000
R28YRS	IN021027	1	1	6000	-88
R28YRS	IN021030	1	7	400	200
R28YRS	IN021036	1	15	1500	-88
R28YRS	IN031002	1	6	10000	-88
R28YRS	IN031020	1	13	10000	0
R28YRS	IN031049	1	13	3600	-88
R28YRS	IN031049	2	19	2000	-88
R28YRS	IN031049	3	19	2000	-88
R28YRS	IN061047	1	6	4000	2000
R28YRS	IN101007	1	1	6000	6000
R28YRS	IN101027	1	21	500	0
R28YRS	IN101030	1	21	300	0
R28YRS	IN121017	1	5	18000	-88
R28YRS	IN121022	1	13	30000	-88
R28YRS	IN131014	1	13	5000	1000
R28YRS	IN131014	2	13	10000	1000
R28YRS	IN131028	1	13	-88	200
R28YRS	IN131039	1	13	-88	200
R28YRS	IN141012	1	13	50000	-88
R28YRS	IN141014	1	13	100	-88
R28YRS	IN141016	1	5	15000	-88
R28YRS	IN141022	1	13	10000	-88
R28YRS	IN141026	1	13	3000	-88
R28YRS	IN141029	1	19	500	-88
R28YRS	IN141032	1	13	10000	-88
R28YRS	IN141034	1	19	400	-88
R28YRS	IN141035	1	14	-88	1000
R28YRS	IN141037	1	14	2000	-88
R28YRS	IN141037	2	14	-88	1500
R28YRS	IN141039	1	13	10000	-88
R28YRS	IN141040	1	14	100	200
R28YRS	IN141044	1	16	400	0
R28YRS	IN141046	1	14	2000	-88
R28YRS	IN151016	1	13	2000	-88
R28YRS	IN151017	1	13	1116	-88
R28YRS	IN151023	1	13	15000	-88
R28YRS	IN151027	1	13	500	0
R28YRS	IN151027	2	21	500	0
R28YRS	IN151033	1	13	5000	-88
R28YRS	IN151040	1	13	-88	3600
R28YRS	IN151041	1	13	200	-88
R28YRS	IN151043	1	8	8	 
R28YRS	IN161004	1	13	600	-88
R28YRS	IN161007	1	13	300	0
R28YRS	IN161009	1	14	1500	0
R28YRS	IN161022	1	19	300	0
R28YRS	IN161033	1	13	1000	0
R28YRS	IN161041	1	16	600	0
R28YRS	IN161042	1	13	1000	0
R28YRS	IN161045	1	14	2000	-88
R28YRS	IN161046	1	19	500	0
R28YRS	IN161049	1	16	20000	0
R28YRS	IN161049	2	19	1000	0
R28YRS	IN171001	1	7	500	1000
R28YRS	IN171002	1	7	1000	500
R28YRS	IN171007	1	13	-88	1500
R28YRS	IN171008	1	13	-88	200
R28YRS	IN171014	1	21	50	-88
R28YRS	IN171019	1	7	-88	2000
R28YRS	IN171019	2	13	-88	1000
R28YRS	IN171020	1	7	2000	-88
R28YRS	IN171020	2	13	1000	-88
R28YRS	IN171026	1	7	2400	1200
R28YRS	IN171026	2	21	116	-88
R28YRS	IN171029	1	13	-88	2000
R28YRS	IN171030	1	1	-88	1500
R28YRS	IN171032	1	13	-88	2000
R28YRS	IN171034	1	13	-88	2000
R28YRS	IN171038	1	13	-88	2500
R28YRS	IN171042	1	13	-88	500
R28YRS	IN171042	2	21	400	-88
R28YRS	IN171042	3	7	8000	2000
R28YRS	IN171044	1	13	-88	1000
R28YRS	IN171047	1	7	-88	1500
R28YRS	IN171048	1	13	-88	1000
