FORMNO	CHILDID	ACTID	ACTYEST	ACTSUPER	ACTCARE	CHOICE
R28YRS	IN011001	1	1	0	0	1
R28YRS	IN011001	2	2	0	0	1
R28YRS	IN011001	3	5	0	0	1
R28YRS	IN011001	4	10	0	0	1
R28YRS	IN011001	5	12	0	0	1
R28YRS	IN011002	1	1	1	0	1
R28YRS	IN011002	2	2	1	0	1
R28YRS	IN011002	3	5	0	0	1
R28YRS	IN011002	4	17	0	0	1
R28YRS	IN011003	1	1	1	0	0
R28YRS	IN011003	2	2	1	1	0
R28YRS	IN011003	3	10	0	0	0
R28YRS	IN011003	4	6	0	0	0
R28YRS	IN011003	5	17	0	0	0
R28YRS	IN011003	6	12	0	0	0
R28YRS	IN011004	1	1	1	0	2
R28YRS	IN011004	2	2	1	0	2
R28YRS	IN011004	3	10	0	0	1
R28YRS	IN011005	1	1	1	0	0
R28YRS	IN011005	2	2	1	0	0
R28YRS	IN011005	3	12	0	0	1
R28YRS	IN011005	4	10	0	0	1
R28YRS	IN011006	1	1	1	0	2
R28YRS	IN011006	2	2	1	0	2
R28YRS	IN011006	3	6	0	0	1
R28YRS	IN011006	4	10	0	0	1
R28YRS	IN011006	5	12	0	0	1
R28YRS	IN011007	1	1	1	0	0
R28YRS	IN011007	2	2	1	0	0
R28YRS	IN011007	3	10	0	0	1
R28YRS	IN011007	4	12	0	0	1
R28YRS	IN011008	1	1	1	0	0
R28YRS	IN011008	2	2	1	0	0
R28YRS	IN011008	3	17	0	0	1
R28YRS	IN011009	1	14	1	0	1
R28YRS	IN011009	2	12	1	0	1
R28YRS	IN011010	1	1	1	0	1
R28YRS	IN011010	2	2	1	1	1
R28YRS	IN011010	3	17	0	1	1
R28YRS	IN011011	1	1	1	1	1
R28YRS	IN011011	2	2	1	1	1
R28YRS	IN011011	3	5	1	1	1
R28YRS	IN011011	4	12	1	0	1
R28YRS	IN011011	5	10	1	0	1
R28YRS	IN011011	6	17	1	0	1
R28YRS	IN011012	1	1	1	0	1
R28YRS	IN011012	2	2	1	0	1
R28YRS	IN011012	3	12	0	0	1
R28YRS	IN011012	4	17	0	0	1
R28YRS	IN011013	1	1	1	0	2
R28YRS	IN011013	2	2	1	0	2
R28YRS	IN011013	3	10	0	0	1
R28YRS	IN011013	4	12	0	0	1
R28YRS	IN011014	1	4	0	0	1
R28YRS	IN011014	2	5	0	0	1
R28YRS	IN011014	3	12	0	0	1
R28YRS	IN011015	1	1	1	0	2
R28YRS	IN011015	2	2	1	0	2
R28YRS	IN011015	3	10	0	0	1
R28YRS	IN011015	4	23	0	0	1
R28YRS	IN011016	1	1	1	0	2
R28YRS	IN011016	2	2	1	0	2
R28YRS	IN011016	3	10	0	0	1
R28YRS	IN011016	4	12	0	0	1
R28YRS	IN011017	1	1	1	1	1
R28YRS	IN011017	2	2	1	1	1
R28YRS	IN011018	1	1	1	1	1
R28YRS	IN011018	2	10	1	0	1
R28YRS	IN011018	3	3	1	0	1
