FORMNO	CHILDID	PASSID	PASSET	NUMPASS	VALPASS	DECPASS
R28YRS	IN141003	1	21	1	2000	80
R28YRS	IN141007	1	30	6	12000	2
R28YRS	IN141014	1	30	10	600	1
R28YRS	IN141018	1	13	9	1150	80
R28YRS	IN141020	1	30	1	10000	1
R28YRS	IN141020	2	30	1	15000	1
R28YRS	IN141024	1	30	10	500	2
R28YRS	IN141029	1	23	2	500	1
R28YRS	IN141029	2	30	10	200	1
R28YRS	IN141033	1	25	1	5000	80
R28YRS	IN141034	1	21	1	1500	1
R28YRS	IN141035	1	23	-77	-77	80
R28YRS	IN141035	2	30	-77	-77	80
R28YRS	IN141037	1	21	1	2000	80
R28YRS	IN141039	1	17	20	10000	80
R28YRS	IN141040	1	17	10	500	80
R28YRS	IN141041	1	13	10	200	80
R28YRS	IN141045	1	1	4	150	2
R28YRS	IN141045	2	4	1	150	2
R28YRS	IN141045	3	3	1	500	2
R28YRS	IN151001	1	1	5	2400	1
R28YRS	IN151001	2	3	1	600	1
R28YRS	IN151002	1	8	1	10000	1
R28YRS	IN151002	2	5	1	7000	1
R28YRS	IN151002	3	2	1	6000	1
R28YRS	IN151003	1	1	4	150	1
R28YRS	IN151003	2	2	1	10000	1
R28YRS	IN151003	3	3	1	1500	1
R28YRS	IN151004	1	1	5	250	4
R28YRS	IN151004	2	2	1	4500	4
R28YRS	IN151004	3	3	1	950	4
R28YRS	IN151005	1	1	6	600	1
R28YRS	IN151005	2	4	2	300	1
R28YRS	IN151006	1	1	5	1000	3
R28YRS	IN151006	2	4	1	500	3
R28YRS	IN151007	1	30	1	25	88
R28YRS	IN151008	1	2	1	2000	1
R28YRS	IN151008	2	1	5	200	1
R28YRS	IN151008	3	3	1	950	1
R28YRS	IN151009	1	1	2	100	2
R28YRS	IN151009	2	1	4	120	2
R28YRS	IN151010	1	5	1	13000	1
R28YRS	IN151010	2	2	1	1500	1
R28YRS	IN151010	3	1	3	150	1
R28YRS	IN151011	1	1	3	500	1
R28YRS	IN151011	2	2	1	5000	1
R28YRS	IN151012	1	1	5	450	1
R28YRS	IN151012	2	4	3	500	1
R28YRS	IN151013	1	1	3	190	1
R28YRS	IN151014	1	4	1	600	1
R28YRS	IN151014	2	2	1	2000	1
R28YRS	IN151014	3	1	4	150	1
R28YRS	IN151015	1	1	5	200	1
