FORMNO	CHILDID	PLOTID	LAREA	LOWN	LUSE	TRANS	COLLAT	TRANSID	PLINCOME	PLVALUE	PLCOST	CRPRAIN1	CRPRAIN2	CROPDRY1	CROPDRY2	IRRIGAT	PERIRRIG
R28YRS	IN011001	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R28YRS	IN011002	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R28YRS	IN011003	1	.03	1	1	0	0	88	0	-88	0	 	 	 	 	 	 
R28YRS	IN011004	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R28YRS	IN011005	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R28YRS	IN011006	1	.02	1	1	1	1	5	0	-88	0	 	 	 	 	 	 
R28YRS	IN011007	1	.03	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R28YRS	IN011008	1	.03	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R28YRS	IN011009	1	.03	1	1	0	0	88	0	-88	0	 	 	 	 	 	 
R28YRS	IN011010	1	.04	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R28YRS	IN011010	2	2	1	1	1	1	1	1	60000	36000	53	88	53	88	1	4
R28YRS	IN011010	3	2	1	1	1	1	3	1	40000	36000	53	88	53	88	1	4
R28YRS	IN011011	1	.04	1	1	1	1	3	0	-88	0	 	 	 	 	 	 
R28YRS	IN011012	1	.06	1	1	1	1	2	0	-88	110000	 	 	 	 	 	 
R28YRS	IN011013	1	.03	1	1	1	1	0	1	8400	0	 	 	 	 	 	 
R28YRS	IN011014	1	.05	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R28YRS	IN011015	1	.02	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R28YRS	IN011016	1	.03	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R28YRS	IN011017	1	.02	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R28YRS	IN011017	2	.2	1	11	1	1	1	0	-88	0	 	 	 	 	 	 
R28YRS	IN011018	1	.1	1	1	1	1	3	0	-88	0	 	 	 	 	 	 
R28YRS	IN011018	2	2	1	5	1	1	3	1	21000	12000	53	88	88	88	1	0
R28YRS	IN011018	3	2	1	5	1	1	5	1	22680	12000	53	88	88	88	1	0
R28YRS	IN011019	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R28YRS	IN011021	1	.04	1	1	1	1	1	1	4800	0	 	 	 	 	 	 
R28YRS	IN011022	1	.1	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R28YRS	IN011022	2	3	1	9	1	1	1	1	18000	0	 	 	 	 	 	 
R28YRS	IN011023	1	.02	2	1	0	0	88	0	-88	6000	 	 	 	 	 	 
R28YRS	IN011024	1	.03	1	1	1	1	1	0	-88	3000	 	 	 	 	 	 
R28YRS	IN011025	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R28YRS	IN011026	1	.05	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R28YRS	IN011027	1	.04	1	1	1	1	2	0	-88	0	 	 	 	 	 	 
R28YRS	IN011028	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R28YRS	IN011029	1	.03	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R28YRS	IN011029	2	2	1	11	1	1	1	0	-88	0	 	 	 	 	 	 
R28YRS	IN011030	1	.03	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R28YRS	IN011031	1	.02	1	3	1	1	5	1	1800	0	 	 	 	 	 	 
R28YRS	IN011032	1	.03	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R28YRS	IN011033	1	.03	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R28YRS	IN011034	1	.05	1	1	1	1	2	0	-88	0	 	 	 	 	 	 
R28YRS	IN011034	2	.75	1	9	1	1	2	1	5000	0	 	 	 	 	 	 
R28YRS	IN011034	3	5	1	9	1	1	2	0	-88	0	 	 	 	 	 	 
R28YRS	IN011035	1	.02	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R28YRS	IN011036	1	.03	1	1	1	1	4	1	12000	0	 	 	 	 	 	 
R28YRS	IN011037	1	.02	1	1	1	1	90	1	7200	10000	 	 	 	 	 	 
R28YRS	IN011038	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R28YRS	IN011039	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R28YRS	IN011040	1	.05	1	1	1	1	1	0	-88	10000	 	 	 	 	 	 
R28YRS	IN011040	2	.03	1	11	1	1	1	0	-88	0	 	 	 	 	 	 
R28YRS	IN011041	1	.03	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R28YRS	IN011042	1	.02	1	1	1	1	3	0	-88	0	 	 	 	 	 	 
R28YRS	IN011043	1	.15	1	1	1	1	2	0	-88	0	 	 	 	 	 	 
R28YRS	IN011043	2	10	1	5	1	1	3	1	259650	140000	53	88	53	88	1	4
R28YRS	IN011043	3	15	1	5	1	1	3	1	409350	210000	53	88	53	88	1	4
R28YRS	IN011043	4	10	1	5	1	1	1	1	150000	70000	48	88	88	88	1	4
R28YRS	IN011043	5	20	1	5	1	1	1	1	300000	140000	48	88	88	88	1	4
R28YRS	IN011043	6	15	1	5	1	1	4	1	356250	150000	67	88	88	88	1	4
R28YRS	IN011043	7	10	1	5	1	1	4	1	1125000	400000	48	88	88	88	1	4
R28YRS	IN011044	1	.01	1	1	1	1	90	 	 	 	 	 	 	 	 	 
R28YRS	IN011045	1	.03	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R28YRS	IN011046	1	.02	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R28YRS	IN011047	1	.05	1	1	1	1	2	0	-88	0	 	 	 	 	 	 
R28YRS	IN011048	1	.07	1	1	0	0	88	0	-88	0	 	 	 	 	 	 
R28YRS	IN011049	1	.02	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R28YRS	IN011050	1	.03	2	1	0	0	88	0	-88	0	 	 	 	 	 	 
R28YRS	IN021001	1	.04	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R28YRS	IN021001	2	1	1	7	1	1	1	1	6000	0	48	88	88	88	0	88
R28YRS	IN021002	1	.03	1	1	0	0	88	0	-88	0	 	 	 	 	 	 
R28YRS	IN021002	2	.2	1	7	0	0	88	1	4500	0	48	88	88	88	0	88
R28YRS	IN021003	1	.02	4	1	1	1	1	0	-88	0	 	 	 	 	 	 
R28YRS	IN021003	2	2	1	9	1	1	1	1	3000	0	 	 	 	 	 	 
R28YRS	IN021004	1	.05	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R28YRS	IN021004	2	1	6	7	0	0	88	0	-88	1500	48	88	88	88	0	88
R28YRS	IN021005	1	.06	1	1	1	1	1	0	-88	3000	 	 	 	 	 	 
R28YRS	IN021005	2	1	1	5	1	1	1	1	15000	6090	71	88	88	88	0	88
R28YRS	IN021005	3	1	1	7	1	1	1	0	-88	700	48	88	88	88	0	88
R28YRS	IN021006	1	.05	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R28YRS	IN021006	2	1	6	5	3	0	88	1	3480	0	57	30	88	88	0	88
R28YRS	IN021007	1	.07	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R28YRS	IN021007	2	1	1	5	1	1	1	1	3700	2500	88	88	18	88	0	88
R28YRS	IN021007	3	1	1	5	1	1	1	1	3700	2500	88	88	18	88	0	88
R28YRS	IN021008	1	.06	1	1	1	1	2	0	-88	0	 	 	 	 	 	 
R28YRS	IN021009	1	.1	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R28YRS	IN021009	2	2	1	5	1	1	1	1	5800	4500	18	30	88	88	0	88
R28YRS	IN021010	1	.05	1	2	0	0	88	0	-88	0	 	 	 	 	 	 
R28YRS	IN021010	2	2	1	5	0	0	88	1	1200	150	30	30	88	88	0	88
R28YRS	IN021011	1	.06	1	1	1	1	1	0	-88	40000	 	 	 	 	 	 
R28YRS	IN021012	1	.03	1	1	0	1	90	0	-88	1000	 	 	 	 	 	 
R28YRS	IN021013	1	.03	1	1	1	1	1	0	-88	0	 	 	 	 	 	 
R28YRS	IN021013	2	.5	1	5	0	1	90	1	8000	6000	53	60	53	88	1	1
R28YRS	IN021014	1	.04	6	1	3	1	3	0	-88	40000	 	 	 	 	 	 
R28YRS	IN021015	1	.05	6	1	0	0	88	0	-88	0	 	 	 	 	 	 
