CHILDCODE	MOVEIDR5	CNTRYR5	DSTRCTR5	TYPRESR5	YRMOVER5	MTHSTYR5	MVALNER5	MVFTHRR5	MVMTHRR5	MVSIBLR5	MVSPSER5	MVSPPTR5	MVSPSBR5	MVCHCHR5	MVOTRLR5	MVSPRLR5	MVNONHR5	RSNMVR51	RSNMVR52	KNWANYR5	KNWBSTR5
58003	1	51	 	4	2016	4	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	4
58003	2	51	 	4	2016	0	Y	 	 	 	 	 	 	 	 	 	 	22	88	1	1
58004	1	51	 	1	2016	0	N	Y	N	N	N	N	N	N	N	N	N	13	88	0	 
58007	1	51	 	5	2014	3	N	N	Y	N	N	N	N	N	N	N	N	6	22	1	1
58007	2	51	 	1	2015	0	Y	 	 	 	 	 	 	 	 	 	 	6	88	0	 
58008	1	51	 	3	2013	6	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	5
58008	2	51	 	5	2013	3	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	4
58008	3	51	 	5	2015	6	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	5
58008	4	51	 	1	2015	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	5
58014	1	51	 	3	2013	12	Y	 	 	 	 	 	 	 	 	 	 	5	88	0	 
58014	2	51	 	5	2015	15	Y	 	 	 	 	 	 	 	 	 	 	1	21	1	2
58014	3	51	 	5	2016	0	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	4
58015	1	51	 	1	2014	0	N	N	N	N	Y	N	N	Y	N	N	N	1	88	1	7
58016	1	51	 	3	2014	6	N	Y	N	N	N	N	N	N	N	N	N	2	35	0	 
58016	2	51	 	3	2015	0	N	Y	N	N	N	N	N	N	N	N	N	35	1	1	1
58017	1	51	 	5	2014	0	N	N	N	N	N	N	N	N	Y	N	N	13	4	1	4
58019	1	51	 	2	2103	43	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	4
58019	2	51	 	1	2016	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	4
58020	1	51	 	5	2016	0	Y	 	 	 	 	 	 	 	 	 	 	7	88	1	1
58022	1	51	 	5	2013	12	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	5
58022	2	51	 	4	2014	0	Y	 	 	 	 	 	 	 	 	 	 	2	5	1	4
58025	1	51	 	5	2013	0	N	N	Y	Y	N	N	N	N	N	N	N	1	2	1	4
58026	1	51	 	5	2015	0	Y	 	 	 	 	 	 	 	 	 	 	2	88	1	2
58029	1	51	 	5	2016	0	Y	 	 	 	 	 	 	 	 	 	 	2	88	1	2
58030	1	51	 	1	2015	12	Y	 	 	 	 	 	 	 	 	 	 	13	1	0	 
58030	2	51	 	5	2016	0	Y	 	 	 	 	 	 	 	 	 	 	22	88	1	1
68005	1	51	 	1	2015	0	N	N	N	N	Y	N	N	N	N	N	N	11	88	1	5
68007	1	51	 	2	2014	13	Y	 	 	 	 	 	 	 	 	 	 	13	88	1	4
68007	2	51	 	2	2016	0	N	N	Y	N	N	N	N	N	N	N	N	13	88	0	 
68010	1	80	 	6	2014	24	Y	 	 	 	 	 	 	 	 	 	 	35	88	0	 
68010	2	51	 	6	2016	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	0	 
68012	1	51	 	3	2015	12	N	N	N	N	N	N	Y	Y	N	N	N	1	88	1	1
68012	2	51	 	3	2016	0	N	N	N	N	Y	N	N	Y	N	N	N	17	88	1	4
68021	1	51	 	2	2014	0	N	N	Y	N	N	N	N	N	N	N	N	35	88	1	7
68022	1	51	 	5	2015	0	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	2
68025	1	51	 	5	2016	7	N	N	N	Y	N	N	N	N	N	N	N	2	12	1	2
68025	2	51	 	5	2016	0	N	Y	N	N	N	N	N	Y	N	N	N	24	88	1	1
78001	1	51	 	5	2013	0	N	N	N	Y	N	N	N	N	N	N	N	5	88	1	2
78002	1	51	 	1	2014	0	N	N	Y	N	N	N	N	N	N	N	N	13	88	1	5
78006	1	51	 	1	2015	0	N	N	Y	Y	N	N	N	N	N	N	N	13	88	0	 
78009	1	51	 	2	2016	0	Y	 	 	 	 	 	 	 	 	 	 	6	88	0	 
78010	1	51	 	5	2013	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	4
78011	1	51	 	1	2016	0	N	N	N	N	Y	N	N	Y	N	Y	N	11	20	1	7
78012	1	51	 	1	2014	7	N	N	N	N	Y	N	N	N	N	N	N	9	88	0	 
78012	2	51	 	1	2015	5	N	N	N	N	N	N	N	N	N	N	Y	2	88	1	4
78012	3	51	 	1	2015	0	N	N	Y	N	N	N	N	N	N	N	N	3	88	1	1
78015	1	51	 	1	2016	0	N	Y	Y	Y	N	N	N	N	N	N	N	13	88	1	5
78016	1	51	 	1	2014	0	N	Y	Y	Y	N	N	N	N	N	N	N	16	88	1	5
78019	1	51	 	1	2016	0	N	Y	Y	Y	N	N	N	N	N	N	N	16	88	0	 
78021	1	51	 	1	2016	0	N	Y	Y	Y	N	N	N	N	N	N	N	13	88	1	4
78031	1	51	 	2	2016	0	Y	 	 	 	 	 	 	 	 	 	 	6	5	0	 
78032	1	51	 	1	2014	12	N	N	Y	Y	N	N	N	N	N	N	N	35	88	0	 
78032	2	51	 	1	2015	0	N	N	Y	Y	N	N	N	N	N	N	N	5	88	0	 
78036	1	51	 	5	2013	0	Y	 	 	 	 	 	 	 	 	 	 	2	88	1	4
78039	1	51	 	4	2013	0	N	N	N	N	Y	N	N	Y	N	N	N	1	6	0	 
78040	1	51	 	4	2016	0	Y	 	 	 	 	 	 	 	 	 	 	2	88	1	1
78048	1	51	 	1	2014	0	N	N	N	N	Y	N	N	N	N	N	N	16	20	1	4
88001	1	51	 	4	2013	24	N	N	N	N	Y	N	N	N	N	N	N	35	88	1	7
88001	2	51	 	2	2016	0	N	N	N	N	Y	N	N	N	N	N	N	35	88	1	4
98006	1	51	 	3	2016	0	N	N	Y	Y	N	N	N	N	N	N	N	1	35	1	1
98007	1	51	 	2	2015	5	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	4
98007	2	51	 	2	2016	0	N	N	N	Y	N	N	N	N	N	N	N	13	88	0	 
98008	1	51	 	1	2015	0	N	N	N	Y	N	N	N	N	N	N	N	16	88	0	 
98010	1	51	 	4	2013	0	N	Y	N	Y	N	N	N	N	N	N	N	5	88	1	4
98011	1	51	 	2	2015	0	Y	 	 	 	 	 	 	 	 	 	 	1	5	1	7
98012	1	51	 	4	2014	16	N	N	N	N	Y	N	N	Y	N	N	N	9	2	1	1
98012	2	51	 	4	2016	0	N	N	N	N	Y	N	N	Y	N	N	N	1	17	1	4
98013	1	51	 	2	2013	18	Y	 	 	 	 	 	 	 	 	 	 	2	88	1	4
98013	2	51	 	2	2015	0	Y	 	 	 	 	 	 	 	 	 	 	1	9	0	 
98018	1	51	 	2	2014	0	N	Y	N	Y	N	N	N	N	N	N	N	5	88	1	4
98020	1	80	 	6	2015	6	Y	 	 	 	 	 	 	 	 	 	 	23	35	1	1
98020	2	51	 	6	2015	0	Y	 	 	 	 	 	 	 	 	 	 	21	5	1	4
98022	1	51	 	4	2016	0	N	N	N	Y	N	N	N	N	N	N	N	2	88	1	2
98023	2	51	 	4	2015	9	Y	 	 	 	 	 	 	 	 	 	 	2	88	1	4
98023	3	51	 	4	2015	0	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	5
98028	1	51	 	1	2014	0	Y	 	 	 	 	 	 	 	 	 	 	1	88	0	 
108011	1	51	 	1	2015	0	N	Y	Y	Y	N	N	N	N	N	N	N	35	88	1	5
108013	1	51	 	4	2014	9	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	5
108013	2	51	 	4	2015	3	Y	 	 	 	 	 	 	 	 	 	 	35	88	1	1
108013	3	51	 	4	2015	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	5
108026	4	51	 	1	2013	12	N	N	Y	Y	N	N	N	N	Y	N	N	12	88	1	4
108026	5	51	 	2	2014	9	Y	 	 	 	 	 	 	 	 	 	 	27	88	0	 
108026	6	51	 	2	2015	15	Y	 	 	 	 	 	 	 	 	 	 	17	88	0	 
108026	7	51	 	1	2016	0	Y	 	 	 	 	 	 	 	 	 	 	28	88	0	 
118002	1	51	 	3	2014	0	N	Y	Y	N	N	N	N	N	N	N	N	5	88	1	4
118003	1	51	 	4	2012	6	N	N	N	Y	N	N	N	N	N	N	N	2	88	1	2
118003	2	51	 	4	2014	6	N	Y	Y	N	N	N	N	N	N	N	N	21	88	1	1
118003	3	51	 	2	2014	0	N	N	N	N	Y	N	N	N	N	N	N	20	88	0	 
118007	1	51	 	5	2013	0	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	5
118009	1	51	 	5	2015	18	Y	 	 	 	 	 	 	 	 	 	 	2	5	1	4
118011	1	51	 	1	2014	0	N	N	N	N	Y	N	N	N	N	N	N	11	88	1	3
118013	1	51	 	5	2014	0	Y	 	 	 	 	 	 	 	 	 	 	4	88	1	4
118015	1	51	 	5	2016	0	Y	 	 	 	 	 	 	 	 	 	 	2	88	1	4
118018	1	51	 	3	2013	12	N	N	N	Y	N	N	N	N	N	N	N	5	88	1	2
118018	2	51	 	1	2014	0	N	N	N	Y	N	N	Y	N	N	N	N	5	88	1	2
118020	3	51	 	4	2015	0	N	N	N	N	Y	N	N	N	N	N	N	1	88	1	4
118022	1	51	 	2	2015	0	Y	 	 	 	 	 	 	 	 	 	 	1	29	0	 
118023	1	51	 	4	2014	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	2
118024	1	51	 	4	2014	0	Y	 	 	 	 	 	 	 	 	 	 	2	5	1	4
118027	1	51	 	3	2014	0	N	N	N	N	Y	N	N	N	N	N	N	1	88	1	5
118028	1	51	 	4	2015	12	N	Y	Y	Y	N	N	N	N	N	N	N	5	88	1	1
118028	2	51	 	4	2015	0	Y	 	 	 	 	 	 	 	 	 	 	9	2	1	4
