CHILDCODE	MOVEIDR5	CNTRYR5	DSTRCTR5	TYPRESR5	YRMOVER5	MTHSTYR5	MVALNER5	MVFTHRR5	MVMTHRR5	MVSIBLR5	MVSPSER5	MVSPPTR5	MVSPSBR5	MVCHCHR5	MVOTRLR5	MVSPRLR5	MVNONHR5	RSNMVR51	RSNMVR52	KNWANYR5	KNWBSTR5
168005	2	51	 	4	2015	0	N	N	N	N	Y	N	N	Y	N	N	N	2	88	1	1
168006	1	51	 	2	2014	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	2
168009	1	51	 	2	2016	0	N	N	N	N	Y	N	N	Y	N	N	N	35	20	1	4
168011	1	51	 	5	2015	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	4
168012	1	51	 	2	2013	0	N	N	N	N	Y	N	N	N	N	N	N	11	88	1	4
168016	1	51	 	1	2015	3	N	N	N	N	N	N	N	Y	N	Y	N	9	13	0	 
168016	2	51	 	1	2015	0	N	N	N	N	N	N	N	Y	N	Y	N	35	88	1	4
168020	1	51	 	5	2015	0	N	N	N	N	N	N	N	Y	N	N	N	20	88	1	4
168024	1	51	 	5	2015	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	0	 
168025	1	51	 	5	2014	0	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	2
178002	1	51	 	3	2016	0	N	N	N	N	Y	N	N	N	N	N	N	1	11	0	 
178006	1	51	 	4	2016	4	N	N	N	N	Y	N	N	Y	N	N	N	35	88	1	4
178006	2	51	 	4	2016	0	N	N	N	N	Y	N	N	Y	N	N	N	9	20	1	1
178009	1	51	 	2	2014	0	Y	 	 	 	 	 	 	 	 	 	 	20	88	0	 
178010	1	51	 	4	2014	0	N	N	N	N	Y	N	N	Y	N	N	N	11	17	1	4
178011	1	51	 	4	2013	17	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	4
178011	2	51	 	4	2015	0	Y	 	 	 	 	 	 	 	 	 	 	35	88	1	1
178015	1	51	 	4	2016	14	Y	 	 	 	 	 	 	 	 	 	 	4	11	1	4
178019	2	51	 	5	2013	5	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	2
178019	3	51	 	1	2014	0	Y	 	 	 	 	 	 	 	 	 	 	11	88	1	2
178020	1	51	 	1	2016	0	Y	 	 	 	 	 	 	 	 	 	 	27	88	1	4
178021	1	51	 	1	2016	0	N	N	N	Y	N	N	N	N	N	N	N	35	88	1	4
178027	1	51	 	2	2014	24	Y	 	 	 	 	 	 	 	 	 	 	35	88	1	2
178027	2	51	 	5	2016	5	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	2
178027	3	51	 	5	2016	0	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	2
178028	1	51	 	4	2015	8	Y	 	 	 	 	 	 	 	 	 	 	6	88	0	 
178028	2	51	 	4	2016	0	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	4
178029	1	51	 	2	2014	0	N	N	N	N	N	N	N	Y	N	N	N	6	2	1	2
178031	1	51	 	2	2016	3	N	N	N	N	Y	N	N	N	N	N	N	9	11	0	 
178031	2	51	 	1	2016	0	N	N	N	N	Y	N	N	N	N	N	N	13	88	0	 
178033	1	51	 	4	2014	6	Y	 	 	 	 	 	 	 	 	 	 	6	5	0	 
178033	2	51	 	4	2014	15	Y	 	 	 	 	 	 	 	 	 	 	6	5	1	4
178033	3	51	 	4	2016	4	Y	 	 	 	 	 	 	 	 	 	 	35	88	1	2
178033	4	51	 	4	2016	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	4
178035	1	51	 	4	2015	8	N	N	N	N	N	Y	N	Y	N	N	N	1	88	1	4
178035	2	51	 	4	2015	4	N	N	N	N	Y	N	N	Y	N	N	N	22	88	1	4
178035	3	51	 	2	2016	0	N	N	N	N	Y	N	N	Y	N	N	N	20	88	1	1
188002	1	51	 	2	2013	6	Y	 	 	 	 	 	 	 	 	 	 	5	88	0	 
188002	2	51	 	3	2014	0	N	N	N	N	Y	N	N	N	N	N	N	2	88	0	 
188003	1	51	 	5	2014	18	N	N	N	N	Y	N	N	Y	N	N	N	1	88	1	7
188003	2	51	 	1	2016	5	N	N	N	N	Y	N	N	Y	N	N	N	9	88	0	 
188005	1	51	 	5	2014	3	N	N	N	N	N	N	N	N	N	N	Y	1	88	1	5
188005	2	51	 	4	2015	16	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	2
188005	3	51	 	5	2016	5	Y	 	 	 	 	 	 	 	 	 	 	8	88	1	4
188005	4	51	 	5	2017	0	Y	 	 	 	 	 	 	 	 	 	 	1	5	1	2
188008	1	51	 	5	2013	11	Y	 	 	 	 	 	 	 	 	 	 	1	88	0	 
188008	2	51	 	5	2014	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	0	 
188011	1	51	 	2	2013	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	4
188012	1	51	 	5	2013	24	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	5
188012	2	51	 	5	2015	18	N	N	N	N	Y	N	N	N	N	N	N	11	17	1	2
188012	3	51	 	5	2016	0	N	N	N	N	Y	N	N	N	N	N	N	4	1	0	 
188013	1	51	 	4	2016	8	Y	 	 	 	 	 	 	 	 	 	 	4	88	1	4
188013	2	51	 	4	2016	0	Y	 	 	 	 	 	 	 	 	 	 	22	88	1	3
188015	1	51	 	2	2015	0	Y	 	 	 	 	 	 	 	 	 	 	5	2	1	4
188020	1	51	 	3	2015	0	N	N	N	N	Y	N	N	N	N	N	N	11	88	1	3
188021	1	51	 	3	2015	4	Y	 	 	 	 	 	 	 	 	 	 	4	88	1	5
188021	2	51	 	3	7777	0	Y	 	 	 	 	 	 	 	 	 	 	22	88	1	1
188022	1	51	 	5	2015	0	N	N	N	N	Y	N	N	Y	N	N	N	2	9	0	 
188024	1	51	 	1	2016	0	Y	 	 	 	 	 	 	 	 	 	 	13	88	0	 
188026	1	51	 	1	2014	0	Y	 	 	 	 	 	 	 	 	 	 	11	88	0	 
198003	2	51	 	3	2013	6	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	4
198003	3	51	 	3	2014	6	Y	 	 	 	 	 	 	 	 	 	 	2	88	1	4
198003	4	51	 	3	2014	3	Y	 	 	 	 	 	 	 	 	 	 	1	88	0	 
198003	5	51	 	3	2015	7	Y	 	 	 	 	 	 	 	 	 	 	2	88	0	 
198003	6	51	 	2	2015	0	Y	 	 	 	 	 	 	 	 	 	 	11	88	1	7
198006	1	51	 	2	2014	0	N	N	N	N	Y	N	N	N	N	N	N	11	88	0	 
198009	1	51	 	3	2016	0	Y	 	 	 	 	 	 	 	 	 	 	11	88	0	 
198014	1	51	 	2	2015	0	N	N	N	N	Y	N	N	N	N	N	N	16	88	1	5
198015	1	51	 	1	2014	0	Y	 	 	 	 	 	 	 	 	 	 	9	2	1	1
198016	1	51	 	5	2013	24	Y	 	 	 	 	 	 	 	 	 	 	5	88	0	 
198016	2	51	 	2	2015	12	Y	 	 	 	 	 	 	 	 	 	 	5	88	0	 
198016	3	51	 	1	2016	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	0	 
198018	1	51	 	1	2014	2	Y	 	 	 	 	 	 	 	 	 	 	9	7	0	 
198019	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
198027	1	51	 	3	2014	0	N	N	N	Y	N	N	N	N	N	N	N	5	27	0	 
198028	1	51	 	3	2014	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	4
208008	1	51	 	1	2015	0	N	N	N	N	Y	N	N	Y	N	N	N	13	88	1	2
208009	1	51	 	1	2014	9	Y	 	 	 	 	 	 	 	 	 	 	11	88	1	3
208009	2	80	 	6	2015	9	N	N	N	N	Y	N	N	N	N	N	N	2	88	0	 
208009	3	51	 	6	2015	3	N	N	N	N	Y	N	N	N	N	N	N	35	88	1	4
208009	4	51	 	5	2016	12	N	N	N	N	N	N	N	Y	N	N	N	35	88	1	2
208009	5	51	 	5	2016	1	N	N	N	N	N	N	N	Y	N	N	N	22	88	1	3
208013	1	51	 	2	2013	0	Y	 	 	 	 	 	 	 	 	 	 	5	88	0	 
208019	1	51	 	1	2014	0	N	N	Y	Y	N	N	N	N	N	N	N	35	88	1	4
208021	1	51	 	5	2015	6	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	4
208021	2	51	 	5	2016	0	Y	 	 	 	 	 	 	 	 	 	 	1	88	1	1
208022	1	51	 	4	2015	3	Y	 	 	 	 	 	 	 	 	 	 	20	88	1	3
208022	2	51	 	4	2015	0	N	N	N	N	Y	N	N	N	N	N	N	2	20	1	4
208025	1	51	 	3	2015	6	N	N	N	N	N	N	N	N	Y	N	N	1	4	1	4
208025	2	51	 	3	2015	0	Y	 	 	 	 	 	 	 	 	 	 	17	35	1	1
208026	1	51	 	4	2014	0	N	Y	Y	Y	N	N	N	N	N	N	N	5	88	1	4
208033	1	51	 	4	2013	2	Y	 	 	 	 	 	 	 	 	 	 	5	88	1	2
208033	2	51	 	4	2015	0	Y	 	 	 	 	 	 	 	 	 	 	5	23	1	1
208050	1	51	 	1	2014	0	N	N	N	Y	N	N	N	N	Y	N	N	35	88	1	4
