CHILDCODE	UNIIDR5	YRAPPLR5	TYPINSR5	ADMINTR5	COMDEGR5
18002	1	2012	2	1	1
18006	1	2013	3	1	3
18008	1	2011	4	1	3
18012	1	2011	1	1	1
18015	1	2014	1	1	3
18015	2	2013	4	1	2
18016	1	2012	3	1	3
18020	1	2014	3	1	3
18020	2	2012	4	1	2
18021	1	2013	2	1	1
18024	1	2012	3	1	3
18024	2	2012	3	0	 
18025	1	2014	4	1	3
18025	2	2012	7	1	1
18025	3	2011	4	1	2
18026	1	2013	4	1	2
18028	1	2016	2	1	3
18029	1	2012	1	1	1
18030	1	2015	1	1	3
18030	2	2012	3	1	2
18034	1	2013	4	1	3
18035	1	2014	3	1	3
18036	1	2015	1	1	2
18036	2	2013	5	1	2
18037	1	2011	3	1	3
18040	1	2010	4	1	1
18041	1	2013	4	1	3
18042	1	2011	4	1	1
18046	1	2011	3	1	1
18046	2	2011	3	0	 
18046	3	2011	3	0	 
18047	1	2012	2	1	1
18048	1	2010	2	1	2
18050	1	2012	4	1	3
18050	2	2011	3	1	2
18050	3	2015	2	1	3
28002	1	2012	5	1	1
28003	1	2012	4	1	3
28006	1	2014	3	1	3
28006	2	2016	1	1	3
28007	1	2015	2	1	3
28008	1	2013	4	1	3
28011	1	2014	2	1	1
28011	2	2013	1	1	2
28012	1	2015	2	1	2
28013	1	2015	5	1	2
28014	1	2012	1	1	1
28017	2	2011	4	1	2
28020	1	2016	4	1	3
28021	1	2011	2	1	1
28024	1	2015	2	1	1
38006	1	2014	4	1	3
38011	1	2012	3	1	3
38014	1	2012	1	1	1
38015	1	2013	2	1	3
38016	1	2016	7	1	3
38023	1	2011	3	1	3
38024	1	2013	2	1	2
38025	1	2013	3	1	3
48001	1	2014	2	0	 
48004	1	2014	1	1	3
48004	2	2013	5	1	2
48005	1	2013	4	1	3
48006	1	2013	3	1	3
48010	1	2014	3	1	2
48017	1	2013	3	1	3
48017	2	2012	4	0	 
48026	1	2013	3	0	 
48026	2	2014	3	0	 
48026	3	2014	2	1	2
48026	4	2014	2	1	3
58003	1	2016	4	1	2
58003	2	2013	1	1	2
58004	1	2011	2	1	1
58004	2	2016	4	1	3
58007	1	2016	6	1	3
58008	1	2015	7	1	3
58008	2	2014	7	0	 
58008	3	2013	7	0	 
58014	1	2013	3	1	2
58014	2	2013	3	0	 
58014	3	2012	3	0	 
58019	1	2016	4	1	3
58019	2	2013	1	1	1
58025	1	2014	1	1	3
58026	1	2012	1	1	1
58026	2	2012	3	0	 
58027	1	2012	7	1	3
68001	1	2011	4	1	1
68001	2	2011	3	0	 
68001	3	2010	3	0	 
68002	1	2014	4	1	3
68002	2	2012	3	1	2
68004	1	2013	3	1	3
68004	2	2012	3	0	 
68005	1	2016	4	1	3
68006	1	2013	3	1	3
68006	2	2012	3	0	 
68006	3	2011	3	0	 
68007	1	2012	2	1	1
68008	1	2012	1	1	1
68009	1	2013	3	1	3
68009	2	2012	3	0	 
68009	3	2012	3	0	 
68010	1	2011	4	1	3
68011	1	2014	2	1	3
68013	1	2012	2	1	1
68013	2	2012	3	0	 
68016	1	2011	3	1	3
68019	1	2012	4	1	3
68019	2	2012	3	0	 
68020	1	2014	3	1	2
68021	1	2013	2	1	1
68024	1	2012	3	1	3
68024	2	2012	3	0	 
78001	1	2013	4	1	3
78002	1	2013	4	1	3
78003	1	2015	2	1	2
78003	2	2011	4	1	3
78005	1	2014	4	1	3
78005	2	2014	2	0	 
78006	1	2012	4	1	0
78008	1	2012	4	1	3
78010	1	2012	4	1	3
78011	1	2012	3	1	3
78011	2	2011	3	0	 
78012	1	2013	1	1	2
78013	1	2014	4	1	3
78013	2	2011	4	1	2
78014	1	2012	4	1	3
78015	1	2010	4	1	2
78016	1	2013	3	0	 
78017	1	2011	4	1	2
78019	1	2013	4	1	3
78020	1	2013	1	1	3
78020	2	2012	3	0	 
78021	1	2012	4	1	3
78021	2	2011	3	0	 
78024	1	2011	4	1	3
78026	1	2014	3	1	3
78028	1	2013	3	1	3
78028	2	2012	3	0	 
78029	1	2012	4	1	3
78032	1	2011	4	1	2
78033	1	2014	3	1	3
78033	2	2013	3	0	 
78033	3	2012	3	0	 
78034	1	2014	3	1	3
78035	1	2011	3	0	 
78037	1	2015	5	1	3
78037	2	2013	4	1	2
78038	1	2014	1	1	3
78040	1	2013	2	1	2
78042	1	2013	3	1	3
78042	2	2012	3	0	 
78043	1	2011	4	1	3
78044	1	2013	4	1	3
78044	2	2011	3	0	 
78045	1	2014	3	0	 
78045	2	2014	1	1	3
78046	1	2016	3	0	 
78047	1	2011	1	1	1
78049	1	2014	4	1	3
78049	2	2011	4	1	2
78051	1	2014	3	0	 
78051	2	2013	3	0	 
78052	1	2013	3	1	3
78052	2	2012	3	0	 
88004	1	2015	3	1	3
88004	2	2011	4	1	3
88012	1	2011	1	1	1
88013	1	2014	2	1	3
88015	1	2013	1	1	1
88015	2	2012	3	0	 
88017	1	2011	2	1	2
88017	2	2015	3	0	 
88021	1	2012	2	1	1
88022	1	2013	4	1	3
88022	2	2012	3	0	 
88023	1	2015	4	1	3
88023	2	2014	2	1	2
88024	1	2011	4	1	2
88026	1	2012	4	1	3
88026	2	2012	3	0	 
88029	1	2011	4	1	3
98007	1	2012	2	1	1
98007	2	2016	2	1	3
98008	1	2011	3	1	3
98008	2	2011	3	0	3
98010	1	2013	2	1	1
98011	1	2015	5	1	3
98013	1	2016	2	1	3
98018	1	2013	3	1	3
