CHILDCODE	EDCHSTR5	GRDER5	CMPGRDR5	TYSCR5	SMESCHR5	PROVR5	DSSCR5	COD_MOD	ANEXO	NMSCSCR5	NIV_MOD	D_NIV_MOD	GESTION	D_GESTION	GES_DEP	D_GES_DEP	COD_ENAHO	TYSCR5_C	NMSCLSR5_C
18011	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18011	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18011	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18012	13	14	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18012	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18012	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18012	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18013	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18013	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18013	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18013	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18015	13	15	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18015	14	13	 	4	0	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18015	15	13	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18015	16	13	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18016	13	15	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18016	14	15	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18016	15	15	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18016	16	15	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18017	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18017	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18017	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18017	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18018	13	11	1	1	0	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18018	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18018	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18018	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18019	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18019	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18019	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18019	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18020	13	15	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18020	14	15	 	4	0	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18020	15	15	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18020	16	15	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18021	13	13	 	1	0	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18021	14	13	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18021	15	13	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18021	16	14	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18022	13	11	1	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18022	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18022	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18022	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18023	13	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18023	14	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18023	15	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18023	16	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18024	13	15	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18024	14	15	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18024	15	15	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18024	16	15	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18025	13	13	 	4	1	 	 	 	 	 	 	 	 	 	 	 	 	4	 
18025	14	15	 	1	0	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18025	15	15	 	1	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18025	16	15	 	1	0	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18026	13	15	 	1	0	 	 	 	 	 	 	 	 	 	 	 	 	1	 
18026	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18026	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18026	16	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18027	13	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18027	14	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18027	15	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
