CHILDCODE	HHDCIDR4	EVMDDCR5	MADDECR5	WHOPRVR5
18022	2	1	1	1
18022	3	1	1	1
18022	4	1	1	1
18022	5	1	1	1
18022	6	0	1	1
18022	7	1	1	6
18022	8	0	1	6
18022	9	1	1	6
18023	1	 	 	 
18023	2	 	 	 
18023	3	 	 	 
18023	4	 	 	 
18023	5	 	 	 
18023	6	 	 	 
18023	7	 	 	 
18023	8	 	 	 
18023	9	 	 	 
18024	1	0	1	7
18024	2	1	1	3
18024	3	1	1	1
18024	4	1	1	1
18024	5	1	1	1
18024	6	1	1	1
18024	7	0	1	1
18024	8	0	1	1
18024	9	0	1	1
18025	1	1	1	2
18025	2	1	1	3
18025	3	1	1	1
18025	4	1	1	1
18025	5	1	1	1
18025	6	1	1	1
18025	7	1	1	1
18025	8	1	1	1
18025	9	1	1	1
18026	1	1	1	3
18026	2	0	1	3
18026	3	1	1	1
18026	4	1	1	1
18026	5	1	1	1
18026	6	1	1	1
18026	7	1	1	1
18026	8	1	1	1
18026	9	1	1	1
18027	1	1	1	6
18027	2	1	1	6
18027	3	1	1	2
18027	4	1	1	1
18027	5	1	1	2
18027	6	1	1	1
18027	7	1	1	1
18027	8	0	1	1
18027	9	1	1	1
18028	1	1	1	3
18028	2	1	0	3
18028	3	1	1	1
18028	4	1	1	1
18028	5	1	1	3
18028	6	1	1	1
18028	7	1	1	3
18028	8	0	1	1
18028	9	0	1	1
18029	1	0	1	1
18029	2	1	1	1
18029	3	0	0	88
18029	4	1	1	1
18029	5	1	1	1
18029	6	1	1	1
18029	7	1	1	1
18029	8	0	1	1
18029	9	1	1	1
18030	1	1	1	3
18030	2	1	1	3
18030	3	1	1	1
18030	4	1	1	1
18030	5	1	1	1
18030	6	1	1	1
18030	7	1	1	1
18030	8	0	1	6
18030	9	1	1	6
18032	1	0	1	3
18032	2	1	1	3
18032	3	1	1	3
18032	4	1	1	1
18032	5	1	1	3
18032	6	0	1	3
18032	7	0	1	3
18032	8	1	1	1
18032	9	1	1	1
18034	1	0	1	7
18034	2	1	1	3
18034	3	0	1	1
18034	4	1	1	1
18034	5	1	1	3
18034	6	0	1	7
18034	7	0	1	7
18034	8	0	1	1
18034	9	0	1	1
18035	1	0	1	4
18035	2	1	1	7
18035	3	1	1	3
18035	4	1	1	1
18035	5	1	1	3
18035	6	0	1	1
18035	7	0	1	1
18035	8	0	1	1
18035	9	0	1	1
18036	1	1	1	3
18036	2	1	1	1
18036	3	1	1	1
18036	4	1	1	1
18036	5	1	1	1
18036	6	1	1	1
18036	7	1	1	1
18036	8	0	1	1
18036	9	1	1	1
18037	1	1	0	4
18037	2	1	0	4
18037	3	0	1	3
18037	4	1	1	1
18037	5	1	1	3
18037	6	0	0	3
18037	7	0	1	3
18037	8	0	1	1
18037	9	0	1	1
18038	1	1	1	1
18038	2	1	1	2
18038	3	1	1	1
18038	4	1	1	1
18038	5	1	1	1
18038	6	1	1	1
18038	7	1	1	1
18038	8	1	1	1
18038	9	1	1	1
18039	1	0	1	3
18039	2	1	0	3
18039	3	0	1	3
18039	4	1	1	1
18039	5	1	1	3
18039	6	1	1	1
18039	7	1	1	1
18039	8	0	1	1
18039	9	0	1	1
18040	1	1	1	1
18040	2	1	1	1
18040	3	1	1	5
18040	4	1	1	1
18040	5	1	1	1
18040	6	0	1	1
18040	7	1	1	1
18040	8	0	1	1
18040	9	0	1	6
18041	1	1	1	3
18041	2	0	1	3
18041	3	1	1	3
18041	4	0	0	3
18041	5	1	1	3
18041	6	0	0	1
18041	7	1	0	3
18041	8	0	1	3
18041	9	0	1	3
18042	1	1	1	8
18042	2	1	1	8
18042	3	0	1	1
18042	4	1	1	1
18042	5	1	1	1
18042	6	0	1	1
18042	7	0	1	1
18042	8	0	1	1
18042	9	1	1	1
18044	1	0	1	7
18044	2	1	0	3
18044	3	0	0	88
18044	4	1	1	1
18044	5	1	1	1
18044	6	1	1	1
18044	7	0	1	1
18044	8	0	1	1
18044	9	0	1	1
18045	1	0	1	2
18045	2	1	1	1
18045	3	0	1	1
18045	4	1	1	1
18045	5	1	1	2
18045	6	0	1	1
18045	7	1	1	6
18045	8	0	1	6
18045	9	1	1	6
18046	1	1	1	6
18046	2	1	1	6
18046	3	0	1	1
18046	4	1	1	6
18046	5	1	1	6
18046	6	0	1	6
18046	7	0	1	6
18046	8	1	1	6
18046	9	1	1	6
18047	1	0	1	6
18047	2	1	1	1
18047	3	1	1	1
18047	4	1	1	1
18047	5	1	1	6
18047	6	0	1	1
18047	7	1	1	1
18047	8	1	1	6
18047	9	1	1	6
18048	1	0	1	2
18048	2	1	1	1
18048	3	1	1	6
18048	4	1	1	6
18048	5	1	1	6
18048	6	0	1	1
18048	7	0	0	2
18048	8	0	1	6
18048	9	1	1	6
18049	1	0	1	3
18049	2	1	1	3
18049	3	1	1	3
18049	4	1	1	1
18049	5	0	1	3
18049	6	1	1	1
18049	7	1	1	3
18049	8	0	1	1
18049	9	0	1	1
18050	1	0	1	3
18050	2	1	1	7
18050	3	1	1	1
18050	4	1	1	1
18050	5	1	1	7
18050	6	1	1	1
18050	7	0	1	7
18050	8	0	1	1
18050	9	0	1	1
28001	1	1	1	6
28001	2	1	1	6
28001	3	1	1	1
28001	4	1	1	6
28001	5	0	1	6
28001	6	1	1	1
28001	7	0	1	6
28001	8	0	1	6
28001	9	1	1	6
28002	1	0	1	6
28002	2	1	1	1
28002	3	0	1	1
28002	4	1	1	1
28002	5	1	1	6
28002	6	0	0	2
28002	7	0	1	6
28002	8	0	1	6
28002	9	1	1	6
28003	1	1	1	3
28003	2	1	1	3
28003	3	0	1	1
28003	4	1	1	1
28003	5	0	1	1
28003	6	1	1	1
28003	7	0	1	1
28003	8	0	1	1
28003	9	0	1	1
28004	1	0	1	2
28004	2	1	0	2
28004	3	0	1	1
28004	4	0	1	6
28004	5	0	1	6
28004	6	1	1	1
28004	7	1	1	6
28004	8	0	1	6
28004	9	0	1	6
28006	1	0	0	3
28006	2	0	0	3
28006	3	1	1	1
28006	4	1	1	2
28006	5	0	1	1
28006	6	1	1	1
28006	7	0	1	1
28006	8	0	1	1
28006	9	1	1	1
28007	1	1	1	3
28007	2	0	0	88
28007	3	0	1	1
28007	4	1	1	1
28007	5	1	1	1
28007	6	1	1	1
28007	7	1	1	1
28007	8	1	1	1
28007	9	0	1	1
28008	1	0	1	3
28008	2	1	1	3
28008	3	0	1	1
28008	4	1	1	1
28008	5	1	1	1
28008	6	1	1	1
28008	7	0	1	1
28008	8	0	1	1
28008	9	0	1	1
28009	1	1	1	6
28009	2	1	1	6
