CHILDCODE	LANGIDR5	LNCNSPR5	LNSPKR5	LNREADR5	LNWRTER5
78047	1	1	2	2	2
78048	1	1	1	1	1
78049	1	1	2	2	2
78051	1	1	1	1	1
78052	1	1	1	1	1
78052	2	8	3	3	4
88001	1	1	2	2	2
88002	1	1	2	2	2
88004	1	1	2	2	2
88005	1	1	1	1	1
88005	2	8	4	4	4
88007	1	1	3	3	3
88008	1	1	2	2	2
88010	1	1	1	1	1
88011	1	1	2	2	3
88012	1	1	1	1	1
88013	1	1	1	2	2
88013	2	8	3	3	3
88014	1	1	2	2	2
88015	1	1	2	2	2
88015	2	8	3	3	3
88016	1	1	2	2	2
88017	1	1	2	2	2
88020	1	1	2	2	2
88021	1	8	4	3	3
88021	2	1	1	1	1
88022	1	1	1	1	1
88022	2	8	2	3	3
88022	3	9	3	3	3
88023	1	1	2	2	2
88024	1	1	1	1	1
88025	1	1	2	2	2
88026	1	1	2	2	2
88026	2	8	4	3	3
88026	3	9	4	4	4
88027	1	1	2	2	2
88029	1	1	2	2	2
88031	1	1	1	1	1
98001	1	1	2	2	2
98006	1	1	2	2	2
98006	2	2	3	4	4
98007	1	1	2	2	2
98007	2	2	4	4	4
98008	1	1	1	1	1
98008	2	2	2	2	3
98008	3	8	3	3	3
98010	1	1	1	1	1
98010	2	8	3	3	3
98010	3	2	4	4	4
98011	1	1	1	2	2
98011	2	2	3	3	4
98012	1	1	1	1	1
98013	1	1	2	2	2
98014	1	1	2	2	2
98014	2	2	3	5	5
98016	1	1	2	2	2
98018	1	1	1	1	1
98020	1	1	1	1	1
98022	1	2	3	3	4
98022	2	1	2	2	2
98023	1	2	3	3	3
98023	2	1	1	1	1
98024	1	1	1	1	1
98025	1	1	2	2	2
98026	1	1	2	3	2
98028	1	1	1	1	1
98029	1	1	1	1	1
98029	2	2	4	4	4
98029	3	8	4	4	4
108001	1	1	2	1	2
108001	2	8	2	3	3
108001	3	9	2	2	3
108002	1	1	2	2	2
108003	1	1	1	1	1
108003	2	8	3	3	3
108004	1	1	1	1	1
108004	2	2	4	4	4
108004	3	8	4	4	4
108006	1	1	2	2	2
