CHILDCODE	SCSTIDR5	FEESR5
18001	1	-88
18001	2	-88
18001	3	-88
18001	4	-88
18001	5	-88
18001	6	-88
18001	7	-88
18001	8	-88
18002	1	90
18002	2	3790
18002	3	0
18002	4	0
18002	5	500
18002	6	500
18002	7	3400
18002	8	300
18003	1	 
18003	2	 
18003	3	 
18003	4	 
18003	5	 
18003	6	 
18003	7	 
18003	8	 
18004	1	-88
18004	2	-88
18004	3	-88
18004	4	-88
18004	5	88
18004	6	-88
18004	7	88
18004	8	-88
18005	1	-88
18005	2	-88
18005	3	-88
18005	4	-88
18005	5	-88
18005	6	-66
18005	7	-88
18005	8	-88
18006	1	50
18006	2	400
18006	3	0
18006	4	0
18006	5	0
18006	6	400
18006	7	0
18006	8	0
18007	1	0
18007	2	0
18007	3	30
18007	4	0
18007	5	200
18007	6	0
18007	7	0
18007	8	150
18008	1	300
18008	2	2400
18008	3	0
18008	4	0
18008	5	300
18008	6	400
18008	7	0
18008	8	0
18009	1	0
18009	2	0
18009	3	40
18009	4	0
18009	5	0
18009	6	0
18009	7	0
18009	8	300
18010	1	-88
18010	2	-88
18010	3	-88
18010	4	-88
18010	5	-88
18010	6	-88
18010	7	-88
18010	8	-88
18011	1	-88
18011	2	-88
18011	3	-88
18011	4	-88
18011	5	-88
18011	6	-88
18011	7	-88
18011	8	-88
18012	1	240
18012	2	0
18012	3	0
18012	4	0
18012	5	0
18012	6	600
18012	7	1500
18012	8	100
18013	1	0
18013	2	0
18013	3	0
18013	4	0
18013	5	0
18013	6	0
18013	7	0
18013	8	0
18015	1	240
18015	2	1200
18015	3	0
18015	4	0
18015	5	0
18015	6	300
18015	7	0
18015	8	55
18016	1	100
18016	2	0
18016	3	0
18016	4	0
18016	5	200
18016	6	50
18016	7	0
18016	8	200
18017	1	0
18017	2	0
18017	3	0
18017	4	0
18017	5	0
18017	6	0
18017	7	0
18017	8	0
18018	1	0
18018	2	0
18018	3	0
18018	4	0
18018	5	0
18018	6	0
18018	7	0
18018	8	0
18019	1	0
18019	2	0
18019	3	0
18019	4	0
18019	5	0
18019	6	0
18019	7	0
18019	8	0
18020	1	90
18020	2	0
18020	3	0
18020	4	65
18020	5	0
18020	6	1200
18020	7	250
18020	8	450
18021	1	60
18021	2	1200
18021	3	2000
18021	4	0
18021	5	804
18021	6	432
18021	7	0
18021	8	115
18022	1	20
18022	2	0
18022	3	0
18022	4	0
18022	5	0
18022	6	600
18022	7	0
18022	8	0
18023	1	 
18023	2	 
18023	3	 
18023	4	 
18023	5	 
18023	6	 
18023	7	 
18023	8	 
18024	1	96
18024	2	0
18024	3	20
18024	4	0
18024	5	288
18024	6	800
18024	7	0
18024	8	800
18025	1	1160
18025	2	4213
18025	3	0
18025	4	300
18025	5	0
18025	6	792
18025	7	0
18025	8	1020
18026	1	150
18026	2	1200
18026	3	0
18026	4	0
18026	5	0
18026	6	0
18026	7	0
18026	8	200
18027	1	-88
18027	2	-88
18027	3	-88
18027	4	-88
18027	5	-88
18027	6	-88
18027	7	-88
18027	8	-88
18028	1	-88
18028	2	-88
18028	3	-88
18028	4	-88
18028	5	-88
18028	6	-88
18028	7	-88
18028	8	-88
18029	1	0
18029	2	0
18029	3	0
18029	4	0
18029	5	-77
18029	6	-77
18029	7	0
18029	8	0
18030	1	240
18030	2	0
18030	3	0
18030	4	0
18030	5	0
18030	6	160
18030	7	1500
18030	8	123
18032	1	0
18032	2	0
18032	3	0
18032	4	0
18032	5	0
18032	6	0
18032	7	0
18032	8	0
18034	1	510
18034	2	340
18034	3	50
18034	4	0
18034	5	0
18034	6	960
18034	7	0
18034	8	100
18035	1	100
18035	2	0
18035	3	17
18035	4	0
18035	5	1280
18035	6	0
18035	7	0
18035	8	0
18036	1	280
18036	2	1500
18036	3	120
18036	4	0
18036	5	0
18036	6	600
18036	7	0
18036	8	200
18037	1	49
18037	2	0
18037	3	0
18037	4	0
18037	5	0
18037	6	640
18037	7	1400
18037	8	0
18038	1	0
18038	2	0
18038	3	0
18038	4	0
18038	5	0
18038	6	0
18038	7	0
18038	8	0
18039	1	30
18039	2	0
18039	3	0
18039	4	0
18039	5	0
18039	6	0
18039	7	0
18039	8	150
18040	1	250
18040	2	200
18040	3	20
18040	4	0
18040	5	0
18040	6	1728
18040	7	0
18040	8	0
18041	1	480
18041	2	310
18041	3	0
18041	4	0
18041	5	0
18041	6	700
18041	7	0
18041	8	200
18042	1	200
18042	2	2200
18042	3	0
18042	4	0
18042	5	600
18042	6	1200
18042	7	1700
18042	8	0
18044	1	0
18044	2	0
18044	3	0
18044	4	0
18044	5	0
18044	6	0
18044	7	0
18044	8	0
18045	1	0
18045	2	0
18045	3	0
18045	4	0
18045	5	0
18045	6	0
18045	7	0
18045	8	0
18046	1	48.5
18046	2	0
18046	3	0
18046	4	0
18046	5	0
18046	6	350
18046	7	0
18046	8	5
18047	1	360
18047	2	1800
18047	3	360
18047	4	0
18047	5	0
18047	6	600
18047	7	0
18047	8	240
18048	1	50
18048	2	600
18048	3	0
18048	4	0
18048	5	0
18048	6	0
18048	7	300
18048	8	0
18049	1	0
18049	2	0
18049	3	0
18049	4	0
18049	5	0
18049	6	0
18049	7	0
18049	8	0
18050	1	1000
18050	2	4600
18050	3	200
18050	4	0
18050	5	320
18050	6	960
18050	7	0
18050	8	300
28001	1	0
28001	2	0
28001	3	0
28001	4	0
28001	5	0
28001	6	0
28001	7	0
28001	8	0
28002	1	240
28002	2	0
28002	3	0
28002	4	0
28002	5	600
28002	6	2000
28002	7	25
28002	8	50
28003	1	600
28003	2	2800
28003	3	400
28003	4	0
28003	5	280
28003	6	2000
28003	7	80
28003	8	30
28004	1	-88
28004	2	-99
28004	3	-88
28004	4	-88
28004	5	-88
28004	6	-88
28004	7	-88
28004	8	-88
28006	1	300
28006	2	300
28006	3	0
28006	4	0
28006	5	0
28006	6	1000
28006	7	0
28006	8	80
28007	1	0
28007	2	1650
28007	3	120
28007	4	0
28007	5	0
28007	6	0
28007	7	0
28007	8	300
28008	1	360
28008	2	2000
28008	3	30
28008	4	0
28008	5	0
28008	6	1600
28008	7	12
28008	8	100
28009	1	-88
28009	2	-88
28009	3	-88
28009	4	-88
28009	5	-88
28009	6	-88
28009	7	-88
28009	8	-88
28010	1	-88
28010	2	-88
28010	3	-88
28010	4	-88
28010	5	-88
28010	6	-88
28010	7	-88
28010	8	-88
28011	1	300
28011	2	1440
28011	3	0
28011	4	0
28011	5	300
28011	6	2000
28011	7	2500
28011	8	500
28012	1	0
28012	2	1080
28012	3	0
28012	4	0
28012	5	0
28012	6	288
28012	7	0
28012	8	54
28013	1	50
28013	2	1500
28013	3	20
28013	4	0
28013	5	0
28013	6	150
28013	7	300
28013	8	300
28014	1	400
28014	2	0
28014	3	0
28014	4	0
28014	5	300
28014	6	2400
28014	7	0
28014	8	100
28015	1	0
28015	2	0
28015	3	32
28015	4	0
28015	5	0
28015	6	0
28015	7	45
28015	8	200
28016	1	0
28016	2	0
28016	3	30
28016	4	0
28016	5	0
28016	6	0
28016	7	0
28016	8	100
28017	1	150
28017	2	420
28017	3	0
28017	4	0
28017	5	0
28017	6	240
28017	7	2500
28017	8	50
28018	1	-88
28018	2	-88
28018	3	-88
28018	4	-88
28018	5	-88
28018	6	-88
28018	7	-88
28018	8	-88
28020	1	150
28020	2	600
28020	3	0
28020	4	0
28020	5	320
28020	6	1600
28020	7	0
28020	8	120
28021	1	0
28021	2	3900
28021	3	0
28021	4	0
28021	5	400
28021	6	1600
28021	7	0
28021	8	100
28022	1	-88
28022	2	-88
28022	3	-88
28022	4	-88
28022	5	-88
28022	6	-88
28022	7	-88
28022	8	-88
28023	1	0
28023	2	0
28023	3	0
28023	4	0
28023	5	0
28023	6	0
28023	7	0
28023	8	0
28024	1	0
28024	2	0
28024	3	0
28024	4	0
28024	5	0
28024	6	0
28024	7	0
28024	8	0
28025	1	-88
28025	2	88
28025	3	-88
28025	4	-88
28025	5	-88
28025	6	-88
28025	7	-88
28025	8	-88
38001	1	0
38001	2	0
38001	3	0
38001	4	0
38001	5	0
38001	6	0
38001	7	0
38001	8	0
38002	1	-88
38002	2	-88
38002	3	-88
38002	4	-88
38002	5	-88
38002	6	-88
38002	7	-88
38002	8	-88
38003	1	-88
38003	2	-88
38003	3	-88
38003	4	-88
38003	5	-88
38003	6	-88
38003	7	-88
38003	8	-88
