CHILDCODE	SITUIDR5	LADCURR5	LADOLDR5
18001	1	7	6
18001	2	5	4
18001	3	6	4
18001	4	5	4
18001	5	8	6
18001	6	6	4
18001	7	5	4
18001	8	7	6
18001	9	6	4
18001	10	2	8
18001	11	6	4
18002	1	7	5
18002	2	4	3
18002	3	6	8
18002	4	5	8
18002	5	8	6
18002	6	5	7
18002	7	8	6
18002	8	7	8
18002	9	8	6
18002	10	7	7
18002	11	3	3
18003	1	 	 
18003	2	 	 
18003	3	 	 
18003	4	 	 
18003	5	 	 
18003	6	 	 
18003	7	 	 
18003	8	 	 
18003	9	 	 
18003	10	 	 
18003	11	 	 
18004	1	5	3
18004	2	5	3
18004	3	6	3
18004	4	6	4
18004	5	6	3
18004	6	6	4
18004	7	7	3
18004	8	7	3
18004	9	6	3
18004	10	7	3
18004	11	6	2
18005	1	6	6
18005	2	6	4
18005	3	5	5
18005	4	7	5
18005	5	6	4
18005	6	7	5
18005	7	8	6
18005	8	7	5
18005	9	6	6
18005	10	4	4
18005	11	6	4
18006	1	6	4
18006	2	8	5
18006	3	5	4
18006	4	1	1
18006	5	5	4
18006	6	4	3
18006	7	7	5
18006	8	8	6
18006	9	3	3
18006	10	8	7
18006	11	4	4
18007	1	6	6
18007	2	8	4
18007	3	2	6
18007	4	8	4
18007	5	5	3
18007	6	6	2
18007	7	9	6
18007	8	6	4
18007	9	9	8
18007	10	1	5
18007	11	4	2
18008	1	6	4
18008	2	7	5
18008	3	6	5
18008	4	7	5
18008	5	7	4
18008	6	8	5
18008	7	8	6
18008	8	8	5
18008	9	7	5
18008	10	6	5
18008	11	8	5
18009	1	5	2
18009	2	5	3
18009	3	5	3
18009	4	5	3
18009	5	6	2
18009	6	3	1
18009	7	7	4
18009	8	6	4
18009	9	6	3
18009	10	4	2
18009	11	4	3
18010	1	6	4
18010	2	7	7
18010	3	4	3
18010	4	5	3
18010	5	8	7
18010	6	6	2
18010	7	5	3
18010	8	5	3
18010	9	9	5
18010	10	9	6
18010	11	3	1
18011	1	6	5
18011	2	3	2
18011	3	5	4
18011	4	2	8
18011	5	6	4
18011	6	7	3
18011	7	3	9
18011	8	5	9
18011	9	8	2
18011	10	7	5
18011	11	1	8
18012	1	5	3
18012	2	6	4
18012	3	6	3
18012	4	4	4
18012	5	6	4
18012	6	4	2
18012	7	5	5
18012	8	5	3
18012	9	5	4
18012	10	7	5
18012	11	5	3
18013	1	2	5
18013	2	3	5
18013	3	6	8
18013	4	5	3
18013	5	7	3
18013	6	4	4
18013	7	5	4
18013	8	5	4
18013	9	6	4
18013	10	6	6
18013	11	4	4
18015	1	7	5
18015	2	7	8
18015	3	8	8
18015	4	8	8
18015	5	9	7
18015	6	1	1
18015	7	8	7
18015	8	7	7
18015	9	7	6
18015	10	5	6
18015	11	7	7
18016	1	5	5
18016	2	4	4
18016	3	5	5
18016	4	5	5
18016	5	5	5
18016	6	4	4
18016	7	6	6
18016	8	7	7
18016	9	5	5
18016	10	5	5
18016	11	4	4
18017	1	4	7
18017	2	6	8
18017	3	5	9
18017	4	2	3
18017	5	7	5
18017	6	2	6
18017	7	8	7
18017	8	3	5
18017	9	7	1
18017	10	5	3
18017	11	7	6
18018	1	5	5
18018	2	5	7
18018	3	5	6
18018	4	7	5
18018	5	7	5
18018	6	5	5
18018	7	7	4
18018	8	7	4
18018	9	7	4
18018	10	4	4
18018	11	3	3
18019	1	6	4
18019	2	4	7
18019	3	3	4
18019	4	5	7
18019	5	8	5
18019	6	8	6
18019	7	4	4
18019	8	5	4
18019	9	5	5
18019	10	8	8
18019	11	5	4
18020	1	8	6
18020	2	6	5
18020	3	6	5
18020	4	8	6
18020	5	6	4
18020	6	4	1
18020	7	6	4
18020	8	7	5
18020	9	7	4
18020	10	9	7
18020	11	3	3
18021	1	7	5
18021	2	4	1
18021	3	5	5
18021	4	7	5
18021	5	8	6
18021	6	1	5
18021	7	5	5
18021	8	5	5
18021	9	6	6
18021	10	5	5
18021	11	1	1
18022	1	8	6
18022	2	3	5
18022	3	4	4
18022	4	7	6
18022	5	8	8
18022	6	2	2
18022	7	8	8
18022	8	9	9
18022	9	7	8
18022	10	3	3
18022	11	8	5
18023	1	 	 
18023	2	 	 
18023	3	 	 
18023	4	 	 
18023	5	 	 
18023	6	 	 
18023	7	 	 
18023	8	 	 
18023	9	 	 
18023	10	 	 
18023	11	 	 
18024	1	7	5
18024	2	2	2
18024	3	6	7
18024	4	7	7
18024	5	6	6
18024	6	3	4
18024	7	3	2
18024	8	7	7
18024	9	3	4
18024	10	1	1
18024	11	3	3
18025	1	7	6
18025	2	6	7
18025	3	6	6
18025	4	8	6
18025	5	6	4
18025	6	8	4
18025	7	8	8
18025	8	8	8
18025	9	7	6
18025	10	6	6
18025	11	7	8
18026	1	7	7
18026	2	6	6
18026	3	5	5
18026	4	3	2
18026	5	3	3
18026	6	8	5
18026	7	6	6
18026	8	7	6
18026	9	5	5
18026	10	8	6
18026	11	2	1
18027	1	2	3
18027	2	2	7
18027	3	4	4
18027	4	1	5
18027	5	5	5
18027	6	2	1
18027	7	6	6
18027	8	5	4
18027	9	4	6
18027	10	1	1
18027	11	1	1
18028	1	6	5
18028	2	8	5
18028	3	8	5
18028	4	2	2
18028	5	9	6
18028	6	9	6
18028	7	7	4
18028	8	9	7
18028	9	9	6
18028	10	7	5
18028	11	1	1
18029	1	7	4
18029	2	7	3
18029	3	7	3
18029	4	7	5
18029	5	7	5
18029	6	7	4
18029	7	7	4
18029	8	9	4
18029	9	9	4
18029	10	1	9
18029	11	6	3
18030	1	2	2
18030	2	3	3
18030	3	3	2
18030	4	5	2
18030	5	4	3
18030	6	2	2
18030	7	1	1
18030	8	3	3
18030	9	2	2
18030	10	3	1
18030	11	4	2
18032	1	5	7
18032	2	6	8
18032	3	4	5
18032	4	4	7
18032	5	6	7
18032	6	2	4
18032	7	4	2
18032	8	7	4
18032	9	3	6
18032	10	2	5
18032	11	1	2
18034	1	6	5
18034	2	7	6
18034	3	6	5
18034	4	6	6
18034	5	6	5
18034	6	5	4
18034	7	6	6
18034	8	6	7
18034	9	8	7
18034	10	6	6
18034	11	7	6
18035	1	5	3
18035	2	6	4
18035	3	7	7
18035	4	1	1
18035	5	6	4
18035	6	1	1
18035	7	5	3
18035	8	6	6
18035	9	5	5
18035	10	1	1
18035	11	1	1
18036	1	5	4
18036	2	5	4
18036	3	6	4
18036	4	7	5
18036	5	5	4
18036	6	7	4
18036	7	7	5
18036	8	6	5
18036	9	6	4
18036	10	5	4
18036	11	5	3
18037	1	5	5
18037	2	4	3
18037	3	5	3
18037	4	4	4
18037	5	7	5
18037	6	5	4
18037	7	5	5
18037	8	7	5
18037	9	7	5
18037	10	6	6
18037	11	4	4
18038	1	6	4
18038	2	7	5
18038	3	5	3
18038	4	5	5
18038	5	7	4
18038	6	4	2
18038	7	5	5
18038	8	6	6
18038	9	5	3
18038	10	5	5
18038	11	4	2
18039	1	5	5
18039	2	7	5
18039	3	6	4
18039	4	7	6
18039	5	7	5
18039	6	5	3
18039	7	7	7
18039	8	8	8
18039	9	8	6
18039	10	7	6
18039	11	5	5
18040	1	8	6
18040	2	9	2
18040	3	7	3
18040	4	8	5
18040	5	9	7
18040	6	7	7
18040	7	7	7
18040	8	8	8
18040	9	9	9
18040	10	9	9
18040	11	7	8
18041	1	5	3
18041	2	4	2
18041	3	4	3
18041	4	4	4
18041	5	4	3
18041	6	3	2
18041	7	3	3
18041	8	3	3
18041	9	4	1
18041	10	5	3
18041	11	5	4
18042	1	9	5
18042	2	1	1
18042	3	5	5
18042	4	9	6
18042	5	9	6
18042	6	4	1
18042	7	7	4
18042	8	7	4
18042	9	7	4
18042	10	3	3
18042	11	6	3
18044	1	6	4
18044	2	8	3
18044	3	5	2
18044	4	8	6
18044	5	4	9
18044	6	7	5
18044	7	8	4
18044	8	5	1
18044	9	7	5
18044	10	6	4
18044	11	2	1
18045	1	6	7
18045	2	9	9
18045	3	8	8
18045	4	8	8
18045	5	8	8
18045	6	5	5
18045	7	6	7
18045	8	8	8
18045	9	4	6
18045	10	7	8
18045	11	9	9
18046	1	7	7
18046	2	7	7
18046	3	7	7
18046	4	7	7
18046	5	7	6
18046	6	6	5
18046	7	7	7
18046	8	7	6
18046	9	7	7
18046	10	1	1
18046	11	7	7
18047	1	5	3
18047	2	7	4
18047	3	8	6
18047	4	8	5
18047	5	6	4
18047	6	4	6
18047	7	7	4
18047	8	7	6
18047	9	6	4
18047	10	8	6
18047	11	8	5
18048	1	6	9
18048	2	6	9
18048	3	5	7
18048	4	5	9
18048	5	8	6
18048	6	3	2
18048	7	7	4
18048	8	7	6
18048	9	6	7
18048	10	7	8
18048	11	3	1
18049	1	9	5
18049	2	6	4
18049	3	5	4
18049	4	8	4
18049	5	8	4
18049	6	8	1
18049	7	9	2
18049	8	9	2
18049	9	2	2
18049	10	5	3
18049	11	6	3
18050	1	5	8
18050	2	2	5
18050	3	5	3
18050	4	1	1
18050	5	7	4
18050	6	7	1
18050	7	7	2
18050	8	8	3
18050	9	4	4
18050	10	1	5
18050	11	1	1
28001	1	7	5
28001	2	8	6
28001	3	6	5
28001	4	6	5
28001	5	7	5
28001	6	7	8
28001	7	7	5
28001	8	8	8
28001	9	8	9
28001	10	8	8
28001	11	5	4
28002	1	7	5
28002	2	8	6
28002	3	4	4
28002	4	7	7
28002	5	8	6
28002	6	9	9
28002	7	8	8
28002	8	8	8
28002	9	7	7
28002	10	8	8
28002	11	8	6
28003	1	7	5
28003	2	8	5
28003	3	8	6
28003	4	8	7
28003	5	8	7
28003	6	5	3
28003	7	4	1
28003	8	8	5
28003	9	7	6
28003	10	7	5
28003	11	5	4
28004	1	9	2
28004	2	9	1
28004	3	6	5
28004	4	8	4
28004	5	5	7
28004	6	5	7
28004	7	9	6
28004	8	9	5
28004	9	5	6
28004	10	2	9
28004	11	8	4
28006	1	4	2
28006	2	5	5
28006	3	6	5
28006	4	5	4
28006	5	6	4
28006	6	3	3
28006	7	7	7
28006	8	7	7
28006	9	8	8
28006	10	7	5
28006	11	5	3
28007	1	8	5
28007	2	6	3
28007	3	8	6
28007	4	9	8
28007	5	7	6
28007	6	7	5
28007	7	7	6
28007	8	7	9
28007	9	8	7
28007	10	4	8
28007	11	8	7
28008	1	5	4
28008	2	3	2
28008	3	3	3
28008	4	4	4
28008	5	3	2
