CHILDID	LOANID	LNSRCR3	LNTYPER3	DIFRPYR3
VN011001	1	2	1	2
VN011003	1	1	1	3
VN011003	2	5	1	3
VN011005	1	2	1	1
VN011008	1	2	1	1
VN011012	1	8	2	1
VN011019	1	2	1	1
VN011021	1	1	1	1
VN011022	1	1	1	1
VN011033	1	2	1	1
VN011050	1	1	1	2
VN011074	1	1	1	1
VN021017	1	2	1	3
VN021017	2	8	2	2
VN021024	1	1	1	2
VN021038	1	1	1	2
VN021038	2	8	2	2
VN021072	1	2	1	2
VN021072	2	8	2	2
VN021083	1	1	1	2
VN031013	1	1	1	3
VN031021	1	1	1	77
VN031032	1	2	1	1
VN031034	1	1	1	1
VN031044	1	1	1	1
VN031052	1	2	1	1
VN041003	1	1	1	2
VN041005	1	2	1	3
VN041021	1	2	1	2
VN041039	1	8	2	3
VN041047	1	2	1	2
VN041050	1	2	1	1
VN041092	1	2	1	1
VN041092	2	8	2	1
VN041092	3	88	88	88
VN051004	1	8	2	2
VN051024	1	1	1	2
VN051028	1	7	2	3
VN051044	1	2	1	3
VN051045	1	2	1	2
VN061015	1	2	1	3
VN061015	2	7	2	3
VN061037	1	4	1	2
VN061039	1	2	1	1
VN061043	1	1	1	3
VN061047	1	2	1	2
VN061056	1	2	1	3
VN061057	1	2	1	3
VN071002	1	7	2	3
VN071002	2	2	1	3
VN071014	1	2	1	2
VN071036	1	2	1	1
VN071047	1	3	1	1
VN071048	1	2	1	1
VN071120	1	3	1	2
VN081008	1	1	1	2
VN081008	2	2	1	2
VN081013	1	2	1	1
VN081022	1	1	1	1
VN081046	1	2	1	1
VN081092	1	2	1	1
VN091001	1	1	1	3
VN091022	1	8	2	1
VN091025	1	1	1	2
VN091025	2	88	99	99
VN091031	1	1	1	4
VN091032	1	1	1	2
VN091048	1	1	1	1
VN091048	2	3	1	1
VN091071	1	1	99	99
VN101009	1	1	1	3
VN101010	1	1	1	3
VN101011	1	1	1	2
VN101015	1	2	1	1
VN101018	1	1	1	3
VN101020	1	3	1	2
VN101023	1	3	1	2
VN101023	2	7	2	3
VN101024	1	8	2	2
VN101026	1	1	1	2
VN101026	88	 	 	 
VN101028	1	1	1	2
VN101030	1	1	1	2
VN101043	1	1	1	3
VN101045	1	2	1	3
VN101045	2	8	99	3
VN101064	1	3	1	2
VN101075	1	2	1	1
VN111001	1	2	1	1
VN111010	1	1	1	1
VN111010	2	8	2	1
VN111014	1	2	1	2
VN111027	1	2	1	1
VN111034	1	2	1	1
VN111038	1	2	1	2
VN111040	1	1	1	1
VN111111	1	1	1	1
VN111111	2	2	1	1
VN121001	1	1	1	1
VN121011	1	1	1	1
VN121032	1	2	1	1
VN121034	1	7	2	1
VN121034	2	8	2	1
VN121037	1	1	1	1
VN121038	1	2	1	1
VN121038	2	7	2	1
VN131004	1	8	2	1
VN131005	1	 	 	 
VN131020	1	1	1	3
VN131021	1	2	1	2
VN131024	1	8	2	2
VN131030	1	1	1	3
VN131030	2	6	1	2
VN131039	1	8	2	2
VN131051	2	10	2	1
VN131053	1	7	2	2
VN131053	2	8	2	2
VN131055	1	2	1	3
VN131055	2	8	2	2
VN131056	1	8	2	3
VN141003	1	2	1	1
VN141004	1	8	2	1
VN141004	88	 	 	 
VN141008	1	2	1	1
VN141008	2	8	2	1
VN141013	1	2	1	2
VN141015	1	8	2	3
VN141017	1	2	1	2
VN141020	1	7	2	3
VN141020	2	8	2	3
VN141027	1	3	1	2
VN141027	2	2	1	1
VN141027	3	7	2	2
VN141027	4	8	2	1
VN141030	1	6	1	2
VN141042	1	6	1	2
VN141042	2	8	2	2
VN141051	1	6	1	2
VN141051	2	8	2	2
VN151014	1	1	1	1
VN151014	2	5	1	1
VN151019	1	1	1	2
VN151029	1	6	1	3
VN151032	1	1	1	3
VN151032	2	8	2	3
VN151038	1	8	2	1
VN151039	1	6	1	2
VN151041	1	1	1	3
VN151047	1	6	1	1
VN161016	1	2	1	3
VN161016	2	6	1	3
VN161033	1	2	1	3
VN161033	2	1	1	3
VN171004	1	8	2	3
VN171006	1	8	2	2
VN171020	1	3	1	2
VN171021	1	1	1	3
VN171027	1	1	1	3
VN171037	1	1	1	3
VN171043	1	1	1	2
VN171051	1	3	1	1
VN171080	1	1	1	2
VN181018	1	1	1	2
VN181039	1	1	1	2
VN181042	1	1	1	2
VN191001	1	4	1	2
VN191006	1	7	2	1
VN191006	2	1	1	2
VN191018	1	1	1	3
VN191018	2	88	 	 
VN191019	1	1	1	2
VN191022	1	3	1	2
VN191046	1	4	1	1
VN191049	1	1	1	1
VN191049	2	8	2	1
VN191049	88	 	 	 
VN191052	1	1	1	2
VN191052	2	88	 	 
VN201013	1	1	1	1
VN201015	1	7	2	2
VN201024	1	1	1	3
VN201031	1	2	1	2
