CHILDID	SUPPRGID	SUPKNDR3	SUPWHOR3	SUPSRTR3	SUPENDR3	SUPFRQR3
VN011001	1	19	1	2007	99	6
VN011001	2	18	1	2006	99	6
VN011002	1	12	1	20007	99	4
VN011033	1	6	1	2000	99	4
VN011042	1	19	1	2009	99	6
VN021031	1	14	1	2009	2009	1
VN021034	1	14	1	2008	2008	4
VN021034	2	14	1	2009	2009	4
VN031013	1	4	1	2009	2009	4
VN031013	2	12	1	2007	99	4
VN031027	1	14	1	2009	99	4
VN031027	2	12	1	2007	99	8
VN031032	1	12	1	2007	99	6
VN031052	1	12	1	2007	99	4
VN041007	1	14	1	2008	2009	4
VN041021	1	14	1	2008	2009	4
VN041039	1	14	1	2008	2009	4
VN041050	1	1	1	2008	2009	4
VN041092	1	14	1	2008	99	4
VN051004	1	14	1	2006	2007	6
VN051004	2	14	2	2006	2007	6
VN051020	1	14	1	2006	2007	6
VN051020	2	14	2	2006	2007	6
VN051020	3	12	1	2006	99	4
VN051024	1	14	1	2006	2007	6
VN051024	2	14	2	2006	2007	6
VN051025	1	14	1	2006	2007	6
VN051025	2	12	1	2006	99	4
VN051027	1	12	1	2006	99	4
VN051028	1	14	1	2006	2006	6
VN051028	2	14	2	2006	2006	6
VN051044	1	14	1	2008	99	7
VN051045	1	12	1	2006	99	4
VN061015	1	14	1	2006	2007	6
VN061015	2	14	2	2006	2007	6
VN061015	3	12	1	2008	99	4
VN061026	1	14	1	2006	2007	6
VN061026	2	14	2	2006	2007	6
VN061026	3	12	1	2009	99	4
VN061037	1	14	1	2006	2007	6
VN061037	2	14	2	2006	2007	6
VN061043	1	14	1	2008	99	77
VN061043	2	12	1	2007	99	4
VN061056	1	14	1	2006	2007	6
VN061056	2	12	1	2007	2009	4
VN061056	3	14	2	2006	2007	6
VN061057	1	14	1	2006	2007	6
VN061057	2	14	2	2006	2007	6
VN081023	1	19	1	2008	99	4
VN081046	1	16	1	2001	99	5
VN081145	1	14	1	2007	99	6
VN091001	1	14	1	2008	99	4
VN091001	2	1	1	2007	99	4
VN091010	1	14	1	2008	99	77
VN091010	2	14	1	2008	2008	77
VN091010	3	14	1	2007	2007	77
VN091022	1	14	1	2008	2008	77
VN091025	1	19	1	2008	2008	4
VN091031	1	1	1	2008	2008	77
VN091031	2	14	1	2008	99	4
VN091032	1	14	1	2008	99	77
VN091032	2	19	1	2009	2009	77
VN091037	1	14	1	2008	99	4
VN091048	1	14	2	2008	2008	4
VN091049	1	14	1	2008	99	4
VN091050	1	14	1	2008	99	4
VN091052	1	1	1	2008	99	4
VN101009	1	14	1	2008	99	4
VN101011	1	1	1	2006	2010	3
VN101018	1	14	1	2008	99	4
VN101018	2	1	1	2009	2009	77
VN101020	1	1	1	2008	99	77
VN101023	1	12	1	2006	99	4
VN101024	1	1	1	2009	99	77
VN101026	1	14	1	2008	99	4
VN101029	1	12	1	2006	99	4
VN101030	1	1	1	2009	99	77
VN101035	1	1	1	2009	2009	7
VN101043	1	14	1	2008	99	4
VN101045	1	14	1	2008	99	4
VN101045	2	14	1	2009	2009	77
VN101075	1	14	1	2008	99	77
VN111005	1	14	1	2008	2008	4
VN111038	1	14	1	2008	2008	4
VN111069	1	15	77	2008	2008	4
VN111111	1	14	1	2008	2008	4
VN121037	1	14	1	2008	2009	4
VN121044	1	1	1	2008	2008	4
VN131004	1	19	2	2002	99	5
VN131030	2	14	1	2008	2008	7
VN131039	1	19	2	2002	99	4
VN131039	2	14	1	2007	2007	7
VN131056	1	14	1	2008	2008	7
VN131056	2	14	1	2008	2008	7
VN141003	1	19	2	2002	99	5
VN141004	1	99	99	-99	99	99
VN141008	1	99	99	-99	99	99
VN141013	1	14	2	2002	99	5
VN141015	1	19	2	2002	99	5
VN141015	2	12	1	2009	99	4
VN141015	3	18	1	2002	99	4
VN141017	1	19	2	2002	99	5
VN141020	1	19	1	2002	99	5
VN141020	2	88	88	 	 	 
VN141027	1	19	2	2002	99	5
VN141027	2	14	1	2008	2008	7
VN141027	3	14	1	2009	2009	7
VN141030	1	19	2	2002	99	5
VN141039	1	19	2	2002	99	5
VN141042	1	19	2	2002	99	5
VN141047	1	19	2	2002	99	5
VN141051	1	19	2	2002	99	5
VN151029	1	19	1	2003	99	7
VN151041	1	19	1	2008	99	7
VN151047	1	19	1	-99	99	7
VN161033	1	18	77	-77	99	4
VN171021	1	14	1	2006	99	4
VN171043	1	14	1	2006	99	4
VN171043	2	6	1	2008	99	8
VN191018	1	18	1	2009	99	4
VN191018	2	88	 	 	 	 
VN191019	1	14	1	2004	99	8
VN191046	1	14	1	2005	99	3
VN201017	1	18	1	2008	99	4
VN201017	2	6	1	-77	99	8
VN201038	1	14	1	2006	99	4
VN201038	2	18	77	2006	99	4
