CHILDID	PASSID	ASSETR3	NUMOWNR3	VALASTR3	ASTACTR3
VN061023	1	1	7	50	11
VN061023	2	25	1	500	11
VN061023	3	6	0	0	11
VN061023	4	3	0	0	11
VN061024	1	30	0	0	30
VN061026	1	40	1	1500	40
VN061026	2	40	1	1500	40
VN061026	3	25	1	2500	40
VN061026	4	40	1	300	23
VN061026	5	24	1	5000	23
VN061028	1	25	1	3000	24
VN061030	1	24	0	1	23
VN061031	1	25	1	3000	24
VN061032	1	40	20	10000	40
VN061033	1	25	1	20000	40
VN061037	1	15	3	60	12
VN061037	2	40	2	2000	40
VN061039	1	40	2	2100	22
VN061039	2	22	25	300	22
VN061039	3	40	1	1000	22
VN061040	1	1	2	5	11
VN061040	2	3	0	200	11
VN061040	3	6	0	-88	11
VN061040	4	4	0	-88	11
VN061041	1	8	1	1500	11
VN061041	2	1	4	50	11
VN061041	3	3	1	200	11
VN061042	1	26	1	2000	21
VN061042	2	17	1	2000	16
VN061043	1	1	2	30	11
VN061044	1	1	2	3	11
VN061044	2	3	2	30	11
VN061046	1	8	1	750	11
VN061046	2	3	1	200	11
VN061046	3	1	3	5	11
VN061047	1	1	2	20	11
VN061047	2	3	1	1000	11
VN061047	3	40	10	1000	40
VN061047	4	25	1	2500	40
VN061049	1	1	2	25	11
VN061049	2	25	2	2500	23
VN061055	1	26	1	75	21
VN061056	1	40	1	500	11
VN061056	2	99	-99	-99	99
VN061057	1	1	1	5	40
VN061057	2	40	1	2000	30
VN061057	3	40	4	40	30
VN061057	4	20	8	80	30
VN061079	1	1	2	15	11
VN061079	2	40	1	3000	40
VN071002	1	1	5	100	11
VN071003	1	3	1	1200	11
VN071003	2	99	5	60	11
VN071004	1	25	1	20000	24
VN071005	1	1	5	90	11
VN071006	1	40	1	1000	40
VN071007	1	3	1	1000	11
VN071007	2	24	1	8000	23
VN071007	3	1	10	100	11
VN071007	4	40	1	1500	23
VN071008	1	40	1	1500	12
VN071008	2	15	2	200	12
VN071009	1	14	3	8000	9
VN071009	2	40	1	2000	23
VN071009	3	40	1	2000	23
VN071010	1	24	1	150000	23
VN071011	1	1	5	65	11
VN071013	1	3	1	1500	11
VN071013	2	8	1	1000	11
VN071013	3	40	1	300	11
VN071014	1	3	1	1000	11
VN071014	2	1	4	50	11
VN071015	1	1	3	100	11
VN071015	2	3	1	1500	11
VN071015	3	40	1	1000	11
VN071018	1	1	6	200	11
VN071019	1	3	1	3000	11
VN071019	2	8	1	2000	11
VN071020	1	30	1	3000	30
VN071020	2	40	1	10000	30
VN071021	1	3	1	1500	11
VN071021	2	8	1	1000	11
VN071023	1	3	1	1500	11
VN071023	2	40	1	1200	11
VN071023	3	1	3	40	11
VN071024	1	1	10	500	11
VN071024	2	24	1	10000	23
VN071024	3	3	1	1500	11
VN071024	4	40	1	1000	11
VN071025	1	25	1	10000	24
VN071025	2	15	1	500	23
VN071026	1	13	10	1000	40
VN071027	1	1	3	100	11
VN071027	2	3	1	800	11
VN071029	1	40	10	80	14
VN071032	1	1	3	280	11
VN071032	2	3	1	1000	11
VN071032	3	40	1	1000	11
VN071033	1	15	5	500	23
VN071034	1	1	6	200	11
VN071035	1	3	1	3000	11
VN071036	1	25	1	3000	24
VN071038	1	3	1	700	11
VN071039	1	8	1	700	11
VN071039	2	3	1	300	11
VN071041	1	1	3	75	11
VN071042	1	1	5	150	11
VN071043	1	1	5	100	11
VN071044	1	13	6	1000	7
VN071046	1	1	3	20	11
VN071047	1	3	1	200	11
VN071047	2	1	4	70	11
VN071048	1	40	10	300	11
VN071048	2	1	4	90	11
VN071049	1	8	1	2000	11
VN071073	1	1	3	100	11
VN071073	2	3	1	1000	11
VN071091	1	3	1	2000	11
VN071091	2	40	1	4500	11
VN071112	1	40	10	20000	14
VN071112	2	14	4	10000	9
VN071112	3	26	1	500	21
VN071120	1	8	1	600	11
VN071120	2	3	1	500	11
VN071121	1	3	1	300	11
VN071121	2	8	1	200	11
VN081001	1	13	2	200	7
VN081001	2	1	2	50	8
VN081003	1	1	4	100	11
VN081005	1	1	5	100	11
VN081006	1	40	4	200	40
VN081007	1	40	15	40000	11
VN081008	1	1	5	50	11
VN081011	1	1	1	50	11
VN081012	1	24	1	1000	23
VN081013	1	40	8	25	30
VN081013	2	1	5	80	11
VN081017	1	1	4	1000	11
VN081017	2	8	2	50	23
VN081018	1	40	7	500	30
VN081020	1	1	5	500	11
VN081021	1	1	5	100	11
VN081022	1	26	5	1500	21
VN081023	1	13	4	50	7
VN081025	1	13	10	1500	7
VN081025	2	1	6	100	11
VN081026	1	1	2	100	11
VN081028	1	25	1	100	23
VN081028	2	1	4	80	11
VN081029	1	25	1	15000	24
VN081030	1	40	2	20000	40
VN081030	2	1	4	50	11
VN081031	1	15	8	700	12
VN081032	1	1	5	80	11
VN081034	1	40	1	2000	12
VN081034	2	40	1	1000	12
VN081034	3	15	2	500	12
VN081035	1	24	1	50000	23
VN081036	1	40	4	50	14
VN081038	1	24	1	100000	23
VN081038	2	40	1	8000	23
VN081039	1	1	5	100	11
VN081041	1	15	9	350	23
VN081042	1	13	8	700	7
VN081046	1	1	3	40	11
VN081047	1	15	4	2000	12
VN081047	2	25	1	150	23
VN081049	1	40	1	600	11
VN081073	1	1	3	100	11
VN081073	2	13	3	75	7
VN081092	1	9	7	300	2
VN081105	1	3	1	100	11
VN081105	2	1	4	80	11
VN081108	1	1	3	75	11
VN081108	2	3	1	800	11
VN081108	3	40	1	500	11
VN081120	1	40	1	500	11
VN081130	1	40	30	500	23
VN081139	1	40	1	1000	23
VN081139	2	40	2	1000	11
VN081139	3	15	2	500	23
VN081145	1	40	2	600	24
VN081145	2	1	4	60	11
VN081150	1	26	5	4000	21
VN081150	2	23	20	2000	12
VN091001	1	4	2	50	11
VN091001	2	1	11	100	11
VN091003	1	1	15	130	11
VN091003	2	25	1	2000	11
VN091003	3	4	2	250	11
VN091005	1	4	1	80	11
VN091005	2	1	10	2300	11
VN091006	1	1	8	130	11
VN091008	1	1	15	100	11
VN091008	2	4	4	400	11
VN091008	3	3	1	50	11
VN091008	4	6	1	100	11
VN091008	5	26	1	150	21
VN091008	6	25	2	5000	24
VN091009	1	4	2	140	11
VN091009	2	1	16	150	11
VN091010	1	4	2	200	11
VN091010	2	6	1	500	11
VN091010	3	1	9	150	11
VN091011	1	1	8	10	11
VN091011	2	4	2	20	11
VN091011	3	3	1	20	11
VN091011	4	25	1	5500	24
VN091012	1	1	10	10	11
VN091012	2	3	1	20	11
VN091012	3	25	1	2000	24
VN091012	4	4	2	20	11
VN091012	5	26	1	20	21
VN091013	1	4	2	300	11
VN091013	2	1	13	120	11
VN091014	1	4	4	200	11
VN091014	2	1	10	100	11
VN091015	1	1	11	100	11
VN091016	1	1	9	20	11
VN091016	2	4	2	50	11
VN091017	1	4	2	250	11
VN091017	2	1	8	150	11
VN091018	1	4	2	400	11
VN091018	2	1	11	100	11
VN091019	1	3	1	80	11
VN091019	2	4	2	200	11
VN091019	3	1	9	150	11
VN091020	1	6	1	7000	11
VN091020	2	40	1	3000	40
VN091020	3	4	4	600	11
VN091020	4	1	10	200	11
VN091021	1	4	1	200	11
VN091021	2	1	9	-77	11
VN091021	3	4	1	-77	11
VN091022	1	1	13	275	11
VN091022	2	3	1	80	11
VN091022	3	4	4	800	11
VN091022	4	6	1	300	11
VN091022	5	8	7	210	11
VN091022	6	40	1	30	11
VN091024	1	3	1	90	11
VN091024	2	4	2	200	11
VN091024	3	1	9	195	11
VN091025	1	4	2	200	11
VN091025	2	1	15	100	11
VN091026	1	1	13	70	11
VN091026	2	4	2	100	11
VN091026	3	3	1	20	11
VN091026	4	6	1	30	11
VN091027	1	4	1	100	11
VN091027	2	1	6	120	11
VN091027	3	40	1	3000	40
VN091028	1	1	12	50	11
VN091028	2	4	2	100	11
VN091028	3	26	1	100	21
VN091028	4	25	1	2000	24
VN091029	1	4	2	200	11
VN091029	2	1	17	400	11
VN091030	1	4	2	100	11
VN091030	2	1	8	100	11
VN091031	1	4	2	210	11
VN091031	2	6	1	400	11
VN091031	3	1	9	200	11
VN091032	1	6	1	200	11
VN091032	2	4	2	200	11
VN091032	3	1	9	150	11
VN091033	1	1	17	110	11
VN091036	1	1	5	110	11
VN091036	2	4	2	400	11
VN091037	1	6	1	300	11
VN091037	2	4	4	300	11
VN091037	3	1	10	120	11
VN091039	1	4	4	600	11
VN091039	2	1	11	150	11
VN091041	1	1	9	10	11
VN091041	2	4	2	20	11
VN091041	3	3	1	40	11
VN091042	1	1	8	200	11
VN091044	1	1	14	20	11
VN091044	2	4	2	30	11
VN091044	3	3	1	50	99
VN091044	4	6	1	80	11
VN091044	5	25	1	4000	24
VN091045	1	1	5	20	11
