CHILDID	ID	AGE	MEMSEX	RELATE	LIVHSE	DTHEXPR3	ADULTEDC	GRADE	HSSTRR3	STRAGER3	GRADER3	STILLR3	WHYNOTR3	AGEGRDR3	PERFR3	FEESR3	DISABR3	ACTR3	MONTHSR3	DAYSR3	HOURSR3	SLEEPR3	CHCARER3	HHCHRER3	NPYWRKR3	PAYWRKR3	SCHOOLR3	STUDYR3	PLAYR3
VN011001	3	26	1	14	2	88	0	14	 	 	 	 	 	 	 	 	0	13	12	22	8	 	 	 	 	 	 	 	 
VN011001	0	14	1	0	1	88	88	88	1	6	8	1	88	88	2	1930	0	15	10	12	1	8	0	1	0	0	5	7	3
VN011001	2	40	2	1	1	88	0	30	 	 	 	 	 	 	 	 	0	10	12	28	10	 	 	 	 	 	 	 	 
VN011001	4	24	2	14	1	88	0	14	 	 	 	 	 	 	 	 	0	13	12	26	8	 	 	 	 	 	 	 	 
VN011001	5	57	1	2	1	88	99	14	 	 	 	 	 	 	 	 	0	4	10	28	6	 	 	 	 	 	 	 	 
VN011001	1	90	1	5	3	99	99	99	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011002	0	14	2	0	1	88	88	8	1	6	8	1	88	88	3	620	0	15	12	20	2	8	0	2	0	0	5	5	4
VN011002	1	46	1	1	1	88	88	9	 	 	 	 	 	 	 	 	0	4	12	26	9	 	 	 	 	 	 	 	 
VN011002	2	43	2	1	1	88	88	9	 	 	 	 	 	 	 	 	0	10	10	28	10	 	 	 	 	 	 	 	 
VN011002	3	21	2	7	1	88	88	12	 	 	 	 	 	 	 	 	0	13	12	26	8	 	 	 	 	 	 	 	 
VN011002	4	17	2	7	1	88	88	88	1	6	10	1	88	88	2	850	0	16	12	20	2	8	0	2	1	0	5	5	3
VN011002	17	10	2	7	1	88	88	88	1	6	4	1	88	88	2	240	0	15	12	20	1	9	0	1	0	0	5	4	5
VN011003	0	15	2	0	1	88	88	88	1	6	8	0	31	14	88	-88	0	12	6	30	8	8	0	0	0	10	0	0	5
VN011003	1	46	1	1	1	88	88	6	 	 	 	 	 	 	 	 	0	12	7	25	12	 	 	 	 	 	 	 	 
VN011003	2	39	2	1	1	88	88	6	 	 	 	 	 	 	 	 	0	4	12	25	4	 	 	 	 	 	 	 	 
VN011003	17	11	2	7	1	88	88	88	1	6	5	1	88	88	3	790	0	15	12	30	1	8	0	1	0	0	5	4	6
VN011003	18	9	1	7	1	88	88	88	1	6	3	1	88	88	2	0	0	19	99	99	99	11	0	0	0	0	5	2	6
VN011004	3	22	2	7	4	88	99	99	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011004	4	20	1	7	2	88	0	12	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011004	0	15	2	0	1	88	88	88	1	6	9	1	88	88	2	847	0	15	12	25	2	8	0	2	0	0	6	4	4
VN011004	1	43	1	1	1	88	0	9	 	 	 	 	 	 	 	 	0	4	12	25	6	 	 	 	 	 	 	 	 
VN011004	2	43	2	1	1	88	0	9	 	 	 	 	 	 	 	 	0	4	12	20	3	 	 	 	 	 	 	 	 
VN011004	17	9	2	7	1	88	88	88	1	6	3	1	88	88	2	90	0	19	99	99	99	10	0	0	0	0	5	2	7
VN011005	3	25	2	7	4	88	99	99	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011005	5	10	1	15	4	88	88	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011005	6	8	1	15	4	88	88	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011005	0	15	2	0	1	88	88	88	1	6	9	1	88	88	2	1244	0	15	12	10	2	7	0	2	0	0	6	5	4
VN011005	1	45	1	1	1	88	0	8	 	 	 	 	 	 	 	 	0	4	12	10	3	 	 	 	 	 	 	 	 
VN011005	2	49	2	1	1	88	0	2	 	 	 	 	 	 	 	 	0	1	9	15	6	 	 	 	 	 	 	 	 
VN011005	4	21	1	7	1	88	1	12	 	 	 	 	 	 	 	 	0	4	6	8	4	 	 	 	 	 	 	 	 
VN011006	0	15	1	0	1	88	88	88	1	6	9	1	88	88	3	1680	0	15	12	30	1	5	0	1	0	0	5	8	6
VN011006	1	39	1	1	1	88	0	12	 	 	 	 	 	 	 	 	5	4	12	15	8	 	 	 	 	 	 	 	 
VN011006	2	37	2	1	1	88	0	9	 	 	 	 	 	 	 	 	5	9	12	20	5	 	 	 	 	 	 	 	 
VN011006	3	12	1	7	1	88	88	88	1	6	88	1	88	88	2	400	5	15	12	30	1	8	0	1	0	0	5	2	8
VN011007	3	24	2	7	4	88	99	99	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011007	4	20	2	7	4	88	99	99	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011007	0	15	2	0	1	88	88	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011007	1	43	1	1	1	88	0	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011007	2	41	2	1	1	88	0	6	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011007	5	12	2	7	1	88	88	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN011008	0	15	1	0	1	88	88	88	1	6	9	1	88	88	3	1504	0	19	88	88	88	8	0	0	0	0	6	5	5
VN011008	1	42	1	1	1	88	0	11	 	 	 	 	 	 	 	 	0	10	12	27	9	 	 	 	 	 	 	 	 
VN011008	2	41	2	1	1	88	0	5	 	 	 	 	 	 	 	 	0	10	12	27	9	 	 	 	 	 	 	 	 
VN011008	3	22	1	7	1	88	0	12	 	 	 	 	 	 	 	 	0	12	8	25	8	 	 	 	 	 	 	 	 
VN011008	4	18	1	7	1	88	0	10	 	 	 	 	 	 	 	 	0	12	8	25	8	 	 	 	 	 	 	 	 
VN011009	0	14	1	0	1	88	88	88	1	6	8	1	88	88	3	1180	0	4	12	22	2	9	0	0	2	0	6	3	4
VN011009	1	37	1	1	1	88	0	9	 	 	 	 	 	 	 	 	0	8	12	25	10	 	 	 	 	 	 	 	 
VN011009	2	36	2	1	1	88	0	12	 	 	 	 	 	 	 	 	0	13	12	20	10	 	 	 	 	 	 	 	 
VN011009	17	11	2	7	1	88	88	88	1	6	4	1	88	88	2	300	0	15	8	20	1	11	0	1	0	0	5	2	5
