CHILDID	OUTID	REMRELR3	REMESTR3	REMGODR3
VN011001	1	6	500	200
VN011001	2	22	40	0
VN011002	1	6	200	100
VN011002	2	5	200	100
VN011002	3	22	30	0
VN011003	1	5	500	100
VN011003	2	6	500	100
VN011005	1	5	100	0
VN011005	2	22	20	0
VN011008	1	5	200	0
VN011008	2	6	200	0
VN011008	3	22	10	0
VN011019	1	5	0	200
VN011019	2	22	50	0
VN011021	1	5	0	200
VN011021	2	6	0	200
VN011022	1	6	0	300
VN011022	2	22	20	0
VN011028	1	22	20	0
VN011033	1	6	1200	600
VN011033	2	5	200	500
VN011033	3	22	100	0
VN011042	1	22	20	0
VN011050	1	6	1200	0
VN011050	2	22	10	0
VN011074	1	5	100	0
VN011074	2	6	100	0
VN011074	3	22	10	0
VN021013	1	6	100	0
VN021013	2	5	50	50
VN021013	3	22	50	0
VN021017	1	22	0	1000
VN021031	1	22	30	-88
VN021031	2	1	300	50
VN021047	1	5	500	-88
VN021072	1	22	20	0
VN021083	1	22	50	0
VN031021	1	22	15	0
VN031027	1	5	100	0
VN031027	2	6	100	0
VN031044	1	5	0	300
VN031044	2	22	20	0
VN031048	1	5	200	0
VN031048	2	6	200	0
VN031048	3	22	196	0
VN031052	1	5	200	500
VN031052	2	6	200	500
VN031052	3	22	100	0
VN031060	1	22	50	0
VN041003	1	1	1000	-88
VN041004	1	1	2000	0
VN041004	2	22	600	200
VN041004	3	6	3000	0
VN041007	1	7	3000	-88
VN041007	2	22	300	-88
VN041021	1	1	1500	-88
VN051004	1	14	200	0
VN051004	2	17	200	200
VN051004	3	5	200	300
VN051024	1	5	300	100
VN051024	2	6	100	200
VN051024	3	14	300	0
VN051027	1	19	20	0
VN051031	1	5	6000	3000
VN051031	2	14	200	200
VN051031	3	19	100	0
VN051038	1	19	200	0
VN051045	1	6	200	0
VN051045	2	5	200	0
VN051045	3	19	186	0
VN061037	1	5	0	200
VN061047	1	5	1000	0
VN061047	2	6	1000	0
VN071091	1	22	200	0
VN071112	1	22	150	0
VN081039	1	22	250	0
VN091020	1	14	0	20000
VN091022	1	13	0	2000
VN101015	1	5	3000	500
VN101015	2	13	4000	2000
VN101019	1	13	1000	0
VN101028	1	7	15000	1000
VN101075	1	5	2000	200
VN101075	2	6	2000	200
VN111001	1	5	1000	600
VN111001	2	6	1200	900
VN111001	3	13	-88	400
VN111005	1	6	260	100
VN111010	1	6	2000	0
VN111038	1	6	1000	100
VN111040	1	6	600	100
VN111045	1	6	200	150
VN111069	1	5	-88	120
VN111111	1	5	50	20
VN111111	2	7	12500	850
VN121001	1	5	500	100
VN121001	2	13	200	400
VN121011	1	5	-88	330
VN121021	1	5	-88	100
VN121021	2	6	-88	80
VN121032	1	5	-88	300
VN121034	1	6	100	-88
VN121036	1	5	100	50
VN121036	2	6	150	50
VN121037	1	5	-88	50
VN121038	1	7	10000	1200
VN121038	2	6	200	-88
VN121038	3	13	300	-88
VN121044	1	5	-88	500
VN121044	2	6	-88	500
VN121044	3	13	500	-88
VN121061	1	14	500	-88
VN131004	1	13	5000	0
VN131004	2	14	500	0
VN131004	3	19	150	30
VN131005	1	5	300	300
VN131005	2	13	500	0
VN131020	1	19	100	0
VN131020	2	13	100	0
VN131020	3	13	100	0
VN131021	1	14	500	0
VN131021	2	5	200	0
VN131024	1	5	500	0
VN131024	2	6	100	300
VN131024	3	13	200	0
VN131030	1	14	2000	0
VN131033	1	13	1000	300
VN131039	1	5	300	0
VN131039	2	13	500	0
VN131051	1	13	200	300
VN131051	2	6	500	500
VN131051	3	5	500	500
VN131052	1	5	200	0
VN131052	2	13	500	0
VN131053	1	13	300	100
VN131055	1	14	300	0
VN131055	2	5	500	100
VN131055	3	6	500	100
VN131056	1	14	200	0
VN131056	2	6	100	0
VN141003	1	6	2000	0
VN141004	1	13	5000	0
VN141004	2	14	500	0
VN141004	3	19	150	30
VN141008	1	6	7000	0
VN141008	2	13	2000	0
VN141013	1	13	700	0
VN141015	1	19	100	0
VN141017	1	13	1000	0
VN141020	1	5	600	0
VN141020	2	19	500	100
VN141027	1	13	500	0
VN141027	2	5	500	0
VN141027	3	6	500	0
VN141027	4	19	50	0
VN141030	1	13	500	0
VN141030	2	5	500	0
VN141030	3	6	500	0
VN141039	1	13	300	0
VN141042	1	13	400	100
VN141042	2	14	200	0
VN141047	1	5	300	0
VN141047	2	6	300	0
VN141051	1	6	300	0
VN141051	2	14	500	0
VN151029	1	6	400	200
VN151035	1	5	10000	0
VN151047	1	5	200	100
VN151047	2	13	500	300
VN171006	1	5	700	300
VN171006	2	6	700	500
VN171020	1	13	200	0
VN171049	1	19	0	1000
VN171049	2	6	6000	500
VN181005	1	13	500	0
VN181009	1	19	3000	0
VN181016	1	6	4500	0
VN181018	1	13	100	0
VN181019	1	5	2000	500
VN181019	2	13	7000	500
VN181027	1	5	2000	500
VN181039	1	5	1000	100
VN181042	1	13	150	0
VN181052	1	13	5000	1000
VN191019	1	17	300	100
VN191020	1	5	200	0
VN191022	1	5	500	200
VN191036	1	6	5000	200
VN191037	1	6	2000	200
VN191040	1	5	600	200
VN191040	2	6	100	200
VN191040	3	88	-99	-99
VN191046	1	5	0	500
VN191049	1	13	2000	100
VN201013	1	13	0	300
