CHILDID	ACTIDR3	ACTR3	ACTOWNR3	ACTMTHR3	ACTDAYHR3	ACTHRSR3	PYMRECR3
VN011001	1	2	1	10	12	1	0
VN011002	1	2	1	12	20	2	0
VN011003	1	6	2	6	25	10	1
VN011004	1	2	1	12	20	2	0
VN011005	1	2	1	12	10	2	4
VN011005	2	6	2	3	27	8	1
VN011006	1	2	1	12	30	1	0
VN011007	1	6	2	2	22	9	1
VN011007	2	2	1	12	25	1	0
VN011008	1	2	1	12	15	2	0
VN011009	1	1	1	10	20	2	0
VN011010	1	2	1	12	20	2	0
VN011011	1	2	1	12	20	4	0
VN011012	1	2	1	10	20	1	0
VN011012	2	1	1	10	20	2	0
VN011013	1	1	1	12	20	3	0
VN011014	1	2	1	12	20	3	0
VN011015	1	2	1	12	20	1	0
VN011016	1	2	1	12	28	2	0
VN011016	2	6	2	2	20	1	1
VN011017	1	2	1	12	20	3	0
VN011018	1	1	1	10	20	2	0
VN011019	1	2	1	10	10	1	0
VN011020	1	2	1	12	20	3	0
VN011021	1	2	1	9	25	1	0
VN011022	1	2	1	9	15	1	0
VN011024	1	2	1	12	20	2	0
VN011025	1	2	1	12	20	3	0
VN011026	1	3	1	8	28	6	0
VN011029	1	2	1	12	20	3	88
VN011030	1	2	1	12	28	2	0
VN011031	1	2	1	12	30	2	0
VN011032	1	2	1	12	20	3	0
VN011033	1	4	1	9	20	3	0
VN011034	1	3	1	10	10	1	0
VN011034	2	2	1	11	15	1	0
VN011035	1	2	1	12	8	1	0
VN011037	1	2	1	2	22	2	0
VN011038	1	2	1	10	20	3	0
VN011039	1	5	2	12	26	10	1
VN011040	1	2	1	12	20	3	0
VN011041	1	2	1	12	30	2	0
VN011042	1	2	1	2	15	2	0
VN011042	2	6	2	2	18	8	1
VN011043	1	6	2	8	24	9	1
VN011044	1	1	1	12	20	1	0
VN011044	2	2	1	12	25	1	0
VN011047	1	2	1	12	30	4	0
VN011048	1	2	1	12	20	1	0
VN011050	1	1	1	4	10	1	0
VN011050	2	2	1	12	15	1	0
VN011052	1	4	1	12	25	2	0
VN011061	1	2	1	12	20	3	0
VN011063	1	2	1	12	25	2	0
VN011069	1	2	1	10	20	4	0
VN011074	1	2	1	10	25	3	0
VN011088	1	2	1	12	25	3	0
VN021002	1	6	2	5	25	8	1
VN021004	1	5	1	12	30	3	0
VN021005	1	2	1	12	20	1	0
VN021007	1	2	1	5	20	1	0
VN021008	1	1	1	12	26	3	0
VN021008	2	2	1	12	20	1	0
VN021011	1	2	1	12	30	2	0
VN021012	1	2	1	12	30	1	0
VN021012	2	1	1	12	22	4	0
VN021012	3	1	2	2	10	5	1
VN021013	1	2	1	12	15	1	0
VN021013	2	1	1	1	15	2	0
VN021014	1	2	1	12	30	2	0
VN021015	1	8	2	11	29	8	1
VN021017	1	2	1	12	28	1	0
VN021017	2	4	1	12	30	2	0
VN021018	1	4	2	5	15	8	1
VN021018	2	2	1	12	15	2	0
VN021020	1	1	2	6	27	5	3
VN021022	1	1	1	12	25	3	0
VN021022	2	2	1	7	10	2	0
VN021022	3	6	2	3	15	8	1
VN021023	1	2	1	12	30	1	0
VN021026	1	1	1	5	27	6	5
VN021026	2	2	1	3	15	2	0
VN021026	3	1	2	4	26	5	1
VN021027	1	2	1	12	30	3	0
VN021029	1	6	2	3	25	9	1
VN021029	2	2	1	9	21	2	0
VN021030	1	5	1	12	30	2	0
VN021030	2	2	1	12	30	1	0
VN021032	1	6	2	2	15	4	1
VN021032	2	1	1	12	20	2	0
VN021032	3	2	1	12	30	3	0
VN021033	1	2	1	12	15	2	0
VN021033	2	1	1	1	10	4	0
VN021034	1	4	1	12	28	5	0
VN021034	2	2	1	12	30	2	0
VN021036	1	1	1	12	25	4	0
VN021036	2	2	1	12	25	1	0
VN021037	1	1	1	12	30	3	0
VN021037	2	2	1	12	30	2	0
VN021039	1	2	1	12	30	1	0
VN021040	1	6	2	1	26	8	1
VN021040	2	2	1	10	30	2	0
VN021041	1	2	1	12	30	1	0
VN021042	1	1	1	12	20	3	0
VN021042	2	2	1	12	15	1	0
VN021044	1	6	2	4	26	8	1
VN021044	2	5	1	2	20	5	1
VN021044	3	3	1	5	20	2	0
VN021044	4	2	1	5	30	2	0
VN021046	1	1	1	4	20	5	0
VN021046	2	6	2	2	30	10	1
VN021047	1	2	1	12	30	3	0
VN021048	1	2	1	10	30	3	0
VN021048	2	6	2	2	30	12	1
VN021049	1	4	1	9	28	9	1
VN021049	2	2	1	12	20	2	0
VN021056	1	8	2	2	29	8	1
VN021056	2	2	1	6	25	1	0
VN021056	3	1	1	1	10	3	0
VN021069	1	2	1	12	30	2	0
VN021069	2	1	1	3	15	8	0
VN021072	1	2	1	12	30	2	0
VN021072	2	1	1	12	30	1	0
VN021078	1	2	1	12	30	2	0
VN021083	1	2	1	12	26	1	0
VN021089	1	2	1	12	30	1	0
VN021090	1	2	1	12	16	0	0
VN021090	2	4	1	12	10	1	0
VN021094	1	2	1	12	15	2	0
VN021094	2	1	1	10	15	2	0
VN031001	1	2	1	12	25	2	0
VN031002	1	2	1	8	20	2	0
VN031003	1	2	1	10	20	3	0
VN031004	1	1	1	6	15	6	0
VN031004	2	2	1	10	10	1	0
