COMMID	factid	factyp	factsz	factwgm	factwgf	factwgc
IN002	1	8	500	50	40	0
IN002	2	5	400	50	50	0
IN002	3	2	30	50	50	0
IN003	1	2	200	55	25	0
IN004	1	8	300	40	22	0
IN004	2	8	150	40	25	0
IN006	1	8	300	45	20	0
IN006	2	8	150	30	0	0
IN013	1	2	15	50	0	0
IN063	1	8	100	60	40	0
IN065	1	11	1000	50	35	35
IN092	1	8	20	0	40	0
IN092	2	8	12	50	25	0
IN098	1	9	50	40	45	25
IN098	2	12	30	50	0	30
IN098	3	1	50	60	0	35
IN098	4	5	40	45	50	30
IN098	5	8	50	50	0	30
