COMMID	payid	tuition	repairs	otherfee
IN001	1	400	800	500
IN001	2	11	1200	750
IN001	3	60	1500	750
IN001	4	300	2000	1000
IN002	1	500	500	500
IN002	2	11	750	250
IN002	3	30	1000	500
IN002	4	300	1000	1000
IN003	1	480	800	300
IN003	2	11	800	300
IN003	3	30	1000	750
IN003	4	300	2000	1000
IN004	1	720	800	1440
IN004	2	11	500	720
IN004	3	40	1000	1000
IN004	4	200	1500	1200
IN005	1	4820	800	300
IN005	2	11	800	300
IN005	3	30	1000	750
IN005	4	300	2000	1000
IN006	1	500	500	500
IN006	2	11	750	250
IN006	3	30	1000	500
IN006	4	300	1000	1000
IN007	1	80	500	0
IN007	2	1200	750	900
IN007	3	1400	900	1000
IN007	4	1600	1000	1100
IN008	1	400	800	500
IN008	2	5	1200	600
IN008	3	9	1300	700
IN008	4	300	2000	1000
IN009	1	80	50	60
IN009	2	1200	75	90
IN009	3	1400	90	1400
IN009	4	1600	1000	1800
IN011	1	550	800	500
IN011	2	12	1200	750
IN011	3	500	1500	850
IN011	4	250	1000	1000
IN012	1	300	800	600
IN012	2	0	1200	0
IN012	3	0	1500	200
IN012	4	150	2000	300
IN013	1	 	 	 
IN013	2	300	500	100
IN013	3	300	800	300
IN013	4	600	1000	2500
IN014	1	1500	1600	1200
IN014	2	0	1200	0
IN014	3	0	1500	200
IN014	4	150	2000	300
IN015	1	1000	900	360
IN015	2	42	300	 
IN015	3	300	500	 
IN015	4	1000	500	 
IN016	1	960	300	250
IN016	2	50	500	500
IN016	3	150	500	500
IN016	4	200	500	500
IN018	1	500	500	1250
IN018	2	11	500	500
IN018	3	150	750	750
IN018	4	300	1000	1000
IN019	1	500	300	500
IN019	2	11	300	500
IN019	3	50	500	750
IN019	4	100	1000	1000
IN021	1	200	400	500
IN021	2	12	300	750
IN021	3	18	450	1000
IN021	4	200	600	2500
IN022	1	600	1500	500
IN022	2	11	800	750
IN022	3	11	1000	1000
IN022	4	100	2000	2500
IN023	1	550	300	500
IN023	2	11	300	750
IN023	3	50	500	1000
IN023	4	100	1000	2500
IN024	1	960	500	600
IN024	2	1200	750	900
IN024	3	1440	900	1440
IN024	4	1680	1000	1800
IN025	1	960	500	600
IN025	2	1200	750	900
IN025	3	1440	900	1440
IN025	4	1680	1000	1800
IN026	1	480	1000	600
IN026	2	840	1000	900
IN026	3	1500	1200	1400
IN026	4	1500	1500	1800
IN027	1	500	800	500
IN027	2	12	1200	750
IN027	3	500	500	850
IN027	4	250	1000	1000
IN028	1	400	400	400
IN028	2	11	500	500
IN028	3	60	600	600
IN028	4	300	700	600
IN029	1	400	800	500
IN029	2	5	1200	600
IN029	3	9	1300	700
IN029	4	300	2000	1000
IN030	1	500	800	500
IN030	2	12	1200	750
IN030	3	500	1500	850
IN030	4	250	1000	1000
IN031	1	400	400	400
IN031	2	11	500	500
IN031	3	60	600	600
IN031	4	300	700	600
IN032	1	400	800	500
IN032	2	11	1200	750
IN032	3	50	1500	850
IN032	4	250	2000	1000
IN033	1	500	800	300
IN033	2	15	1000	350
IN033	3	35	1100	800
IN033	4	300	200	1000
IN034	1	500	1000	500
IN034	2	11	800	300
IN034	3	30	1000	750
IN034	4	300	2000	1000
IN035	1	600	1000	150
IN035	2	300	500	150
IN035	3	500	800	250
IN035	4	900	800	400
IN036	1	 	 	 
IN036	2	200	100	200
IN036	3	300	300	200
IN036	4	600	600	400
IN037	1	 	 	 
IN037	2	250	200	200
IN037	3	300	400	250
IN037	4	600	800	500
IN038	1	 	 	 
IN038	2	200	300	150
IN038	3	300	400	200
IN038	4	650	800	300
IN040	1	 	 	 
IN040	2	250	300	300
IN040	3	400	350	400
IN040	4	1100	600	500
IN041	1	600	1500	300
IN041	2	200	350	200
IN041	3	500	500	200
IN041	4	600	1000	200
IN042	1	600	1200	150
IN042	2	300	600	150
IN042	3	400	650	150
IN042	4	600	1500	300
IN043	1	500	1200	100
IN043	2	200	800	100
IN043	3	300	800	150
IN043	4	600	1000	300
IN044	1	600	800	150
IN044	2	240	600	100
IN044	3	300	750	150
IN044	4	600	1200	300
IN045	1	 	 	 
IN045	2	200	900	100
IN045	3	300	1100	150
IN045	4	500	1500	300
IN046	1	 	 	 
IN046	2	250	500	100
IN046	3	300	650	150
IN046	4	600	900	300
IN047	1	1000	2050	500
IN047	2	300	1550	750
IN047	3	500	1850	800
IN047	4	500	2050	1000
IN048	1	600	450	250
IN048	2	300	550	250
IN048	3	500	700	400
IN048	4	600	850	500
IN049	1	600	450	250
IN049	2	300	550	250
IN049	3	500	700	400
IN049	4	600	850	500
IN050	1	400	450	250
IN050	2	200	550	250
IN050	3	300	700	300
IN050	4	500	750	400
IN051	1	400	450	250
IN051	2	200	550	250
IN051	3	300	700	300
IN051	4	500	750	400
IN052	1	400	450	250
IN052	2	200	550	250
IN052	3	300	700	300
IN052	4	500	750	400
IN053	1	400	450	500
IN053	2	250	550	250
IN053	3	300	700	300
IN053	4	500	750	400
IN054	1	400	450	250
IN054	2	200	550	250
IN054	3	300	700	300
IN055	1	400	450	250
IN055	2	200	550	250
IN055	3	300	700	300
IN055	4	500	750	400
IN056	1	400	450	250
IN056	2	200	550	250
IN056	3	300	700	300
IN056	4	500	700	400
IN057	1	400	450	250
IN057	2	200	550	250
IN057	3	300	700	300
IN057	4	500	700	400
IN058	1	400	450	250
IN058	2	200	550	250
IN058	3	300	700	300
IN058	4	500	700	400
IN059	1	400	450	250
IN059	2	200	550	350
IN059	3	300	700	300
IN059	4	500	700	400
IN060	1	400	450	250
IN060	2	200	550	250
IN060	3	300	700	300
IN060	4	500	700	400
IN061	1	90	200	150
IN061	2	150	300	160
IN061	3	200	400	200
IN061	4	300	500	220
IN062	1	60	150	100
IN062	2	160	300	72
IN062	3	300	600	100
IN062	4	400	800	150
IN063	1	100	300	100
IN063	2	150	400	150
IN063	3	200	500	200
IN063	4	250	600	300
IN064	1	80	150	80
IN064	2	100	200	100
IN064	3	150	300	150
IN064	4	200	400	250
IN065	1	80	200	100
IN065	2	100	300	150
IN065	3	150	400	200
IN065	4	300	500	250
IN066	1	80	120	60
IN066	2	100	200	80
IN066	3	140	280	120
IN066	4	180	350	200
IN067	1	50	200	80
IN067	2	150	400	100
IN067	3	250	600	150
IN067	4	600	800	200
IN068	1	30	100	50
IN068	2	50	150	80
IN068	3	80	200	100
IN068	4	100	250	150
IN069	1	40	190	60
IN069	2	70	200	100
IN069	3	100	240	120
IN069	4	120	300	200
IN070	1	80	150	90
IN070	2	150	200	120
IN070	3	200	300	150
IN070	4	250	500	200
IN071	1	250	140	50
IN071	2	300	250	100
IN071	3	650	300	100
IN071	4	1000	600	400
IN072	1	200	200	50
IN072	2	400	300	200
IN072	3	750	500	200
IN072	4	1000	500	500
IN073	1	250	100	50
IN073	2	400	200	100
IN073	3	720	400	200
IN073	4	900	400	200
IN074	1	300	200	200
IN074	2	500	300	250
