COMMID	frmid	frmcrp	frmsz
IN022	1	19	200
IN022	2	28	200
IN029	1	15	200
IN029	2	25	50
IN029	3	1	75
IN030	1	15	80
IN030	2	14	10
IN030	3	1	40
IN030	4	13	10
