COMMID	disid	anydis	szdis	disrel	rel1	rel2	rel3	rel4
IN001	1	3	25	2	 	 	 	 
IN002	1	3	75	2	 	 	 	 
IN003	1	3	70	2	 	 	 	 
IN005	1	3	50	1	7	 	 	 
IN006	1	3	25	2	 	 	 	 
IN007	1	3	70	 	7	1	5	 
IN008	1	3	90	2	 	 	 	 
IN009	1	3	90	 	 	 	 	 
IN010	1	3	50	1	1	2	 	 
IN011	1	3	75	1	1	2	 	 
IN013	1	3	80	2	7	 	 	 
IN015	1	3	90	2	 	 	 	 
IN016	1	3	70	2	 	 	 	 
IN017	1	3	50	1	7	 	 	 
IN021	1	3	50	2	 	 	 	 
IN022	1	3	50	2	 	 	 	 
IN027	1	3	95	1	2	5	 	 
IN028	1	7	75	 	3	3	 	 
IN028	2	7	75	 	 	3	 	 
IN028	3	3	70	 	2	 	 	 
IN029	1	3	90	 	2	5	 	 
IN030	1	3	70	1	1	2	5	 
IN031	1	 	90	1	 	 	 	 
IN032	1	3	90	1	1	2	 	 
IN033	1	3	40	1	1	2	 	 
IN034	1	3	50	1	1	5	 	 
IN035	1	3	90	1	1	 	 	 
IN036	1	3	50	1	1	 	 	 
IN036	2	6	20	1	1	 	 	 
IN037	1	3	100	1	1	 	 	 
IN038	1	3	90	1	 	 	 	 
IN040	1	3	60	1	1	 	 	 
IN041	1	3	85	1	1	 	 	 
IN041	2	3	75	1	1	 	 	 
IN041	3	3	75	1	1	 	 	 
IN042	1	3	80	1	1	 	 	 
IN043	1	3	100	1	1	 	 	 
IN043	2	3	100	1	1	 	 	 
IN044	1	3	70	1	1	 	 	 
IN044	2	3	70	1	1	 	 	 
IN045	1	3	65	1	1	 	 	 
IN045	2	3	70	1	1	 	 	 
IN046	1	3	80	1	1	 	 	 
IN046	2	3	75	1	1	 	 	 
IN049	1	6	30	 	 	 	 	 
IN050	1	6	80	2	 	 	 	 
IN051	1	6	80	 	 	 	 	 
IN052	1	6	80	2	1	 	 	 
IN053	1	6	80	2	 	 	 	 
IN054	1	6	90	 	1	2	3	4
IN056	1	6	100	 	1	2	5	 
IN057	1	6	 	1	1	 	 	 
IN058	1	6	80	1	1	 	 	 
IN059	1	6	75	2	 	 	 	 
IN060	1	6	100	1	1	2	3	4
IN061	1	3	75	1	1	6	 	 
IN062	1	3	20	2	 	 	 	 
IN063	1	3	75	1	1	 	 	 
IN064	1	3	75	2	 	 	 	 
IN066	1	3	80	2	 	 	 	 
IN067	1	3	75	1	2	 	 	 
IN068	1	3	85	1	2	 	 	 
IN070	1	3	80	1	2	 	 	 
IN071	1	3	40	2	 	 	 	 
IN072	1	3	60	2	 	 	 	 
IN073	1	3	40	2	 	 	 	 
IN074	1	3	60	1	1	 	 	 
IN075	1	3	80	2	 	 	 	 
IN076	1	3	75	1	1	 	 	 
IN077	1	3	70	2	 	 	 	 
IN078	1	3	80	1	2	 	 	 
IN079	1	3	80	1	2	 	 	 
IN080	1	3	90	2	 	 	 	 
IN081	1	3	90	1	1	 	 	 
IN082	1	3	35	2	 	 	 	 
IN083	1	3	40	1	1	 	 	 
IN084	1	3	60	1	1	 	 	 
IN085	1	3	999	2	 	 	 	 
IN092	1	3	60	2	 	 	 	 
IN093	1	3	80	1	2	 	 	 
IN096	1	3	75	2	 	 	 	 
IN097	1	3	60	2	 	 	 	 
IN099	1	3	70	1	7	 	 	 
IN098	1	3	50	1	2	2	 	 
