COMMID	rsid	ageres	sexres	capac	livres	ethres
IN059	3	35	2	2	20	1
IN059	4	25	1	2	25	1
IN059	5	45	1	2	45	1
IN059	6	35	2	2	20	3
IN059	7	40	1	7	40	4
IN059	8	48	1	1	1	4
IN059	9	30	1	1	30	1
IN060	1	43	1	7	43	4
IN060	2	56	1	2	56	4
IN060	3	60	1	2	60	1
IN060	4	32	1	1	2	1
IN060	5	46	1	1	1	4
IN061	1	27	1	4	2	4
IN061	2	32	1	1	32	2
IN061	3	58	1	1	9	4
IN061	4	40	1	7	40	2
IN062	1	28	1	2	28	1
IN062	2	52	1	1	1	3
IN062	3	25	1	2	25	4
IN062	4	48	2	4	2	3
IN062	5	40	1	7	40	3
IN063	1	42	1	2	42	3
IN063	2	31	1	1	1	3
IN063	3	33	1	4	4	1
IN063	4	30	1	7	30	1
IN063	5	40	1	7	40	3
IN064	1	48	1	1	48	4
IN064	2	43	1	2	43	3
IN064	3	30	1	7	30	1
IN064	4	30	1	7	30	1
IN065	1	57	1	2	57	3
IN065	2	25	1	2	25	3
IN065	3	41	1	4	5	4
IN065	4	45	1	7	45	1
IN066	1	27	1	2	27	3
IN066	2	45	1	7	45	3
IN066	3	28	1	2	28	3
IN066	4	65	1	7	65	 
IN067	1	60	1	7	28	4
IN067	2	26	1	1	13	3
IN067	3	48	1	4	1	3
IN068	1	39	1	7	23	4
IN068	2	43	1	4	4	4
IN068	3	46	1	1	0	3
IN068	4	60	1	7	60	2
IN069	1	52	1	2	52	1
IN069	2	53	1	2	53	4
IN069	3	56	1	7	56	3
IN070	1	46	1	7	46	4
IN070	2	64	1	3	30	4
IN070	3	55	1	7	55	1
IN071	1	24	2	2	10	2
IN071	2	27	1	7	27	1
IN071	3	21	2	3	21	1
IN071	4	48	1	7	48	1
IN071	5	40	1	7	40	1
IN072	1	40	1	2	40	2
IN072	2	35	2	6	35	2
IN072	3	50	2	6	50	2
IN072	4	39	1	7	39	4
IN072	5	24	1	7	22	1
IN072	6	25	1	4	25	2
IN073	1	40	1	2	10	4
IN073	2	29	2	6	27	3
IN073	3	45	2	6	35	3
IN073	4	50	1	7	20	3
IN074	1	48	1	2	48	2
IN074	2	21	1	7	21	1
IN074	3	41	1	7	41	1
IN074	4	47	1	7	32	1
IN074	5	28	1	7	1	2
IN075	1	23	1	2	23	2
IN075	2	30	2	2	30	2
IN075	3	35	2	6	35	3
IN075	4	50	1	7	25	3
IN075	5	56	1	7	40	2
IN076	1	30	1	1	30	3
IN076	2	44	1	7	44	4
IN077	1	40	1	7	40	3
IN077	2	30	2	1	10	3
IN077	3	50	1	7	50	3
IN078	1	50	2	2	50	3
IN078	2	56	1	4	5	4
IN078	3	55	1	7	55	3
IN078	4	30	1	7	30	3
IN079	1	28	1	1	28	1
IN079	2	40	1	2	40	3
IN080	1	40	1	4	6	3
IN080	2	48	1	7	1	4
IN080	3	55	1	1	55	4
IN080	4	30	1	7	30	3
IN081	1	27	1	2	10	4
IN081	2	55	1	7	1	 
IN081	3	32	1	7	24	4
IN082	1	37	1	2	37	3
IN082	2	22	1	2	22	3
IN082	3	45	2	2	45	3
IN082	4	27	1	7	1	4
IN082	5	24	2	2	13	3
IN083	1	41	1	2	41	4
IN083	2	60	1	7	60	3
IN083	3	65	1	7	65	3
IN083	4	50	1	7	10	4
IN084	1	27	1	2	27	1
IN084	2	25	1	2	25	1
IN085	1	31	1	2	31	1
IN085	2	28	1	7	22	1
IN085	3	48	1	7	48	3
IN086	1	32	1	7	32	4
IN086	2	35	1	7	35	1
IN086	3	54	1	7	25	1
IN086	4	29	1	4	29	3
IN087	1	30	1	2	30	3
IN087	2	40	2	6	40	3
IN087	3	30	1	7	30	3
IN087	4	33	1	7	33	4
IN087	5	30	1	7	30	4
IN088	1	30	2	2	15	3
IN088	2	72	1	7	32	3
IN088	3	26	2	6	10	1
IN088	4	38	1	7	38	4
IN088	5	28	1	7	28	3
IN089	1	34	1	7	12	1
IN089	2	37	1	1	24	3
IN089	3	40	1	7	5	1
IN089	4	26	1	7	10	3
IN089	5	30	1	7	10	3
IN090	1	45	2	6	7	3
IN090	2	32	2	6	7	1
IN090	3	25	1	7	7	3
IN090	4	43	2	6	14	4
IN090	5	38	1	7	4	3
IN090	6	41	1	7	14	3
IN091	1	53	2	6	18	4
IN091	2	36	2	4	30	4
IN091	3	38	2	6	30	4
IN091	4	29	1	7	15	4
IN091	5	40	1	7	18	4
IN092	1	42	1	2	42	3
IN092	2	26	1	2	26	1
IN092	3	36	1	2	36	3
IN092	4	30	1	2	30	3
IN093	1	21	1	7	21	2
IN093	2	40	1	4	35	3
IN096	1	39	1	2	39	1
IN096	2	25	2	6	25	3
IN096	3	30	1	7	30	3
IN097	1	24	1	2	24	3
IN097	2	44	1	1	1	3
IN099	1	75	1	2	75	3
IN099	2	44	1	1	1	4
IN099	3	41	1	1	41	3
IN099	4	52	1	1	52	3
IN099	5	37	1	4	37	3
IN098	1	5	1	2	50	3
IN098	2	30	1	7	15	1
IN101	1	40	2	2	23	3
IN102	1	35	2	1	18	2
IN102	2	59	1	7	40	3
