COMMID	monid	sufood	litwork	lotwrk	movwork
IN002	1	0	0	0	1
IN002	2	0	0	0	1
IN002	3	0	0	0	1
IN002	4	0	0	0	1
IN002	8	1	1	0	0
IN002	9	1	0	0	0
IN002	10	1	0	0	0
IN002	11	1	1	0	0
IN002	12	0	1	0	1
IN003	1	0	1	0	0
IN003	2	0	0	0	1
IN003	3	0	0	0	1
IN003	4	0	0	0	1
IN003	5	0	0	0	1
IN003	6	0	0	0	1
IN003	7	0	1	0	1
IN003	8	0	1	0	0
IN003	9	0	1	0	0
IN003	10	0	0	0	1
IN003	11	0	1	0	1
IN003	12	0	1	0	1
IN004	1	0	1	0	0
IN004	2	0	1	0	0
IN004	3	0	1	0	0
IN004	4	0	0	0	1
IN004	5	0	0	0	1
IN004	6	0	1	0	1
IN004	7	0	1	0	0
IN004	8	0	1	0	0
IN004	10	1	0	0	0
IN004	11	1	1	0	0
IN004	12	0	1	0	0
IN005	1	0	0	0	1
IN005	2	0	1	0	0
IN005	3	0	1	0	0
IN005	7	0	1	0	0
IN005	8	0	1	0	0
IN005	11	1	1	0	1
IN005	12	1	1	0	1
IN006	3	0	1	0	0
IN006	4	0	1	0	0
IN006	8	0	0	0	1
IN006	9	1	1	0	1
IN006	10	1	1	0	0
IN006	11	1	1	0	0
IN007	1	0	1	0	0
IN007	2	0	1	0	0
IN007	3	0	1	0	0
IN007	4	0	1	0	0
IN007	5	1	0	0	0
IN007	6	1	0	0	0
IN007	8	0	0	1	0
IN008	1	0	1	0	1
IN008	2	0	1	0	0
IN008	3	0	0	0	0
IN008	4	1	0	0	0
IN008	5	1	0	0	0
IN008	6	1	0	0	0
IN008	7	1	0	0	0
IN008	8	0	1	1	0
IN008	9	0	1	1	0
IN008	10	0	1	1	1
IN008	11	0	1	0	1
IN008	12	0	0	0	1
IN009	1	0	1	0	0
IN009	2	0	1	0	0
IN009	3	0	1	0	0
IN009	4	0	1	0	0
IN009	8	1	0	0	0
IN009	9	1	0	0	0
IN009	10	1	0	0	0
IN009	11	1	0	0	0
