COMMID	prid	progex
IN001	1	1
IN001	2	1
IN001	3	1
IN001	4	1
IN001	5	1
IN002	1	1
IN002	2	1
IN002	3	2
IN002	4	1
IN002	5	1
IN002	6	1
IN003	1	1
IN003	2	1
IN003	3	2
IN003	4	1
IN003	5	1
IN003	6	1
IN004	1	1
IN004	2	1
IN004	3	2
IN004	4	1
IN004	5	1
IN004	6	1
IN005	1	1
IN005	2	1
IN005	3	1
IN005	4	1
IN005	5	1
IN005	6	2
IN006	1	1
IN006	2	1
IN006	3	2
IN006	4	1
IN006	5	1
IN006	6	1
IN007	2	1
IN007	3	1
IN007	4	1
IN007	5	1
IN008	2	1
IN008	3	1
IN008	4	1
IN008	5	1
IN009	1	1
IN009	3	1
IN009	4	1
IN009	5	1
IN009	6	1
IN010	4	1
IN010	5	1
IN011	3	1
IN011	4	1
IN011	5	1
IN012	1	2
IN012	2	1
IN012	3	1
IN012	4	1
IN012	5	1
IN012	6	2
IN013	1	1
IN013	2	1
IN013	3	1
IN013	4	1
IN013	5	2
IN013	6	1
IN014	1	1
IN014	2	1
IN014	3	2
IN014	4	1
IN014	5	2
IN015	1	1
IN015	2	1
IN015	3	1
IN015	4	1
IN015	5	1
IN015	6	1
IN016	1	1
IN016	2	1
IN016	3	2
IN016	4	1
IN016	5	2
IN017	1	2
IN017	2	1
IN017	3	1
IN017	4	1
IN017	5	1
IN017	6	1
IN018	1	1
IN018	2	1
IN018	3	1
IN018	4	1
IN018	5	1
IN018	6	1
IN019	1	1
IN019	2	1
IN019	3	1
IN019	4	1
IN019	5	1
IN019	6	1
IN020	1	1
IN020	2	1
IN020	3	1
IN020	4	1
IN020	5	1
IN020	6	1
IN021	1	1
IN021	2	1
IN021	3	 
IN021	4	1
IN021	5	1
IN021	6	1
IN022	1	1
IN022	2	1
IN022	3	1
IN022	4	1
IN022	5	1
IN022	6	1
IN023	1	2
IN023	2	1
IN023	3	1
IN023	4	1
IN023	5	1
IN023	6	1
IN024	1	2
IN024	2	2
IN024	3	2
IN024	4	1
IN024	5	2
IN024	6	1
IN025	1	2
IN025	2	2
IN025	3	2
IN025	4	1
IN025	5	2
IN025	6	1
IN026	1	2
IN026	2	2
IN026	3	2
IN026	4	1
IN026	5	2
IN027	1	 
IN027	2	1
IN027	3	1
IN027	4	1
IN027	5	1
IN028	1	 
