COMMID	id	price1	vendor1	price2	vendor2
IN001	1	2	1	3	14
IN001	2	300	1	330	14
IN001	3	150	1	170	14
IN001	4	150	1	180	14
IN001	5	7	1	7	1
IN001	6	300	1	320	14
IN001	7	250	1	275	14
IN001	8	11	9	11	9
IN001	9	40	9	40	9
IN001	10	340	9	30	9
IN001	11	66	9	66	9
IN001	12	205	13	210	14
IN001	13	450	13	470	14
IN001	14	245	13	250	14
IN001	15	6	1	8	14
IN001	16	12	1	12	14
IN001	17	6	1	7	14
IN001	18	30	1	35	14
IN001	19	13	1	14	14
IN001	20	15	1	16	14
IN001	21	45	1	48	14
IN001	22	5	1	6	14
IN001	23	44	1	46	14
IN001	24	9	1	10	14
IN001	25	14	1	16	14
IN002	1	2	1	3	14
IN002	2	300	1	330	14
IN002	3	150	1	170	14
IN002	4	150	1	180	14
IN002	5	7	1	7	1
IN002	6	300	1	320	14
IN002	7	250	1	275	14
IN002	8	11	9	11	9
IN002	9	40	9	40	9
IN002	10	340	9	350	9
IN002	11	66	9	66	9
IN002	12	205	13	210	14
IN002	13	460	13	470	14
IN002	14	245	13	250	14
IN002	15	6	1	8	1
IN002	16	12	1	13	14
IN002	17	6	1	7	14
IN002	18	30	1	35	14
IN002	19	13	1	14	14
IN002	20	15	1	16	14
IN002	21	45	1	48	14
IN002	22	5	1	6	14
IN002	23	44	1	46	14
IN002	24	9	1	10	14
IN002	25	14	1	16	14
IN003	1	2	1	3	14
IN003	2	300	1	330	14
IN003	3	150	1	170	14
IN003	4	150	1	180	14
IN003	5	7	1	7	1
IN003	6	300	1	320	14
IN003	7	250	1	275	14
IN003	8	11	9	11	9
IN003	9	40	9	40	9
IN003	10	340	9	350	9
IN003	11	66	9	66	9
IN003	12	205	13	210	14
IN003	13	450	13	470	14
IN003	14	245	13	250	14
IN003	15	6	1	8	14
IN003	16	12	1	12	14
IN003	17	6	1	7	14
IN003	18	30	1	35	14
IN003	19	13	1	14	14
IN003	20	15	1	16	14
IN003	21	45	1	48	14
IN003	22	5	1	6	14
IN003	23	44	1	456	14
IN003	24	9	1	10	14
IN003	25	14	1	16	14
IN004	1	2	1	3	14
IN004	2	300	1	330	14
IN004	3	150	1	170	14
IN004	4	150	1	180	14
IN004	5	7	1	7	1
IN004	6	300	1	320	14
IN004	7	250	1	275	14
IN004	8	11	9	11	9
IN004	9	40	9	40	9
IN004	10	340	9	350	9
IN004	11	66	9	66	9
IN004	12	205	13	210	14
IN004	13	460	13	470	14
IN004	14	245	13	250	14
IN004	15	6	1	7	1
IN004	16	12	1	13	14
IN004	17	6	1	7	14
IN004	18	30	1	35	14
IN004	19	13	1	14	14
IN004	20	15	1	16	14
IN004	21	45	1	48	14
IN004	22	5	1	6	14
IN004	23	44	1	46	14
IN004	24	9	1	10	14
IN004	25	14	1	16	14
IN005	1	2	1	3	14
IN005	2	300	1	330	14
IN005	3	150	1	170	14
IN005	4	150	1	180	14
IN005	5	7	1	7	1
IN005	6	300	1	320	14
IN005	7	250	1	275	14
IN005	8	11	9	11	9
IN005	9	40	9	40	9
IN005	10	340	9	350	9
IN005	11	66	9	66	9
IN005	12	205	13	210	14
IN005	13	450	13	470	14
IN005	14	245	13	250	14
IN005	15	6	1	8	14
IN005	16	12	1	13	14
IN005	17	6	1	7	14
IN005	18	30	1	35	14
IN005	19	13	1	14	14
IN005	20	15	1	16	14
IN005	21	45	1	48	14
IN005	22	5	1	6	14
IN005	23	44	1	46	14
IN005	24	9	1	10	14
IN005	25	14	1	16	14
IN006	1	2	1	3	14
IN006	2	300	1	330	14
IN006	3	150	1	170	14
IN006	4	150	1	180	14
IN006	5	7	1	7	1
IN006	6	300	1	320	14
IN006	7	250	1	275	14
IN006	8	11	9	11	9
IN006	9	40	9	40	9
IN006	10	340	9	350	9
IN006	11	66	9	66	9
IN006	12	205	13	210	14
IN006	13	460	13	470	14
IN006	14	245	13	250	14
IN006	15	6	1	8	1
IN006	16	12	1	13	1
IN006	17	6	1	7	1
IN006	18	30	1	35	1
IN006	19	13	1	14	1
IN006	20	15	1	16	1
IN006	21	45	1	48	1
IN006	22	5	1	6	1
IN006	23	44	1	46	1
IN006	24	9	10	10	1
IN006	25	14	1	16	1
IN008	1	2	1	3	2
IN008	2	450	1	350	7
IN008	3	150	1	175	8
IN008	4	150	1	180	2
IN008	5	6	1	8	1
IN008	6	300	1	320	2
IN008	7	250	1	275	2
IN008	8	11	9	11	9
IN008	9	40	9	38	10
IN008	10	340	9	320	10
IN008	11	66	9	66	10
IN008	12	205	13	210	14
IN008	13	450	13	475	14
IN008	14	245	13	250	14
IN008	15	6	1	9	2
IN008	16	12	1	12	2
IN008	17	6	1	7	2
IN008	18	32	1	12	7
IN008	19	13	1	7	14
IN008	20	15	1	35	8
IN008	21	45	1	14	7
IN008	22	5	1	16	3
IN008	23	44	1	46	4
IN008	24	9	1	6	8
IN008	25	14	1	12	7
IN009	1	2	1	3	1
IN009	2	120	1	150	1
IN009	3	80	1	75	1
IN009	4	100	1	100	1
IN009	5	125	1	140	1
IN009	6	125	1	140	1
IN009	7	80	1	75	1
IN009	8	21	9	20	9
IN009	9	40	9	50	9
IN009	10	360	9	380	9
IN009	11	12	9	14	9
IN009	12	205	13	210	13
IN009	13	470	13	475	13
IN009	14	240	13	245	13
IN009	15	13	1	15	1
IN009	16	11	1	12	1
IN009	17	6	1	8	1
IN009	18	30	1	35	1
IN009	19	13	1	14	1
IN009	20	15	1	16	1
IN009	21	48	1	50	1
IN009	22	6	1	7	1
IN009	23	44	1	46	1
IN009	24	9	7	12	8
IN009	25	15	11	18	1
IN010	1	3	1	4	2
IN010	2	300	1	330	7
IN010	3	150	1	175	8
IN010	4	130	1	175	2
IN010	5	7	1	8	1
IN010	6	300	1	320	2
IN010	7	250	1	275	2
IN010	8	11	9	11	9
IN010	9	40	9	36	9
IN010	10	340	9	320	10
IN010	11	66	9	66	9
IN010	12	205	13	210	14
IN010	13	450	13	475	14
IN010	14	245	13	250	14
IN010	15	6	1	9	2
IN010	16	12	1	12	2
IN010	17	6	1	7	2
IN010	18	30	1	35	7
IN010	19	13	1	14	8
IN010	20	15	1	16	7
IN010	21	45	1	48	3
IN010	22	5	1	6	4
IN010	23	42	1	46	4
IN010	24	9	1	10	8
IN010	25	12	1	12	2
IN011	1	500	1	650	7
IN011	2	7000	1	7500	7
