COMMID	CLUSTID	DISTRID	suprdate	area	unit	arable	irigland	pop	popchg	land1	land2	land3	land4	land5	land6	land7	land8	land9	land10	city	szcit	twndis	subzone	waste	airpol	watpol	contsoil	pestmen	specpol	shanty	semi	perm	story	bigmult	smalmult	shansc	shanst	shanbc	shanoc	semisc	semist	semibc	semioc	permsc	permst	permbc	permoc	storsc	storst	storbc	storoc	bigmsc	bigmst	bigmbc	bigmoc	smalsc	smalst	smalbc	smaloc	lang1	lang2	lang3	lang4	lang5	lang6	lang7	szlang1	szlang2	szlang3	eth1	eth2	eth3	eth4	szeth1	szeth2	szeth3	rel1	rel2	rel3	rel4	rel5	rel6	szrel1	szrel2	szrel3	legal	council	elechow	conclive	concvist	grievpol	chief	chiefsc	chiefst	chiefbc	chiefoc	chfhowsc	chfhowst	chfhowbc	chfhowoc	chflivsc	chflivst	chflivbc	chflivoc	chfvissc	chfvisst	chfvisbc	chfvisoc	thfcrm	violcrm	yuthcrm	proscrm	comcrm	speccrm	toil1	toil2	toil3	toil4	water1	water2	water3	water4	garb1	garb2	garb3	garb4	cansel	shop1	shop2	shop3	shop4	shop5	road1	road2	road3	road4	road5	frqpass	pubtran1	pubtran2	pubtran3	pubtran4	pubtran5	pubtran6	pubtran7	pubtran8	pubtran9	outtran	dispub	frqpub	prog	comgrp1	comgrp2	comgrp3	comgrp4	comgrp5	comgrp6	comgrp7	comgrp8	income1	income2	income3	income4	income5	income6	income7	income8	income9	inc1	inc2	inc3	whown	aqu1	aqu2	aqu3	aqu4	aqu5	aqu6	irigsrc	fert	insect	frmhlp1	frmhlp2	frmhlp3	frmhlp4	frmhlp5	frmhlp6	frmhlp7	plant	factoty	putout	schpay	nurpay	munpay	helcost	midwife	batten	tradhe	villhel	menthel	sochel	adultlit	currency
IN024	3	1	 	28.5	ACRES	0	0	2145	1	1	0	0	0	0	0	0	0	0	0	1	 	 	3	3	3	3	3	3	3	1	1	1	2	2	2	 	 	20	 	 	 	60	10	 	 	150	200	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	0	0	0	1	2	 	0	0	1	1	4	3	 	0	0	0	1	0	0	4	 	 	1	1	1	2	1	1	1	9	9	1	2	 	 	4	8	 	 	2	8	 	 	1	8	2	2	2	2	2	2	1	1	0	0	1	0	1	0	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	 	0	1	1	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	10	7	8	2	0	1	1	0	1	0	 	 	 	0	0	0	0	0	0	0	2	2	2	153	150	113	100	2	2	2	1	2	2	1	RUPEE
IN025	3	1	12/13/2002	40.2999992370605	ACRES	0	0	3172	1	1	0	0	0	0	0	0	0	1	0	1	 	 	3	3	3	3	3	3	3	1	1	1	1	2	2	0	0	50	6	0	0	20	12	2	0	400	120	0	0	20	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	2	3	1	0	1	1	3	4	1	1	0	1	1	0	0	4	1	3	1	1	1	2	1	1	 	2	2	1	2	8	8	4	8	8	8	1	8	8	8	 	8	2	2	2	2	2	2	1	1	0	0	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	 	0	1	1	0	1	1	0	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	10	6	7	 	0	1	1	0	1	0	 	 	 	0	0	0	0	0	0	0	2	2	2	 	 	 	150	2	2	2	1	2	2	2	RUPEES
IN026	3	1	12/10/2002	28.8999996185303	ACRES	0	0	1567	1	1	0	0	0	0	0	0	0	1	0	1	 	 	3	3	3	3	3	3	3	1	1	1	2	2	2	0	0	10	0	0	0	60	100	3	0	100	150	0	0	0	0	0	0	0	0	0	0	 	0	1	0	0	0	0	0	0	1	 	 	0	0	1	1	4	3	 	1	0	1	1	0	0	4	1	3	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	2	1	1	0	0	0	0	1	0	1	0	0	0	1	1	1	1	0	1	1	0	0	0	0	 	0	1	1	0	0	1	1	0	0	1	1	1	 	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	10	7	5	2	0	1	1	0	1	0	 	 	 	1	0	0	0	0	0	0	 	2	2	 	 	 	150	2	2	2	1	2	2	1	RUPEE
IN027	2	6	9/15/2002	4415	METERS	 	 	1074	3	0	1	1	0	0	0	0	0	0	0	2	 	130	4	3	3	3	3	2	2	1	1	1	 	 	 	1	76	1	 	2	158	14	6	 	4	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	1	7	1	 	0	1	1	0	2	3	 	1	0	0	1	0	0	4	1	 	1	1	2	2	1	1	 	 	1	2	2	 	4	8	8	 	 	8	8	 	 	8	8	2	1	2	2	2	 	0	0	0	0	0	0	1	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	 	0	1	0	0	1	0	0	0	0	1	2	1	 	0	1	1	1	1	0	0	0	1	1	0	0	1	0	0	0	0	1	2	10	2	0	0	1	0	0	0	1	2	2	1	1	1	0	0	1	0	2	 	 	 	 	 	20	1	1	2	1	 	 	2	RUPEES
IN028	2	6	9/20/2002	4336	METERS	 	 	1209	3	1	0	1	0	0	0	0	0	0	0	2	 	120	4	3	3	2	3	1	88	 	 	 	 	 	 	3	49	10	5	5	88	4	13	6	25	4	5	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	1	7	1	 	0	1	1	1	2	4	3	1	1	0	1	0	0	4	2	1	1	1	2	1	 	 	1	 	1	2	1	 	4	 	 	 	 	8	 	 	 	8	 	2	2	1	2	 	 	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	 	0	1	0	0	1	0	0	0	0	1	3	1	 	0	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	2	 	2	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	2	2	2	 	 	 	20	1	1	1	1	 	 	1	RUPEE
IN029	2	6	 	5680	METERS	 	 	1053	3	1	0	1	0	0	0	0	0	0	0	2	 	80	4	3	3	3	3	2	88	1	1	1	 	 	 	10	86	40	20	6	30	120	40	8	14	100	30	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	1	1	7	 	0	1	1	1	3	4	2	1	1	0	1	0	0	4	1	2	1	1	1	1	1	1	1	 	1	1	1	 	3	3	3	 	 	 	 	 	 	 	 	2	2	2	2	2	 	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	1	1	0	0	0	12	0	1	0	0	1	0	1	0	0	1	2	1	1	0	1	1	1	1	0	0	0	1	1	0	0	1	0	0	0	0	1	2	5	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	1	2	 	 	 	 	50	1	1	1	1	1	1	1	 
IN030	2	6	 	481	 	 	 	680	1	1	0	1	0	0	0	0	0	0	0	2	 	100	4	3	3	3	3	2	88	1	1	1	 	 	 	15	20	2	2	34	94	4	8	23	68	5	2	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	1	7	1	 	1	1	1	0	2	1	3	1	0	0	1	0	0	4	1	 	1	2	88	2	1	1	1	 	1	2	2	 	4	8	8	 	 	8	8	 	 	8	8	2	2	2	2	2	 	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	1	1	1	0	0	0	 	0	1	0	0	1	0	1	0	0	1	2	1	1	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	2	 	1	1	0	1	0	0	1	 	1	1	1	1	1	1	1	0	0	1	2	2	153	150	113	30	1	1	1	1	 	1	1	RUPEE
IN031	2	6	9/12/2002	431	ACRES	 	 	404	3	1	0	1	0	0	0	0	0	0	0	2	 	110	4	99	99	99	99	 	1	 	 	1	 	 	 	11	 	1	 	1	9	6	1	25	3	3	1	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	1	7	1	 	0	1	1	0	2	3	 	1	0	0	1	0	0	4	1	 	1	1	1	2	1	1	1	 	1	1	 	 	3	4	 	 	1	1	 	 	 	 	 	2	2	2	2	2	 	0	0	0	1	0	0	1	0	0	0	0	1	2	0	0	0	1	0	1	0	0	0	0	12	0	1	0	0	1	0	1	0	0	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0	1	2	3	2	0	0	1	0	0	0	1	2	2	1	0	1	0	0	0	0	2	2	2	153	150	113	20	1	2	1	1	2	2	1	RUPEE
IN032	2	6	9/15/2002	5554	ACRES	2500	1176	4399	1	1	0	1	0	0	0	0	0	0	0	2	 	120	4	3	3	3	3	2	88	1	1	1	 	 	 	10	90	10	10	40	20	15	30	30	20	10	 	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	1	7	1	 	0	1	0	0	2	 	 	1	0	0	1	0	0	 	 	 	1	2	88	8	8	8	1	 	1	 	 	 	4	 	 	 	 	 	 	 	 	 	 	2	2	2	2	2	 	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	 	0	0	1	0	1	0	1	0	0	1	2	1	 	0	1	0	1	1	1	0	0	1	0	0	0	1	0	1	0	0	1	 	 	1	0	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	 	2	2	 	 	 	30	1	1	 	1	2	 	1	RUPEE
IN033	1	6	10/20/2002	2.5	K.M.	 	 	 	1	1	1	0	0	0	0	1	0	1	0	1	1972	 	3	99	2	99	2	2	88	1	1	1	2	2	2	15	12	30	6	20	 	80	200	4	 	65	400	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	1	 	 	1	0	1	1	4	3	1	0	0	0	1	0	0	4	 	 	1	1	1	1	 	 	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	1	2	2	2	2	 	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1	0	0	0	0	 	0	1	1	1	1	1	1	0	0	1	1	 	1	0	1	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	7	8	5	2	0	0	1	0	1	1	3	1	1	1	1	1	0	0	1	0	2	 	 	150	133	35	750	1	 	 	1	1	1	1	 
IN034	1	6	11/4/2002	2.5	K.M.	 	 	5032	1	1	0	0	0	0	0	1	0	1	0	1	1972	 	2	99	2	2	2	 	88	1	1	1	1	 	 	10	4	35	13	20	8	98	200	15	6	52	410	 	 	 	4	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	1	 	 	1	0	1	1	4	3	1	1	1	0	1	0	0	4	1	2	1	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	1	 	 	 	1	0	1	0	1	0	1	0	0	0	1	0	1	1	1	1	1	1	1	0	0	0	0	 	0	1	1	0	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	4	1	7	2	0	0	1	0	0	0	3	1	1	1	1	0	0	0	1	0	2	 	 	133	150	35	100	1	 	 	1	1	1	1	 
IN035	11	5	9/15/2002	5230.5	 	3597	100	4000	1	1	0	0	0	0	0	0	0	0	0	2	 	76	3	3	3	2	1	1	3	1	1	1	2	2	2	20	0	52	10	0	0	30	0	22	0	120	80	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	2	4	1	0	1	1	3	4	1	1	1	0	1	0	0	4	2	1	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	2	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	 	0	1	0	0	0	1	0	0	0	1	 	1	 	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	7	 	2	1	0	1	0	1	0	 	1	1	1	0	1	0	0	1	0	2	2	2	130	75	35	30	2	1	1	1	2	2	1	 
IN036	11	5	9/19/2002	2025	ACRES	1800	0	910	1	1	1	0	0	0	0	0	0	1	0	2	 	70	3	3	3	3	3	1	1	1	1	1	2	2	2	6	0	10	0	10	0	20	10	40	0	70	30	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	2	 	1	0	1	1	1	3	4	1	0	0	1	0	0	4	1	 	1	1	3	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	2	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	 	0	1	0	0	0	1	0	0	0	2	1	1	 	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	7	 	2	0	0	1	0	1	0	 	1	1	1	0	1	0	1	0	0	2	2	2	130	75	35	20	2	1	2	2	2	2	2	RUPEE
IN037	11	5	9/30/2002	2800	 	2600	15	1780	1	1	0	1	0	0	0	0	0	1	0	2	 	60	3	3	3	3	3	1	3	1	1	1	2	2	2	20	 	20	 	12	 	30	2	30	 	80	30	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	1	0	0	1	2	5	1	0	1	1	3	1	4	0	1	0	1	0	0	4	2	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	2	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	 	0	1	0	0	0	1	0	0	0	1	 	1	 	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	7	 	2	0	0	1	0	1	0	6	1	1	1	0	1	0	1	1	0	2	2	2	1301	75	35	20	1	1	 	 	 	 	1	RUPEE
IN038	11	5	10/2/2002	10000	 	4000	66	4000	1	1	0	0	0	0	0	0	0	1	0	2	 	72	3	3	3	3	3	3	1	1	1	1	2	2	2	10	10	31	2	10	10	72	6	30	20	90	8	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	0	0	1	1	7	2	1	1	1	1	3	1	2	0	1	0	1	0	0	4	2	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	 	 	2	1	2	2	0	0	1	1	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	 	0	1	0	0	0	0	0	0	0	2	8	1	2	0	0	1	1	1	0	0	0	1	0	0	0	1	0	1	0	0	1	5	7	2	1	0	1	0	1	0	6	1	2	1	0	1	0	1	0	0	2	2	2	130	75	35	20	1	1	2	2	2	2	1	RUPEE
IN040	11	5	9/23/2002	2600	ACRES	2500	30	1340	1	1	0	1	0	0	0	0	0	1	0	2	 	65	3	3	3	3	3	1	3	1	1	1	2	2	2	3	 	12	 	3	 	15	 	28	 	130	20	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	1	 	 	1	0	1	1	3	1	4	1	0	0	1	0	0	4	1	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	2	0	0	1	1	0	0	1	0	0	0	1	1	1	0	0	1	1	0	1	0	0	0	0	 	0	1	0	0	0	1	0	0	0	1	 	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	1	0	1	7	 	2	1	0	1	0	1	0	6	1	2	0	1	0	0	0	0	0	 	2	2	130	75	35	20	1	2	2	2	2	 	1	RUPEE
IN041	12	5	10/24/2002	3492.39990234375	ACRES	2813.30004882813	137.600006103516	3500	1	1	0	1	0	0	0	0	0	0	0	99	 	58	3	3	3	3	3	1	3	1	1	1	2	2	2	12	10	83	11	20	10	72	12	28	10	293	70	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	0	0	1	1	7	2	1	1	1	1	3	4	1	0	1	0	1	0	0	4	2	 	1	1	1	2	1	1	1	2	1	2	1	8	3	8	 	8	1	8	 	8	 	8	 	2	2	2	 	1	2	0	1	0	1	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	 	0	1	0	0	0	0	0	0	0	1	 	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	7	 	2	1	0	1	0	1	0	5	1	1	1	0	1	0	1	1	0	2	2	2	130	75	34	10	1	1	1	2	2	2	1	 
IN042	12	5	11/1/2002	6288.7998046875	 	180	3797.5	7000	1	1	0	1	0	0	0	0	0	0	0	2	 	60	3	3	3	3	3	1	3	1	1	1	2	2	2	25	2	115	57	39	4	84	88	105	 	334	172	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	0	0	1	1	2	7	1	0	1	1	3	4	1	0	1	0	1	0	0	4	2	 	1	1	1	2	2	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	2	0	1	0	1	1	0	1	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	 	0	1	0	0	0	0	0	0	0	1	 	1	 	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	7	 	2	1	0	1	0	1	0	2	1	1	1	0	1	0	1	1	0	2	2	2	130	75	35	20	2	1	2	2	2	2	1	RUPPEE
IN043	13	5	 	404.200012207031	ACRES	260.399993896484	100	3000	1	1	0	1	0	0	0	0	0	1	0	2	 	150	3	3	3	3	3	1	3	1	1	1	2	2	2	34	 	10	50	24	 	18	80	102	 	12	158	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	1	0	0	0	4	1	 	1	0	1	1	4	1	3	0	0	0	1	0	0	4	 	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	2	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	0	1	1	0	0	0	 	0	1	0	0	0	0	0	0	0	1	 	1	 	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	7	 	2	0	0	1	0	1	0	6	1	1	1	0	1	0	1	1	0	2	2	2	130	75	33	25	1	1	2	2	2	2	1	RUPEE
IN044	13	5	 	5769.7001953125	ACRES	3350	250	4100	1	1	0	1	0	0	0	0	0	1	0	2	 	110	3	3	3	3	3	1	3	1	1	1	2	2	2	46	4	58	11	111	10	196	27	 	15	184	40	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	1	0	0	0	4	1	 	1	0	1	1	3	1	4	0	0	0	1	0	0	4	 	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	2	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	 	0	1	0	0	0	1	0	0	0	1	 	1	 	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	7	 	2	1	0	1	0	1	0	6	1	1	1	0	1	1	1	1	0	2	2	2	130	75	35	20	1	1	2	2	2	2	1	RUPPEE
IN045	13	5	12/2/2002	3083.60009765625	ACRES	1651.80004882813	466.200012207031	 	1	1	0	1	0	0	0	0	0	0	0	2	 	140	3	3	3	3	3	1	3	1	1	1	2	2	2	22	 	39	 	15	 	105	12	29	 	152	18	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	1	0	0	5	1	2	1	0	1	1	3	1	4	0	1	0	1	0	0	4	2	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	2	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	0	1	0	0	0	0	 	0	1	0	0	0	0	0	0	0	1	 	1	 	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	7	 	2	1	0	1	0	1	0	6	1	1	1	0	1	0	0	1	0	2	2	2	130	75	35	15	2	2	2	2	2	2	1	RUPEE
IN046	13	5	11/21/2002	650	ACRES	450	10	1500	1	1	0	0	0	0	0	0	0	1	0	2	 	132	3	3	3	3	3	1	3	1	1	1	2	2	2	40	 	12	24	40	 	15	37	50	 	18	108	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	1	0	0	5	1	2	1	0	1	1	4	1	3	0	1	0	1	0	0	4	2	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	2	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	0	 	0	1	0	0	0	1	0	0	0	1	 	1	 	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	7	 	2	0	0	1	0	1	0	6	1	2	1	0	1	0	1	0	0	2	2	2	130	75	35	30	2	2	2	2	2	2	1	RUPEE
IN047	10	5	12/30/2002	8	ACRES	0	0	3000	1	1	0	0	0	0	0	0	0	1	0	1	5000	102	3	3	3	3	1	 	88	1	1	1	1	 	 	6	 	 	 	24	25	30	350	30	 	70	750	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	1	1	0	1	2	5	1	0	1	1	4	3	1	1	1	0	1	0	0	4	2	1	1	1	1	1	 	 	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	1	2	2	2	2	 	1	1	0	0	1	1	1	0	1	0	0	0	 	1	1	1	1	1	1	0	0	0	0	 	0	0	0	0	0	0	0	0	0	1	 	1	 	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	10	7	6	2	0	0	1	0	1	0	 	 	 	0	0	0	0	0	0	0	 	2	2	130	75	33	30	2	1	2	2	2	2	1	RUPEE
IN048	10	5	12/28/2002	15	ACRES	0	0	30000	1	1	0	0	0	0	0	0	0	1	0	1	5000	200	3	3	1	3	3	3	88	1	1	1	2	2	2	100	 	40	 	200	 	40	 	700	 	120	300	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	0	0	0	1	2	 	1	0	1	1	1	4	3	1	1	0	1	0	0	4	2	1	1	1	1	1	 	 	1	1	9	1	1	4	 	4	1	1	 	1	1	1	 	1	1	2	2	2	2	2	 	1	1	1	1	1	1	1	0	1	0	0	0	1	0	0	0	1	1	1	0	0	0	0	 	0	0	0	0	1	0	0	0	0	1	 	1	1	0	1	1	1	0	0	0	1	0	0	0	0	0	1	1	1	0	10	6	8	2	0	0	1	0	1	0	 	 	 	0	0	0	0	0	0	0	 	 	2	135	35	175	30	1	2	2	1	2	2	1	RUPEE
IN049	10	5	12/15/2002	60	ACRES	0	0	6500	1	1	0	0	0	0	0	1	0	1	0	1	 	 	3	1	1	1	99	 	88	1	1	1	 	 	 	30	100	30	 	70	50	800	400	 	150	400	625	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	0	0	0	1	2	 	0	1	1	1	3	4	2	1	1	0	1	0	0	4	2	1	1	1	1	1	 	 	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	1	1	2	2	2	 	1	1	0	1	1	0	1	0	1	0	0	0	1	1	0	1	1	1	1	0	0	0	0	 	0	0	0	0	1	0	0	0	0	1	 	1	 	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	7	8	6	1	0	0	1	0	1	0	 	 	 	0	0	0	0	0	0	0	 	 	2	135	70	33	30	 	2	2	2	2	2	1	 
IN050	8	3	10/18/2002	900.469970703125	ACRES	750	350	 	99	1	0	1	0	1	0	0	0	1	0	99	 	30	3	3	3	3	3	1	3	1	 	1	 	 	 	 	 	20	 	 	 	34	40	80	 	10	20	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	1	 	 	1	0	1	1	4	1	3	1	0	0	1	0	0	4	1	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	 	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0	0	 	0	0	0	0	0	0	0	0	0	1	 	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	6	7	1	0	0	1	0	1	0	4	1	1	0	0	1	0	0	0	0	2	2	2	130	75	35	30	 	 	 	 	 	 	1	RUPEE
IN051	8	3	10/4/2002	600	ACRES	500	500	653	1	1	0	1	0	0	0	0	0	1	0	99	 	38	3	3	3	3	3	1	3	 	 	 	 	 	 	 	15	69	6	 	 	15	5	 	 	46	10	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	1	1	7	 	0	1	1	1	3	4	2	0	1	0	1	0	0	4	2	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	 	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	 	 	 	1	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	1	6	7	1	0	0	1	0	1	0	4	1	1	0	0	0	0	0	0	1	2	2	2	130	75	35	50	2	 	2	 	2	2	1	RUPEE
IN052	8	3	9/27/2002	956.140014648438	ACRES	800	800	1987	1	1	0	1	0	0	0	0	0	1	0	2	 	40	3	99	99	99	99	1	88	1	1	1	 	 	 	30	 	10	 	 	 	 	25	60	15	110	100	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	0	0	0	1	2	 	1	1	1	1	4	3	1	1	1	0	1	0	0	4	2	1	1	1	1	2	1	1	1	1	 	2	2	3	 	8	8	1	1	8	8	 	 	8	8	2	2	2	2	2	 	1	0	0	1	1	0	1	0	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	 	0	1	0	0	0	0	0	0	0	1	 	1	1	0	0	1	1	1	0	1	0	1	0	0	0	1	1	1	1	0	1	6	7	1	0	0	1	0	1	0	4	1	1	1	0	1	0	0	1	0	2	2	2	130	75	35	25	1	1	2	1	2	2	1	RUPEE
IN053	8	3	10/12/2002	928.510009765625	ACRES	825.510009765625	825.510009765625	2500	1	1	0	1	0	1	0	0	0	0	0	2	 	42	3	3	3	3	3	1	3	1	1	1	 	 	 	10	 	30	15	 	 	10	15	50	 	99	100	 	 	 	 	 	 	 	 	 	 	 	 	1	0	0	0	0	0	0	1	 	 	1	0	1	1	4	1	3	1	0	0	1	0	0	4	1	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	 	1	0	1	0	1	0	1	0	0	0	1	0	1	0	0	1	1	1	1	0	0	0	0	 	0	1	0	0	0	0	0	0	0	 	 	1	1	0	0	1	1	0	0	0	1	1	0	0	0	0	1	1	1	0	1	10	7	2	0	1	0	1	1	0	4	1	1	1	0	0	0	0	0	0	2	2	2	130	75	35	50	2	1	2	1	2	1	1	RUPEE
IN054	8	3	10/2/2002	1300.59997558594	ACRES	1000	700	750	1	1	0	1	0	0	0	0	0	1	0	99	 	46	3	99	99	2	99	1	88	1	1	1	 	 	 	2	 	50	20	 	 	20	9	16	 	35	8	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	0	0	0	1	2	 	1	0	1	1	3	4	1	1	0	0	1	0	0	4	1	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	 	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	1	1	1	0	1	0	0	0	 	0	1	0	0	0	0	0	0	0	1	 	1	 	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	10	6	2	0	0	1	0	1	0	6	 	1	0	0	0	0	0	0	1	2	2	2	130	75	35	50	2	1	2	2	2	2	1	RUPEE
