COMMID	CLUSTID	DISTRID	suprdate	area	unit	arable	irigland	pop	popchg	land1	land2	land3	land4	land5	land6	land7	land8	land9	land10	city	szcit	twndis	subzone	waste	airpol	watpol	contsoil	pestmen	specpol	shanty	semi	perm	story	bigmult	smalmult	shansc	shanst	shanbc	shanoc	semisc	semist	semibc	semioc	permsc	permst	permbc	permoc	storsc	storst	storbc	storoc	bigmsc	bigmst	bigmbc	bigmoc	smalsc	smalst	smalbc	smaloc	lang1	lang2	lang3	lang4	lang5	lang6	lang7	szlang1	szlang2	szlang3	eth1	eth2	eth3	eth4	szeth1	szeth2	szeth3	rel1	rel2	rel3	rel4	rel5	rel6	szrel1	szrel2	szrel3	legal	council	elechow	conclive	concvist	grievpol	chief	chiefsc	chiefst	chiefbc	chiefoc	chfhowsc	chfhowst	chfhowbc	chfhowoc	chflivsc	chflivst	chflivbc	chflivoc	chfvissc	chfvisst	chfvisbc	chfvisoc	thfcrm	violcrm	yuthcrm	proscrm	comcrm	speccrm	toil1	toil2	toil3	toil4	water1	water2	water3	water4	garb1	garb2	garb3	garb4	cansel	shop1	shop2	shop3	shop4	shop5	road1	road2	road3	road4	road5	frqpass	pubtran1	pubtran2	pubtran3	pubtran4	pubtran5	pubtran6	pubtran7	pubtran8	pubtran9	outtran	dispub	frqpub	prog	comgrp1	comgrp2	comgrp3	comgrp4	comgrp5	comgrp6	comgrp7	comgrp8	income1	income2	income3	income4	income5	income6	income7	income8	income9	inc1	inc2	inc3	whown	aqu1	aqu2	aqu3	aqu4	aqu5	aqu6	irigsrc	fert	insect	frmhlp1	frmhlp2	frmhlp3	frmhlp4	frmhlp5	frmhlp6	frmhlp7	plant	factoty	putout	schpay	nurpay	munpay	helcost	midwife	batten	tradhe	villhel	menthel	sochel	adultlit	currency
IN014	6	1	9/19/2002	603.5	ACRES	371.700012207031	265.600006103516	1001	3	1	0	1	0	1	0	0	0	0	0	2	 	20	3	3	3	3	2	2	3	1	1	1	2	2	2	12	0	25	10	0	0	15	0	17	0	200	12	0	0	0	 	0	0	0	 	0	0	0	 	1	1	0	0	0	0	0	1	2	 	1	0	1	1	3	4	1	0	0	0	1	0	0	4	 	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	2	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	 	0	1	0	1	0	1	1	0	0	1	3	1	1	0	0	0	1	1	0	0	0	1	0	0	1	0	1	1	1	0	1	10	7	2	0	0	1	0	1	0	4	1	1	0	1	0	0	0	1	0	2	2	2	130	75	35	50	2	1	2	1	2	2	1	RUPEE
IN015	6	1	9/22/2002	512.200012207031	ACRES	393.200012207031	133.800003051758	1119	3	1	0	1	0	0	0	0	0	1	0	2	 	30	3	3	3	3	3	1	3	1	1	1	2	2	2	1	0	30	0	25	3	90	4	10	3	96	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	 	 	0	1	1	1	3	2	4	1	1	0	0	0	0	1	2	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	2	1	0	0	0	0	0	1	1	0	0	0	0	2	0	0	1	1	0	1	1	0	0	0	 	0	1	1	0	0	1	1	0	0	1	1	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	1	0	1	7	8	2	1	0	1	0	1	0	2	1	1	0	1	1	0	0	1	0	2	2	2	130	75	35	50	2	2	2	1	2	2	1	RUPEE
IN016	6	1	9/25/2002	992.799987792969	ACRES	604.5	137.600006103516	917	99	1	0	1	0	1	0	0	0	0	0	2	 	28	3	3	3	3	1	1	3	1	1	1	2	2	2	7	 	120	1	 	 	3	 	10	 	75	14	 	 	 	 	 	 	 	 	 	 	 	 	1	1	0	0	0	0	0	1	2	 	0	1	1	1	3	2	4	1	0	0	1	0	0	4	1	 	1	1	1	2	1	1	1	2	2	1	2	8	8	1	8	8	8	 	8	8	8	 	8	2	2	2	2	1	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	 	0	1	0	0	0	0	1	0	0	1	1	1	1	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	0	1	4	7	 	0	0	1	0	1	0	2	1	1	1	0	0	0	0	0	0	2	2	2	130	75	35	 	2	2	2	1	2	2	1	RUPEE
IN017	6	1	9/27/2002	707	ACRES	366	113	1090	3	1	0	1	0	0	0	0	0	0	0	2	 	40	3	3	3	3	3	2	3	1	1	1	2	2	2	10	0	80	0	0	0	9	0	26	0	70	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	 	 	1	0	1	1	3	1	4	1	0	0	0	0	0	1	 	 	1	1	1	2	1	1	1	1	 	1	 	4	 	4	 	1	 	1	 	 	 	 	 	1	1	2	2	2	2	1	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	 	0	1	1	0	0	1	1	0	0	1	1	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	0	1	6	8	2	1	1	1	0	1	1	2	1	1	1	0	1	0	0	1	0	2	2	2	130	75	35	50	2	1	2	1	2	2	1	RUPEE
IN018	7	1	10/25/2002	829.599975585938	ACRES	672.599975585938	498.899993896484	1366	1	1	0	1	0	0	0	0	0	1	0	2	 	90	3	3	3	3	3	2	3	1	1	1	2	2	2	15	0	190	13	0	0	9	5	4	0	41	10	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	2	 	1	0	1	1	3	4	1	0	0	0	1	0	0	4	 	 	1	1	1	2	1	1	1	1	9	1	1	4	 	4	4	1	 	1	1	 	 	 	 	2	2	2	 	 	 	0	1	0	0	0	0	1	1	0	0	0	0	2	0	0	1	1	0	1	1	0	0	0	 	0	1	1	0	0	0	1	0	0	1	1	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	7	 	1	1	1	1	0	1	1	4	1	1	1	0	0	0	0	1	0	1	2	2	133	150	35	150	2	1	1	1	2	2	1	RUPEE
IN019	7	1	 	302.299987792969	ACRES	222	97.6999969482422	1559	1	1	0	1	0	0	0	0	0	1	0	2	 	95	3	3	3	3	3	2	3	1	1	1	2	2	2	9	30	25	5	0	45	10	0	0	47	26	25	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	3	1	7	1	1	1	0	2	3	1	0	0	0	1	0	0	4	 	 	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	 	 	 	2	2	2	2	2	2	1	0	0	0	0	0	1	1	0	0	0	0	2	0	0	1	1	0	1	0	0	0	0	 	0	1	1	0	1	0	1	0	0	1	1	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1	7	6	2	1	1	1	0	1	0	3	1	1	1	1	1	1	0	1	0	2	2	2	133	150	35	100	2	2	2	1	2	2	1	RUPEE
IN020	7	1	10/31/2002	713.900024414063	 	411.799987792969	273	1781	1	1	0	1	0	0	0	0	0	0	0	2	 	110	3	3	3	3	3	3	3	1	1	1	2	2	2	10	0	200	50	18	0	20	10	32	0	30	26	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	3	 	1	0	1	1	3	4	1	0	0	0	1	0	0	4	 	 	1	1	1	2	1	1	1	2	9	1	1	8	 	4	4	8	 	1	1	8	 	 	 	2	2	2	2	2	2	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	 	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	1	1	1	0	0	0	1	0	0	0	1	0	1	0	0	1	7	5	2	1	1	1	0	1	0	2	1	1	1	1	1	1	0	1	0	2	2	2	133	150	35	100	2	2	2	1	2	2	1	RUPEE
IN021	7	1	10/7/2002	554.700012207031	 	353.899993896484	304.600006103516	1026	1	1	0	1	0	0	1	1	0	0	0	2	 	90	3	3	3	3	3	3	3	1	1	1	2	2	2	10	0	72	15	0	0	10	2	0	0	90	3	 	0	0	 	0	 	0	 	0	0	0	 	1	1	1	0	0	0	0	1	3	2	1	0	1	1	3	4	1	0	0	0	1	0	0	4	 	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	 	0	0	0	0	1	1	1	0	0	2	8	8	1	0	0	0	1	1	1	0	0	1	0	0	0	1	0	1	0	0	1	10	7	2	1	0	1	0	1	1	3	1	1	0	1	0	0	0	0	0	2	2	2	133	150	35	100	1	2	1	1	2	2	2	RUPEE
IN022	7	1	 	385.5	 	370.799987792969	11	1152	3	1	0	1	0	0	0	0	0	0	0	2	 	93	3	3	3	3	3	1	88	1	1	1	2	2	2	0	0	140	1	0	0	50	1	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	2	 	0	1	1	0	3	2	 	0	0	0	1	0	0	4	 	 	1	1	1	2	1	1	1	9	9	1	2	 	 	4	8	 	 	1	8	 	 	 	8	2	1	2	2	2	2	0	0	0	0	1	0	1	1	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	 	0	1	0	0	0	0	1	0	0	1	1	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	1	7	 	 	0	0	1	0	1	0	1	1	1	0	0	0	0	0	1	0	1	2	2	133	150	35	50	2	2	2	1	2	2	1	RUPEE
IN023	7	1	10/5/2002	490.700012207031	ACRES	366.399993896484	279.100006103516	963	1	1	0	1	0	0	0	0	0	0	0	2	 	95	3	3	1	3	1	2	2	1	1	1	2	2	2	10	 	50	2	 	 	6	3	 	 	90	6	 	 	 	 	 	 	 	 	 	 	 	 	1	1	1	0	0	0	0	1	3	2	1	0	1	1	3	1	4	1	0	0	1	0	0	4	1	 	1	1	1	2	1	1	2	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	2	2	2	2	2	2	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	1	1	0	1	0	0	0	0	 	0	1	1	1	1	1	1	0	0	1	1	1	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1	1	1	0	1	6	8	2	0	1	1	1	1	0	2	1	2	0	1	0	0	0	0	0	2	2	2	133	150	35	100	2	1	2	1	2	2	1	RUPEE
