COMMID	helid	facility	heldis	heltme
IN001	1	1	4	2
IN001	2	1	4	2
IN001	3	1	4	2
IN001	4	1	4	2
IN001	5	1	4	2
IN001	6	1	4	2
IN001	7	1	4	2
IN001	8	1	4	2
IN001	9	1	4	3
IN002	1	1	4	2
IN002	2	1	4	2
IN002	3	1	2	1
IN002	4	1	2	1
IN002	5	1	1	1
IN002	6	1	4	2
IN002	7	1	4	2
IN002	8	1	1	1
IN002	9	1	2	1
IN003	1	1	4	2
IN003	2	1	4	2
IN003	3	1	4	2
IN003	4	1	4	4
IN003	5	1	4	3
IN003	6	1	1	1
IN003	7	1	4	4
IN003	8	1	4	4
IN003	9	1	4	3
IN004	1	1	4	3
IN004	2	1	4	3
IN004	3	1	3	2
IN004	4	1	4	3
IN004	5	1	4	3
IN004	6	1	4	3
IN004	7	1	4	3
IN004	8	1	4	3
IN004	9	1	4	3
IN005	1	1	2	2
IN005	2	1	2	2
IN005	3	1	4	3
IN005	4	1	2	2
IN005	5	1	2	2
IN005	6	1	2	2
IN005	7	1	2	2
IN005	8	1	2	2
IN005	9	1	4	3
IN006	1	1	3	2
IN006	2	1	3	2
IN006	3	1	2	1
IN006	4	1	3	2
IN006	5	1	2	1
IN006	6	1	3	2
IN006	7	1	3	2
IN006	8	1	2	1
IN006	9	1	4	2
IN007	1	2	 	 
IN007	2	2	 	 
IN007	3	1	 	 
IN007	4	 	 	 
IN007	5	 	 	 
IN007	6	2	 	 
IN007	7	2	 	 
IN007	8	2	 	 
IN008	1	1	1	1
IN008	2	2	1	1
IN008	3	2	1	1
IN008	4	2	1	1
IN008	5	2	1	1
IN008	6	1	1	1
IN008	7	1	1	1
IN008	8	1	1	1
IN008	9	1	1	1
IN009	1	1	1	1
IN009	2	2	4	3
IN009	3	1	1	1
IN009	4	2	4	3
IN009	5	1	1	1
IN009	6	2	4	4
IN009	7	2	4	4
IN009	8	2	4	3
IN009	9	2	4	4
IN010	1	2	4	3
IN010	2	2	4	3
IN010	3	2	4	3
IN010	4	2	4	3
IN010	5	2	4	3
IN010	6	2	4	3
IN010	7	2	4	3
IN010	8	2	4	3
IN010	9	2	4	3
IN011	1	1	1	1
IN011	2	1	1	1
IN011	3	1	1	1
