COMMID	marid	market	typmark	posell	mardis	martme
IN001	1	1	4	1	4	2
IN001	2	1	4	1	4	2
IN001	3	2	8	8	8	8
IN002	1	1	4	1	4	2
IN002	2	1	4	1	4	2
IN003	1	1	4	1	4	2
IN003	2	1	4	1	4	2
IN003	3	2	8	8	8	8
IN004	1	1	4	1	4	2
IN004	2	1	4	1	4	2
IN004	3	2	8	8	8	8
IN005	1	1	4	1	2	2
IN005	2	1	4	1	2	2
IN005	3	2	8	8	8	8
IN006	1	1	4	1	4	2
IN006	2	1	4	1	4	2
IN006	3	2	8	8	8	8
IN007	2	1	3	1	2	 
IN008	2	1	4	1	1	1
IN009	1	1	4	1	1	1
IN009	2	1	4	1	2	2
IN010	2	1	4	1	3	3
IN011	1	1	4	1	1	1
IN011	2	1	4	1	1	1
IN012	1	1	4	1	3	2
IN012	2	1	4	1	4	2
IN012	3	2	8	8	8	8
IN013	1	1	4	1	3	2
IN013	2	1	4	1	3	2
IN013	3	2	8	8	8	8
IN014	1	1	4	1	3	1
IN014	2	1	4	1	3	1
IN014	3	2	8	8	8	8
IN015	1	1	4	1	1	1
IN015	2	1	4	1	1	1
IN015	3	2	8	8	8	8
IN016	1	2	8	8	8	8
IN016	2	1	4	1	3	1
IN016	3	2	8	8	8	8
IN017	1	1	1	1	2	1
IN017	2	1	4	1	2	1
IN017	3	2	8	8	8	8
IN018	1	1	4	1	3	1
IN018	2	1	4	1	3	1
IN018	3	2	8	8	8	8
IN019	1	1	4	1	3	1
IN019	2	1	4	1	3	1
IN019	3	2	8	8	8	8
IN020	1	1	4	1	1	2
IN020	2	1	4	1	1	2
IN020	3	2	8	8	8	8
IN021	1	1	3	1	2	1
IN021	2	1	3	1	2	1
IN021	3	2	8	8	8	8
IN022	1	1	4	1	3	2
IN022	2	1	4	1	2	2
IN022	3	2	8	8	8	8
IN023	1	1	4	1	4	1
IN023	2	1	4	1	4	1
IN023	3	2	8	8	8	8
IN024	1	1	4	1	 	 
IN024	2	1	4	1	3	3
IN025	1	1	4	1	1	1
IN025	2	1	4	1	1	1
IN025	3	2	8	8	8	8
IN026	1	1	4	1	1	1
IN026	2	1	4	1	1	1
IN026	3	2	8	8	8	8
IN027	2	2	1	1	3	2
IN028	1	2	4	1	4	8
IN028	2	2	4	1	3	2
IN029	1	2	4	1	3	2
IN029	2	2	1	2	3	2
IN030	2	2	4	1	2	2
IN031	2	2	4	1	2	2
IN032	1	2	4	1	2	8
IN032	2	1	4	1	2	 
IN033	1	1	4	1	1	1
IN033	2	1	4	1	1	1
IN034	1	1	4	1	1	 
IN034	2	1	4	1	1	 
IN035	1	1	1	1	1	1
IN035	2	1	2	1	3	2
IN035	3	2	8	8	8	8
IN036	1	1	1	1	1	1
IN036	2	1	2	1	2	2
IN036	3	2	8	8	8	8
IN037	1	1	1	1	1	1
IN037	2	1	2	2	2	2
IN037	3	2	8	8	8	8
IN038	1	1	1	1	1	1
IN038	2	1	2	1	4	3
IN038	3	2	8	8	8	8
IN040	1	1	1	1	1	1
IN040	2	1	4	1	3	2
IN040	3	2	8	8	8	8
IN041	1	1	1	1	1	 
IN041	2	1	4	1	4	3
IN041	3	2	 	 	 	 
IN042	1	1	2	1	1	1
IN042	2	1	2	2	4	2
IN042	3	2	8	8	8	8
IN043	1	1	1	1	1	1
IN043	2	1	2	1	2	1
IN043	3	2	8	8	8	8
IN044	1	1	1	1	1	1
IN044	2	1	1	1	1	1
IN044	3	2	8	8	8	8
IN045	1	1	1	1	1	1
IN045	2	1	2	2	3	2
IN045	3	2	8	8	8	8
IN046	1	1	1	1	1	1
IN046	2	1	2	1	3	2
IN046	3	2	8	8	8	8
IN047	1	1	1	1	 	 
IN047	2	2	1	1	2	2
IN048	1	1	 	 	 	 
IN048	2	2	4	1	2	2
IN048	3	2	4	1	2	2
IN049	1	1	1	1	 	 
IN049	2	1	4	1	 	 
IN049	3	2	4	1	2	2
IN050	1	1	1	1	1	1
IN050	2	2	2	1	3	2
IN050	3	2	4	1	3	2
IN051	1	2	1	1	2	2
IN051	2	2	4	1	4	3
IN051	3	2	4	1	4	3
IN052	1	1	4	1	1	1
IN052	2	1	4	1	3	2
IN052	3	2	8	8	8	8
IN053	1	1	4	 	 	 
IN053	2	2	4	 	3	1
IN053	3	2	4	 	3	1
IN054	1	2	1	1	2	2
IN054	2	2	4	1	4	3
IN054	3	2	4	1	4	3
IN055	1	2	8	8	8	8
IN055	2	1	4	1	3	2
IN055	3	1	4	1	3	2
IN056	1	2	8	8	8	8
IN056	2	1	4	1	4	2
IN056	3	1	4	1	4	2
IN057	1	2	8	1	2	2
IN057	2	2	8	1	3	4
IN057	3	2	8	1	4	3
IN058	1	2	4	1	2	2
IN058	2	2	4	1	4	3
IN058	3	2	2	1	4	4
IN059	1	2	1	1	2	2
IN059	2	2	4	1	3	2
IN059	3	2	4	1	4	3
IN060	1	1	1	1	2	1
IN060	2	1	4	1	4	3
IN060	3	1	2	1	4	4
IN061	1	2	8	8	8	8
IN061	2	2	8	8	8	8
IN061	3	2	8	8	8	8
IN062	1	2	8	8	8	8
IN062	2	2	8	8	8	8
IN062	3	2	8	8	8	8
IN063	1	1	4	1	2	1
IN063	2	1	4	1	2	1
IN063	3	1	4	1	2	1
IN064	1	2	8	8	8	8
IN064	2	2	8	8	8	8
IN064	3	2	8	8	8	8
IN065	1	2	8	8	8	8
IN065	2	1	4	1	4	3
IN065	3	2	8	8	8	8
IN066	1	2	8	8	8	8
IN066	2	1	4	1	4	1
IN066	3	2	8	8	8	8
IN067	1	2	8	8	8	8
IN067	2	1	4	1	3	1
IN067	3	2	8	8	8	8
IN068	1	2	8	8	8	8
IN068	2	2	8	8	8	8
IN068	3	2	8	8	8	8
IN069	1	2	8	8	8	8
IN069	2	1	4	1	3	1
IN069	3	2	8	8	8	8
IN070	1	1	4	1	1	1
IN070	2	2	8	8	8	8
IN070	3	2	8	8	8	8
IN071	1	1	4	1	2	2
IN071	2	1	4	1	2	2
IN071	3	2	8	8	8	8
IN072	1	1	4	1	2	1
IN072	2	1	4	1	4	2
IN072	3	2	8	8	8	8
IN073	1	1	4	1	1	1
IN073	2	1	4	1	4	2
IN073	3	2	8	8	8	8
IN074	1	1	4	1	1	1
IN074	2	1	4	1	3	2
IN074	3	2	8	8	8	8
IN075	1	1	4	1	1	1
IN075	2	1	4	1	4	2
IN075	3	2	8	8	8	8
IN076	1	2	8	8	8	8
IN076	2	1	4	2	4	2
IN076	3	2	8	8	8	8
IN077	1	2	8	8	8	8
IN077	2	1	4	1	4	2
IN077	3	2	8	8	8	8
IN078	1	2	8	8	8	8
IN078	2	1	4	1	3	2
IN078	3	2	8	8	8	8
IN079	1	2	8	8	8	8
IN079	2	1	4	1	4	2
IN079	3	2	8	8	8	8
IN080	1	2	8	8	8	8
IN080	2	1	4	1	4	2
IN080	3	2	8	8	8	8
IN081	1	1	4	1	2	2
IN081	2	1	4	1	4	2
IN081	3	2	8	8	8	8
IN082	1	1	4	1	1	 
IN082	2	1	4	1	3	 
IN082	3	2	8	8	8	8
IN083	1	1	4	1	1	1
IN083	2	1	4	1	2	1
IN083	3	2	8	8	8	8
IN084	1	1	4	1	1	1
IN084	2	1	4	1	2	2
IN084	3	2	8	8	8	8
IN085	1	1	4	1	2	1
IN085	2	1	4	1	2	1
IN085	3	2	8	8	8	8
IN086	1	1	4	1	1	1
IN086	2	1	4	1	1	1
IN086	3	2	8	8	8	8
IN087	1	1	4	1	2	1
IN087	2	1	4	1	2	1
IN087	3	2	8	8	8	8
IN088	1	1	4	1	1	1
IN088	2	1	4	1	1	1
IN089	1	1	4	1	1	1
IN089	2	1	4	2	4	4
IN089	3	2	8	8	8	8
IN090	1	1	4	1	2	1
IN090	2	2	8	8	8	8
IN090	3	2	8	8	8	8
IN091	1	1	4	1	1	1
IN091	2	1	4	1	1	1
IN091	3	1	4	1	1	1
IN092	1	1	4	1	2	1
IN092	2	1	4	1	2	1
IN092	3	2	8	8	8	8
IN093	1	1	4	1	1	1
IN093	2	1	4	1	1	1
IN096	1	1	4	1	1	1
IN096	2	1	4	1	1	1
IN096	3	2	8	8	8	8
IN097	1	1	4	1	3	2
IN097	2	1	4	1	3	2
IN097	3	2	8	8	8	8
IN099	1	1	4	1	3	2
IN099	2	1	4	1	3	2
IN099	3	2	8	8	8	8
IN098	1	1	4	1	1	1
IN098	2	1	4	1	1	1
IN101	1	1	4	1	1	1
IN101	2	1	4	1	1	1
IN102	1	1	4	1	2	1
IN102	2	1	4	1	2	1
IN102	3	 	 	 	 	 
