COMMID	frmid	frman	frmwom	frmchld
IN001	1	50	0	0
IN001	2	50	20	20
IN001	3	0	20	20
IN001	4	50	20	20
IN001	5	50	20	20
IN002	1	60	0	0
IN002	2	60	50	0
IN002	3	0	50	0
IN002	4	0	50	0
IN002	5	100	0	0
IN003	1	50	0	0
IN003	2	50	30	0
IN003	3	0	20	0
IN003	4	0	30	0
IN003	5	50	0	0
IN004	1	50	0	0
IN004	2	45	25	0
IN004	3	0	25	0
IN004	4	50	25	0
IN004	5	50	0	0
IN005	1	50	0	0
IN005	2	40	20	0
IN005	3	0	20	0
IN005	4	40	20	0
IN005	5	40	20	0
IN006	1	50	0	0
IN006	2	50	30	30
IN006	3	50	30	30
IN006	4	50	30	300
IN006	5	60	25	0
IN007	1	30	0	 
IN007	2	0	15	15
IN007	3	20	20	20
IN007	4	14	14	14
IN007	5	20	20	 
IN008	1	60	0	0
IN008	2	30	0	30
IN008	3	30	30	30
IN008	4	60	60	30
IN008	5	30	30	30
IN009	1	70	0	0
IN009	2	0	25	25
IN009	3	0	25	25
IN009	4	75	60	25
IN009	5	50	25	25
IN010	1	75	0	0
IN010	2	0	50	0
IN010	3	0	50	30
IN010	4	60	75	45
IN010	5	45	40	40
IN011	1	75	0	0
IN011	2	0	60	30
IN011	3	0	40	30
IN011	4	75	75	40
IN011	5	40	40	30
IN012	1	50	0	50
IN012	2	0	30	0
IN012	3	50	30	50
IN012	4	50	30	50
IN012	5	50	30	50
IN013	1	50	0	0
IN013	2	0	30	0
IN013	3	40	25	0
IN013	4	50	30	0
IN013	5	50	25	0
IN014	1	50	0	0
IN014	2	0	30	0
IN014	3	25	25	0
IN014	4	30	30	0
IN014	5	50	20	0
IN015	1	40	0	0
IN015	2	40	20	0
IN015	3	40	20	0
IN015	4	40	20	0
IN015	5	40	20	0
IN016	1	62	0	0
IN016	2	50	30	0
IN016	3	0	25	0
IN016	4	60	30	0
IN016	5	60	30	0
IN017	1	50	0	0
IN017	2	0	40	0
IN017	3	0	25	0
IN017	4	60	40	0
IN017	5	60	0	0
IN018	1	50	0	0
IN018	2	50	30	0
IN018	3	0	30	0
IN018	4	50	30	0
IN018	5	50	30	0
IN019	1	60	0	 
IN019	2	60	35	 
IN019	3	0	30	 
IN019	4	50	30	 
IN019	5	60	30	 
IN020	1	60	0	0
IN020	2	0	30	0
IN020	3	0	30	0
IN020	4	0	30	0
IN020	5	100	30	0
IN021	1	60	0	0
IN021	2	0	30	0
IN021	3	0	30	0
IN021	4	0	30	0
IN021	5	60	30	0
IN022	1	50	0	0
IN022	2	0	25	0
IN022	3	0	25	0
IN022	4	40	25	0
IN022	5	100	30	0
IN023	1	70	0	0
IN023	2	0	35	0
IN023	3	0	35	0
IN023	4	70	35	0
IN023	5	70	35	0
IN027	1	50	0	0
IN027	2	50	30	30
IN027	3	30	30	30
IN027	4	 	30	30
IN027	5	30	20	20
IN028	1	60	0	30
IN028	2	0	30	30
IN028	3	0	30	30
IN028	4	70	40	40
IN028	5	60	30	30
IN029	1	60	0	60
IN029	2	30	30	25
IN029	3	30	25	25
IN029	4	30	30	20
IN029	5	50	25	25
IN030	1	50	0	0
IN030	2	0	30	30
IN030	3	0	25	25
IN030	4	40	40	30
IN030	5	20	25	20
IN031	1	70	 	 
IN031	2	50	30	20
IN031	3	50	30	20
IN031	4	50	30	20
IN031	5	50	30	20
IN032	1	70	0	30
IN032	2	0	30	30
IN032	3	0	30	30
IN032	4	70	40	40
IN032	5	60	30	30
IN033	1	0	0	0
IN033	2	0	0	20
IN033	3	0	0	15
IN033	4	50	50	25
IN033	5	40	30	20
IN035	1	25	 	 
IN035	2	30	25	25
IN035	3	 	15	15
IN035	4	30	30	30
IN035	5	30	25	20
IN036	1	20	 	20
IN036	2	 	 	 
IN036	3	30	30	30
IN036	4	20	20	20
IN037	1	40	 	 
IN037	2	40	30	30
IN037	3	 	20	20
IN037	4	40	30	30
IN037	5	40	30	30
IN038	1	30	 	 
IN038	2	30	20	20
IN038	3	 	20	20
IN038	4	50	50	50
IN038	5	50	50	50
IN040	1	25	 	 
IN040	2	 	25	25
IN040	3	25	20	20
IN040	4	25	20	20
IN041	1	50	 	 
IN041	2	35	25	25
IN041	3	 	20	20
IN041	4	50	20	20
IN041	5	35	25	25
IN042	1	50	 	 
IN042	2	50	25	25
IN042	3	 	25	25
IN042	4	50	50	50
IN042	5	50	50	50
IN043	1	50	 	 
IN043	2	50	35	35
IN043	3	 	25	25
IN043	4	50	50	50
IN043	5	50	35	35
IN044	1	50	 	 
IN044	2	50	30	30
IN044	3	 	20	20
IN044	4	50	50	50
IN044	5	50	30	30
IN045	1	30	 	 
IN045	2	30	30	20
IN045	3	20	20	20
IN045	4	50	40	40
IN045	5	50	30	30
IN046	1	50	 	 
IN046	2	50	30	30
IN046	3	 	20	20
IN046	4	50	50	50
IN046	5	30	30	30
IN047	1	 	 	 
IN050	1	200	 	 
IN050	2	 	50	 
IN050	3	 	25	25
IN050	4	50	40	 
IN050	5	50	40	 
IN051	1	200	 	 
IN051	2	 	40	25
IN051	3	 	25	20
IN051	4	50	30	25
IN051	5	50	30	25
IN052	1	50	 	 
IN052	2	 	35	25
IN052	3	 	35	25
IN052	4	50	40	 
IN052	5	50	40	 
IN053	1	250	 	 
IN053	2	70	50	50
IN053	3	 	30	30
IN054	1	150	 	 
IN054	2	 	40	25
IN054	3	 	25	 
IN054	4	50	50	30
IN054	5	50	50	30
IN055	1	150	 	 
IN055	2	50	30	30
IN055	3	 	30	30
IN056	1	100	 	 
IN056	2	50	30	30
IN056	3	 	30	30
IN057	1	200	 	 
IN057	2	80	65	65
IN057	3	 	65	65
IN058	1	150	 	 
IN058	2	60	40	40
IN058	3	 	30	30
IN059	1	150	 	 
IN059	2	50	35	35
IN059	3	 	25	25
IN060	1	150	 	 
IN060	2	50	30	30
IN060	3	 	30	30
IN060	4	 	 	 
IN060	5	50	30	30
IN061	1	40	0	0
IN061	2	0	15	15
IN061	3	0	15	15
IN061	4	40	20	20
IN061	5	50	20	20
IN062	1	50	0	0
IN062	2	0	15	15
IN062	3	0	15	15
IN062	4	50	16	16
IN062	5	50	15	15
IN063	1	50	0	0
IN063	2	0	20	20
IN063	3	0	20	20
IN063	4	50	20	20
IN063	5	50	20	20
IN064	1	53	0	0
IN064	2	0	23	23
IN064	3	0	20	20
IN064	4	50	20	20
IN064	5	50	20	20
IN065	1	26	0	0
IN065	2	0	23	23
IN065	3	0	20	20
IN065	4	40	20	20
IN065	5	50	20	20
IN066	1	40	0	0
IN066	2	0	20	10
IN066	3	0	20	10
IN066	4	40	20	10
IN066	5	40	20	10
IN067	1	50	0	0
IN067	2	0	20	20
IN067	3	0	20	20
IN067	4	50	20	20
IN067	5	50	20	20
IN068	1	50	0	0
IN068	2	0	30	0
IN068	3	0	30	0
IN068	4	60	50	0
IN068	5	60	50	0
IN069	1	50	0	 
IN069	2	0	20	20
IN069	3	0	20	20
IN069	4	40	40	40
IN069	5	40	40	40
IN070	1	60	0	0
IN070	2	0	30	25
IN070	3	0	30	25
IN070	4	65	30	25
IN070	5	65	30	25
IN071	1	50	0	0
IN071	2	0	20	0
IN071	3	0	20	20
IN071	4	50	50	0
IN071	5	50	20	0
IN072	1	30	0	0
IN072	2	0	20	20
IN072	3	20	20	20
IN072	4	25	25	25
IN072	5	25	25	25
IN073	1	30	 	 
IN073	2	 	25	25
IN073	3	 	20	20
IN073	4	30	20	20
IN073	5	50	20	20
IN074	1	60	0	0
IN074	2	0	30	30
IN074	3	0	30	30
IN074	4	60	30	30
IN074	5	60	30	30
IN075	1	50	0	50
IN075	2	50	25	25
IN075	3	0	25	25
IN075	4	50	25	25
IN075	5	50	25	25
IN076	1	30	0	0
IN076	2	0	20	20
IN076	3	0	30	20
IN076	4	40	40	40
IN076	5	40	40	40
IN077	1	40	0	0
IN077	2	0	30	30
IN077	3	0	30	30
IN077	4	60	40	30
IN077	5	60	40	30
IN078	1	50	0	0
IN078	2	0	35	35
IN078	3	0	35	35
IN078	4	50	35	35
IN078	5	50	35	35
IN079	1	40	0	0
IN079	2	0	25	20
IN079	3	0	25	20
IN079	4	50	30	20
IN079	5	50	30	20
IN080	1	40	0	0
IN080	2	0	20	0
IN080	3	0	20	0
IN080	4	50	25	0
IN080	5	50	25	0
IN081	1	40	0	0
IN081	2	0	30	30
IN081	3	25	25	25
IN081	4	30	30	30
IN081	5	30	30	30
IN082	1	40	0	0
IN082	2	40	30	30
IN082	3	30	30	30
IN082	4	35	35	35
IN082	5	50	0	0
IN083	1	50	0	0
IN083	2	0	30	30
IN083	3	20	20	20
IN083	4	25	25	25
IN083	5	25	25	25
IN084	1	40	0	40
IN084	2	0	25	25
IN084	3	0	25	25
IN084	4	30	30	30
IN084	5	30	30	0
IN085	1	35	0	0
IN085	2	25	25	25
IN085	3	20	20	20
IN085	4	30	30	30
IN085	5	40	40	0
IN086	1	75	0	0
IN086	2	30	30	30
IN086	3	0	30	30
IN086	4	50	30	30
IN086	5	50	50	50
IN092	1	40	0	0
IN092	2	40	25	25
IN092	3	0	25	25
IN092	4	50	50	25
IN092	5	50	21	21
IN093	1	150	0	0
IN093	2	0	25	25
IN093	3	0	25	25
IN093	4	50	30	25
IN093	5	30	25	20
IN096	1	50	0	0
IN096	2	25	25	25
IN096	3	25	25	25
IN096	4	25	25	25
IN096	5	50	25	0
IN097	1	50	0	0
IN097	2	0	25	25
IN097	3	30	25	25
IN097	4	30	25	25
IN097	5	40	25	0
IN099	1	50	0	0
IN099	2	50	25	25
IN099	3	0	25	25
IN099	4	50	25	25
IN099	5	50	25	25
IN098	1	0	0	0
IN098	2	0	35	20
IN098	3	0	35	25
IN098	4	75	75	25
IN098	5	35	30	20
