commid	CLUSTID	DISTRID	PROVID	v11inf1	v11inf2	v11inf3	intbegdt	intbegh	popsize	famloc	numhmlt	spkviet	spkhmon	spkdao	spkgiay	spknung	spkhroy	spkede	spknatv	spkoth	majrelg1	majrelg2	majrelg3	popinc	reasinc	reasdec	trans1	trans2	trans3	hwlglcl1	hwlglcl2	hwlglcl3	pvedn	earthn	unpavedn	tracksn	rivern	airn	railn	ottrann	janacc	febacc	maracc	apracc	mayacc	junacc	julacc	augacc	sepacc	octacc	novacc	decacc	factories	menemply	wmnemply	chdemply	indwprob	indwafct	minwprob	minwafct	garwprob	garwafct	anmwprob	anmwafct	frmdump	firmafct	fmlydump	fmlyafct	locldump	loclafct	excrdump	excrafct	grbbrng	brngafct	indsactv	indsafct	carspssg	carsafct	pesticid	pestafct	noisepll	noisafct	stndwatr	watrafct	other1	othafct1	other2	othafct2	v12inf1	v12inf2	v12inf3	lbrun4	ptas4	relggrp4	chldrn4	psntasc4	grdnras4	youthgr4	vtrnacs4	elderfr4	wmnunin4	redcrss4	othr14	lbrunion	ptas	relggrp	chldrn	psntassc	grdnras	youthgr	vtrnassc	eldergr	womnunin	redcross	orgothr1	rlythgr	rlvtrn	rleldgr	rlwmnun	rlredcrs	rlothr1	robbery	cttlthft	prstitn	gangs	adltbnds	drugsllg	drugadct	alchlsm	vlntcrme	othrprb1	othrprb2	agstrbry	agstcttl	agstprst	agstgngs	agstadlt	agstsllg	agstadct	agstalch	agstvlnt	agstoth1	agstoth2	rbryactn	cttlactn	prstactn	gngsactn	adltactn	sllgactn	adctactn	alchactn	vlntactn	othactn1	othact2	o4yrrbbr	o4yrcttl	o4yrprst	o4yrgngs	o4yradlt	o4yrsllg	o4yradct	o4yralch	o4yrvlnt	o4yroth1	o4yroth2	v13inf1	v13inf2	v13inf3	lttlchld	adlscnt	fmlycmpg	theatre	videogms	avlchld	avladscn	avlcmpng	avlthetr	avlvideo	rtchld	rtadscn	rtcmpng	rtthetr	rtvideo	pbltele	prvtele	pblinrnt	elctrcty	drnkwatr	sewager	nmpbtele	nmpvtele	nmpbintr	nmelctr	nmdrkwtr	nmsewarg	avlpbtph	avlprtph	avlpbint	avlelct	avlwatr	avlsewg	rtpbtph	rtprtph	rtpbint	rtelct	rtwatr	rtsewg	rtpbtph4	rtprtph4	rtpbint4	rtelct4	rtwatr4	rtsewg4	trnchld	trnadscn	trncmpng	trnthetr	trnvideo	trnpbtph	trnpbint	plcsttn	ntlbank	othrbank	othserv1	nmplcstn	nmntlbnk	nmothbnk	nmothsrv	avlpolic	avlntbnk	avlpvbnk	avlothr	srvpolc	srvntbnk	srvotbnk	srvoth	trnspolc	trnntabk	trnothbk	trnsoth	grbgtrck	street	wastland	regulate	rivergrb	buried	pigfeed	cropflds	burnt	othrgrb	grbclct	cmntruck	cmnstret	cmnwstln	cmnreglt	cmnriver	cmnburd	cmnpig	cmncrop	cmnburnt	cmnothr	v1pminf1	v1pminf2	v1pminf3	dfndpoor	rcvcert	rcvcards	rcvloans	chngrcv	crdtsrc1	crdtsrc2	crdtsrc3	prcdrobt	termcrdt	asessimp	ratiolnd	sclplbnk	vtnmbnk	socbs	empsupp	pplcrdt	wmncrdt	othrcrdt	prcobtcr	effcaccd	v1pinf1	v1pinf2	v1pinf3	prg134	prg135	prg143	othfood1	schlnch	schbkfst	schltext	equippng	hlthinsr	grwth	fmlyplng	tubcntrl	vaccnprg	hemoinfl	hepb	malaria	hivsida	mentlhth	cntrlstd	hlthextn	educhiv	hivtrans	hlthoth1	rprschl	rprhlth	rprwtr	rprswr	rprbrdg	reforest	soilwatr	irrgtn	infroth1	farminpt	agriextn	animal	childsup	chldrght	disablty	othprg1	othprg2	prg1344	prg1354	prg1434	othfdy4	lunch4yr	bkfst4yr	text4yr	equip4yr	insr4yr	grwth4yr	fmly4yr	tub4yr	vaccn4yr	hemo4yr	hepb4yr	malar4yr	hiv4yr	mentl4yr	std4yr	extn4yr	edhiv4yr	hivtr4yr	hlth4yr	schl4yr	rphlth4y	wtr4yr	swr4yr	brdg4yr	rfrst4yr	soil4yr	irrgn4yr	infr14yr	inpt4yr	agrex4y	animal4y	supprt4y	chldrg4y	dsablt4y	y4othr1	y4othr2	stp134	stp135	stp143	stpfood1	stplunch	stpbkfst	sttext	stpequip	stpinsr	stpgrwth	stpfmly	stptub	stpvaccn	stphemo	stphepb	stpmalar	stphiv	stpmentl	stpstd	stpextn	stpedhiv	stphivtr	stphlth	stpschl	stprphlt	stpwtr	stpswr	stpbrdg	stprfrst	stpsoil	stpirrgn	stpinfr1	stpinpt	stpagrex	stpaniml	stpspprt	stpchdrg	stpdsabl	stpothr1	stpothr2	v14inf1	v14inf2	v14inf3	lndmale	plntmale	weedmale	hrvsmale	postmale	pstrmale	othrmale	mmonland	mmonplnt	mmonweed	mmonhrvs	mmonpost	mmonpstr	mmonothr	lndfmle	plntfmle	weedfmle	hrvsfmle	postfmle	pstrfmle	othrfmle	fmonland	fmonplnt	fmonweed	fmonhrvs	fmonpost	fmonpstr	fmonothr	lndchld	plntchld	weedchld	hrvschld	postchld	pstrchld	othrchld	cmonland	cmonplnt	cmonweed	cmonhrvs	cmonpost	cmonpstr	cmonothr	lndrmale	helpmale	cnstmale	factmale	taximale	secrmale	maidmale	shopmale	tchrmale	polcmale	mechmale	cookmale	fishmale	tailmale	compmale	othmale1	othmale2	othmale3	othmale4	lndrfmle	helpfmle	cnstfmle	factfmle	taxifmle	secrfmle	maidfmle	shopfmle	tchrfmle	polcfmle	mechfmle	cookfmle	fishfmle	tailfmle	compfmle	othfmle1	othfmle2	othfmle3	othfmle4	lndrchld	helpchld	cnstchld	factchld	taxichld	secrchld	maidchld	shopchld	tchrchld	polcchld	mechchld	cookchld	fishchld	tailchld	compchld	othchld1	othchld2	othchld3	othchld4	v15inf1	v15inf2	v15inf3	v15inf4	v15inf5	v15inf6	v15inf7	v15inf8	v15inf9	v15inf10	noteprc1	notevnd1	noteinf1	noteprc2	notevnd2	noteinf2	notestnd	shoeprc1	shoevnd1	shoeinf1	shoeprc2	shoevnd2	shoeinf2	shoestnd	byshprc1	byshvnd1	byshinf1	byshprc2	byshvnd2	byshinf2	byshstnd	grshprc1	grshvnd1	grshinf1	grshprc2	grshvnd2	grshinf2	grshstnd	byptprc1	byptvnd1	byptinf1	byptprc2	byptvnd2	byptinf2	byptstnd	grskprc1	grskvnd1	grskinf1	grskprc2	grskvnd2	grskinf2	grskstnd	oralprc1	oralvnd1	oralinf1	oralprc2	oralvnd2	oralinf2	oralstnd	paraprc1	paravnd1	parainf1	paraprc2	paravnd2	parainf2	parastnd	amoxprc1	amoxvnd1	amoxinf1	amoxprc2	amoxvnd2	amoxinf2	amoxstnd	mebeprc1	mebevnd1	mebeinf1	mebeprc2	mebevnd2	mebeinf2	mebestnd	vegprc1	vegvnd1	veginf1	vegprc2	vegvnd2	veginf2	vegstd	riceprc1	ricevnd1	riceinf1	riceprc2	ricevnd2	riceinf2	ricestd	pulsprc1	pulsvnd1	pulsinf1	pulsprc2	pulsvnd2	pulsinf2	pulsstd	coffprc1	coffvnd1	coffinf1	coffprc2	coffvnd2	coffinf2	coffstd	nescprc1	nescvnd1	nescinf1	nescprc2	nescvnd2	nescinf2	nescstd	milkprc1	milkvnd1	milkinf1	milkprc2	milkvnd2	milkinf2	milkstd	sugrprc1	sugrvnd1	sugrinf1	sugrprc2	sugrvnd2	sugrinf2	sugrstd	oilprc1	oilvnd1	oilinf1	oilprc2	oilvnd2	oilinf2	oilstd	saltprc1	saltvnd1	saltinf1	saltprc2	saltvnd2	saltinf2	saltstd	cigrprc1	cigrvnd1	cigrinf1	cigrprc2	cigrvnd2	cigrinf2	cigrstd	detgprc1	detgvnd1	detginf1	detgprc2	detgvnd2	detginf2	detgstd	krsnprc1	krsnvnd1	krsninf1	krsnprc2	krsnvnd2	krsninf2	krsnstd	bullocks	tractlab	irriland	dryland	cropbull	croptrac	croplorr	cropmoto	v16inf1	v16inf2	v16inf3	comdiff	comhepr	prjelect	prjroads	prjpresc	prjprmsc	prjsecsc	prjcmbsc	prjmedst	prjirrgt	prjclnwt	prjothr	rleelect	rleroads	rlepresc	rleprysc	rlesecsc	rlecmbsc	rlemedst	rleirrgt	rleclnwt	rleothr	certpoor	percpoor	grntcert	v21inf1	v21inf2	v21inf3	ltrcycmp	frmextcl	prmyattd	secdattd	othrattd	prmypay	secdpay	othrpay	rcractv1	rcractv2	rcractv3	hrsrcr	sufftime	whynorc1	whynorc2	whynorc3	improve1	improve2	improve3	v24inf1	pbhspcur	pvhspcur	sthltcur	pvdspcur	pbdspcur	htlcrcur	pharmcur	prphrcur	pubmtrny	matrnty	pvfrtcur	pbhsptim	pvhsptim	sthlttim	pvdsptim	pbdsptim	htlcrtim	pharmtim	prphrtim	pbmtrtm	matrnytm	pvfrttim	pbhsptrn	pvhsptrn	sthlttrn	pvdsptrn	pbdsptrn	htlcrtrn	pharmtrn	prphrtrn	pbmtrntr	matrnttr	pvfrttrn	midwife	birthatt	tradhlr	vilhthwk	auxiliar	nurse	socwrkr	mtlhlth	genphys	specphys	dentist	othrpers	typestb	hlthprbl	immprog	nutintpr	hivsrvc	chlbrtrt	mngchill	malntrn	mntlhlth	adltill	chrndise	trttubc	trtsexds	dntlcare	hospsrv	othhlth	chwgscle	bldprsga	strlzer	refriger	cultrinc	microscp	strlglve	wghscwrk	bldgewrk	strlzwrk	refrgwrk	cltrwrk	microwrk	strglwrk	accemvhc	acctelph	accdrkwt	accelctr	accimpsn	accothr	oftemvhc	ofttelph	oftdrkwt	oftelctr	oftimpsn	oftothr	avloral	avlpara	avlcontr	avlanbio	avliron	avlansep	avlbcgv	avlmsle	avloth1	avloth2	avloth3	cmchhlt1	cmchhlt2	cmchhlt3	cmadhlt1	cmadhlt2	cmadhlt3	cmwmhlt1	cmwmhlt2	cmwmhlt3	cmmnhlt1	cmmnhlt2	cmmnhlt3	abuse	fmlyvlnc	exist
VN001	1	1	1	3	6	2	9/28/2009	.375	12856	3020	5	1	5	5	5	5	5	5	5	5	3	6	14	1	6	88	4	8	5	10	15	10	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	100	260	0	0	88	0	88	1	2	1	2	0	88	1	2	0	88	0	88	0	88	0	88	0	88	1	2	0	88	0	88	0	88	0	88	1	4	 	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	 	7	14	12	14	99	1	1	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	88	88	88	88	88	88	88	88	88	1	1	99	99	99	99	99	99	99	99	99	2	6	 	0	1	0	0	1	-88	2006	-88	-88	2007	88	1	88	88	3	1	1	1	1	1	0	1	208	1	7	3	-88	2000	2000	2000	1988	2008	-88	2	2	2	3	3	88	 	 	 	 	 	 	 	 	 	 	 	4	1	1	1	1	0	5	2	2	-88	1980	1990	2000	-88	3	3	3	88	1	1	1	88	0	0	1	1	0	1	0	1	1	0	88	88	88	3	2	88	0	88	0	1	88	1	4	5	225	8	225	186	4	1	2	8	3	3	3	50	215	80	0	0	0	0	38	1	1	3	7	10	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	1	1	1	1	1	1	1	0	88	88	88	88	88	88	88	88	1	1	1	1	1	1	1	1	1	1	1	1	1	1	88	1	1	0	88	1	88	88	88	88	1	1	1	1	1	1	1	88	8888	8888	8888	8888	8888	8888	8888	8888	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	8888	-99	-99	8888	8888	-99	8888	8888	8888	8888	-99	-99	-99	-99	-99	-99	-99	8888	2	8	5	-1111	80	80	80	80	-1111	-99	88	0	0	0	0	88	99	-1111	65	65	65	70	-1111	-99	88	0	0	0	0	88	99	-1111	-1111	-1111	-1111	-1111	-1111	-99	88	88	88	88	88	88	99	-1111	-1111	80	-1111	90	50	-1111	50	40	35	60	-1111	-1111	60	100	 	 	 	 	-1111	-1111	60	60	-1111	-1111	-1111	50	40	35	-1111	-1111	-1111	60	-1111	 	 	 	 	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	 	 	 	 	8	9	10	6	 	 	 	 	 	 	2.29999995231628	1	8	2.29999995231628	1	9	2.29999995231628	28	1	9	29	1	6	28.5	21	1	6	22	1	8	21.5	22	1	8	22	1	9	22	8.5	1	6	9	1	9	8.75	23	1	8	22	1	9	22.5	1.10000002384186	9	6	1.10000002384186	9	10	1.10000002384186	2	9	10	2	9	9	2	4.30000019073486	9	10	4.5	9	8	4.40000009536743	3.79999995231628	9	10	4	9	8	3.90000009536743	2	1	8	2	1	9	2	7	1	8	8	1	9	7.5	20	1	8	20	1	9	20	50	1	8	50	1	9	50	30	1	8	30	1	9	30	3.5	1	8	3.5	1	9	14	15.5	1	8	15.5	1	9	15.5	24	1	8	24	1	9	24	1.20000004768372	1	8	1.20000004768372	1	9	4.80000019073486	7.5	1	8	7.5	1	9	7.5	22	1	8	22	1	9	22	14	1	8	14	1	9	14	80	-77	1000	300	25	-88	-88	20	3	6	2	0	0	0	0	0	0	0	0	0	0	0	0	88	88	88	88	88	88	88	88	88	88	225	7	225	1	7	8	0	1	60	90	-99	60	100	-99	2	9	18	2	1	99	99	99	1	2	7	10	0	3	1	3	0	0	0	1	0	0	0	30	-88	-88	-88	30	30	30	-88	30	30	30	4	88	88	88	4	4	4	88	4	4	4	1	0	0	1	0	1	1	1	1	0	0	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	1	0	0	0	0	1	1	1	88	88	88	88	1	0	1	1	1	1	0	88	1	1	1	1	88	1	1	1	1	1	1	1	1	1	1	0	9	6	11	9	6	11	9	19	6	9	6	19	1	77	1975
VN002	2	4	1	1	 	 	11/17/2009	.34375	12112	2986	8	1	88	88	88	88	88	88	88	88	11	3	99	1	5	88	4	5	8	25	25	15	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	-99	-99	-99	0	88	0	88	1	2	0	88	0	88	0	88	0	88	1	2	0	88	0	88	1	2	1	2	0	88	0	88	0	88	0	88	7	9	 	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	0	 	12	7	12	8	99	1	1	0	0	0	0	0	0	0	0	0	1	1	99	99	99	99	99	99	99	99	99	1	2	99	99	99	99	99	99	99	99	99	1	2	99	99	99	99	99	99	99	99	99	1	3	5	0	1	0	0	1	-88	1980	-88	-88	2008	88	2	88	88	2	1	1	0	1	1	1	1	1400	-88	2000	600	5	2004	2005	-88	2001	1993	2004	2	2	88	3	3	1	 	 	 	 	 	 	 	 	 	 	 	4	88	1	0	0	0	10	-88	-88	-88	1975	-88	-88	-88	2	88	88	88	4	88	88	88	0	1	1	0	1	1	0	0	1	0	88	88	3	0	88	1	0	88	88	2	88	2	3	 	509	12	509	292	5	1	2	6	3	4	3	20	0	576	1252	0	62	120	0	1	1	1	2	7	0	1	0	0	0	0	0	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	0	0	0	0	0	88	0	88	88	88	88	88	88	1	88	1	1	1	1	1	88	1	1	1	1	1	1	1	1	1	1	88	0	1	88	1	88	88	1	0	88	88	88	88	88	8888	8888	8888	8888	8888	8888	8888	8888	-99	8888	-99	-99	-99	-99	-99	8888	-99	-99	-99	-99	-99	-99	-99	2009	2009	2007	8888	8888	-99	8888	2009	8888	8888	2008	8888	8888	8888	8888	8888	8888	1	2	 	70	-1111	-1111	35	-1111	-1111	-1111	0	88	88	2	88	88	88	-1111	-1111	35	35	-1111	-1111	-1111	88	88	0	1	88	88	88	-1111	-1111	-1111	-1111	-1111	-1111	-1111	88	88	88	88	88	88	88	-1111	-1111	85	-1111	130	50	-1111	-1111	100	30	100	-1111	-7777	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	100	-1111	-1111	-1111	-1111	50	20	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	3	9	8	11	 	 	 	 	 	 	2	1	11	2	1	11	 	18.5	1	11	19.5	1	8	 	46	1	11	46	1	11	 	40	1	11	40	5	2	 	30	1	11	32	5	2	 	0	1	11	0	1	11	 	1.5	5	11	1.5	1	11	 	3	5	11	3	1	11	 	7	5	11	7	1	11	 	2	5	11	2	1	11	 	4	5	11	0	5	11	 	10	5	11	0	5	11	 	25	5	11	0	5	11	 	42	1	11	42	5	11	 	0	1	11	0	5	11	 	24	1	11	24	5	11	 	15	1	11	16	5	11	 	23	1	11	23	5	11	 	10	1	11	10	5	11	 	5	1	11	5	5	11	 	27	1	11	27	5	11	 	17	1	11	17	5	11	 	-77	-77	30000	1400	-77	-77	-77	-77	1	6	 	1	1	1	1	0	1	1	0	1	1	1	0	1	1	88	1	1	88	1	3	5	88	509	17	509	5	8	11	0	3	-88	-88	-88	-88	-88	-88	3	9	2	3	1	99	99	99	2	8	7	7	0	0	1	3	3	3	3	1	1	3	1	30	15	-88	-88	-88	-88	-88	-88	-88	-88	-88	4	4	88	88	88	88	88	88	88	88	88	1	0	0	1	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	0	0	1	1	4	1	88	88	88	1	0	1	1	1	1	0	88	1	1	1	1	88	1	1	1	1	1	1	1	1	1	0	88	6	9	15	14	7	11	10	4	14	5	19	10	1	0	1978
VN003	3	2	1	1	7	2	11/6/2009	.583333313465118	5943	1585	6	1	5	5	5	4	2	3	4	4	3	1	6	1	6	88	4	5	8	30	30	40	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	-99	-99	-99	0	88	0	88	1	2	1	2	0	88	1	2	0	88	1	2	1	2	0	88	1	2	1	2	1	2	1	2	0	88	0	88	1	5	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	14	14	12	14	14	99	1	0	0	0	0	0	1	0	0	0	99	1	0	0	0	0	0	1	0	0	0	99	2	88	88	88	88	88	1	88	88	88	99	2	99	99	99	99	99	2	99	99	99	4	6	8	0	1	0	0	1	-88	1999	-88	-88	2007	88	2	88	88	2	1	1	1	1	1	1	3	300	4	8	3	1	1999	1999	2007	1999	2006	1999	99	99	99	99	99	99	 	 	 	 	 	 	 	 	 	 	 	99	99	1	0	0	0	6	-88	-88	-88	1999	-88	-88	-88	99	88	88	88	99	88	88	88	0	1	1	1	1	1	0	0	1	0	88	88	0	0	3	0	2	88	88	1	88	5	6	1	398	8	398	195	2	1	2	99	1	88	3	60	0	329	8	0	0	0	0	1	1	8	7	3	1	1	0	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	1	88	88	88	88	1	1	1	88	1	1	1	88	1	1	1	1	1	88	1	1	88	1	1	1	88	1	1	88	88	88	1	1	1	1	1	1	1	88	-99	-99	8888	8888	8888	8888	-99	-99	-99	8888	-99	-99	-99	8888	-99	-99	-99	-99	-99	8888	-99	-99	8888	-99	-99	-99	8888	-99	-99	8888	8888	8888	-99	-99	-99	-99	-99	-99	-99	8888	7	2	4	60	60	60	60	60	40	0	0	0	0	0	0	0	99	-1111	50	50	50	50	30	-99	88	0	0	0	0	0	99	-1111	30	30	30	30	20	-99	88	0	0	0	0	0	99	-1111	-1111	80	-1111	90	30	-1111	40	100	50	80	80	-1111	90	-1111	 	 	 	 	-1111	-1111	-1111	-1111	-1111	-1111	-1111	40	100	-1111	-1111	80	-1111	90	-1111	 	 	 	 	-1111	-1111	-1111	-1111	-1111	-1111	-1111	20	-1111	-1111	-1111	-1111	-1111	-1111	-1111	 	 	 	 	9	10	11	12	8	3	 	 	 	 	3.5	1	9	3.5	1	10	3.5	17	1	9	17	1	10	17	29	1	9	31	1	10	30	30	1	9	32	1	10	31	12	1	9	13	1	10	12.5	35	1	9	34	1	10	34.5	1	9	11	1	9	8	1	2	9	11	2	9	8	2	.449999988079071	9	11	.449999988079071	9	8	.449999988079071	2	9	11	2	9	8	2	1.5	5	12	1.5	5	10	 	7.5	1	12	7.5	1	10	 	13	1	12	12	1	10	 	55	1	12	55	1	10	 	50	1	12	50	1	10	 	16	1	12	16	1	10	 	16	1	12	16	1	10	 	28	1	12	28	1	10	 	3.79999995231628	1	12	3.79999995231628	1	10	 	7	1	12	7	1	10	 	18	1	12	18	1	10	 	16	1	12	16	1	10	 	120	-77	600	400	50	-77	-77	50	1	7	5	1	0	0	0	0	0	0	1	0	0	0	0	88	88	88	88	88	2	88	88	88	88	398	25	398	5	4	3	1	2	10	60	0	10	20	0	3	9	2	3	1	99	99	99	7	9	2	8	0	3	1	3	3	3	3	1	3	3	3	20	-88	-88	-88	-88	-88	-88	-88	-88	-88	-88	4	88	88	88	88	88	88	88	88	88	88	1	1	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	88	88	88	1	1	0	1	1	1	1	0	88	1	1	1	1	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
VN004	4	3	1	1	2	 	9/30/2009	.333333343267441	3990	953	3	1	5	5	5	5	5	5	5	5	11	3	88	1	5	88	4	5	8	25	25	30	1	1	1	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	30	50	0	0	88	0	88	0	88	0	88	0	88	0	88	0	88	0	88	0	88	0	88	0	88	0	88	0	88	1	2	0	88	0	88	2	1	 	1	1	0	1	1	0	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	1	0	 	7	7	8	7	99	1	1	0	0	0	0	0	0	0	0	0	1	1	99	99	99	99	99	99	99	99	99	1	1	99	99	99	99	99	99	99	99	99	1	1	99	99	99	99	99	99	99	99	99	2	1	6	0	0	0	0	1	-88	-88	-88	-88	2002	88	88	88	88	2	1	1	1	1	0	0	1	480	1	4	-88	-88	2002	2002	2008	1997	-88	-88	3	3	3	3	88	88	 	 	 	 	 	 	 	 	 	 	 	4	4	1	0	0	0	6	-88	-88	-88	1981	-88	-88	-88	3	88	88	88	4	88	88	88	1	0	1	0	1	1	0	1	1	0	30	3	88	0	88	2	3	88	0	0	88	1	6	2	50	6	50	36	4	1	4	8	3	3	3	30	212	158	0	0	0	0	0	1	1	1	2	6	0	0	0	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	1	1	0	1	1	1	0	0	88	88	88	0	88	88	0	0	88	88	1	1	1	1	1	1	1	1	1	1	1	1	88	1	1	88	88	1	88	88	88	88	1	1	88	1	1	1	88	88	8888	8888	8888	8888	8888	8888	8888	8888	8888	8888	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	-99	8888	-99	-99	8888	8888	2007	8888	8888	8888	8888	-99	-99	8888	-99	-99	-99	8888	8888	1	11	7	70	-1111	-1111	60	-1111	-1111	0	2	88	88	2	88	88	99	-1111	-1111	-1111	55	-1111	-1111	-99	88	88	88	2	88	88	99	-1111	-1111	-1111	-1111	-1111	-1111	-99	88	88	88	88	88	88	99	-1111	-1111	80	60	-1111	-1111	-1111	-1111	80	35	-1111	-1111	50	-1111	-1111	-88	-88	-88	-88	-1111	-1111	60	45	-1111	-1111	-1111	-1111	80	-1111	-1111	-1111	-1111	40	-1111	-88	-88	-88	-88	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-1111	-88	-88	-88	-88	7	6	10	12	11	 	 	 	 	 	2	1	7	2	5	 	 	16	99	 	16	99	 	 	47	1	7	47	5	 	 	41	7	7	40	5	 	 	32	1	7	31	5	 	 	16	99	 	16	99	 	 	1	5	 	1	99	 	 	16	99	 	99	99	 	 	5	5	 	99	99	 	 	16	99	 	99	99	 	 	3	5	 	99	99	 	 	8	5	 	99	99	 	 	25	5	 	99	99	 	 	60	5	 	99	99	 	 	99	99	 	99	99	 	 	25	1	7	24	5	 	 	14	1	7	14	5	 	 	25	1	7	25	5	 	 	10	1	7	10	5	 	 	12	1	7	12	5	 	 	24	1	7	24	5	 	 	18	1	7	16	99	 	 	-88	-88	1500	200	-88	-88	-88	-88	1	3	4	0	1	1	1	0	1	1	0	1	0	0	0	3	1	88	3	1	88	3	88	88	88	50	6	50	4	5	6	0	3	3	3	88	-77	-77	-77	13	18	2	2	1	99	99	99	5	2	7	3	0	0	1	3	3	3	3	1	3	3	0	30	15	-88	-88	-88	-88	-88	-88	-88	-88	30	4	4	88	88	88	88	88	88	88	88	4	1	0	1	1	0	1	1	1	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	1	0	1	0	0	1	1	1	88	1	88	88	1	0	1	1	1	1	0	88	1	1	1	1	88	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
