commid	disastid	disaster	longago	pplaftcd	askhelp1	askhelp2	askhelp3	recvhelp
VN001	1	2	10	18	1	2	3	1
VN001	2	10	3	1081	0	0	3	0
VN001	3	6	10	890	1	2	3	1
VN002	1	2	1	1117	1	4	3	0
VN003	1	2	0	1585	1	3	4	1
VN003	2	3	6	1200	1	3	88	1
VN004	1	2	22	35	1	3	4	1
VN004	2	3	27	21	1	3	4	1
VN005	1	2	1	488	1	2	4	1
VN005	2	3	6	670	1	2	4	1
VN005	3	7	11	750	1	2	4	1
VN005	4	10	5	750	1	2	4	1
VN005	5	11	4	320	1	2	4	1
VN006	1	6	23	725	1	3	4	1
VN006	2	2	1	70	1	3	4	4
VN006	3	11	18	350	1	 	 	0
VN007	1	2	12	3	0	 	 	0
VN007	2	11	14	14	0	 	 	0
VN007	3	2	34	1763	1	2	4	1
VN007	4	0	-88	-88	88	88	88	88
VN007	5	0	-88	-88	88	88	88	88
VN008	1	2	35	1406	1	2	4	1
VN009	1	1	36	43	1	3	4	1
VN010	1	1	36	25	1	2	3	1
VN011	1	2	33	506	1	2	4	1
VN012	1	2	35	192	1	3	4	1
VN012	2	4	5	17	1	4	3	1
VN013	1	1	36	45	1	3	4	1
VN014	1	1	36	20	1	3	4	1
VN015	1	2	11	103	1	2	4	1
VN015	2	4	12	52	1	4	0	1
VN015	3	10	10	78	0	 	 	0
VN015	4	11	2	30	0	 	 	0
VN016	1	4	2	6	1	2	4	1
VN016	2	7	5	22	1	2	4	1
VN016	3	10	3	18	0	 	 	0
VN016	4	11	2	10	0	 	 	0
VN017	1	1	13	29	1	3	4	1
VN017	2	1	13	370	1	0	0	1
VN017	3	1	25	100	1	0	0	1
VN018	1	1	14	200	1	3	4	1
VN018	2	1	14	300	1	3	4	1
VN018	3	1	3	150	0	0	0	0
VN019	1	2	13	93	1	2	4	1
VN019	2	7	21	38	1	4	0	1
VN019	3	10	24	50	0	 	 	0
VN019	4	11	2	15	0	 	 	0
VN020	1	4	3	2	1	2	4	1
VN020	2	7	11	42	1	2	4	1
VN020	3	10	9	10	0	 	 	0
VN020	4	11	3	9	0	 	 	0
VN021	1	1	12	800	1	1	1	1
VN021	2	1	19	10	1	0	0	1
VN022	1	1	36	897	0	 	 	1
VN022	2	1	12	975	0	 	 	1
VN023	1	1	33	471	0	 	 	1
VN023	2	1	11	927	0	 	 	1
VN024	1	7	27	1500	1	3	4	1
VN026	1	1	18	200	1	2	3	4
VN028	1	2	36	750	1	2	3	1
VN028	2	6	12	200	1	2	3	1
VN028	3	12	36	10	0	 	 	99
VN032	1	2	34	1500	4	1	3	4
VN032	2	2	0	2200	4	1	3	4
VN034	1	2	36	2000	1	2	4	1
VN034	2	2	0	60	1	2	4	1
VN034	3	12	3	18	1	4	2	4
VN034	4	12	3	11	0	 	 	0
VN035	1	2	2	533	1	2	 	1
VN035	2	12	2	600	1	 	 	1
VN036	1	2	1	2000	1	4	 	1
VN036	2	12	3	50	1	 	 	1
VN036	3	6	1	200	1	4	 	1
