commid	rsid	module	section	module2	section2	module3	section3	ageres	sexres	capac	livres
VN001	1	1	2	1	3	 	 	53	1	1	50
VN001	2	2	1	1	1	1	3	49	1	2	40
VN001	3	1	1	1	3	1	6	45	1	1	40
VN001	4	2	2	1	2	1	3	49	2	1	48
VN001	5	1	3	1	4	 	 	38	1	1	38
VN001	6	1	1	1	3	1	5	29	2	2	25
VN001	7	1	3	 	 	 	 	52	1	4	48
VN001	8	2	1	1	4	1	5	30	2	8	30
VN001	9	2	1	1	5	2	2	36	2	8	36
VN001	10	1	3	1	5	2	2	43	2	3	30
VN002	1	1	1	 	 	 	 	54	1	1	54
VN002	2	1	3	 	 	 	 	41	2	6	41
VN002	3	1	3	 	 	 	 	26	1	8	26
VN002	4	2	1	 	 	 	 	36	1	8	36
VN002	5	2	1	 	 	 	 	57	1	8	57
VN002	6	1	1	 	 	 	 	48	2	8	48
VN002	7	2	2	 	 	 	 	41	2	3	41
VN002	8	2	1	 	 	 	 	47	1	4	47
VN002	9	1	2	 	 	 	 	54	1	1	54
VN002	10	1	4	 	 	 	 	54	1	1	54
VN002	11	1	5	 	 	 	 	43	2	8	43
VN002	12	1	6	 	 	 	 	54	1	1	54
VN002	13	2	2	 	 	 	 	35	2	3	35
VN003	1	1	1	1	2	1	3	39	1	1	35
VN003	2	1	1	1	4	1	2	40	1	2	15
VN003	3	1	2	1	3	1	5	30	2	6	27
VN003	4	1	3	1	4	 	 	35	2	2	34
VN003	5	1	2	1	3	1	6	48	1	2	48
VN003	6	1	3	 	 	 	 	38	1	2	38
VN003	7	1	1	1	3	1	6	49	1	1	44
VN003	8	1	3	1	5	 	 	43	2	3	40
VN003	9	1	5	 	 	 	 	40	2	8	40
VN003	10	1	5	 	 	 	 	30	2	8	30
VN003	11	1	5	 	 	 	 	28	2	8	28
VN003	12	1	5	 	 	 	 	37	1	8	30
VN004	1	1	1	 	 	 	 	29	1	1	29
VN004	2	1	2	 	 	 	 	31	1	8	16
VN004	3	2	2	 	 	 	 	54	1	3	54
VN004	4	2	1	 	 	 	 	42	1	4	24
VN004	5	2	1	 	 	 	 	42	1	4	15
VN004	6	1	3	 	 	 	 	26	2	6	26
VN004	7	1	5	 	 	 	 	28	2	8	28
VN004	8	1	4	 	 	 	 	29	1	1	29
VN004	9	2	6	 	 	 	 	29	1	1	29
VN004	10	1	3	 	 	 	 	36	2	3	8
VN004	11	1	4	 	 	 	 	60	1	8	60
VN004	12	2	5	 	 	 	 	35	2	8	35
VN005	1	1	1	1	2	1	6	49	1	1	27
VN005	2	1	1	1	4	1	5	28	1	1	19
VN005	3	2	1	1	2	1	6	39	1	2	10
VN005	4	1	1	1	3	1	4	29	2	2	4
VN005	5	2	1	1	3	1	6	30	1	2	19
VN005	6	1	2	1	4	 	 	57	2	1	19
VN005	7	2	2	1	3	 	 	49	1	2	35
VN005	8	2	1	1	3	 	 	40	1	3	5
VN005	9	2	2	1	5	 	 	21	2	8	10
VN005	10	1	5	 	 	 	 	32	2	8	7
VN005	11	1	5	 	 	 	 	36	2	8	10
VN005	12	1	5	 	 	 	 	46	2	8	12
VN006	1	1	1	 	 	 	 	42	1	1	42
VN006	2	1	2	 	 	 	 	45	2	3	45
VN006	3	1	2	 	 	 	 	44	1	2	44
VN006	4	1	3	 	 	 	 	26	2	2	26
VN006	5	1	3	 	 	 	 	28	2	2	28
VN006	6	1	3	 	 	 	 	46	2	6	36
VN006	7	1	4	 	 	 	 	30	1	2	30
VN006	8	2	1	 	 	 	 	35	1	4	35
VN006	9	2	1	 	 	 	 	32	1	4	32
VN006	10	2	5	 	 	 	 	40	2	8	40
VN007	1	1	3	 	 	 	 	35	1	1	35
VN007	2	1	1	1	2	1	3	41	1	1	41
VN007	3	1	2	1	4	 	 	45	2	1	45
VN007	4	1	1	2	3	2	4	53	1	2	53
VN007	5	1	1	1	3	1	5	42	1	2	42
VN007	6	2	2	2	1	 	 	44	1	3	9
VN007	7	1	2	 	 	 	 	24	2	1	24
VN007	8	1	4	 	 	 	 	35	1	2	35
VN007	9	2	1	 	 	 	 	40	1	4	40
VN007	10	2	1	 	 	 	 	52	1	4	3
VN007	11	2	2	2	3	2	1	60	1	3	35
VN007	12	1	5	 	 	 	 	44	1	3	44
VN007	13	1	3	 	 	 	 	28	1	2	28
VN007	14	1	5	 	 	 	 	63	2	8	63
VN007	15	1	5	 	 	 	 	37	2	8	37
VN007	16	1	5	 	 	 	 	42	2	8	42
VN008	1	1	2	1	6	 	 	53	1	1	53
VN008	2	1	1	2	2	2	3	37	1	1	30
VN008	3	1	1	1	3	1	6	24	1	2	24
VN008	4	1	3	2	3	 	 	43	1	4	3
VN008	5	1	1	2	3	2	4	29	1	2	29
VN008	6	1	3	 	 	 	 	29	2	1	29
VN008	7	1	3	2	2	 	 	42	1	3	42
VN008	8	1	5	 	 	 	 	39	2	8	15
VN008	9	1	5	 	 	 	 	42	2	8	42
VN008	10	1	5	 	 	 	 	47	2	8	47
VN008	11	1	5	 	 	 	 	35	2	8	35
VN009	1	1	1	 	 	 	 	56	1	1	56
VN009	2	1	3	 	 	 	 	49	2	6	30
VN009	3	1	3	 	 	 	 	43	1	1	43
VN009	4	1	3	 	 	 	 	28	1	2	28
VN009	5	1	2	 	 	 	 	43	1	1	26
VN009	6	1	3	 	 	 	 	28	1	1	25
VN009	7	2	2	 	 	 	 	39	2	2	15
VN009	8	1	4	 	 	 	 	36	1	2	30
VN009	9	2	2	 	 	 	 	45	1	2	32
VN009	10	 	 	 	 	 	 	38	2	8	38
VN010	1	1	1	 	 	 	 	33	1	1	33
VN010	2	1	1	 	 	 	 	34	1	2	9
VN010	3	1	3	 	 	 	 	41	2	2	34
VN010	4	1	2	 	 	 	 	46	2	6	46
VN010	5	1	2	 	 	 	 	47	1	1	1
VN010	6	1	4	 	 	 	 	54	1	2	32
VN010	7	2	1	 	 	 	 	22	1	1	22
VN010	8	2	2	 	 	 	 	41	2	8	18
VN010	9	1	4	 	 	 	 	42	1	2	42
VN011	1	1	1	1	3	1	4	53	1	1	53
VN011	2	1	1	1	2	1	3	53	1	1	53
VN011	3	1	1	1	3	 	 	37	1	1	32
VN011	4	1	2	 	 	 	 	55	2	1	55
VN011	5	1	2	 	 	 	 	26	1	2	20
VN011	6	2	2	 	 	 	 	43	1	3	12
VN011	7	1	4	 	 	 	 	29	1	2	29
VN011	8	1	1	 	 	 	 	40	2	2	19
VN011	9	1	3	 	 	 	 	46	1	2	46
VN011	10	2	1	 	 	 	 	47	1	4	47
VN011	11	2	1	 	 	 	 	54	1	4	1
VN011	12	1	2	1	3	 	 	37	2	6	37
VN011	13	1	5	 	 	 	 	40	2	8	40
VN011	14	1	5	 	 	 	 	40	2	8	40
VN011	15	1	5	 	 	 	 	43	2	3	20
VN011	16	1	5	2	2	 	 	40	1	8	40
VN011	17	1	5	 	 	 	 	45	2	8	45
