PLACEID	DWAGIDR5	EARNMALE	EARNFMLE
1228	4	-7777	-7777
1229	1	-1111	-1111
1229	2	-1111	-1111
1229	3	60	-1111
1229	4	20	20
1230	1	-1111	-1111
1230	2	-1111	-1111
1230	3	30	25
1230	4	70	60
1231	1	-1111	-1111
1231	2	-1111	-11111
1231	3	-7777	-7777
1231	4	-1111	-1111
1232	1	-1111	-1111
1232	2	-1111	-1111
1232	3	25	25
1232	4	-1111	-1111
1233	1	-1111	-1111
1233	2	-1111	-1111
1233	3	-1111	-1111
1233	4	40	-1111
1234	1	-1111	-1111
1234	2	-1111	-1111
1234	3	60	-1111
1234	4	25	25
1235	1	-1111	-1111
1235	2	-1111	-1111
1235	3	35	-1111
1235	4	20	-1111
1236	1	-1111	-1111
1236	2	-1111	-1111
1236	3	50	-1111
1236	4	30	30
1237	1	-1111	-1111
1237	2	-1111	-1111
1237	3	50	-1111
1237	4	30	30
1301	1	-1111	-1111
1301	2	0	-1111
1301	3	-150	-1111
1301	4	120	-1111
1304	1	-1111	-1111
1304	2	-1111	-1111
1304	3	120	-77
1304	4	70	-77
1305	1	-1111	-1111
1305	2	-1111	-1111
1305	3	60	-1111
1305	4	40	30
1306	1	-8888	-8888
1306	2	-8888	-8888
1306	3	-7777	-1111
1306	4	-7777	-7777
1308	1	-1111	-1111
1308	2	-1111	-1111
1308	3	100	-1111
1308	4	80	-1111
1309	1	-1111	-1111
1309	2	-1111	-1111
1309	3	80	-1111
1309	4	60	-1111
1310	1	-1111	-1111
1310	2	-1111	-1111
1310	3	80	-1111
1310	4	60	-1111
1401	1	-88	-88
1401	2	-88	-88
1401	3	80	-1111
1401	4	-1111	-1111
1404	1	-8888	-8888
1404	2	-8888	-8888
1404	3	80	60
1404	4	25	25
1405	1	-88	-88
1405	2	-88	-88
1405	3	80	-7777
1405	4	-7777	-7777
1406	1	-8888	-8888
1406	2	-8888	-8888
1406	3	90	-8888
1406	4	60	-8888
1407	1	-8888	-8888
1407	2	-8888	-8888
1407	3	80	50
1407	4	15	15
1408	1	-88	-88
1408	2	-88	-88
1408	3	80	-1111
1408	4	-8888	-8888
1409	1	-8888	-8888
1409	2	-8888	-8888
1409	3	80	-1111
1409	4	-1111	-1111
1410	1	-1111	-1111
1410	2	-1111	-1111
1410	3	80	80
1410	4	25	25
1411	1	-8888	-8888
1411	2	-8888	-8888
1411	3	80	-1111
1411	4	-1111	-1111
1412	1	-8888	-8888
1412	2	-8888	-8888
1412	3	-8888	-8888
1412	4	-8888	-8888
1413	1	-888.799987792969	-888.799987792969
1413	2	-888.799987792969	-888.799987792969
1413	3	80	111.099998474121
1413	4	30	30
1414	1	-8888	-8888
1414	2	-8888	-8888
1414	3	50	-8888
1414	4	-8888	-8888
1504	1	30	30
1504	2	30	30
1504	3	25	25
1504	4	-1111	-1111
1505	1	30	20
1505	2	30	20
1505	3	25	15
1505	4	-1111	-1111
1507	1	25	20
1507	2	20	15
1507	3	-1111	-1111
1507	4	-1111	-1111
1508	1	40	-1111
1508	2	20	-1111
1508	3	-1111	-1111
1508	4	-1111	-1111
1509	1	-1111	-1111
1509	2	20	20
1509	3	-1111	-1111
1509	4	-1111	-1111
1510	1	20	20
1510	2	30	30
1510	3	30	30
1510	4	-1111	-1111
1511	1	-8888	-8888
1511	2	40	30
1511	3	-8888	-8888
1511	4	-8888	-8888
1601	1	-1111	-1111
1601	2	35	-1111
1601	3	40	-1111
1601	4	-1111	-1111
1603	1	-8888	-8888
1603	2	40	-1111
1603	3	30	-1111
1603	4	-8888	-8888
1604	1	-8888	-8888
1604	2	35	30
1604	3	30	-1111
1604	4	-1111	-1111
1702	1	-8888	-8888
1702	2	35	-1111
1702	3	50	-1111
1702	4	-1111	-1111
1801	1	-1111	-1111
1801	2	35	30
1801	3	70	-1111
1801	4	-1111	-1111
2002	1	-88	-88
2002	2	-88	-88
2002	3	70	-1111
2002	4	25	25
2004	1	-88	-88
2004	2	-88	-88
2004	3	70	-7777
2004	4	25	25
2005	1	-88	-88
2005	2	-88	-88
2005	3	80	-1111
2005	4	30	30
2007	1	-8888	-8888
2007	2	-8888	-8888
2007	3	70	-1111
2007	4	-1111	-1111
2008	1	-8888	-8888
2008	2	-8888	-8888
2008	3	40	40
2008	4	20	20
2009	1	-8888	-8888
2009	2	-8888	-8888
2009	3	80	-1111
2009	4	30	30
2010	1	-8888	-8888
2010	2	-8888	-8888
2010	3	80	-1111
2010	4	-1111	-1111
2011	1	-8888	-8888
2011	2	-8888	-8888
2011	3	70	-1111
2011	4	25	-1111
2012	1	-8888	-8888
2012	2	-8888	-8888
2012	3	80	-1111
2012	4	25	25
2014	1	-8888	-8888
2014	2	-8888	-8888
2014	3	80	30
2014	4	-1111	-1111
2015	1	-8888	-8888
2015	2	-8888	-8888
2015	3	70	-1111
2015	4	25	25
2016	1	-88	-88
2016	2	-88	-88
2016	3	60	-1111
2016	4	-8888	-8888
2017	1	-8888	-8888
2017	2	-8888	-8888
2017	3	60	60
2017	4	25	25
2018	1	-8888	-8888
2018	2	-8888	-8888
2018	3	60	-1111
2018	4	25	25
2019	1	-8888	-8888
2019	2	-8888	-8888
2019	3	50	-1111
2019	4	-1111	-1111
2020	1	-8888	-8888
2020	2	-8888	-8888
2020	3	80	-1111
2020	4	20	20
2021	1	-8888	-8888
2021	2	-8888	-8888
2021	3	80	-1111
2021	4	30	30
2022	1	-1111	-1111
2022	2	-1111	-1111
2022	3	50	-1111
2022	4	-1111	-1111
2024	1	-1111	-1111
2024	2	-1111	-1111
2024	3	-1111	-1111
2024	4	50	40
2025	1	-1111	-1111
2025	2	-1111	-1111
2025	3	-1111	-1111
2025	4	-7777	-1111
8007	1	-1111	-1111
8007	2	-1111	-1111
8007	3	30	15
8007	4	-1111	-1111
8008	1	200	-1111
8008	2	200	-1111
8008	3	150	-1111
8008	4	-1111	-1111
8012	1	-8888	-8888
8012	2	-8888	-8888
8012	3	40	-8888
8012	4	-8888	-8888
8013	1	50	-1111
8013	2	-1111	-1111
8013	3	80	-1111
8013	4	50	-1111
8014	1	30	-1111
8014	2	30	-1111
8014	3	-1111	-1111
8014	4	-1111	-1111
8015	1	400	-1111
8015	2	300	-1111
8015	3	-1111	-1111
8015	4	-1111	-1111
8018	1	-1111	-1111
8018	2	35	30
8018	3	50	-1111
8018	4	20	20
8020	1	-8888	-8888
8020	2	-8888	-8888
8020	3	80	70
8020	4	40	40
8024	1	-1111	-1111
8024	2	80	50
8024	3	50	-1111
8024	4	40	-1111
8029	1	-1111	-1111
8029	2	30	20
8029	3	-1111	-1111
8029	4	-1111	-1111
8032	1	80	60
8032	2	50	60
8032	3	100	-1111
8032	4	60	-1111
8034	1	-1111	-1111
8034	2	25	25
8034	3	-7777	-1111
8034	4	-1111	-1111
8037	1	-1111	-1111
8037	2	15	-1111
8037	3	30	-1111
8037	4	-8888	-8888
8038	1	80	60
8038	2	40	40
8038	3	60	60
8038	4	40	40
8039	1	-8888	-8888
8039	2	-8888	-8888
8039	3	65	-1111
8039	4	25	-1111
8046	1	-1111	-1111
8046	2	-1111	-1111
8046	3	25	25
8046	4	-1111	-1111
8048	1	-1111	-1111
8048	2	25	25
8048	3	-1111	-1111
8048	4	-1111	-1111
8049	1	-1111	-1111
8049	2	-1111	-1111
8049	3	50	30
8049	4	30	25
8059	1	-1111	-1111
8059	2	35	35
8059	3	70	-1111
8059	4	25	25
8060	1	-8888	-8888
8060	2	-1111	-1111
8060	3	-7777	-7777
8060	4	15	15
8062	1	-1111	-1111
8062	2	-1111	-1111
8062	3	30	-1111
8062	4	-1111	-1111
8064	1	30	25
8064	2	50	-1111
8064	3	25	-1111
8064	4	-1111	-1111
8066	1	30	-22222
8066	2	30	-2222
8066	3	-7777	-7777
8066	4	-7777	-7777
8070	1	-8888	-8888
8070	2	300	300
8070	3	-8888	-8888
8070	4	-8888	-8888
8071	1	-1111	-1111
8071	2	25	25
8071	3	-1111	-1111
8071	4	-1111	-1111
8079	1	-1111	-1111
8079	2	-1111	-1111
8079	3	25	-1111
8079	4	25	20
8084	1	-1111	-1111
8084	2	-1111	-1111
8084	3	40	-1111
8084	4	-1111	-1111
8085	1	-2222	-2222
8085	2	35	35
8085	3	30	30
8085	4	40	40
8088	1	-1111	-1111
8088	2	-1111	-1111
8088	3	40	-1111
8088	4	40	-1111
8090	1	-1111	-1111
8090	2	-1111	-1111
8090	3	25	20
8090	4	25	20
8092	1	8888	8888
8092	2	8888	8888
8092	3	8888	8888
8092	4	8888	8888
8094	1	-1111	-1111
8094	2	-1111	-1111
8094	3	-1111	-1111
8094	4	-1111	-1111
8097	1	-1111	-1111
8097	2	-1111	-1111
8097	3	60	-1111
8097	4	50	-1111
8098	1	-1111	-1111
8098	2	-1111	-1111
8098	3	100	100
8098	4	80	80
8099	1	-77	-77
8099	2	-77	-77
8099	3	-77	-77
8099	4	-77	-77
8101	1	-1111	-1111
8101	2	-1111	-1111
8101	3	60	-7777
8101	4	10	10
8103	1	-1111	-1111
8103	2	-1111	-1111
8103	3	80	-1111
8103	4	50	-1111
8107	1	-1111	-1111
8107	2	-1111	-1111
8107	3	400	-1111
8107	4	300	-1111
8108	1	-1111	-1111
8108	2	-1111	-1111
8108	3	70	-1111
8108	4	-1111	-1111
8110	1	-1111	-1111
8110	2	-1111	-1111
8110	3	-1111	-1111
8110	4	-1111	-1111
8112	1	-88	-88
8112	2	-88	-88
8112	3	90	-1111
8112	4	-88	-88
8113	1	-1111	-1111
8113	2	-1111	-1111
8113	3	80	-1111
8113	4	40	-1111
8114	1	-1111	-1111
8114	2	0	-1111
8114	3	100	-1111
8114	4	80	-1111
8115	1	-1111	-1111
8115	2	-1111	-1111
8115	3	60	-1111
8115	4	50	-1111
8119	1	-1111	-1111
8119	2	-1111	-1111
8119	3	80	-1111
8119	4	60	30
8123	1	-1111	-1111
8123	2	-1111	-1111
8123	3	100	100
8123	4	35	35
8126	1	-8888	-8888
8126	2	-8888	-8888
8126	3	95	60
8126	4	35	35
8127	1	-88	-88
8127	2	-88	-88
8127	3	80	60
8127	4	-1111	-1111
8128	1	-8888	-8888
8128	2	-8888	-8888
8128	3	-8888	-8888
8128	4	-8888	-8888
8129	1	35	35
8129	2	40	40
8129	3	50	-1111
8129	4	-1111	-1111
8130	1	-7777	-7777
8130	2	40	30
8130	3	60	-7777
8130	4	-7777	-7777
8132	1	-1111	-1111
8132	2	50	50
8132	3	-1111	-1111
8132	4	35	35
8134	1	-8888	-88888
8134	2	-8888	-88888
8134	3	80	-1111
8134	4	30	30
8135	1	-1111	-1111
8135	2	20	-1111
8135	3	25	-1111
8135	4	-1111	-1111
8138	1	-1111	-1111
8138	2	660	-1111
8138	3	-1111	-1111
8138	4	-1111	-1111
8140	1	-1111	-1111
8140	2	50	25
8140	3	30	50
8140	4	-1111	-1111
8141	1	30	30
8141	2	30	30
8141	3	70	-1111
8141	4	35	-1111
8142	1	-1111	-1111
8142	2	20	20
8142	3	40	-1111
8142	4	-8888	-8888
8143	1	-1111	-1111
8143	2	25	-1111
8143	3	40	-1111
8143	4	30	-1111
8145	1	-8888	-8888
8145	2	-8888	-8888
8145	3	50	50
8145	4	30	30
8146	1	-1111	-1111
8146	2	30	-1111
8146	3	30	30
8146	4	35	35
8147	1	-8888	-8888
8147	2	-8888	-8888
8147	3	50	45
8147	4	20	20
8148	1	-1111	-1111
8148	2	45	45
8148	3	70	-1111
8148	4	15	15
8151	1	50	-1111
8151	2	40	30
8151	3	40	-1111
8151	4	-7777	-7777
8152	1	-8888	-8888
8152	2	25	20
8152	3	-8888	-8888
8152	4	-8888	-8888
8160	1	-1111	-1111
8160	2	30	20
8160	3	50	-1111
8160	4	-8888	-8888
8162	1	-1111	-1111
8162	2	25	25
8162	3	30	-1111
8162	4	30	-1111
8166	1	-1111	0
8166	2	25	25
8166	3	35	35
8166	4	40	40
8169	1	-1111	-1111
8169	2	15	15
8169	3	30	-1111
8169	4	-8888	-8888
8170	1	-1111	-1111
8170	2	20	20
8170	3	40	-1111
8170	4	40	-1111
8172	1	-8888	-8888
8172	2	25	25
8172	3	50	-1111
8172	4	-8888	-8888
8177	1	-1111	-1111
8177	2	25	25
8177	3	40	-1111
8177	4	30	-1111
8180	1	-1111	-1111
8180	2	40	-1111
8180	3	40	30
8180	4	30	-1111
8181	1	-1111	-1111
8181	2	40	-1111
8181	3	50	-1111
