PLACEID	DWAGIDR5	EARNMALE	EARNFMLE
8403	3	-8888	-8888
8403	4	-8888	-8888
8404	1	-1111	-1111
8404	2	15	-1111
8404	3	-8888	-8888
8404	4	-8888	-8888
8405	1	-8888	-8888
8405	2	-8888	-8888
8405	3	50	-1111
8405	4	35	8
8406	1	-8888	-8888
8406	2	-8888	-8888
8406	3	40	-1111
8406	4	30	-1111
8407	1	15	12
8407	2	15	12
8407	3	35	-1111
8407	4	-8888	-8888
8408	1	-8888	-8888
8408	2	-8888	-8888
8408	3	50	-1111
8408	4	-8888	-8888
8409	1	-1111	-1111
8409	2	30	-1111
8409	3	50	-1111
8409	4	30	-1111
8410	1	-8888	-8888
8410	2	-8888	-8888
8410	3	45	-1111
8410	4	40	20
8411	1	-8888	-8888
8411	2	-8888	-8888
8411	3	50	-1111
8411	4	-8888	-8888
8412	1	-8888	-8888
8412	2	-8888	-8888
8412	3	90	-1111
8412	4	45	-1111
8413	1	-8888	-8888
8413	2	-8888	-8888
8413	3	30	-1111
8413	4	45	-1111
8415	1	-1111	-1111
8415	2	25	25
8415	3	40	-1111
8415	4	-8888	-8888
8418	1	-1111	-1111
8418	2	25	25
8418	3	-8888	-8888
8418	4	-8888	-8888
8419	1	-1111	-1111
8419	2	30	30
8419	3	40	-1111
8419	4	50	-1111
8420	1	-1111	-1111
8420	2	35	25
8420	3	30	-1111
8420	4	20	15
8421	1	30	20
8421	2	30	20
8421	3	50	-1111
8421	4	-8888	-8888
8422	1	20	15
8422	2	20	15
8422	3	-8888	-8888
8422	4	-8888	-8888
8424	1	-8888	-8888
8424	2	-8888	-8888
8424	3	30	-1111
8424	4	30	30
8426	1	-1111	-1111
8426	2	25	25
8426	3	20	-1111
8426	4	25	7
8427	1	-8888	-8888
8427	2	30	30
8427	3	50	-1111
8427	4	40	-1111
8429	1	-1111	-1111
8429	2	20	-1111
8429	3	-8888	-8888
8429	4	-8888	-8888
8431	1	-8888	-8888
8431	2	-8888	-8888
8431	3	50	45
8431	4	40	-11111
8433	1	-8888	-8888
8433	2	45	-8888
8433	3	50	-8888
8433	4	40	-8888
8434	1	-1111	-1111
8434	2	-1111	-1111
8434	3	-1111	-1111
8434	4	40	30
8435	1	-8888	-8888
8435	2	-8888	-8888
8435	3	80	-1111
8435	4	50	-1111
8436	1	-1111	-1111
8436	2	-1111	-1111
8436	3	-7777	-7777
8436	4	-7777	-7777
8440	1	-8888	-8888
8440	2	-8888	-8888
8440	3	80	40
8440	4	-1111	-1111
8441	1	-88	-88
8441	2	-88	-88
8441	3	80	-88
8441	4	-88	-88
8442	1	-1111	-1111
8442	2	-1111	-1111
8442	3	-1111	-1111
8442	4	45	45
8443	1	-1111	-1111
8443	2	-1111	-1111
8443	3	60	-1111
8443	4	40	-1111
8444	1	-1111	-1111
8444	2	-1111	-1111
8444	3	700	-1111
8444	4	30	-1111
8447	1	-1111	-1111
8447	2	-1111	-1111
8447	3	35	35
8447	4	-1111	-1111
8448	1	-1111	-1111
8448	2	-1111	-1111
8448	3	40	50
8448	4	30	30
8449	1	-1111	-1111
8449	2	-1111	-1111
8449	3	30	30
8449	4	60	30
8450	1	-8888	-8888
8450	2	-8888	-8888
8450	3	40	40
8450	4	40	40
8451	1	-8888	-8888
8451	2	-8888	-8888
8451	3	40	-1111
8451	4	30	20
8452	1	-8888	-8888
8452	2	-8888	-8888
8452	3	40	-1111
8452	4	35	-1111
8453	1	-8888	-8888
8453	2	-8888	-8888
8453	3	40	-1111
8453	4	35	25
8454	1	-8888	-8888
8454	2	-8888	-8888
8454	3	40	-1111
8454	4	40	-1111
8455	1	-8888	-8888
8455	2	-8888	-8888
8455	3	50	-1111
8455	4	50	-1111
8456	1	-8888	-8888
8456	2	-8888	-8888
8456	3	-8888	-8888
8456	4	40	-1111
8457	1	35	-1111
8457	2	40	27.5
8457	3	50	-1111
8457	4	-1111	-1111
8458	1	30	-1111
8458	2	25	-1111
8458	3	40	-1111
8458	4	15	-1111
8459	1	-1111	-1111
8459	2	30	30
8459	3	50	-1111
8459	4	50	-1111
8460	1	-8888	-8888
8460	2	-8888	-8888
8460	3	40	-1111
8460	4	50	-1111
8461	1	-8888	-8888
8461	2	-8888	-8888
8461	3	60	50
8461	4	30	20
8462	1	-8888	-88888
8462	2	-8888	-8888
8462	3	50	-1111
8462	4	25	25
8463	1	-8888	-8888
8463	2	-8888	-88888
8463	3	80	-1111
8463	4	80	50
8464	1	-8888	-8888
8464	2	-8888	-8888
8464	3	-1111	-1111
8464	4	-8888	-8888
8465	1	-8888	-8888
8465	2	-8888	-8888
8465	3	-8888	-8888
8465	4	-8888	-8888
8466	1	-8888	-8888
8466	2	-8888	-8888
8466	3	50	-1111
8466	4	25	-1111
8467	1	-1111	-1111
8467	2	30	-1111
8467	3	-8888	-8888
8467	4	-8888	-8888
8468	1	20	-1111
8468	2	25	25
8468	3	40	-1111
8468	4	15	15
8469	1	-1111	-1111
8469	2	75	75
8469	3	40	-1111
8469	4	40	-1111
8470	1	-8888	-8888
8470	2	-8888	-8888
8470	3	40	-1111
8470	4	30	-1111
8471	1	-1111	-1111
8471	2	20	20
8471	3	15	-1111
8471	4	-8888	-8888
8472	1	-1111	-1111
8472	2	20	20
8472	3	60	-1111
8472	4	-8888	-8888
8473	1	-8888	-8888
8473	2	30	30
8473	3	35	-1111
8473	4	40	-1111
8474	1	-8888	-8888
8474	2	25	25
8474	3	40	-1111
8474	4	30	-1111
8475	1	-1111	-1111
8475	2	20	20
8475	3	-8888	-8888
8475	4	25	-1111
8476	1	-1111	-1111
8476	2	25	-1111
8476	3	30	-1111
8476	4	40	-1111
8477	1	-1111	-1111
8477	2	20	20
8477	3	-8888	-8888
8477	4	-8888	-8888
8478	1	-1111	-1111
8478	2	20	20
8478	3	50	-1111
8478	4	30	-1111
8479	1	-1111	-1111
8479	2	30	25
8479	3	45	-1111
8479	4	-8888	-8888
8480	1	-1111	-1111
8480	2	25	25
8480	3	30	30
8480	4	-8888	-8888
8481	1	-1111	30
8481	2	35	30
8481	3	-1111	-8888
8481	4	-1111	-8888
8502	1	40	-1111
8502	2	30	30
8502	3	80	-1111
8502	4	50	-1111
8503	1	350	-1111
8503	2	30	30
8503	3	60	-1111
8503	4	30	-1111
8504	1	-8888	-8888
8504	2	-8888	-8888
8504	3	50	-1111
8504	4	20	-1111
8505	1	80	-77
8505	2	50	-77
8505	3	40	-77
8505	4	20	-77
8506	1	-1111	-1111
8506	2	-1111	-1111
8506	3	40	25
8506	4	25	20
8507	1	25	20
8507	2	30	20
8507	3	40	-7777
8507	4	-1111	-1111
8508	1	-1111	-1111
8508	2	150	-1111
8508	3	-1111	-1111
8508	4	-1111	-1111
8509	1	250	20
8509	2	30	20
8509	3	30	-7777
8509	4	20	20
8510	1	25	20
8510	2	30	20
8510	3	30	25
8510	4	20	20
8512	1	35	30
8512	2	35	30
8512	3	25	25
8512	4	20	25
8513	1	-1111	-1111
8513	2	35	-1111
8513	3	50	-1111
8513	4	20	-1111
8514	1	-8888	-8888
8514	2	-8888	-8888
8514	3	90	-1111
8514	4	50	50
8515	1	-8888	-8888
8515	2	-8888	-8888
8515	3	50	-1111
8515	4	35	-1111
8516	1	-1111	-1111
8516	2	300	300
8516	3	-1111	-1111
8516	4	-1111	-1111
8520	1	-8888	-8888
8520	2	-8888	-8888
8520	3	100	-1111
8520	4	50	-1111
8521	1	-8888	-8888
8521	2	-8888	-8888
8521	3	80	-1111
8521	4	60	-1111
8524	1	-1111	-1111
8524	2	10	10
8524	3	50	-1111
8524	4	40	40
8525	1	-1111	-1111
8525	2	-1111	-1111
8525	3	-1111	-1111
8525	4	-1111	-1111
8526	1	-1111	-1111
8526	2	-1111	-1111
8526	3	50	50
8526	4	150	180
8527	1	-1111	-1111
8527	2	-1111	-1111
8527	3	33	25
8527	4	-11111	-1111
8528	1	25	25
8528	2	20	15
8528	3	-1111	-1111
8528	4	-1111	-1111
8529	1	40	-1111
8529	2	-1111	-1111
8529	3	10	-1111
8529	4	40	-1111
8530	1	-1111	-1111
8530	2	30	30
8530	3	45	-2222
8530	4	-1111	-1111
8531	1	-1111	-1111
8531	2	30	25
8531	3	30	-1111
8531	4	-1111	-1111
8532	1	-8888	-8888
8532	2	35	30
8532	3	-8888	-8888
8532	4	-8888	-8888
8533	1	-1111	-1111
8533	2	-1111	-1111
8533	3	50	50
8533	4	20	20
8534	1	30	-1111
8534	2	20	-1111
8534	3	-1111	-1111
8534	4	-1111	-1111
8535	1	-1111	-1111
8535	2	-1111	-1111
8535	3	30	-1111
8535	4	20	15
8536	1	50	50
8536	2	35	30
8536	3	40	-1111
8536	4	-1111	-1111
8537	1	600	-1111
8537	2	40	-1111
8537	3	-1111	-1111
8537	4	-1111	-1111
8538	1	-1111	-1111
8538	2	25	20
8538	3	-1111	-1111
8538	4	-1111	-1111
8539	1	-1111	-1111
8539	2	-1111	-1111
8539	3	-1111	-1111
8539	4	150	-1111
8540	1	-1111	-1111
8540	2	350	350
8540	3	-1111	-1111
8540	4	-1111	-1111
8541	1	20	20
8541	2	20	20
8541	3	30	30
8541	4	30	30
8542	1	25	25
8542	2	25	25
8542	3	-7777	-7777
8542	4	-7777	-7777
8601	1	-8888	-8888
8601	2	-8888	-8888
8601	3	50	-1111
8601	4	15	20
8602	1	-1111	-1111
8602	2	40	40
8602	3	50	-1111
8602	4	40	-1111
8604	1	-8888	-8888
8604	2	30	25
8604	3	70	-1111
8604	4	25	25
8606	1	30	30
8606	2	20	20
8606	3	30	30
8606	4	-1111	-1111
8609	1	-8888	-8888
8609	2	-8888	-8888
8609	3	40	-1111
8609	4	30	-1111
8611	1	-8888	-8888
8611	2	-8888	-8888
8611	3	70	-1111
8611	4	-1111	-1111
8612	1	-8888	-8888
8612	2	-8888	-8888
8612	3	70	-1111
8612	4	25	25
8613	1	-8888	-8888
8613	2	50	45
8613	3	100	100
8613	4	40	40
8614	1	-888803	-8888
8614	2	-8888	-8888
8614	3	70	-1111
8614	4	30	30
8617	1	40	40
8617	2	30	30
8617	3	80	70
8617	4	30	30
8620	1	-88	-8888
8620	2	-88	-8888
8620	3	55	-8888
8620	4	-11111	-1111
8624	1	-8888	-8888
8624	2	-8888	-8888
8624	3	-8888	-8888
8624	4	-1111	-1111
8625	1	-8888	-8888
8625	2	-8888	-8888
8625	3	-1111	-1111
8625	4	-1111	-1111
8626	1	-8888	-8888
8626	2	-8888	-8888
8626	3	80	-1111
8626	4	-1111	-1111
8628	1	-8888	-8888
8628	2	-8888	-8888
8628	3	-1111	-1111
8628	4	-1111	-1111
8629	1	-1111	-1111
8629	2	30	30
8629	3	60	-1111
8629	4	20	20
8630	1	-8888	-8888
8630	2	-8888	-8888
8630	3	80	-7777
8630	4	30	30
8632	1	-1111	-1111
8632	2	35	-1111
8632	3	70	-1111
8632	4	25	25
8634	1	40	40
8634	2	40	30
8634	3	70	-1111
8634	4	-1111	-1111
8636	1	-1111	-1111
8636	2	35	25
8636	3	-1111	-1111
8636	4	-1111	-1111
8637	1	-1111	-1111
8637	2	40	25
8637	3	-1111	-1111
8637	4	40	-1111
8638	1	-1111	-1111
8638	2	50	35
8638	3	60	-1111
8638	4	-1111	-1111
8640	1	-1111	-1111
8640	2	30	20
8640	3	50	-1111
8640	4	-1111	-1111
8642	1	-8888	-8888
8642	2	-8888	-8888
8642	3	70	-1111
8642	4	-1111	-1111
8644	1	-8888	-8888
8644	2	-8888	-8888
8644	3	50	40
8644	4	-8888	-8888
8645	1	-8888	-8888
8645	2	-8888	-8888
8645	3	120	120
8645	4	45	45
8646	1	-88	-88
8646	2	-88	-88
8646	3	-88	-88
8646	4	-88	-88
8647	1	-8888	-8888
8647	2	-8888	-8888
8647	3	80	-8888
8647	4	-11111	-1111
8648	1	-8888	-8888
8648	2	-8888	-8888
8648	3	50	-1111
8648	4	45	-1111
8649	1	80	-7777
8649	2	40	40
8649	3	80	-7777
8649	4	30	30
8650	1	-88	-88
8650	2	-88	-88
8650	3	60	-11
8650	4	30	30
8651	1	50	50
8651	2	50	40
8651	3	80	-1111
8651	4	20	20
8652	1	-8888	-8888
8652	2	-8888	-8888
8652	3	70	-1111
8652	4	40	40
8653	1	-1111	-1111
8653	2	45	45
8653	3	50	-1111
8653	4	-1111	-1111
8654	1	-8888	-8888
8654	2	-8888	-8888
8654	3	-8888	-8888
8654	4	-8888	-8888
8655	1	-8888	-8888
8655	2	-8888	-8888
8655	3	60	60
8655	4	30	30
8656	1	-8888	-8888
8656	2	-8888	-8888
8656	3	60	-1111
8656	4	30	30
8657	1	39	30
8657	2	35	28
8657	3	35	30
8657	4	-1111	-1111
8658	1	-1111	-1111
8658	2	40	-1111
8658	3	70	-1111
8658	4	-1111	-1111
8659	1	-1111	-1111
8659	2	40	30
8659	3	50	-1111
8659	4	-1111	-1111
8660	1	-8888	-8888
8660	2	30	25
8660	3	60	-8888
8660	4	-1111	-1111
8661	1	-1111	-1111
8661	2	-1111	-1111
8661	3	-1111	-1111
8661	4	50	40
8662	1	-8888	-8888
8662	2	-8888	-8888
8662	3	60	-8888
8662	4	25	20
8663	1	110	110
8663	2	40	40
8663	3	50	-1111
8663	4	-1111	-1111
8664	1	-7777	-7777
8664	2	40	40
8664	3	-7777	-7777
8664	4	-1111	-1111
8665	1	-1111	-1111
8665	2	-1111	-1111
8665	3	50	-1111
8665	4	-1111	-1111
8666	1	-1111	-1111
8666	2	-1111	-1111
8666	3	50	-1111
8666	4	30	-1111
8701	1	-1111	-1111
8701	2	-1111	-1111
8701	3	-1111	-1111
8701	4	50	40
8702	1	-1111	-1111
8702	2	-1111	-1111
8702	3	100	-1111
8702	4	50	-1111
8703	1	-1111	-1111
8703	2	-1111	-1111
8703	3	100	-1111
8703	4	60	-1111
8705	1	-8888	-8888
8705	2	-8888	-8888
8705	3	70	70
8705	4	40	40
8707	1	-8888	-8888
8707	2	-8888	-8888
8707	3	80	-1111
8707	4	30	25
8708	1	-8888	-8888
8708	2	-8888	-8888
8708	3	80	-1111
8708	4	30	25
8709	1	-1111	-1111
8709	2	-1111	-1111
8709	3	200	100
8709	4	40	40
8710	1	-8888	-8888
8710	2	-8888	-8888
8710	3	30	500
8710	4	-1111	-1111
8711	1	-8888	-8888
8711	2	-8888	-8888
8711	3	70	60
8711	4	-1111	-1111
8712	1	-8888	-8888
8712	2	-8888	-8888
8712	3	60	50
8712	4	-8888	-8888
8713	1	-8888	-8888
8713	2	-8888	-8888
8713	3	60	-1111
8713	4	-7777	-7777
8714	1	-8888	-8888
8714	2	-8888	-8888
8714	3	90	90
8714	4	30	30
8715	1	-8888	-8888
8715	2	-8888	-8888
8715	3	-8888	-8888
8715	4	-8888	-8888
8716	1	-8888	-8888
8716	2	-8888	-8888
8716	3	-1111	-1111
8716	4	-1111	-1111
8717	1	-8888	-8888
8717	2	-8888	-8888
8717	3	90	90
8717	4	30	30
8718	1	-8888	-8888
8718	2	-8888	-8888
8718	3	-1111	-1111
8718	4	-1111	-1111
8719	1	-8888	-8888
8719	2	-8888	-8888
8719	3	100	-1111
8719	4	-1111	-1111
8720	1	50	50
8720	2	25	25
8720	3	-1111	-1111
8720	4	-1111	-1111
8721	1	-8888	-8888
8721	2	-8888	-8888
8721	3	70	-1111
8721	4	-1111	-1111
8722	1	-1111	-1111
8722	2	-1111	-1111
8722	3	50	-1111
8722	4	35	15
8723	1	-1111	-1111
8723	2	-1111	-1111
8723	3	40	-1111
8723	4	30	-1111
8725	1	-1111	-1111
8725	2	-1111	-1111
8725	3	50	50
8725	4	-1111	-1111
8726	1	-1111	-1111
8726	2	-1111	-1111
8726	3	50	-1111
8726	4	50	-1111
8727	1	-1111	-1111
8727	2	-1111	-1111
8727	3	40	-1111
8727	4	30	-1111
8728	1	-1111	-1111
8728	2	-1111	-1111
8728	3	-1111	-1111
8728	4	-1111	-1111
8729	1	-1111	-1111
8729	2	-1111	-1111
8729	3	60	-1111
8729	4	-1111	-1111
8730	1	-1111	-1111
8730	2	-1111	-1111
8730	3	-1111	-1111
8730	4	-1111	-1111
8731	1	-1111	-1111
8731	2	-1111	-1111
8731	3	50	-1111
8731	4	30	-1111
8732	1	-1111	-1111
8732	2	-1111	-1111
8732	3	-1111	-1111
8732	4	-1111	-1111
8733	1	-8888	-8888
8733	2	-8888	-8888
8733	3	80	-8888
8733	4	-8888	-8888
8734	1	-8888	-8888
8734	2	-8888	-8888
8734	3	90	60
8734	4	40	40
8735	1	-1111	-1111
8735	2	-1111	-1111
8735	3	70	-1111
8735	4	60	-1111
8736	1	-1111	-1111
8736	2	-1111	-1111
8736	3	60	-1111
8736	4	60	-1111
8737	1	-1111	-1111
8737	2	-1111	-1111
8737	3	-1111	-1111
8737	4	-1111	-1111
8738	1	-8888	-8888
8738	2	-8888	-8888
8738	3	28	-1111
8738	4	20	20
8739	1	-1111	-1111
8739	2	-1111	-1111
8739	3	-1111	-1111
8739	4	50	-1111
8740	1	-8888	-8888
8740	2	-8888	-8888
8740	3	50	-7777
8740	4	30	30
8741	1	-1111	-1111
8741	2	-1111	-1111
8741	3	45	-1111
8741	4	18	-1111
8742	1	-1111	-8888
8742	2	40	30
8742	3	-1111	-8888
8742	4	30	30
8743	1	-8888	-8888
8743	2	-8888	-8888
8743	3	-1111	-1111
8743	4	-1111	-1111
8744	1	-1111	-1111
8744	2	30	30
8744	3	70	-1111
8744	4	-1111	-1111
8745	1	-1111	-8888
8745	2	-1111	-8888
8745	3	40	40
8745	4	20	20
8746	1	-1111	-1111
8746	2	-1111	-1111
8746	3	-1111	-1111
8746	4	20	20
8747	1	-1111	-8888
8747	2	-1111	-8888
8747	3	50	50
8747	4	30	30
8748	1	-1111	-1111
8748	2	30	30
8748	3	20	-1111
8748	4	-1111	-1111
8749	1	30	30
8749	2	30	30
8749	3	-1111	-1111
8749	4	-1111	-1111
8750	1	25	25
8750	2	-1111	-1111
8750	3	20	-1111
8750	4	18	18
8751	1	-8888	-8888
8751	2	250	250
8751	3	20	-1111
8751	4	-8888	-8888
8752	1	-1111	-1111
8752	2	-1111	-1111
8752	3	60	40
8752	4	40	35
8753	1	-8888	-8888
8753	2	-8888	-8888
8753	3	-7777	-7777
8753	4	-7777	-7777
8754	1	-1111	-1111
8754	2	-1111	-1111
8754	3	-1111	-1111
8754	4	50	-1111
8755	1	-8888	-8888
8755	2	-8888	-8888
8755	3	80	-1111
8755	4	40	30
8756	1	-1111	-1111
8756	2	-1111	-1111
8756	3	-1111	-1111
8756	4	-1111	-1111
8757	1	-1111	-1111
8757	2	-1111	-1111
8757	3	40	-1111
8757	4	35	-1111
8758	1	-8888	-8888
8758	2	-8888	-8888
8758	3	100	-1111
8758	4	50	-1111
8759	1	-1111	-1111
8759	2	-1111	-1111
8759	3	80	-1111
8759	4	50	20
8760	1	-1111	-1111
8760	2	-1111	-1111
8760	3	120	100
8760	4	80	-7777
8761	1	-1111	-8888
8761	2	-1111	-8888
8761	3	45	40
8761	4	30	30
8762	1	25	25
8762	2	25	25
8762	3	-1111	-1111
8762	4	-1111	-1111
8763	1	-1111	-1111
8763	2	-1111	-1111
8763	3	250	-1111
8763	4	50	-1111
8764	1	-1111	-1111
8764	2	-1111	-1111
8764	3	100	40
8764	4	80	25
