PLACEID	SCPRIDR5	PRBLCTLY
202	1	1
202	2	1
202	3	1
202	4	1
202	5	0
202	6	1
202	7	1
202	8	1
202	9	0
202	10	1
202	11	88
302	1	0
302	2	0
302	3	0
302	4	0
302	5	0
302	6	0
302	7	0
302	8	0
302	9	0
302	10	88
302	11	88
304	1	0
304	2	0
304	3	0
304	4	0
304	5	0
304	6	0
304	7	0
304	8	1
304	9	0
304	10	1
304	11	88
305	1	0
305	2	0
305	3	0
305	4	0
305	5	0
305	6	0
305	7	0
305	8	1
305	9	0
305	10	1
305	11	88
309	1	0
309	2	0
309	3	0
309	4	0
309	5	0
309	6	0
309	7	0
309	8	1
309	9	0
309	10	88
309	11	88
310	1	0
310	2	0
310	3	0
310	4	0
310	5	0
310	6	0
310	7	0
310	8	0
310	9	0
310	10	0
310	11	88
311	1	0
311	2	0
311	3	0
311	4	0
311	5	0
311	6	0
311	7	0
311	8	0
311	9	0
311	10	1
311	11	88
312	1	0
312	2	0
312	3	0
312	4	0
312	5	0
312	6	0
312	7	0
312	8	0
312	9	1
312	10	88
312	11	88
313	1	0
313	2	1
313	3	0
313	4	0
313	5	0
313	6	0
313	7	0
313	8	1
313	9	0
313	10	88
313	11	88
314	1	0
314	2	0
314	3	0
314	4	0
314	5	0
314	6	0
314	7	0
314	8	1
314	9	0
314	10	1
314	11	88
404	1	0
404	2	0
404	3	0
404	4	0
404	5	0
404	6	0
404	7	0
404	8	0
404	9	0
404	10	88
404	11	88
405	1	0
405	2	0
405	3	0
405	4	0
405	5	0
405	6	0
405	7	0
405	8	0
405	9	0
405	10	88
405	11	88
406	1	0
406	2	0
406	3	0
406	4	0
406	5	0
406	6	0
406	7	0
406	8	1
406	9	0
406	10	1
406	11	88
503	1	0
503	2	0
503	3	0
503	4	0
503	5	0
503	6	0
503	7	0
503	8	0
503	9	0
503	10	88
503	11	88
505	1	1
505	2	0
505	3	0
505	4	0
505	5	0
505	6	0
505	7	0
505	8	0
505	9	0
505	10	88
505	11	88
506	1	1
506	2	0
506	3	0
506	4	0
506	5	0
506	6	0
506	7	0
506	8	0
506	9	0
506	10	1
506	11	88
507	1	0
507	2	0
507	3	0
507	4	0
507	5	0
507	6	0
507	7	0
507	8	0
507	9	0
507	10	88
507	11	88
601	1	1
601	2	1
601	3	0
601	4	0
601	5	0
601	6	0
601	7	0
601	8	1
601	9	0
601	10	1
601	11	88
701	1	1
701	2	88
701	3	0
701	4	0
701	5	0
701	6	1
701	7	1
701	8	1
701	9	0
701	10	0
701	11	0
702	1	1
702	2	88
702	3	1
702	4	1
702	5	0
702	6	0
702	7	1
702	8	0
702	9	0
702	10	88
702	11	88
703	1	0
703	2	0
703	3	0
703	4	0
703	5	1
703	6	0
703	7	0
703	8	0
703	9	0
703	10	0
703	11	0
707	1	1
707	2	0
707	3	1
707	4	1
707	5	0
707	6	0
707	7	1
707	8	1
707	9	1
707	10	0
707	11	0
708	1	0
708	2	88
708	3	0
708	4	0
708	5	0
708	6	1
708	7	1
708	8	1
708	9	0
708	10	0
708	11	0
709	1	1
709	2	0
709	3	0
709	4	1
709	5	0
709	6	0
709	7	0
709	8	1
709	9	0
709	10	1
709	11	0
710	1	0
710	2	0
710	3	0
710	4	0
710	5	0
710	6	0
710	7	0
710	8	0
710	9	0
710	10	1
710	11	0
711	1	1
711	2	88
711	3	0
711	4	0
711	5	0
711	6	0
711	7	0
711	8	1
711	9	0
711	10	0
711	11	0
712	1	0
712	2	88
712	3	0
712	4	0
712	5	0
712	6	0
712	7	0
712	8	0
712	9	0
712	10	0
712	11	0
713	1	1
713	2	88
713	3	0
713	4	1
713	5	0
713	6	1
713	7	1
713	8	1
713	9	0
713	10	1
713	11	1
714	1	1
714	2	88
714	3	1
714	4	1
714	5	0
714	6	1
714	7	1
714	8	1
714	9	0
714	10	0
714	11	88
715	1	1
715	2	0
715	3	0
715	4	0
715	5	0
715	6	1
715	7	1
715	8	1
715	9	1
715	10	0
715	11	0
716	1	1
716	2	0
716	3	0
716	4	1
716	5	0
716	6	1
716	7	1
716	8	1
716	9	1
716	10	0
716	11	0
717	1	0
717	2	0
717	3	1
717	4	0
717	5	0
717	6	0
717	7	1
717	8	1
717	9	0
717	10	88
717	11	88
718	1	1
718	2	88
718	3	0
718	4	0
718	5	0
718	6	0
718	7	1
718	8	1
718	9	0
718	10	0
718	11	0
719	1	1
719	2	88
719	3	0
719	4	0
719	5	0
719	6	0
719	7	0
719	8	1
719	9	0
719	10	0
719	11	0
801	1	1
801	2	0
801	3	0
801	4	1
801	5	0
801	6	1
801	7	1
801	8	1
801	9	1
801	10	1
801	11	0
802	1	1
802	2	0
802	3	1
802	4	0
802	5	0
802	6	1
802	7	1
802	8	1
802	9	0
802	10	0
802	11	0
803	1	1
803	2	0
803	3	0
803	4	0
803	5	0
803	6	0
803	7	1
803	8	1
803	9	0
803	10	0
803	11	0
804	1	1
804	2	0
804	3	0
804	4	0
804	5	0
804	6	1
804	7	1
804	8	1
804	9	0
804	10	0
804	11	0
903	1	0
903	2	1
903	3	0
903	4	0
903	5	1
903	6	0
903	7	0
903	8	1
903	9	0
903	10	0
903	11	0
1004	1	1
1004	2	1
1004	3	0
1004	4	1
1004	5	1
1004	6	0
1004	7	1
1004	8	0
1004	9	1
1004	10	88
1004	11	88
1005	1	0
1005	2	0
1005	3	0
1005	4	0
1005	5	0
1005	6	0
1005	7	0
1005	8	0
1005	9	0
1005	10	0
1005	11	0
1104	1	0
1104	2	0
1104	3	0
1104	4	0
1104	5	0
1104	6	0
1104	7	0
1104	8	0
1104	9	0
1104	10	1
1104	11	0
1201	1	0
1201	2	0
1201	3	0
1201	4	0
1201	5	0
1201	6	0
1201	7	0
1201	8	0
1201	9	0
1201	10	0
1201	11	0
1202	1	1
1202	2	0
1202	3	0
1202	4	1
1202	5	0
1202	6	1
1202	7	1
1202	8	1
1202	9	0
1202	10	1
1202	11	0
1203	1	1
1203	2	0
1203	3	0
1203	4	0
