PLACEID	DISTIDR5	DISASTER	DISTYEAR	DISTMNTH	DISEFCT1	DISEFCT2	PRCEFFCT	RECVHLP1	RECVHLP2	RECVHLP3
8228	2	3	2016	5	10	14	4	3	0	 
8236	1	3	2015	6	6	7	3	0	 	 
8245	1	16	16	2	13	88	4	1	3	88
8252	1	6	2014	3	12	88	4	1	3	5
8252	2	6	2015	3	12	88	4	1	3	5
8252	3	6	2016	3	12	88	4	1	3	5
8262	1	13	2014	3	12	88	1	1	88	 
8262	2	13	2015	3	13	88	1	1	88	 
8262	3	13	2016	3	13	88	1	1	88	 
8274	1	16	2015	3	6	88	1	0	 	 
8316	1	6	2015	4	8	88	1	1	4	88
8316	2	13	2015	7	13	88	1	1	88	 
8318	1	16	2014	2	10	13	1	1	88	 
8318	2	16	2015	2	10	13	3	1	3	88
8318	3	16	2016	2	10	13	2	1	3	88
8318	4	12	2015	3	10	88	1	1	88	 
8319	1	6	2013	2	10	14	2	0	 	 
8319	2	16	2014	1	10	14	1	0	 	 
8319	3	16	2015	1	10	14	2	1	88	 
8319	4	16	2016	1	10	14	2	1	88	 
8321	1	13	2014	3	6	88	2	1	88	 
8322	1	16	2015	3	6	7	2	1	88	 
8322	2	13	2015	6	6	88	2	1	88	 
8322	3	13	2016	6	6	88	2	1	88	 
8323	1	13	2016	3	6	88	1	1	88	 
8325	1	13	2014	1	13	88	1	1	88	 
8325	2	13	2015	1	13	88	2	1	88	 
8328	1	7	16	6	10	12	2	0	 	 
8328	2	16	16	2	19	8	1	0	 	 
8333	1	10	2014	4	10	88	2	0	 	 
8333	2	10	2015	3	10	88	2	0	 	 
8334	1	10	2014	2	10	88	3	1	88	 
8340	1	13	2015	2	6	88	1	1	88	 
8345	1	13	2014	9	6	88	2	1	88	 
8345	2	10	2014	12	10	88	2	0	 	 
8348	1	2	2016	10	9	8	1	1	3	88
8357	1	6	2013	2	10	6	3	0	 	 
8357	2	6	2014	3	10	6	3	0	 	 
8357	3	6	2015	2	10	6	3	0	 	 
8357	4	6	2016	2	10	6	3	0	 	 
8358	1	13	2016	1	13	88	2	1	88	 
8361	1	13	2014	6	13	15	1	1	88	 
8386	1	13	2015	2	6	7	1	1	88	 
8402	1	13	2014	3	6	88	1	1	88	 
8402	2	13	2015	3	6	88	1	1	88	 
8406	1	13	2016	1	6	88	1	1	88	 
8407	1	11	2015	3	13	88	3	1	88	 
8407	2	11	2015	6	13	88	2	1	88	 
8407	3	11	2016	9	13	88	1	1	88	 
8407	4	11	2016	6	13	88	2	1	88	 
8408	1	13	2013	3	6	88	1	1	88	 
8408	2	13	2015	3	6	88	1	88	 	 
8409	1	13	2015	4	11	6	2	1	3	88
8418	1	10	2015	3	10	88	4	0	 	 
8418	2	10	2016	3	10	88	4	0	 	 
8420	1	10	2014	8	10	88	2	1	88	 
8420	2	10	2015	8	10	88	3	1	88	 
8420	3	10	2016	8	10	88	2	1	88	 
8421	1	11	2016	8	10	8	3	1	3	88
8422	1	10	2014	12	14	88	2	0	 	 
8426	1	6	2015	3	4	5	1	3	88	 
8426	2	13	2016	10	6	7	1	1	88	 
8431	1	13	2013	3	6	7	1	1	88	 
