PLACEID	WTSPIDR5	CONNTYPE	WATERTRT	TREATFRQ
202	1	1	 	 
202	2	0	 	 
202	3	0	 	 
302	1	0	 	 
302	2	0	 	 
302	3	1	1	4
304	1	0	 	 
304	2	1	1	1
304	3	0	 	 
305	1	0	 	 
305	2	1	1	1
305	3	1	1	4
309	1	0	 	 
309	2	0	 	 
309	3	1	1	6
310	1	 	 	 
310	2	 	 	 
310	3	 	 	 
311	1	0	 	 
311	2	0	 	 
311	3	1	0	 
312	1	0	 	 
312	2	0	 	 
312	3	1	1	4
313	1	0	 	 
313	2	0	 	 
313	3	1	1	4
314	1	0	 	 
314	2	0	 	 
314	3	1	1	2
404	1	0	 	 
404	2	1	1	8
404	3	0	 	 
405	1	0	 	 
405	2	0	 	 
405	3	1	1	6
406	1	0	 	 
406	2	0	 	 
406	3	1	1	6
503	1	0	 	 
503	2	0	 	 
503	3	1	1	4
505	1	0	 	 
505	2	0	 	 
505	3	1	1	4
506	1	0	 	 
506	2	0	 	 
506	3	1	0	 
507	1	0	 	 
507	2	0	 	 
507	3	1	1	6
601	1	1	 	 
601	2	0	 	 
601	3	0	 	 
701	1	1	 	 
701	2	0	 	 
701	3	0	 	 
702	1	1	 	 
702	2	0	 	 
702	3	0	 	 
703	1	 	 	 
703	2	 	 	 
703	3	 	 	 
707	1	1	 	 
707	2	0	 	 
707	3	0	 	 
708	1	1	 	 
708	2	0	 	 
708	3	0	 	 
709	1	1	 	 
709	2	0	 	 
709	3	1	1	6
710	1	 	 	 
710	2	 	 	 
710	3	 	 	 
711	1	1	 	 
711	2	0	 	 
711	3	0	 	 
712	1	1	 	 
712	2	0	 	 
712	3	0	 	 
713	1	1	 	 
713	2	0	 	 
713	3	1	1	6
714	1	1	 	 
714	2	0	 	 
714	3	0	 	 
715	1	1	 	 
715	2	0	 	 
715	3	0	 	 
716	1	1	 	 
716	2	0	 	 
716	3	0	 	 
717	1	1	 	 
717	2	0	 	 
717	3	0	 	 
718	1	1	 	 
718	2	0	 	 
718	3	0	 	 
719	1	1	 	 
719	2	0	 	 
719	3	0	 	 
801	1	1	 	 
801	2	0	 	 
801	3	0	 	 
802	1	1	 	 
802	2	0	 	 
802	3	0	 	 
803	1	1	 	 
803	2	0	 	 
803	3	0	 	 
804	1	1	 	 
804	2	0	 	 
804	3	0	 	 
903	1	 	 	 
903	2	 	 	 
903	3	 	 	 
1004	1	1	 	 
1004	2	0	 	 
1004	3	0	 	 
1005	1	0	 	 
1005	2	0	 	 
1005	3	1	3	9
1104	1	0	 	 
1104	2	0	 	 
1104	3	1	1	4
1201	1	1	 	 
1201	2	0	 	 
1201	3	0	 	 
1202	1	1	 	 
1202	2	0	 	 
1202	3	0	 	 
1203	1	1	 	 
1203	2	0	 	 
1203	3	0	 	 
1204	1	1	 	 
1204	2	0	 	 
1204	3	0	 	 
1205	1	1	 	 
1205	2	0	 	 
1205	3	0	 	 
1207	1	1	 	 
1207	2	0	 	 
1207	3	0	 	 
1208	1	1	 	 
1208	2	0	 	 
1208	3	0	 	 
1210	1	1	 	 
1210	2	0	 	 
1210	3	0	 	 
1213	1	1	 	 
1213	2	0	 	 
1213	3	0	 	 
1215	1	1	 	 
1215	2	0	 	 
1215	3	0	 	 
1216	1	1	 	 
1216	2	0	 	 
1216	3	0	 	 
1217	1	1	 	 
1217	2	0	 	 
1217	3	0	 	 
1219	1	1	 	 
1219	2	0	 	 
1219	3	0	 	 
1220	1	1	 	 
1220	2	0	 	 
1220	3	0	 	 
1223	1	1	 	 
1223	2	0	 	 
1223	3	0	 	 
1224	1	1	 	 
1224	2	0	 	 
1224	3	0	 	 
1225	1	1	 	 
1225	2	0	 	 
1225	3	0	 	 
1226	1	 	 	 
1226	2	 	 	 
1226	3	 	 	 
1227	1	1	 	 
1227	2	0	 	 
1227	3	0	 	 
1228	1	1	 	 
1228	2	0	 	 
1228	3	0	 	 
1229	1	1	 	 
1229	2	0	 	 
1229	3	0	 	 
1230	1	1	 	 
1230	2	0	 	 
1230	3	0	 	 
1231	1	1	 	 
1231	2	0	 	 
1231	3	0	 	 
1232	1	1	 	 
