PLACEID	PRANIDR5	AVGPRCAN	MINPRCAN	MAXPRCAN
202	1	2000	 	 
202	2	700	 	 
202	3	-88	 	 
202	4	600	 	 
202	5	1300	 	 
202	6	170	 	 
202	7	200	 	 
202	8	400	 	 
202	9	20	 	 
202	10	-88	 	 
202	11	-88	 	 
202	12	-88	 	 
202	13	1500	 	 
202	14	1500	 	 
302	1	4000	 	 
302	2	700	 	 
302	3	3500	 	 
302	4	500	 	 
302	5	2500	 	 
302	6	100	 	 
302	7	-88	 	 
302	8	400	 	 
302	9	30	 	 
302	10	-88	 	 
302	11	20	 	 
302	12	-88	 	 
302	13	1000	 	 
302	14	1200	 	 
304	1	2000	 	 
304	2	1500	 	 
304	3	-88	 	 
304	4	700	 	 
304	5	1500	 	 
304	6	-88	 	 
304	7	-88	 	 
304	8	500	 	 
304	9	30	 	 
304	10	-88	 	 
304	11	-88	 	 
304	12	-88	 	 
304	13	2000	 	 
304	14	800	 	 
305	1	3000	 	 
305	2	1500	 	 
305	3	2000	 	 
305	4	800	 	 
305	5	2000	 	 
305	6	-88	 	 
305	7	-88	 	 
305	8	400	 	 
305	9	35	 	 
305	10	-88	 	 
305	11	-88	 	 
305	12	-88	 	 
305	13	20000	 	 
305	14	-88	 	 
309	1	2000	 	 
309	2	1200	 	 
309	3	2500	 	 
309	4	800	 	 
309	5	2000	 	 
309	6	-88	 	 
309	7	-88	 	 
309	8	500	 	 
309	9	35	 	 
309	10	-88	 	 
309	11	-88	 	 
309	12	-88	 	 
309	13	2000	 	 
309	14	1000	 	 
310	1	3000	 	 
310	2	2000	 	 
310	3	-88	 	 
310	4	350	 	 
310	5	2000	 	 
310	6	150	 	 
310	7	-88	 	 
310	8	300	 	 
310	9	25	 	 
310	10	-88	 	 
310	11	-88	 	 
310	12	-88	 	 
310	13	2000	 	 
310	14	40	 	 
311	1	3000	 	 
311	2	1000	 	 
311	3	2000	 	 
311	4	1000	 	 
311	5	2000	 	 
311	6	-88	 	 
311	7	-88	 	 
311	8	500	 	 
311	9	30	 	 
311	10	-88	 	 
311	11	-88	 	 
311	12	-88	 	 
311	13	1500	 	 
311	14	1500	 	 
312	1	3000	 	 
312	2	1200	 	 
312	3	3000	 	 
312	4	500	 	 
312	5	2000	 	 
312	6	100	 	 
312	7	-88	 	 
312	8	500	 	 
312	9	30	 	 
312	10	-88	 	 
312	11	30	 	 
312	12	-88	 	 
312	13	1500	 	 
312	14	1000	 	 
313	1	2000	 	 
313	2	900	 	 
313	3	-77	1000	2000
313	4	-77	600	1000
313	5	-77	2000	2800
313	6	60	 	 
313	7	-88	 	 
313	8	-77	600	1000
313	9	40	 	 
313	10	-88	 	 
313	11	-88	 	 
313	12	-88	 	 
313	13	-77	1000	1500
313	14	-88	 	 
314	1	2000	 	 
314	2	1200	 	 
314	3	-88	 	 
314	4	700	 	 
314	5	200	 	 
314	6	100	 	 
314	7	-88	 	 
314	8	300	 	 
314	9	25	 	 
314	10	-88	 	 
314	11	-88	 	 
314	12	-88	 	 
314	13	1500	 	 
314	14	-88	 	 
404	1	-88	 	 
404	2	1000	 	 
404	3	2400	 	 
404	4	200	 	 
404	5	500	 	 
404	6	200	 	 
404	7	-88	 	 
404	8	450	 	 
404	9	30	 	 
404	10	-88	 	 
404	11	15	 	 
404	12	-88	 	 
404	13	1200	 	 
404	14	-88	 	 
405	1	2500	 	 
405	2	1200	 	 
405	3	-88	 	 
405	4	300	 	 
405	5	1200	 	 
405	6	-88	 	 
405	7	-88	 	 
405	8	400	 	 
405	9	30	 	 
405	10	-88	 	 
405	11	20	 	 
405	12	-88	 	 
405	13	1500	 	 
405	14	1000	 	 
406	1	2000	 	 
406	2	1000	 	 
406	3	-88	 	 
406	4	150	 	 
406	5	1200	 	 
406	6	200	 	 
406	7	-88	 	 
406	8	300	 	 
406	9	30	 	 
406	10	-88	 	 
406	11	-88	 	 
406	12	-88	 	 
406	13	1500	 	 
406	14	25	 	 
503	1	3000	 	 
503	2	1200	 	 
