PLACEID	ANFDIDR5	ITEM	PRICE	ACCOUNT
202	1	POLLO	10	1
202	2	PESCADO	7	1
202	3	HUEVO	.400000005960464	2
302	1	QUESO	15	1
302	2	HUEVO	6	1
302	3	POLLO	10	1
304	1	POLLO	10	1
304	2	HUEVOS	.300000011920929	2
304	3	QUESO	10	1
305	1	QUESO	10	1
305	2	HUEVOS	.300000011920929	2
305	3	CHANCHO	13	1
309	1	QUESO	10	1
309	2	HUEVO	5	1
309	3	LECHE	3	2
310	1	CHANCHO	10	1
310	2	QUESO	10	1
310	3	HUEVOS	.300000011920929	2
311	1	HUEVO	.300000011920929	2
311	2	QUESO	12	1
311	3	LECHE	1	3
312	1	QUESO	15	1
312	2	LECHE	3	3
312	3	HUEVO	6	1
313	1	HUEVOS	5.59999990463257	1
313	2	POLLO	9	1
313	3	CARNE DE RES	10	1
314	1	CHANCHO	12	1
314	2	POLLO	10	1
314	3	HUEVOS	.5	2
404	1	POLLO	9	1
404	2	CARNE	12	1
404	3	HUEVOS	5.40000009536743	1
405	1	POLLO	10	1
405	2	HUEVOS	.300000011920929	2
405	3	CARNE	9	1
406	1	POLLO	9.5	1
406	2	HUEVOS	.300000011920929	2
406	3	CARNE	10	1
503	1	POLLO	10	1
503	2	HUEVOS	4	1
503	3	QUESO	10	1
505	1	POLLO	10	1
505	2	HUEVO	4	1
505	3	LECHE	1	3
506	1	POLLO	10	1
506	2	HUEVOS	5	1
506	3	CACAO	10	1
507	1	POLLO	10	1
507	2	HUEVO	4	1
507	3	QUESO	12	1
601	1	POLLO	9.80000019073486	1
601	2	LECHE	3.5	2
601	3	QUESO	14	1
701	1	POLLO	8	1
701	2	CARNE DE RES	10	1
701	3	HUEVOS	5	1
702	1	CARNE	12	1
702	2	POLLO	9	1
702	3	LECHE	3.09999990463257	1
703	1	POLLO	8.5	1
703	2	HUEVOS	5	1
703	3	LECHE	3	1
707	1	POLLO	7	1
707	2	CARNE	12	1
707	3	LECHE	3.29999995231628	1
708	1	HUEVOS	6	1
708	2	LECHE	3.20000004768372	2
708	3	POLLO	9	1
709	1	POLLO	8.5	1
709	2	HUEVOS	5	1
709	3	88	-88	88
710	1	POLLO	8	1
710	2	HUEVOS	5.80000019073486	1
710	3	PESCADO	6	1
711	1	POLLO	8.5	1
711	2	PESCADO	7	1
711	3	HUEVOS	5	1
712	1	POLLO	9	1
712	2	CARNE DE RES	10	1
713	1	POLLO	8	1
713	2	PESCADO	6	1
713	3	LECHE	3	2
714	1	POLLO	9.5	1
714	2	HUEVOS	5	1
714	3	CARNE DE RES	16	1
715	1	POLLO	8.5	1
716	1	POLLO	9	1
716	2	HUEVOS	6	1
716	3	3	3	1
717	1	POLLO	8	1
717	2	CARNE DE RES	12	1
717	3	HUEVOS	5.80000019073486	1
718	1	POLLO	8	1
718	2	HUEVOS	5	1
718	3	LECHE	3.5	2
719	1	HUEVOS	5	1
719	2	POLLO	8	1
719	3	LECHE	3	1
801	1	POLLO	8	1
801	2	CARNE DE RES	10	1
801	3	HUEVOS	5	1
802	1	POLLO	7.5	1
802	2	PESCADO	5	1
802	3	CARNE RES	15	1
803	1	POLLO	8	1
803	2	PESCADO	6	1
804	1	CARNE DE RES	14	1
804	2	PESCADO	6	1
804	3	POLLO	8	1
903	1	CUY	18	2
903	2	LECHE	2.5	4
903	3	HUEVO	1	4
1004	1	POLLO	8.5	1
1004	2	LECHE	3	2
1004	3	QUESO	20	2
1005	1	GALLINA	25	2
1005	2	CUY	20	2
1104	1	POLLO / GALLINA	30	1
1104	2	LECHE	3	2
1104	3	CARNE	10	1
1201	1	POLLO	8	1
1201	2	PESCADO	6	1
1201	3	LECHE	3	2
1202	1	POLLO	6.5	1
1202	2	PESCADO	7	1
1202	3	HUEVO	6	1
1203	1	POLLO	8.5	1
1203	2	PESCADO	8	1
1203	3	HUEVO	6	1
1204	1	QUESO	18	1
1204	2	POLLO	8	1
1204	3	HUEVO	5	1
1205	1	POLLO	7.5	1
1205	2	PESCADO	6	1
1205	3	HUEVOS	5.80000019073486	1
1207	1	POLLO	7	1
1207	2	PESCADO	6	1
1207	3	LECHE	3	2
1208	1	POLLO	8	1
1208	2	HUEVO	6	1
1208	3	LECHE	3	2
1210	1	POLLO	8	1
1210	2	HUEVO	5.5	1
1210	3	LECHE	3	2
1213	1	POLLO	8	1
1213	2	HUEVO	6	1
1213	3	LECHE	3	2
1215	1	POLLO	7.5	1
1215	2	HUEVOS	6	1
1215	3	LECHE	3	1
1216	1	POLLO	8.5	1
1216	2	PESCADO	10	1
1216	3	LECHE	3	2
1217	1	POLLO	8	1
1217	2	PESCADO	10	1
1217	3	HUEVOS	6	1
1219	1	POLLO	8	1
1219	2	PESCADO	9	1
1219	3	HUEVOS	5.19999980926514	1
1220	1	POLLO	8.5	1
1220	2	PESCADO	7	1
1220	3	HUEVO	5	1
1223	1	POLLO	8	1
1223	2	HUEVOS	5.5	1
1223	3	PESCADO	10	1
1224	1	POLLO	8	1
1224	2	PESACADO	8	1
1224	3	LECHE	3	2
1225	1	POLLO	1.79999995231628	1
1225	2	HUEVO	5.5	1
1225	3	PESCADO	8	1
1226	1	HUEVO	6	1
1226	2	LECHE	3	2
1226	3	POLLO	8	1
1227	1	POLLO	7.5	1
1227	2	HUEVOS	4	1
1227	3	LECHE	3	2
1228	1	QUESO	11	1
1228	2	HUEVO	5.80000019073486	1
1228	3	LECHE	3	2
1229	1	POLLO	8	1
1229	2	PESCADO	10	1
1229	3	HUEVO	5.80000019073486	1
1230	1	POLLO	7	1
1230	2	PESCADO	5	1
1230	3	HUEVO	4.59999990463257	1
1231	1	POLLO	8	1
1231	2	HUEVOS	5.59999990463257	1
1232	1	POLLO	5	1
1232	2	PESCADO	7	1
1232	3	LECHE	3	2
1233	1	POLLO	8.5	1
1233	2	HUEVO	6	1
1233	3	LECHE	3	2
1234	1	POLLO	7.80000019073486	1
1234	2	LECHE	3	2
1234	3	CARNE	15	1
1235	1	POLLO	6.5	1
1235	2	PESCADO	9	1
1235	3	HUEVO	5.59999990463257	1
1236	1	POLLO	8.5	1
1236	2	HUEVOS	5.80000019073486	1
1236	3	PESCADO	7	1
1237	1	POLLO	7.80000019073486	1
1237	2	PESCADO	6	1
1237	3	CARNE	12	1
1301	1	POLLO	6.5	1
1301	2	LECHE	3	4
1301	3	HUEVOS	5.80000019073486	1
1304	1	POLLO	6	1
1304	2	HUEVOS	6	1
1304	3	QUESO	15	1
1305	1	P0LL0	8	1
1305	2	PESCADO	10	1
1305	3	HUEVOS	6	1
1306	1	POLLO	9	1
1306	2	PESCADO	7.5	1
1306	3	HUEVO	2.5	1
1308	1	POLLO	7	1
1308	2	HUEVOS	5	1
1308	3	CARNE DE RES	14	1
1309	1	HUEVOS	5.80000019073486	1
1309	2	LECHE	3.79999995231628	2
1309	3	POLLO	7	1
1310	1	HUEVO	5.80000019073486	1
1310	2	LECHE	3.79999995231628	2
1310	3	POLLO	7	1
1401	1	-88	-88	88
1404	1	-88	-88	88
1405	1	-88	-88	88
1406	1	-88	-88	88
1407	1	-88	-88	88
1408	1	-88	-88	88
1409	1	-88	-88	88
1414	1	POLLO	8.5	1
1504	1	POLLO	9	1
1504	2	HUEVO	7	1
1504	3	CARNE	14	1
1505	1	POLLO	9	1
1505	2	HUEVO	7	1
1505	3	PESCADO	8	1
1507	1	CARNE DE SAJINO	6	1
1508	1	POLLO	9.5	1
1508	2	PESCADO	7	1
1509	1	POLLO	18	1
1509	2	CARNE DE RES	12	1
1510	1	POLLO	9	1
1510	2	HUEVO	6	1
1510	3	CARNE	12	1
1511	1	POLLO	12	1
1511	2	PESCADO	12	1
1511	3	HUEVO	5	1
1601	1	GALLINA	30	2
1601	2	HUEVOS	.5	2
1603	1	QUESO	1.20000004768372	2
1603	2	LECHE	1.20000004768372	3
1604	1	LECHE	1	3
1604	2	QUESO	1.20000004768372	2
1604	3	HUEVO	.5	2
1702	1	GALLINA	20	2
1702	2	CUY	15	2
1702	3	OVEJA	85	2
1801	1	LECHE	1.5	3
1801	2	QUESO	15	1
2002	1	-88	-88	88
2004	1	-88	-88	88
2005	1	-88	-88	88
2007	1	-88	-88	88
2008	1	-88	-88	88
2009	1	-88	-88	88
2010	1	-88	-88	88
2011	1	-88	-88	88
2012	1	-88	-88	88
2014	1	-88	-88	88
2015	1	-88	-88	88
2016	1	-88	-88	88
2017	1	-88	-88	88
2018	1	-88	-88	88
2019	1	-88	-88	88
2020	1	-88	-88	88
2021	1	-88	-88	88
2022	1	POLLO	9.5	1
2022	2	CARNERO	14	1
2022	3	HUEVO	6	1
2025	1	POLLO	8	1
2025	2	CARNE	9	1
2025	3	HUEVO	6	1
8007	1	POLLO	9.5	1
8007	2	HUEVOS	7	1
8007	3	LECHE	3.29999995231628	1
8008	1	POLLO	10	1
8008	2	PESCADO	8	1
8008	3	HUEVOS	8	1
8012	1	POLLO	8	1
8012	2	CARNE DE RES	12	1
8012	3	PESCADO	8	1
8013	1	POLLO	9	1
8013	2	CARNE	9	1
8013	3	PESCADO	6	1
8014	1	HUEVOS	.400000005960464	2
8014	2	POLLO	7	1
8014	3	MENUDENCIA	3.5	1
8015	1	POLLO	10	1
8015	2	PESCADO	8	1
8015	3	HUEVOS	6	1
8018	1	88	-88	88
8020	1	-88	-88	88
8024	1	88	-88	88
8029	1	CARNE	7.5	1
8029	2	QUESO	10	1
8029	3	LECHE	1.5	3
8032	1	POLLO	8	1
8032	2	PESCADO	7	1
8032	3	HUEVOS	5	1
8034	1	HUEVO	5.5	1
8034	2	POLLO	9	1
8034	3	PESCADO	8	1
8037	1	HUEVO	6	1
8037	2	LECHE	3.20000004768372	2
8037	3	QUESO	10	1
8038	1	POLLO	6.5	1
8038	2	HUEVOS	5	1
8038	3	LECHE	3.20000004768372	2
8039	1	CARNE	12	1
8039	2	POLLO	9	1
8039	3	LECHE	3	2
8046	1	POLLO	8	1
8046	2	LECHE	2.5	2
8046	3	HUEVO	6.80000019073486	1
8048	1	GALLINA	40	2
8048	2	LECHE	1.20000004768372	3
8048	3	QUEZO	15	1
8049	1	POLLO	8	1
8049	2	PESCADO	6	1
8049	3	RES	12	1
8059	1	GALLINA	30	2
8059	2	CONEJO	25	2
8059	3	CUY	20	2
8060	1	-88	-88	88
8062	1	POLLO	8	1
8062	2	HUEVO	5	1
8064	1	POLLO	8	1
8066	1	HUEVO	6	1
8066	2	POLLO	10	1
8066	3	ATUN	3	2
8070	1	HUEVO	6	1
8070	2	POLLO	10	1
8070	3	LECHE	2	2
