PLACEID	GBGEIDR5	GBGEPLAC	GRBCLCT	CMNGARB
202	1	0	 	 
202	2	1	 	2
202	3	0	 	 
202	4	0	 	 
202	5	0	 	 
202	6	0	 	 
202	7	0	 	 
202	8	1	 	1
202	9	0	 	 
302	1	0	 	 
302	2	1	 	3
302	3	0	 	 
302	4	0	 	 
302	5	0	 	 
302	6	0	 	 
302	7	1	 	1
302	8	1	 	2
302	9	0	 	 
304	1	0	 	 
304	2	0	 	 
304	3	0	 	 
304	4	0	 	 
304	5	0	 	 
304	6	1	 	1
304	7	0	 	 
304	8	1	 	2
304	9	0	 	 
305	1	0	 	 
305	2	0	 	 
305	3	0	 	 
305	4	0	 	 
305	5	0	 	 
305	6	0	 	 
305	7	1	 	1
305	8	1	 	2
305	9	0	 	 
309	1	0	 	 
309	2	1	 	0
309	3	0	 	 
309	4	0	 	 
309	5	0	 	 
309	6	1	 	1
309	7	1	 	2
309	8	1	 	3
309	9	0	 	 
310	1	0	 	 
310	2	0	 	 
310	3	0	 	 
310	4	0	 	 
310	5	0	 	 
310	6	1	 	2
310	7	1	 	1
310	8	0	 	 
310	9	0	 	 
311	1	0	 	 
311	2	1	 	3
311	3	0	 	 
311	4	0	 	 
311	5	0	 	 
311	6	0	 	 
311	7	1	 	1
311	8	1	 	2
311	9	0	 	 
312	1	0	 	 
312	2	0	 	 
312	3	0	 	 
312	4	0	 	 
312	5	0	 	 
312	6	1	 	2
312	7	1	 	1
312	8	1	 	3
312	9	0	 	 
313	1	0	 	 
313	2	0	 	 
313	3	0	 	 
313	4	0	 	 
313	5	0	 	 
313	6	1	 	2
313	7	1	 	1
313	8	1	 	3
313	9	0	 	 
314	1	0	 	 
314	2	0	 	 
314	3	0	 	 
314	4	0	 	 
314	5	0	 	 
314	6	1	 	2
314	7	1	 	1
314	8	1	 	3
314	9	0	 	 
404	1	0	 	 
404	2	1	 	2
404	3	0	 	 
404	4	0	 	 
404	5	0	 	 
404	6	0	 	 
404	7	0	 	 
404	8	0	 	 
404	9	0	 	 
405	1	0	 	 
405	2	0	 	 
405	3	0	 	 
405	4	0	 	 
405	5	1	 	2
405	6	1	 	3
405	7	1	 	1
405	8	0	 	 
405	9	0	 	 
406	1	0	 	 
406	2	0	 	 
406	3	0	 	 
406	4	0	 	 
406	5	0	 	 
406	6	0	 	 
406	7	1	 	2
406	8	0	 	 
406	9	1	 	1
503	1	1	4	1
503	2	0	 	 
503	3	0	 	 
503	4	0	 	 
503	5	0	 	 
503	6	0	 	 
503	7	1	 	2
503	8	0	 	 
503	9	0	 	 
505	1	0	 	 
505	2	0	 	 
505	3	0	 	 
505	4	0	 	 
505	5	0	 	 
505	6	0	 	 
505	7	0	 	 
505	8	1	 	2
505	9	1	 	1
506	1	0	 	 
506	2	0	 	 
506	3	0	 	 
506	4	0	 	 
506	5	0	 	 
506	6	0	 	 
506	7	1	 	1
506	8	1	 	2
506	9	0	 	 
507	1	0	 	 
507	2	1	 	1
507	3	0	 	 
507	4	0	 	 
507	5	0	 	 
507	6	1	 	3
507	7	0	 	 
507	8	1	 	2
507	9	0	 	 
601	1	0	 	 
601	2	1	 	1
601	3	0	 	 
601	4	0	 	 
601	5	0	 	 
601	6	0	 	 
601	7	0	 	 
601	8	1	 	2
601	9	0	 	 
701	1	1	12	1
701	2	1	 	2
701	3	0	 	 
701	4	0	 	 
701	5	0	 	 
701	6	0	 	 
701	7	0	 	 
701	8	0	 	 
701	9	0	 	 
702	1	1	13	1
702	2	0	 	 
702	3	0	 	 
702	4	0	 	 
702	5	0	 	 
702	6	0	 	 
702	7	0	 	 
702	8	0	 	 
702	9	0	 	 
703	1	1	4	1
703	2	0	 	 
703	3	0	 	 
703	4	0	 	 
703	5	0	 	 
703	6	0	 	 
703	7	0	 	 
703	8	0	 	 
703	9	0	 	 
707	1	1	6	1
707	2	0	 	 
707	3	0	 	 
707	4	0	 	 
707	5	0	 	 
707	6	0	 	 
707	7	0	 	 
707	8	0	 	 
707	9	0	 	 
708	1	1	12	1
708	2	1	 	2
708	3	0	 	 
708	4	0	 	 
708	5	0	 	 
708	6	0	 	 
708	7	0	 	 
708	8	0	 	 
708	9	0	 	 
709	1	1	4	1
709	2	1	 	3
709	3	0	 	 
709	4	0	 	 
709	5	0	 	 
709	6	0	 	 
709	7	0	 	 
709	8	1	 	2
709	9	0	 	 
710	1	1	10	1
710	2	0	 	 
710	3	0	 	 
710	4	0	 	 
710	5	0	 	 
710	6	0	 	 
710	7	0	 	 
710	8	0	 	 
710	9	0	 	 
711	1	1	6	1
711	2	0	 	 
711	3	0	 	 
711	4	0	 	 
711	5	0	 	 
711	6	0	 	 
711	7	0	 	 
711	8	1	 	2
711	9	0	 	 
712	1	1	15	1
712	2	0	 	 
712	3	0	 	 
712	4	0	 	 
712	5	0	 	 
712	6	0	 	 
712	7	0	 	 
712	8	0	 	 
712	9	0	 	 
713	1	1	12	1
713	2	1	 	3
713	3	0	 	 
713	4	0	 	 
713	5	1	 	0
713	6	0	 	 
713	7	0	 	 
713	8	1	 	2
713	9	0	 	 
714	1	1	12	1
714	2	1	 	2
714	3	0	 	 
714	4	0	 	 
714	5	0	 	 
714	6	0	 	 
714	7	0	 	 
714	8	0	 	 
714	9	0	 	 
715	1	1	10	1
715	2	0	 	 
715	3	0	 	 
715	4	0	 	 
715	5	0	 	 
715	6	0	 	 
715	7	0	 	 
715	8	0	 	 
715	9	0	 	 
716	1	1	15	1
716	2	0	 	 
716	3	0	 	 
716	4	0	 	 
716	5	0	 	 
716	6	0	 	 
716	7	0	 	 
716	8	0	 	 
716	9	0	 	 
717	1	1	30	1
717	2	0	 	 
717	3	0	 	 
717	4	0	 	 
717	5	0	 	 
717	6	0	 	 
717	7	0	 	 
717	8	0	 	 
717	9	0	 	 
718	1	1	8	1
718	2	1	 	2
718	3	0	 	 
718	4	0	 	 
718	5	0	 	 
718	6	0	 	 
718	7	0	 	 
718	8	1	 	3
718	9	0	 	 
719	1	1	15	1
719	2	0	 	 
719	3	0	 	 
719	4	0	 	 
719	5	0	 	 
719	6	0	 	 
719	7	0	 	 
719	8	0	 	 
719	9	0	 	 
801	1	1	30	1
801	2	0	 	 
801	3	0	 	 
801	4	0	 	 
801	5	0	 	 
801	6	0	 	 
801	7	0	 	 
801	8	0	 	 
801	9	0	 	 
802	1	1	15	1
802	2	0	 	 
802	3	0	 	 
802	4	0	 	 
802	5	0	 	 
802	6	0	 	 
802	7	0	 	 
802	8	0	 	 
802	9	0	 	 
803	1	1	15	1
803	2	0	 	 
803	3	0	 	 
803	4	0	 	 
803	5	0	 	 
803	6	0	 	 
803	7	0	 	 
803	8	0	 	 
803	9	0	 	 
804	1	1	12	1
804	2	1	 	3
804	3	0	 	 
804	4	0	 	 
804	5	0	 	 
804	6	0	 	 
804	7	0	 	 
804	8	1	 	2
804	9	0	 	 
903	1	0	 	 
903	2	1	 	2
903	3	0	 	 
903	4	0	 	 
903	5	0	 	 
903	6	0	 	 
903	7	0	 	 
903	8	1	 	1
903	9	0	 	 
1004	1	1	30	1
1004	2	0	 	 
1004	3	1	 	2
1004	4	0	 	 
1004	5	0	 	 
1004	6	0	 	 
1004	7	0	 	 
1004	8	1	 	3
1004	9	0	 	 
1005	1	0	 	 
1005	2	1	 	3
1005	3	0	 	 
1005	4	0	 	 
1005	5	0	 	 
1005	6	1	 	1
1005	7	0	 	 
1005	8	1	 	2
1005	9	0	 	 
1104	1	0	 	 
1104	2	0	 	 
1104	3	0	 	 
1104	4	0	 	 
1104	5	0	 	 
1104	6	0	 	 
1104	7	0	 	 
1104	8	1	 	1
1104	9	1	 	2
1201	1	1	30	1
1201	2	0	 	 
1201	3	0	 	 
1201	4	0	 	 
1201	5	0	 	 
1201	6	0	 	 
1201	7	0	 	 
1201	8	0	 	 
1201	9	0	 	 
1202	1	1	12	1
1202	2	1	 	2
1202	3	0	 	 
1202	4	0	 	 
1202	5	0	 	 
1202	6	0	 	 
1202	7	0	 	 
1202	8	0	 	 
1202	9	0	 	 
1203	1	1	12	1
1203	2	1	 	2
1203	3	0	 	 
1203	4	0	 	 
1203	5	0	 	 
1203	6	0	 	 
1203	7	0	 	 
1203	8	1	 	3
1203	9	0	 	 
1204	1	1	30	1
1204	2	1	 	2
1204	3	1	 	3
1204	4	0	 	 
1204	5	0	 	 
1204	6	0	 	 
1204	7	0	 	 
1204	8	0	 	 
1204	9	0	 	 
1205	1	1	30	1
1205	2	1	 	2
1205	3	0	 	 
1205	4	0	 	 
1205	5	0	 	 
1205	6	0	 	 
1205	7	0	 	 
1205	8	0	 	 
1205	9	0	 	 
1207	1	1	30	1
1207	2	1	 	3
1207	3	1	 	2
1207	4	0	 	 
1207	5	0	 	 
1207	6	0	 	 
1207	7	0	 	 
1207	8	0	 	 
1207	9	0	 	 
1208	1	1	30	1
1208	2	1	 	2
1208	3	0	 	 
1208	4	0	 	 
1208	5	0	 	 
1208	6	0	 	 
1208	7	0	 	 
1208	8	0	 	 
1208	9	0	 	 
1210	1	1	15	1
1210	2	1	 	2
1210	3	1	 	3
1210	4	0	 	 
1210	5	0	 	 
1210	6	0	 	 
1210	7	0	 	 
1210	8	0	 	 
1210	9	0	 	 
1213	1	1	15	1
1213	2	1	 	2
1213	3	1	 	3
1213	4	0	 	 
1213	5	0	 	 
1213	6	0	 	 
1213	7	0	 	 
1213	8	0	 	 
1213	9	0	 	 
1215	1	1	30	1
1215	2	0	 	 
1215	3	0	 	 
1215	4	0	 	 
1215	5	0	 	 
1215	6	0	 	 
1215	7	0	 	 
1215	8	0	 	 
1215	9	0	 	 
1216	1	1	15	1
1216	2	0	 	 
1216	3	0	 	 
1216	4	0	 	 
1216	5	0	 	 
1216	6	0	 	 
1216	7	0	 	 
1216	8	0	 	 
1216	9	0	 	 
1217	1	1	30	1
1217	2	0	 	 
1217	3	0	 	 
1217	4	0	 	 
1217	5	0	 	 
1217	6	0	 	 
1217	7	0	 	 
1217	8	0	 	 
1217	9	0	 	 
1219	1	1	30	1
1219	2	0	 	 
1219	3	0	 	 
1219	4	0	 	 
1219	5	0	 	 
1219	6	0	 	 
1219	7	0	 	 
1219	8	0	 	 
1219	9	0	 	 
1220	1	1	30	1
1220	2	0	 	 
1220	3	0	 	 
1220	4	0	 	 
1220	5	0	 	 
1220	6	0	 	 
1220	7	0	 	 
