PLACEID	PLCCODE	PROVID	DEPARTID	CLUSTID	STRTDINT	POPSIZE	HOUSING	ILLOCCUP	OTHRES	AGRIC	LIVEST	FISHING	MINING	INDUST	HANDICR	RETAIL	OTHUSE	CITY	POPCITY	TIMECAP	TRANS1	TRANS2	TRANS3	PVEDN	EARTHN	UNPAVEDN	TRACKSN	RIVERN	OTTRANN	MAINRTE	NTRLDIST	GLSSMILK	COMMKITC2	FOODWORK	COMPFEED	OTHFOOD1	OTHFOOD2	OTHFOOD3	CUNAMAS	WAWAWASI	PRONOEI	SCHBKFST	SCHCLTH	SCHLTEXT	LITRCY	PROMLIBR	ALTBSCED	LAPTOPCH	EDUCTN1	EDUCTN2	EDUCTN3	HLTHINSR	CREDCTRL	TUBCNTRL	MALARIA	HIVSIDA	MENTLHTH	CNTRLSTD	HLTHOTH1	HLTHOTH2	HLTHOTH3	RPRSCHL	RPRHLTH	RPRWTR	RPRSWR	RPRPIT	RPRBRDG	RPRAND	REFOREST	IRRGTN	INFROTH1	INFROTH2	INFROTH3	AGRITECH	ANIMAL	AGRINPUT	TITLING	TECHNCAL	MICROCRD	LABORENR	RECYCPRG	JUNTOPRG	PENSIONS65	FONCODES	PROJOVEN	OTHOTHR1	OTHOTHR2	OTHOTHR3	PRICCROP	MINCROP	MAXCROP
202	PE02MC02	6	20	2	05/09/2016	2500	5	5	2	1	5	5	5	5	4	3	5	1	8000	40	6	88	 	0	0	1	0	0	0	3	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	1	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	5	 	 
302	PE03MC02	4	20	3	23/09/2016	170	5	5	2	1	3	5	5	5	5	4	5	1	3000	20	1	88	 	0	0	1	1	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	5	 	 
304	PE03MC04	4	20	3	21/09/2016	300	5	5	3	1	2	5	5	5	5	5	5	1	1500	20	1	88	 	0	0	1	1	0	0	3	1	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	5	 	 
305	PE03MC05	4	20	3	22/09/2016	80	5	5	3	1	2	5	5	5	5	4	5	1	-77	15	1	88	 	0	0	1	1	0	0	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	5	 	 
309	PE03MC09	4	20	3	29/09/2016	120	5	5	3	1	2	5	5	5	5	4	5	1	-77	90	1	88	 	0	0	1	1	0	0	3	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	1	1	0	0	0	0	5	 	 
310	PE03MC10	4	20	3	26/09/2016	150	5	5	3	1	2	5	5	5	5	5	5	1	-77	120	1	88	 	0	0	0	1	0	0	4	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	1	1	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	10	 	 
311	PE03MC11	4	20	3	26/09/2016	200	5	5	3	1	2	5	5	5	5	4	5	1	-77	120	1	88	 	0	0	0	1	0	0	4	1	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	10	 	 
312	PE03MC12	4	20	3	24/09/2016	120	5	5	2	1	3	5	5	5	5	5	5	1	2000	30	1	88	 	0	0	1	1	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	8	 	 
313	PE03MC13	4	20	3	01/10/2016	100	5	5	3	1	2	5	5	5	5	4	5	1	-77	180	1	88	 	0	0	1	0	0	0	3	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	5	 	 
314	PE03MC14	4	20	3	01/10/2016	150	5	5	3	1	2	5	5	5	5	4	5	1	800	240	1	88	 	0	0	1	1	0	0	3	1	1	0	0	0	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	5	 	 
