CHILDCODE	EDCHSTR4	EDAGR4	GRDER4	TYSCR4	REGNR4	ZONER4	NMSCR4
11001	10	18	0	 	 	 	 
11001	11	17	11	4	14	1407	593
11001	12	16	10	4	14	1407	545
11001	13	15	9	4	14	1407	545
11001	14	14	8	4	14	1407	546
11002	10	19	21	1	14	1407	610
11002	11	18	21	4	14	1407	556
11002	12	17	10	4	14	1407	548
11002	13	16	9	4	14	1407	548
11002	14	15	8	4	14	1407	546
11003	10	19	33	4	7	704	1010
11003	11	18	32	4	7	704	1010
11003	12	17	12	4	14	1407	593
11003	13	16	11	4	14	1407	593
11003	14	15	10	4	14	1407	545
11004	10	19	0	 	 	 	 
11004	11	18	0	 	 	 	 
11004	12	17	0	 	 	 	 
11004	13	16	9	4	14	1407	12
11004	14	15	8	4	14	1407	12
11005	10	19	32	1	14	1404	571
11005	11	18	12	3	14	1403	587
11005	12	17	11	3	14	1403	587
11005	13	16	10	3	14	1403	587
11005	14	15	9	3	14	1403	587
11006	10	19	32	1	14	1403	602
11006	11	18	12	3	14	1403	587
11006	12	17	11	3	14	1403	587
11006	13	16	10	3	14	1403	587
11006	14	15	9	3	14	1403	587
11007	10	19	32	1	14	1406	552
11007	11	18	12	4	14	1404	134
11007	12	17	11	4	14	1404	134
11007	13	16	10	4	14	1407	269
11007	14	15	9	4	14	1407	269
11008	10	19	11	4	14	1407	601
11008	11	18	10	4	14	1407	601
11008	12	17	9	4	14	1407	601
11008	13	16	8	4	14	1407	25
11008	14	15	7	4	14	1407	25
11009	10	18	0	 	 	 	 
11009	11	17	22	1	14	1405	573
11009	12	16	21	1	14	1405	573
11009	13	15	0	 	 	 	 
11009	14	14	10	4	14	1407	12
11010	10	18	21	1	14	1406	552
11010	11	17	12	4	14	1404	566
11010	12	16	11	4	14	1404	566
11010	13	15	10	4	14	1407	12
11010	14	14	9	4	14	1407	12
11012	10	19	9	4	3	303	804
11012	11	18	10	4	14	1407	134
11012	12	17	11	4	14	1407	134
11012	13	16	12	2	14	1407	569
11012	14	15	32	2	14	1407	569
11013	10	18	26	4	14	1407	556
11013	11	17	22	4	14	1407	556
11013	12	16	21	4	14	1407	556
11013	13	15	10	4	14	1407	12
11013	14	14	9	4	14	1407	12
11014	10	19	10	4	14	1407	12
11014	11	18	9	4	14	1407	12
11014	12	17	9	4	14	1407	12
11014	13	16	8	4	14	1407	82
11014	14	15	0	 	 	 	 
11015	10	18	10	3	14	1408	1245
11015	11	17	9	4	14	1407	269
11015	12	16	8	4	14	1407	269
11015	13	15	7	1	14	1407	497
11015	14	14	6	1	14	1407	497
11016	10	18	10	4	14	1404	584
11016	11	17	9	4	14	1404	584
11016	12	16	8	4	14	1407	25
11016	13	15	7	4	14	1407	25
11016	14	14	6	4	14	1407	25
11017	10	18	12	4	14	1407	601
11017	11	17	4	4	14	1407	601
11017	12	16	10	4	14	1407	12
11017	13	15	9	4	14	1407	12
11017	14	14	20	4	14	1407	12
11018	10	19	13	4	14	1407	586
11018	11	18	11	4	14	1407	586
11018	12	17	10	4	14	1407	613
11018	13	16	9	4	14	1407	613
11018	14	15	8	2	14	1407	118
11019	10	19	12	4	14	1402	597
11019	11	18	11	4	14	1402	597
11019	12	17	10	4	14	1402	603
11019	13	16	9	4	14	1402	603
11019	14	15	8	4	14	1407	82
11020	10	19	0	 	 	 	 
11020	11	18	0	 	 	 	 
11020	12	17	0	 	 	 	 
11020	13	16	7	4	14	1407	494
11020	14	15	7	4	14	1407	494
11021	10	19	32	1	14	1404	602
11021	11	18	12	4	14	1404	566
11021	12	17	11	4	14	1404	566
11021	13	16	10	4	14	1408	12
11021	14	15	9	4	14	1408	12
11022	10	19	0	 	 	 	 
11022	11	18	0	 	 	 	 
11022	12	17	8	4	14	1407	118
11022	13	16	8	4	14	1407	25
11022	14	15	7	2	14	1407	118
11024	10	19	22	1	14	1407	570
11024	11	18	21	1	14	1407	570
11024	12	17	12	4	14	1404	566
11024	13	16	11	4	14	1404	566
11024	14	15	10	4	14	1407	12
11025	10	19	22	1	14	1407	570
11025	11	18	21	1	14	1407	570
11025	12	17	10	4	14	1407	12
11025	13	16	9	4	14	1407	12
11025	14	15	8	4	14	1407	25
11026	10	19	0	 	 	 	 
11026	11	18	0	 	 	 	 
11026	12	17	0	 	 	 	 
11026	13	16	22	4	14	1405	562
11026	14	15	21	4	14	1405	562
11027	10	19	21	4	14	1407	591
11027	11	18	12	4	14	1404	566
11027	12	17	11	4	14	1404	566
11027	13	16	10	4	14	1407	12
11027	14	15	9	4	14	1407	12
11028	10	18	0	 	 	 	 
11028	11	17	9	4	14	1407	601
11028	12	16	20	4	14	1407	25
11028	13	15	7	4	14	1407	25
11028	14	14	6	4	14	1407	25
11029	10	18	12	4	14	1407	601
11029	11	17	11	4	14	1407	601
11029	12	16	10	4	14	1407	12
11029	13	15	9	4	14	1407	12
11029	14	14	9	4	14	1407	12
11030	10	19	0	 	 	 	 
11030	11	18	22	4	14	1407	556
11030	12	17	21	4	14	1407	556
11030	13	16	10	4	14	1407	12
11030	14	15	9	4	14	1407	12
11031	10	19	11	4	14	1407	601
11031	11	18	10	4	14	1408	12
11031	12	17	9	4	14	1408	12
11031	13	16	8	4	14	1407	82
11031	14	15	7	4	14	1407	82
11032	10	19	0	 	 	 	 
11032	11	18	21	4	14	1407	556
11032	12	17	10	4	14	1407	12
11032	13	16	9	4	14	1407	12
11032	14	15	8	4	14	1407	82
11033	10	19	0	 	 	 	 
11033	11	18	0	 	 	 	 
11033	12	17	0	 	 	 	 
11033	13	16	0	 	 	 	 
11033	14	15	6	4	14	1407	82
11034	10	18	12	4	14	1407	601
11034	11	17	11	4	14	1407	601
11034	12	16	10	4	14	1407	12
11034	13	15	9	4	14	1407	12
11034	14	14	8	4	14	1407	25
11035	10	19	0	 	 	 	 
11035	11	18	0	 	 	 	 
11035	12	17	0	 	 	 	 
11035	13	16	21	4	14	1407	559
11035	14	15	10	4	14	1407	12
11036	10	19	0	 	 	 	 
11036	11	18	12	4	14	1404	566
11036	12	17	11	4	14	1404	566
11036	13	16	10	4	14	1407	12
11036	14	15	9	4	14	1407	12
11037	10	18	12	4	14	1407	593
11037	11	17	11	4	14	1407	593
11037	12	16	10	4	14	1407	545
11037	13	15	9	4	14	1407	545
11037	14	14	8	4	14	1407	546
11038	10	19	9	4	14	1407	12
11038	11	18	8	4	14	1407	25
11038	12	17	8	4	14	1407	25
11038	13	16	7	4	14	1407	25
11038	14	15	6	4	14	1407	25
11039	10	18	21	4	14	1407	556
11039	11	17	10	4	14	1407	12
11039	12	16	9	4	14	1407	12
11039	13	15	9	4	14	1407	82
11039	14	14	8	4	14	1407	82
11040	10	19	0	 	 	 	 
11040	11	18	7	2	14	1407	546
11040	12	17	6	2	14	1407	546
11040	13	16	6	2	14	1407	546
11040	14	15	5	2	14	1407	546
11042	10	19	5	4	14	1407	601
11042	11	18	10	4	14	1407	569
11042	12	17	0	 	 	 	 
11042	13	16	10	4	14	1407	12
11042	14	15	9	4	14	1407	12
11043	10	19	0	 	 	 	 
11043	11	18	10	4	14	1407	601
11043	12	17	9	4	14	1407	601
11043	13	16	8	4	14	1407	25
11043	14	15	7	4	14	1407	25
11044	10	19	0	 	 	 	 
11044	11	18	10	4	14	1407	12
11044	12	17	9	4	14	1407	12
11044	13	16	8	4	14	1407	82
11044	14	15	7	4	14	1407	82
11045	10	19	32	4	7	710	1007
11045	11	18	12	4	14	1407	566
11045	12	17	11	4	14	1407	566
11045	13	16	10	4	14	1407	14
11045	14	15	9	4	14	1407	14
