CHILDCODE	ACTIDR4	ACTR4	ACTOWNR4	ACTMTHR4	ACTDAYHR4	ACTHRSR4	PYMRECR4	ERNCSHR4	ERNKNDR4	HWPAIDR4	PRFACTR4	MTHPRFR4
41043	3	88	 	 	 	 	 	 	 	 	 	 
41044	1	 	 	 	 	 	 	 	 	 	 	 
41044	2	 	 	 	 	 	 	 	 	 	 	 
41044	3	 	 	 	 	 	 	 	 	 	 	 
41045	1	11	6	5	15	6	1	7000	 	7	1	5
41045	2	88	 	 	 	 	 	 	 	 	 	 
41045	3	88	 	 	 	 	 	 	 	 	 	 
41046	1	12	3	12	3	3	0	 	 	 	0	2
41046	2	88	 	 	 	 	 	 	 	 	 	 
41046	3	88	 	 	 	 	 	 	 	 	 	 
41047	1	 	 	 	 	 	 	 	 	 	 	 
41047	2	 	 	 	 	 	 	 	 	 	 	 
41047	3	 	 	 	 	 	 	 	 	 	 	 
41048	1	9	2	12	30	4	0	 	 	 	1	12
41048	2	88	 	 	 	 	 	 	 	 	 	 
41048	3	88	 	 	 	 	 	 	 	 	 	 
41049	1	 	 	 	 	 	 	 	 	 	 	 
41049	2	 	 	 	 	 	 	 	 	 	 	 
41049	3	 	 	 	 	 	 	 	 	 	 	 
41050	1	3	2	1	21	9	0	 	 	 	0	1
41050	2	88	 	 	 	 	 	 	 	 	 	 
41050	3	88	 	 	 	 	 	 	 	 	 	 
51001	1	 	 	 	 	 	 	 	 	 	 	 
51001	2	 	 	 	 	 	 	 	 	 	 	 
51001	3	 	 	 	 	 	 	 	 	 	 	 
51002	1	1	2	3	10	8	0	 	 	 	0	0
51002	2	88	 	 	 	 	 	 	 	 	 	 
51002	3	88	 	 	 	 	 	 	 	 	 	 
51003	1	13	3	5	24	4	1	500	 	4	0	4
51003	2	20	2	10	20	6	0	 	 	 	1	3
51003	3	88	 	 	 	 	 	 	 	 	 	 
51004	1	1	3	9	15	6	0	 	 	 	1	9
51004	2	88	 	 	 	 	 	 	 	 	 	 
51004	3	88	 	 	 	 	 	 	 	 	 	 
51005	1	10	2	12	3	5	0	 	 	 	1	1
51005	2	1	2	12	8	1	0	 	 	 	1	1
51005	3	10	2	5	8	2	0	 	 	 	1	1
51006	1	20	3	11	30	7	1	50	 	2	1	3
51006	2	88	 	 	 	 	 	 	 	 	 	 
51006	3	88	 	 	 	 	 	 	 	 	 	 
51007	1	10	2	8	16	7	0	 	 	 	1	0
51007	2	1	2	2	15	12	0	 	 	 	0	1
51007	3	88	 	 	 	 	 	 	 	 	 	 
51008	1	19	3	9	30	8	1	400	 	4	0	0
51008	2	1	2	1	10	8	0	 	 	 	0	1
51008	3	88	 	 	 	 	 	 	 	 	 	 
51009	1	19	3	5	30	3	1	30	 	4	0	0
51009	2	1	2	2	6	11	0	 	 	 	0	2
51009	3	88	 	 	 	 	 	 	 	 	 	 
51010	1	12	3	2	26	11	1	27	 	2	1	6
51010	2	9	3	5	3	8	1	70	 	4	0	0
51010	3	88	 	 	 	 	 	 	 	 	 	 
51012	1	12	1	12	30	12	1	6500	 	4	1	12
51012	2	12	1	0	3	12	1	4500	 	4	0	3
51012	3	88	 	 	 	 	 	 	 	 	 	 
51013	1	1	3	2	10	11	0	 	 	 	0	2
51013	2	88	 	 	 	 	 	 	 	 	 	 
51013	3	88	 	 	 	 	 	 	 	 	 	 
51014	1	10	6	6	8	4	1	140	 	4	1	12
51014	2	11	2	5	4	4	0	 	 	 	1	6
51014	3	88	 	 	 	 	 	 	 	 	 	 
51015	1	12	3	2	30	10	0	 	 	 	0	0
51015	2	88	 	 	 	 	 	 	 	 	 	 
51015	3	88	 	 	 	 	 	 	 	 	 	 
51016	1	 	 	 	 	 	 	 	 	 	 	 
51016	2	 	 	 	 	 	 	 	 	 	 	 
51016	3	 	 	 	 	 	 	 	 	 	 	 
51017	1	13	3	7	30	6	1	250	 	4	1	77
51017	2	88	 	 	 	 	 	 	 	 	 	 
51017	3	88	 	 	 	 	 	 	 	 	 	 
51018	1	4	2	12	20	8	0	 	 	 	1	12
51018	2	1	2	6	15	6	0	 	 	 	1	6
51018	3	88	 	 	 	 	 	 	 	 	 	 
51019	1	13	3	12	24	10	1	600	 	4	0	1
51019	2	88	 	 	 	 	 	 	 	 	 	 
51019	3	88	 	 	 	 	 	 	 	 	 	 
51021	1	 	 	 	 	 	 	 	 	 	 	 
51021	2	 	 	 	 	 	 	 	 	 	 	 
51021	3	 	 	 	 	 	 	 	 	 	 	 
51022	1	 	 	 	 	 	 	 	 	 	 	 
51022	2	 	 	 	 	 	 	 	 	 	 	 
51022	3	 	 	 	 	 	 	 	 	 	 	 
51023	1	12	1	3	26	8	1	330	 	4	1	12
51023	2	10	6	1	2	2	1	60	 	4	0	0
51023	3	88	 	 	 	 	 	 	 	 	 	 
51024	1	12	4	1	20	9	1	30	 	2	0	2
51024	2	88	 	 	 	 	 	 	 	 	 	 
51024	3	88	 	 	 	 	 	 	 	 	 	 
51025	1	 	 	 	 	 	 	 	 	 	 	 
51025	2	 	 	 	 	 	 	 	 	 	 	 
51025	3	 	 	 	 	 	 	 	 	 	 	 
51026	1	 	 	 	 	 	 	 	 	 	 	 
51026	2	 	 	 	 	 	 	 	 	 	 	 
51026	3	 	 	 	 	 	 	 	 	 	 	 
51027	1	 	 	 	 	 	 	 	 	 	 	 
51027	2	 	 	 	 	 	 	 	 	 	 	 
51027	3	 	 	 	 	 	 	 	 	 	 	 
51028	1	12	3	2	5	2	1	30	 	2	0	2
51028	2	88	 	 	 	 	 	 	 	 	 	 
51028	3	88	 	 	 	 	 	 	 	 	 	 
51029	1	 	 	 	 	 	 	 	 	 	 	 
51029	2	 	 	 	 	 	 	 	 	 	 	 
51029	3	 	 	 	 	 	 	 	 	 	 	 
51030	1	13	3	12	24	9	1	250	 	4	1	10
51030	2	88	 	 	 	 	 	 	 	 	 	 
51030	3	88	 	 	 	 	 	 	 	 	 	 
51031	1	13	4	12	20	4	1	750	 	4	1	12
51031	2	88	 	 	 	 	 	 	 	 	 	 
51031	3	88	 	 	 	 	 	 	 	 	 	 
51032	1	 	 	 	 	 	 	 	 	 	 	 
51032	2	 	 	 	 	 	 	 	 	 	 	 
51032	3	 	 	 	 	 	 	 	 	 	 	 
51033	1	1	2	5	15	11	0	 	 	 	0	5
51033	2	88	 	 	 	 	 	 	 	 	 	 
51033	3	88	 	 	 	 	 	 	 	 	 	 
51034	1	12	7	10	4	12	2	 	30	4	1	6
51034	2	88	 	 	 	 	 	 	 	 	 	 
51034	3	88	 	 	 	 	 	 	 	 	 	 
51035	1	1	2	4	10	12	0	 	 	 	0	0
51035	2	88	 	 	 	 	 	 	 	 	 	 
51035	3	88	 	 	 	 	 	 	 	 	 	 
51036	1	1	2	3	20	13	0	 	 	 	0	2
51036	2	88	 	 	 	 	 	 	 	 	 	 
51036	3	88	 	 	 	 	 	 	 	 	 	 
51038	1	10	2	2	5	4	0	 	 	 	0	2
51038	2	88	 	 	 	 	 	 	 	 	 	 
51038	3	88	 	 	 	 	 	 	 	 	 	 
51039	1	10	2	12	4	8	0	 	 	 	1	3
51039	2	1	2	2	20	11	0	 	 	 	0	0
51039	3	88	 	 	 	 	 	 	 	 	 	 
51040	1	 	 	 	 	 	 	 	 	 	 	 
51040	2	 	 	 	 	 	 	 	 	 	 	 
51040	3	 	 	 	 	 	 	 	 	 	 	 
51041	1	 	 	 	 	 	 	 	 	 	 	 
51041	2	 	 	 	 	 	 	 	 	 	 	 
51041	3	 	 	 	 	 	 	 	 	 	 	 
51042	1	13	1	2	30	9	1	700	 	4	0	0
51042	2	88	 	 	 	 	 	 	 	 	 	 
51042	3	88	 	 	 	 	 	 	 	 	 	 
51043	1	 	 	 	 	 	 	 	 	 	 	 
51043	2	 	 	 	 	 	 	 	 	 	 	 
51043	3	 	 	 	 	 	 	 	 	 	 	 
51044	1	19	3	4	30	5	2	 	200	4	1	6
51044	2	1	2	4	15	9	0	 	 	 	0	4
51044	3	88	 	 	 	 	 	 	 	 	 	 
51045	1	12	2	2	8	12	0	 	 	 	0	2
51045	2	88	 	 	 	 	 	 	 	 	 	 
51045	3	88	 	 	 	 	 	 	 	 	 	 
51046	1	 	 	 	 	 	 	 	 	 	 	 
51046	2	 	 	 	 	 	 	 	 	 	 	 
51046	3	 	 	 	 	 	 	 	 	 	 	 
51047	1	19	3	8	30	10	1	200	 	4	0	0
51047	2	10	2	1	12	3	0	 	 	 	1	12
51047	3	88	 	 	 	 	 	 	 	 	 	 
51048	1	 	 	 	 	 	 	 	 	 	 	 
51048	2	 	 	 	 	 	 	 	 	 	 	 
51048	3	 	 	 	 	 	 	 	 	 	 	 
51049	1	10	6	12	20	5	1	400	 	4	1	12
51049	2	1	3	1	7	8	0	 	 	 	0	1
51049	3	88	 	 	 	 	 	 	 	 	 	 
51050	1	 	 	 	 	 	 	 	 	 	 	 
51050	2	 	 	 	 	 	 	 	 	 	 	 
51050	3	 	 	 	 	 	 	 	 	 	 	 
61002	1	1	6	6	15	9	1	2100	 	5	0	6
61002	2	4	2	12	10	2	0	 	 	 	0	12
61002	3	88	 	 	 	 	 	 	 	 	 	 
61003	1	 	 	 	 	 	 	 	 	 	 	 
61003	2	 	 	 	 	 	 	 	 	 	 	 
61003	3	 	 	 	 	 	 	 	 	 	 	 
61004	1	1	2	3	20	9	0	 	 	 	1	3
61004	2	12	1	4	6	7	1	600	 	4	0	5
61004	3	88	 	 	 	 	 	 	 	 	 	 
61005	1	1	2	7	15	5	0	 	 	 	0	7
61005	2	10	6	6	16	5	1	80	 	4	1	0
61005	3	88	 	 	 	 	 	 	 	 	 	 
61007	1	1	6	8	15	8	1	1850	 	5	1	8
61007	2	4	6	10	30	2	0	 	 	 	1	12
61007	3	88	 	 	 	 	 	 	 	 	 	 
61008	1	1	2	7	16	4	0	 	 	 	1	9
61008	2	5	1	1	6	4	1	60	 	2	0	0
61008	3	88	 	 	 	 	 	 	 	 	 	 
61009	1	1	2	7	15	5	0	 	 	 	0	4
61009	2	88	 	 	 	 	 	 	 	 	 	 
61009	3	88	 	 	 	 	 	 	 	 	 	 
61010	1	 	 	 	 	 	 	 	 	 	 	 
61010	2	 	 	 	 	 	 	 	 	 	 	 
61010	3	 	 	 	 	 	 	 	 	 	 	 
61011	1	1	2	11	14	9	0	 	 	 	1	11
61011	2	4	2	3	14	1	0	 	 	 	1	3
61011	3	88	 	 	 	 	 	 	 	 	 	 
61012	1	1	2	7	18	9	0	 	 	 	1	9
61012	2	4	2	3	1	10	0	 	 	 	0	5
61012	3	88	 	 	 	 	 	 	 	 	 	 
61014	1	5	3	8	30	10	2	 	9000	7	0	0
61014	2	11	2	4	15	3	1	350	 	3	0	0
61014	3	88	 	 	 	 	 	 	 	 	 	 
61015	1	1	2	8	20	10	0	 	 	 	1	10
61015	2	4	2	2	10	4	0	 	 	 	1	3
61015	3	88	 	 	 	 	 	 	 	 	 	 
61016	1	1	2	12	20	7	0	 	 	 	1	12
61016	2	4	2	12	10	4	0	 	 	 	1	12
61016	3	88	 	 	 	 	 	 	 	 	 	 
61018	1	6	3	12	30	12	2	 	480	5	1	12
61018	2	88	 	 	 	 	 	 	 	 	 	 
61018	3	88	 	 	 	 	 	 	 	 	 	 
61019	1	1	2	3	10	8	0	 	 	 	0	5
61019	2	4	2	2	10	3	0	 	 	 	0	0
61019	3	88	 	 	 	 	 	 	 	 	 	 
61020	1	10	6	6	26	7	1	400	 	4	0	0
61020	2	1	2	5	15	9	0	 	 	 	0	5
61020	3	88	 	 	 	 	 	 	 	 	 	 
61021	1	13	1	11	30	14	1	600	 	4	0	12
61021	2	10	6	1	15	6	1	100	 	4	1	0
61021	3	88	 	 	 	 	 	 	 	 	 	 
61022	1	1	2	2	15	11	0	 	 	 	0	4
61022	2	12	3	1	10	13	1	40	 	2	0	0
61022	3	88	 	 	 	 	 	 	 	 	 	 
61023	1	1	6	4	15	9	1	2800	 	5	0	4
61023	2	88	 	 	 	 	 	 	 	 	 	 
61023	3	88	 	 	 	 	 	 	 	 	 	 
61024	1	1	6	5	20	9	1	2500	 	5	0	6
61024	2	88	 	 	 	 	 	 	 	 	 	 
61024	3	88	 	 	 	 	 	 	 	 	 	 
61025	1	10	6	2	25	5	1	300	 	4	0	2
61025	2	88	 	 	 	 	 	 	 	 	 	 
61025	3	88	 	 	 	 	 	 	 	 	 	 
61026	1	 	 	 	 	 	 	 	 	 	 	 
61026	2	 	 	 	 	 	 	 	 	 	 	 
61026	3	 	 	 	 	 	 	 	 	 	 	 
61027	1	1	2	3	13	8	0	 	 	 	0	0
61027	2	88	 	 	 	 	 	 	 	 	 	 
61027	3	88	 	 	 	 	 	 	 	 	 	 
61029	1	13	3	8	20	9	1	1250	 	4	1	12
61029	2	88	 	 	 	 	 	 	 	 	 	 
61029	3	88	 	 	 	 	 	 	 	 	 	 
61031	1	1	2	7	16	6	0	 	 	 	0	5
61031	2	88	 	 	 	 	 	 	 	 	 	 
61031	3	88	 	 	 	 	 	 	 	 	 	 
61033	1	1	2	6	10	4	0	 	 	 	0	5
61033	2	88	 	 	 	 	 	 	 	 	 	 
61033	3	88	 	 	 	 	 	 	 	 	 	 
61034	1	1	2	7	20	6	0	 	 	 	1	10
61034	2	12	3	4	25	6	1	20	 	2	1	6
61034	3	10	6	3	25	3	1	650	 	4	0	4
61036	1	10	6	12	16	8	1	500	 	4	1	12
61036	2	1	2	6	20	4	0	 	 	 	0	6
61036	3	4	2	8	10	6	0	 	 	 	1	8
61037	1	1	2	9	18	8	0	 	 	 	0	9
61037	2	4	2	4	15	5	0	 	 	 	0	0
61037	3	10	6	2	15	4	1	50	 	4	0	12
61038	1	1	2	10	24	8	0	 	 	 	0	10
61038	2	4	2	8	6	10	0	 	 	 	1	8
61038	3	88	 	 	 	 	 	 	 	 	 	 
61039	1	1	2	4	15	8	0	 	 	 	0	5
61039	2	88	 	 	 	 	 	 	 	 	 	 
61039	3	88	 	 	 	 	 	 	 	 	 	 
61041	1	13	1	12	26	8	1	800	 	4	1	12
61041	2	10	6	5	26	5	1	100	 	3	0	0
61041	3	88	 	 	 	 	 	 	 	 	 	 
61044	1	1	2	4	15	9	0	 	 	 	0	4
61044	2	4	2	4	5	4	0	 	 	 	0	5
61044	3	88	 	 	 	 	 	 	 	 	 	 
61046	1	4	2	12	18	5	0	 	 	 	1	3
61046	2	1	2	11	16	4	0	 	 	 	1	7
61046	3	10	2	3	12	7	3	100	400	4	0	6
61047	1	12	3	12	30	10	3	200	540	4	1	3
61047	2	88	 	 	 	 	 	 	 	 	 	 
61047	3	88	 	 	 	 	 	 	 	 	 	 
61049	1	10	2	12	8	8	0	 	 	 	1	12
61049	2	4	2	9	5	4	0	 	 	 	0	0
61049	3	1	2	4	13	6	0	 	 	 	1	2
61050	1	1	2	4	20	6	0	 	 	 	0	5
61050	2	12	3	1	8	8	1	30	 	2	1	4
61050	3	88	 	 	 	 	 	 	 	 	 	 
61051	1	12	1	1	5	9	1	30	 	2	0	0
61051	2	88	 	 	 	 	 	 	 	 	 	 
61051	3	88	 	 	 	 	 	 	 	 	 	 
61052	1	1	2	6	15	9	0	 	 	 	0	0
61052	2	12	4	5	15	9	1	700	 	4	1	0
61052	3	88	 	 	 	 	 	 	 	 	 	 
61054	1	11	6	12	20	3	1	30	 	4	1	12
61054	2	1	2	8	15	4	0	 	 	 	0	8
61054	3	88	 	 	 	 	 	 	 	 	 	 
61056	1	10	2	12	30	6	0	 	 	 	1	12
61056	2	1	3	2	10	6	0	 	 	 	0	1
61056	3	88	 	 	 	 	 	 	 	 	 	 
61057	1	 	 	 	 	 	 	 	 	 	 	 
61057	2	 	 	 	 	 	 	 	 	 	 	 
61057	3	 	 	 	 	 	 	 	 	 	 	 
61058	1	6	3	8	20	9	2	 	1350	5	0	0
61058	2	1	2	4	20	8	0	 	 	 	1	5
61058	3	10	6	1	14	4	1	200	 	4	0	1
61059	1	1	2	10	20	6	0	 	 	 	1	8
61059	2	5	3	2	12	5	1	150	 	4	0	2
61059	3	12	1	2	6	9	1	300	 	4	0	2
71001	1	1	2	12	30	5	0	 	 	 	1	12
71001	2	88	 	 	 	 	 	 	 	 	 	 
71001	3	88	 	 	 	 	 	 	 	 	 	 
71002	1	12	2	6	15	9	1	600	 	4	1	2
71002	2	88	 	 	 	 	 	 	 	 	 	 
71002	3	88	 	 	 	 	 	 	 	 	 	 
71003	1	1	2	5	20	4	0	 	 	 	1	6
71003	2	12	3	2	26	8	1	600	 	4	0	0
71003	3	88	 	 	 	 	 	 	 	 	 	 
71004	1	1	2	12	14	4	0	 	 	 	1	12
71004	2	88	 	 	 	 	 	 	 	 	 	 
71004	3	88	 	 	 	 	 	 	 	 	 	 
71005	1	10	2	3	30	11	0	 	 	 	0	10
71005	2	1	2	9	14	5	0	 	 	 	0	5
71005	3	4	2	4	15	6	0	 	 	 	1	5
71006	1	1	2	8	25	6	0	 	 	 	1	8
71006	2	12	4	2	26	8	1	45	 	2	0	2
71006	3	10	2	2	30	6	0	 	 	 	0	1
71007	1	12	1	8	29	8	3	800	400	4	0	10
71007	2	1	2	3	15	10	0	 	 	 	1	0
71007	3	88	 	 	 	 	 	 	 	 	 	 
71008	1	4	2	6	10	4	0	 	 	 	1	2
71008	2	1	2	4	6	9	0	 	 	 	0	6
71008	3	88	 	 	 	 	 	 	 	 	 	 
71009	1	4	2	12	15	6	0	 	 	 	1	12
71009	2	88	 	 	 	 	 	 	 	 	 	 
71009	3	88	 	 	 	 	 	 	 	 	 	 
71010	1	10	2	10	30	6	0	 	 	 	1	0
71010	2	1	2	1	15	10	0	 	 	 	0	0
71010	3	88	 	 	 	 	 	 	 	 	 	 
71011	1	1	2	6	30	4	0	 	 	 	1	6
71011	2	4	2	6	25	4	0	 	 	 	1	6
71011	3	88	 	 	 	 	 	 	 	 	 	 
71012	1	4	2	8	18	5	0	 	 	 	1	9
71012	2	1	2	5	18	5	0	 	 	 	0	2
71012	3	10	2	4	10	5	0	 	 	 	0	6
71013	1	12	1	12	30	4	1	100	 	4	1	4
71013	2	1	2	2	6	5	0	 	 	 	0	2
71013	3	88	 	 	 	 	 	 	 	 	 	 
71014	1	1	6	4	24	6	0	 	 	 	1	7
71014	2	4	6	2	20	10	0	 	 	 	0	0
71014	3	12	1	1	25	10	1	80	 	2	1	3
71015	1	12	1	12	30	5	1	280	 	3	1	12
71015	2	88	 	 	 	 	 	 	 	 	 	 
71015	3	88	 	 	 	 	 	 	 	 	 	 
71016	1	12	1	8	30	4	1	40	 	3	1	8
71016	2	88	 	 	 	 	 	 	 	 	 	 
71016	3	88	 	 	 	 	 	 	 	 	 	 
71017	1	1	2	12	14	4	0	 	 	 	1	12
71017	2	4	2	12	8	6	0	 	 	 	1	10
71017	3	88	 	 	 	 	 	 	 	 	 	 
71018	1	12	1	12	30	6	1	300	 	4	1	7
71018	2	1	2	2	4	8	0	 	 	 	0	12
71018	3	88	 	 	 	 	 	 	 	 	 	 
71019	1	1	2	2	10	11	0	 	 	 	0	2
71019	2	88	 	 	 	 	 	 	 	 	 	 
71019	3	88	 	 	 	 	 	 	 	 	 	 
71020	1	1	2	9	3	10	0	 	 	 	1	12
71020	2	4	2	9	2	10	0	 	 	 	1	12
71020	3	10	2	12	1	6	0	 	 	 	1	12
71021	1	1	2	12	19	6	0	 	 	 	1	7
71021	2	10	2	4	12	3	0	 	 	 	0	6
71021	3	88	 	 	 	 	 	 	 	 	 	 
71022	1	12	1	12	30	5	1	50	 	3	1	12
71022	2	1	2	3	20	8	0	 	 	 	0	3
71022	3	88	 	 	 	 	 	 	 	 	 	 
71024	1	1	2	12	15	2	0	 	 	 	1	2
71024	2	12	1	1	15	8	1	325	 	3	0	0
71024	3	88	 	 	 	 	 	 	 	 	 	 
71025	1	1	2	8	10	4	0	 	 	 	1	6
71025	2	12	1	2	30	10	1	10	 	2	0	0
71025	3	88	 	 	 	 	 	 	 	 	 	 
71026	1	4	2	11	8	8	0	 	 	 	1	0
71026	2	1	2	11	10	3	0	 	 	 	1	12
71026	3	12	3	1	5	4	1	18	 	2	0	2
71027	1	1	2	12	15	5	0	 	 	 	1	12
71027	2	4	2	12	15	5	0	 	 	 	1	12
71027	3	88	 	 	 	 	 	 	 	 	 	 
71028	1	1	2	5	2	6	0	 	 	 	1	2
71028	2	88	 	 	 	 	 	 	 	 	 	 
71028	3	88	 	 	 	 	 	 	 	 	 	 
71029	1	1	2	9	15	5	0	 	 	 	1	6
71029	2	4	2	12	15	3	0	 	 	 	1	6
71029	3	88	 	 	 	 	 	 	 	 	 	 
71030	1	12	1	10	20	3	1	40	 	2	1	6
71030	2	1	2	2	6	10	0	 	 	 	0	2
71030	3	88	 	 	 	 	 	 	 	 	 	 
71031	1	1	2	3	3	3	0	 	 	 	1	7
71031	2	88	 	 	 	 	 	 	 	 	 	 
71031	3	88	 	 	 	 	 	 	 	 	 	 
71032	1	1	2	3	8	7	0	 	 	 	0	0
71032	2	88	 	 	 	 	 	 	 	 	 	 
71032	3	88	 	 	 	 	 	 	 	 	 	 
71033	1	1	2	2	6	10	0	 	 	 	0	3
71033	2	88	 	 	 	 	 	 	 	 	 	 
71033	3	88	 	 	 	 	 	 	 	 	 	 
71034	1	4	2	12	15	4	0	 	 	 	1	12
71034	2	1	2	5	10	4	0	 	 	 	1	5
71034	3	88	 	 	 	 	 	 	 	 	 	 
71035	1	1	2	11	18	7	0	 	 	 	1	11
71035	2	4	2	6	12	5	0	 	 	 	1	6
71035	3	88	 	 	 	 	 	 	 	 	 	 
71036	1	 	 	 	 	 	 	 	 	 	 	 
71036	2	 	 	 	 	 	 	 	 	 	 	 
71036	3	 	 	 	 	 	 	 	 	 	 	 
71037	1	1	2	2	16	7	0	 	 	 	0	2
71037	2	88	 	 	 	 	 	 	 	 	 	 
71037	3	88	 	 	 	 	 	 	 	 	 	 
71038	1	1	2	8	15	9	0	 	 	 	1	6
71038	2	10	2	2	28	10	0	 	 	 	0	2
71038	3	12	3	2	23	5	1	20	 	2	0	0
71039	1	12	1	12	30	8	1	500	 	4	0	6
71039	2	1	2	1	7	5	0	 	 	 	0	2
71039	3	88	 	 	 	 	 	 	 	 	 	 
71040	1	12	1	9	30	6	1	560	 	2	0	12
71040	2	5	1	3	30	11	3	292	180	4	0	0
71040	3	1	2	3	12	6	0	 	 	 	0	4
71041	1	12	1	7	20	8	1	30	 	2	1	7
71041	2	88	 	 	 	 	 	 	 	 	 	 
71041	3	88	 	 	 	 	 	 	 	 	 	 
71042	1	4	2	8	25	6	0	 	 	 	1	9
71042	2	88	 	 	 	 	 	 	 	 	 	 
71042	3	88	 	 	 	 	 	 	 	 	 	 
71043	1	 	 	 	 	 	 	 	 	 	 	 
71043	2	 	 	 	 	 	 	 	 	 	 	 
71043	3	 	 	 	 	 	 	 	 	 	 	 
71044	1	12	1	6	30	5	1	50	 	3	1	0
71044	2	1	2	2	15	10	0	 	 	 	1	2
71044	3	88	 	 	 	 	 	 	 	 	 	 
71045	1	1	2	4	15	6	0	 	 	 	1	4
71045	2	12	1	1	30	10	1	300	 	4	0	0
71045	3	88	 	 	 	 	 	 	 	 	 	 
71046	1	1	2	9	10	4	0	 	 	 	1	10
71046	2	12	4	3	10	9	1	25	 	2	0	3
71046	3	88	 	 	 	 	 	 	 	 	 	 
71047	1	1	2	12	25	8	0	 	 	 	1	12
71047	2	12	4	6	5	9	1	72	 	2	1	12
71047	3	88	 	 	 	 	 	 	 	 	 	 
71048	1	 	 	 	 	 	 	 	 	 	 	 
71048	2	 	 	 	 	 	 	 	 	 	 	 
71048	3	 	 	 	 	 	 	 	 	 	 	 
71049	1	12	1	12	30	4	1	50	 	3	1	12
71049	2	88	 	 	 	 	 	 	 	 	 	 
71049	3	88	 	 	 	 	 	 	 	 	 	 
81001	1	1	2	2	15	5	0	 	 	 	1	2
81001	2	88	 	 	 	 	 	 	 	 	 	 
81001	3	88	 	 	 	 	 	 	 	 	 	 
81002	1	3	6	12	20	2	1	1000	 	4	1	12
81002	2	1	6	2	10	4	0	 	 	 	0	4
81002	3	88	 	 	 	 	 	 	 	 	 	 
81003	1	1	2	3	15	5	0	 	 	 	1	3
81003	2	3	2	2	5	5	1	500	 	4	1	4
81003	3	88	 	 	 	 	 	 	 	 	 	 
81004	1	1	2	6	15	5	0	 	 	 	1	6
81004	2	5	3	4	3	4	1	125	 	2	0	0
81004	3	88	 	 	 	 	 	 	 	 	 	 
81005	1	1	2	3	15	4	0	 	 	 	0	12
81005	2	13	1	2	22	8	1	450	 	4	0	12
81005	3	88	 	 	 	 	 	 	 	 	 	 
81006	1	5	3	6	30	10	1	400	 	4	1	10
81006	2	1	2	3	15	6	0	 	 	 	0	6
81006	3	3	6	2	16	6	1	300	 	4	1	2
81007	1	3	6	6	30	10	1	1000	 	4	1	6
81007	2	1	2	6	15	6	0	 	 	 	0	7
81007	3	7	3	2	4	6	0	 	 	 	0	2
81009	1	1	2	4	15	4	0	 	 	 	1	0
81009	2	88	 	 	 	 	 	 	 	 	 	 
81009	3	88	 	 	 	 	 	 	 	 	 	 
81010	1	1	2	4	15	8	0	 	 	 	1	4
81010	2	5	1	4	20	5	1	350	 	4	0	4
81010	3	88	 	 	 	 	 	 	 	 	 	 
81011	1	 	 	 	 	 	 	 	 	 	 	 
81011	2	 	 	 	 	 	 	 	 	 	 	 
81011	3	 	 	 	 	 	 	 	 	 	 	 
81012	1	 	 	 	 	 	 	 	 	 	 	 
81012	2	 	 	 	 	 	 	 	 	 	 	 
81012	3	 	 	 	 	 	 	 	 	 	 	 
81013	1	12	3	10	10	8	1	30	 	2	1	10
81013	2	1	2	3	15	8	0	 	 	 	0	3
81013	3	88	 	 	 	 	 	 	 	 	 	 
81014	1	1	2	6	10	8	0	 	 	 	0	6
81014	2	11	3	2	20	6	1	70	 	2	0	8
81014	3	88	 	 	 	 	 	 	 	 	 	 
81015	1	1	2	5	15	5	0	 	 	 	0	7
81015	2	5	2	2	30	5	1	600	 	5	0	4
81015	3	3	3	2	20	5	0	 	 	 	0	10
81016	1	1	2	2	15	5	0	 	 	 	1	2
81016	2	88	 	 	 	 	 	 	 	 	 	 
81016	3	88	 	 	 	 	 	 	 	 	 	 
81017	1	1	2	5	10	4	0	 	 	 	1	4
81017	2	3	6	2	20	8	1	1000	 	4	1	0
81017	3	11	6	3	20	10	1	50	 	2	1	12
81018	1	1	2	7	10	5	0	 	 	 	1	7
81018	2	5	6	3	10	6	1	700	 	5	0	5
81018	3	88	 	 	 	 	 	 	 	 	 	 
81019	1	1	2	4	15	5	0	 	 	 	1	4
81019	2	3	3	3	15	7	1	500	 	4	1	4
81019	3	88	 	 	 	 	 	 	 	 	 	 
81020	1	10	6	12	30	6	1	50	 	2	1	12
81020	2	1	6	9	15	6	0	 	 	 	1	9
81020	3	88	 	 	 	 	 	 	 	 	 	 
81021	1	1	2	4	15	5	0	 	 	 	1	5
81021	2	88	 	 	 	 	 	 	 	 	 	 
81021	3	88	 	 	 	 	 	 	 	 	 	 
81023	1	1	6	6	20	6	0	 	 	 	1	6
81023	2	3	6	3	10	12	0	 	 	 	1	5
81023	3	88	 	 	 	 	 	 	 	 	 	 
81024	1	1	2	3	20	8	0	 	 	 	1	4
81024	2	12	3	2	15	9	0	 	 	 	1	3
81024	3	88	 	 	 	 	 	 	 	 	 	 
81025	1	13	3	8	20	2	1	600	 	4	1	8
81025	2	1	2	4	10	8	0	 	 	 	0	4
81025	3	88	 	 	 	 	 	 	 	 	 	 
81026	1	1	2	6	26	8	0	 	 	 	1	6
81026	2	3	6	10	30	9	3	0	2500	5	1	12
81026	3	88	 	 	 	 	 	 	 	 	 	 
81027	1	1	2	4	20	6	0	 	 	 	0	0
81027	2	1	6	3	20	6	1	3700	 	7	0	0
