CHILDCODE	MOVEIDR4	YRMOVER4	WHMOVER4	TYPKEBR4	MTHSTYR4	RSNMVR41	RSNMVR42	KNWANYR4	KNWBSTR4
111037	5	2006	1	3	0	5	88	1	4
111040	1	 	 	 	 	 	 	 	 
111045	1	2002	2	1	24	1	88	1	4
121008	1	2003	3	4	0	2	11	1	5
121009	1	2003	3	1	0	1	2	1	2
121012	1	2004	1	1	11	1	88	1	4
121012	2	2005	1	1	0	22	1	1	1
121013	1	2005	3	1	0	2	88	1	2
121015	1	2004	2	3	12	2	88	1	4
121015	2	2005	3	4	11	2	88	0	 
121015	3	2006	2	1	0	22	88	1	1
121020	1	2003	1	3	24	5	88	1	4
121020	2	2005	1	1	0	22	88	1	1
121021	1	2004	1	1	8	2	88	1	1
121021	2	2004	1	1	4	22	23	1	1
121021	3	2005	3	2	12	1	88	1	4
121021	4	2006	3	2	5	1	88	1	4
121021	5	2006	3	2	0	23	88	1	1
121022	1	2003	2	1	0	20	88	0	 
121023	1	2003	4	 	20	1	88	1	4
121023	2	2005	4	 	0	8	88	1	1
121027	1	2004	3	4	20	2	1	1	4
121031	1	2004	3	1	2	1	88	0	 
121031	2	2006	3	1	0	22	88	1	1
121034	1	2003	3	3	0	2	17	1	8
121037	1	2004	3	4	0	11	88	1	3
121038	1	2004	3	4	12	2	88	1	2
121038	2	2005	3	4	12	2	88	1	2
121038	3	2006	3	1	0	22	88	1	1
121040	1	2005	3	6	2	8	88	1	2
121040	2	2005	3	1	0	22	88	1	1
121043	1	 	 	 	 	 	 	 	 
121047	1	2003	3	6	0	2	88	1	4
121048	1	2005	2	3	8	1	88	1	4
121048	2	2005	2	1	0	1	88	1	1
121053	1	2002	3	3	16	1	88	1	4
121053	2	2004	3	1	2	2	88	1	1
121053	3	2004	3	6	18	1	88	1	5
121053	4	2005	3	1	0	3	88	1	1
121054	1	2003	3	6	24	2	28	1	2
121054	2	2005	3	1	7	35	7	1	1
121054	3	2005	3	6	0	2	17	1	2
121056	1	2004	3	6	0	5	88	0	 
131004	1	2002	3	6	0	2	88	1	8
131008	1	2006	3	5	4	5	88	0	 
131008	2	2006	3	5	0	23	88	1	1
131018	1	2002	3	5	12	2	88	0	 
131028	1	2006	3	5	6	5	88	0	 
131028	2	2006	3	3	0	22	88	1	1
131030	1	2005	2	5	3	22	88	1	2
131030	2	2005	2	3	0	22	22	1	1
131032	1	2006	3	4	6	5	88	1	2
131037	1	2005	3	4	0	5	88	0	 
131043	1	2005	3	6	3	2	88	0	 
131043	2	2005	3	2	0	5	22	1	1
131045	1	2005	3	6	3	23	88	1	4
131045	2	2005	2	1	0	22	88	1	1
131048	1	2003	3	6	2	22	88	1	4
131048	2	2003	3	3	10	22	88	1	1
131048	3	2004	3	6	2	22	88	1	4
131048	4	2004	3	3	0	22	88	1	1
131050	1	2002	2	5	10	5	88	1	2
131050	2	2002	2	3	2	22	88	1	1
131050	3	2003	2	5	10	5	88	1	2
131050	4	2003	2	3	2	22	88	1	1
131050	5	2004	2	5	10	5	22	1	2
131050	6	2004	2	3	0	5	88	1	1
141002	1	2003	2	5	2	1	88	0	 
141002	2	2003	2	5	0	5	22	1	1
141008	1	2003	2	4	2	35	88	0	 
141011	1	2004	1	4	2	9	88	0	 
141013	1	2005	3	2	2	5	88	0	 
141014	1	2005	2	5	0	13	2	1	1
141019	1	2003	3	6	12	1	2	1	1
141019	2	2004	2	6	0	8	17	1	7
141021	1	2004	3	4	5	35	88	0	 
141021	2	2004	2	4	1	35	88	0	 
141021	3	2004	3	4	2	35	88	0	 
141021	4	2004	2	4	4	35	88	0	 
141021	5	2005	2	6	12	35	88	0	 
141021	6	2006	3	1	3	35	88	0	 
141028	1	2003	3	3	2	1	88	0	 
141028	2	2003	2	5	0	22	88	1	1
141031	1	2003	3	2	12	5	23	1	4
141038	1	2004	3	2	0	13	35	1	1
141039	1	2003	3	6	12	5	5	1	1
141039	2	2004	3	5	6	1	27	1	1
141039	3	2004	3	6	0	5	2	1	1
151002	1	2003	2	3	3	35	88	0	 
151010	1	2004	1	2	28	5	88	1	7
151018	1	2005	2	1	6	23	88	1	4
151018	2	2005	2	1	4	22	88	1	1
151021	1	2005	2	1	3	1	2	0	 
151028	1	2004	2	5	3	1	88	1	4
151028	2	2006	2	1	0	23	88	1	1
151033	1	2006	1	2	0	5	88	0	 
151034	1	2003	1	1	0	22	5	1	1
151041	1	2005	2	1	11	11	88	1	2
151043	1	2004	1	2	10	5	35	0	 
151043	2	2004	1	1	2	22	88	1	1
151043	3	2005	1	2	0	5	88	0	 
151057	1	2003	2	2	5	2	88	1	4
151064	1	2005	1	2	10	5	35	1	4
151064	2	2005	1	1	2	22	88	1	1
151064	3	2006	1	2	0	5	35	1	4
151066	1	2005	2	1	0	11	88	1	2
161002	1	2005	4	 	8	1	88	1	1
161002	2	2006	4	 	0	22	88	1	1
161003	1	2003	3	6	12	2	88	1	4
161003	2	2004	3	1	2	22	23	1	1
161003	3	2004	3	6	10	2	88	1	4
161003	4	2005	3	1	2	19	23	1	1
161003	5	2005	3	6	9	2	88	1	4
