CHILDCODE	HHDCIDR4	EVRDECR4	MADDECR4	WHOPRVR4
21034	2	1	1	1
21034	3	1	1	7
21034	5	1	1	7
21034	9	1	1	3
21034	10	1	1	3
21034	13	88	 	 
21035	1	1	1	7
21035	2	1	1	1
21035	3	1	1	7
21035	5	1	1	7
21035	9	1	1	7
21035	10	1	1	7
21035	13	88	 	 
21036	1	1	1	7
21036	2	1	1	1
21036	3	1	1	1
21036	5	1	1	7
21036	9	1	0	3
21036	10	1	0	3
21036	13	88	 	 
21037	1	1	1	1
21037	2	1	1	7
21037	3	0	1	3
21037	5	1	1	3
21037	9	1	1	3
21037	10	1	1	3
21037	13	88	 	 
21038	1	1	1	1
21038	2	1	1	1
21038	3	1	1	7
21038	5	1	1	7
21038	9	1	1	7
21038	10	1	1	7
21038	13	88	 	 
21040	1	1	1	1
21040	2	1	1	7
21040	3	1	1	7
21040	5	1	1	7
21040	9	1	0	3
21040	10	1	0	3
21040	13	88	 	 
21041	1	1	1	7
21041	2	1	1	3
21041	3	0	1	6
21041	5	1	1	3
21041	9	1	1	3
21041	10	1	1	7
21041	13	88	 	 
21042	1	1	1	1
21042	2	1	1	1
21042	3	0	1	1
21042	5	1	1	1
21042	9	1	1	3
21042	10	1	0	3
21042	13	88	 	 
21043	1	1	1	1
21043	2	1	1	1
21043	3	0	1	1
21043	5	1	1	7
21043	9	1	1	3
21043	10	1	0	3
21043	13	88	 	 
21045	1	1	1	1
21045	2	1	1	1
21045	3	1	0	6
21045	5	1	1	1
21045	9	1	1	3
21045	10	1	1	3
21045	13	0	0	3
21046	1	1	1	1
21046	2	1	1	1
21046	3	1	1	1
21046	5	1	1	7
21046	9	1	1	7
21046	10	1	1	3
21046	13	88	 	 
21047	1	1	1	1
21047	2	1	1	1
21047	3	1	1	6
21047	5	1	1	6
21047	9	1	1	3
21047	10	1	1	3
21047	13	88	 	 
21048	1	1	1	1
21048	2	1	1	1
21048	3	1	1	1
21048	5	1	1	1
21048	9	1	1	1
21048	10	1	1	1
21048	13	88	 	 
21050	1	1	1	1
21050	2	1	1	1
21050	3	1	1	1
21050	5	1	1	7
21050	9	1	1	3
21050	10	1	1	3
21050	13	88	 	 
31001	1	1	1	1
31001	2	1	1	7
31001	3	1	1	1
31001	5	1	1	7
31001	9	1	0	3
31001	10	1	0	3
31001	13	88	 	 
31002	1	1	1	1
31002	2	1	1	1
31002	3	1	1	1
31002	5	1	1	3
31002	9	1	0	3
31002	10	1	0	3
31002	13	88	 	 
31003	1	1	1	1
31003	2	1	1	1
31003	3	1	1	7
31003	5	1	1	7
31003	9	1	1	3
31003	10	1	1	3
31003	13	88	 	 
31004	1	1	1	7
31004	2	1	1	7
31004	3	1	1	7
31004	5	1	0	5
31004	9	1	0	3
31004	10	1	0	3
31004	13	88	 	 
31006	1	1	1	1
31006	2	1	1	1
31006	3	1	1	7
31006	5	1	1	3
31006	9	0	0	3
31006	10	1	1	3
31006	13	88	 	 
31007	1	1	1	1
31007	2	1	1	1
31007	3	1	1	1
31007	5	1	1	1
31007	9	1	1	1
31007	10	1	1	1
31007	13	88	 	 
31009	1	1	1	1
31009	2	1	1	1
31009	3	1	1	1
31009	5	1	1	1
31009	9	1	1	3
31009	10	1	0	3
31009	13	88	 	 
31010	1	1	1	7
31010	2	1	1	3
31010	3	1	1	1
31010	5	1	1	3
31010	9	1	1	7
31010	10	1	0	3
31010	13	88	 	 
31011	1	1	1	1
31011	2	1	1	1
31011	3	0	88	88
31011	5	1	1	3
31011	9	0	0	3
31011	10	1	0	3
31011	13	88	 	 
31012	1	1	1	1
31012	2	1	1	1
31012	3	1	1	1
31012	5	1	1	1
31012	9	1	1	3
31012	10	1	0	3
31012	13	88	 	 
31013	1	1	1	3
31013	2	1	1	1
31013	3	1	1	3
31013	5	1	1	1
31013	9	1	1	3
31013	10	1	1	7
31013	13	88	 	 
31015	1	1	1	7
31015	2	1	1	1
31015	3	1	1	1
31015	5	1	1	7
31015	9	1	1	8
31015	10	1	1	3
31015	13	88	 	 
31016	1	1	1	1
31016	2	1	1	7
31016	3	1	1	7
31016	5	1	1	5
31016	9	1	1	9
31016	10	1	0	7
31016	13	88	 	 
31017	1	1	1	3
31017	2	1	1	3
31017	3	1	1	1
31017	5	1	1	1
31017	9	1	1	7
31017	10	1	1	3
31017	13	0	0	77
31018	1	1	1	1
