PLACEID	MNTRIDR4	TRANS	TITRANS
301	1	8	210
301	2	5	300
302	1	5	270
302	2	8	240
303	1	8	150
303	2	5	180
304	1	8	120
304	2	5	180
305	1	5	150
305	2	8	120
306	1	8	240
306	2	5	300
307	1	8	90
307	2	5	120
308	1	8	105
308	2	5	115
309	1	8	150
309	2	5	180
310	1	8	180
310	2	5	240
311	1	5	240
311	2	8	180
312	1	5	240
312	2	8	180
313	1	8	180
313	2	5	240
313	3	6	150
314	1	8	150
314	2	5	180
315	1	8	120
315	2	5	180
316	1	8	60
316	2	5	80
316	3	4	50
317	1	8	90
317	2	5	100
318	1	8	150
318	2	5	180
319	1	8	60
319	2	5	90
320	1	8	60
320	2	5	90
321	1	8	100
321	2	5	120
322	1	5	30
322	2	8	25
323	1	8	60
323	2	5	80
324	1	8	40
324	2	5	60
325	1	8	120
325	2	5	150
326	1	8	100
326	2	5	120
327	1	8	60
327	2	5	80
328	1	8	150
328	2	5	180
329	1	88	 
330	1	8	180
330	2	5	200
331	1	8	90
331	2	5	60
331	3	4	45
332	1	8	180
333	1	8	120
333	2	10	90
333	3	5	180
334	1	8	60
334	2	5	80
335	1	8	180
335	2	5	240
336	1	8	5
336	2	5	20
337	1	8	85
337	2	5	100
338	1	5	10
339	1	8	30
339	2	5	40
340	1	88	 
341	1	8	120
341	2	5	140
342	1	8	300
342	2	5	360
343	1	8	240
343	2	5	300
344	1	8	150
344	2	5	180
345	1	8	180
345	2	5	240
346	1	88	 
347	1	8	150
347	2	5	180
347	3	10	90
348	1	8	120
348	2	5	150
349	1	8	240
349	2	5	300
350	1	8	240
350	2	5	300
351	1	8	120
351	2	5	150
401	1	8	220
401	2	10	190
402	1	8	220
402	2	10	180
403	1	8	240
404	1	8	120
404	2	10	180
406	1	8	110
406	2	10	70
406	3	5	120
407	1	8	150
407	2	10	100
408	1	8	170
408	2	10	110
409	1	8	160
409	2	10	120
410	1	8	150
410	2	10	100
410	3	4	130
411	1	8	120
411	2	10	180
412	1	10	130
412	2	8	180
413	1	8	75
413	2	5	90
413	3	4	60
414	1	8	120
414	2	5	90
415	1	8	120
415	2	10	90
415	3	4	100
416	1	8	50
416	2	5	70
416	3	4	40
417	1	8	45
417	2	5	60
417	3	4	40
418	1	8	120
418	2	5	90
419	1	8	60
419	2	5	90
419	3	4	45
420	1	10	120
420	2	8	190
421	1	5	60
421	2	8	50
422	1	8	120
422	2	5	150
423	1	5	120
423	2	10	45
424	1	5	70
424	2	8	60
424	3	4	50
425	1	8	180
425	2	5	140
426	1	5	25
426	2	8	30
426	3	4	20
427	1	8	110
427	2	5	120
428	1	77	 
428	2	77	 
428	3	88	 
429	1	8	90
429	2	6	60
429	3	4	70
430	1	10	90
430	2	8	120
430	3	4	120
431	1	8	145
431	2	4	120
432	1	5	10
432	2	4	10
433	1	8	90
433	2	10	80
433	3	4	80
434	1	8	120
434	2	10	90
435	1	8	90
435	2	10	60
435	3	4	90
436	1	8	90
437	1	8	45
437	2	4	35
437	3	5	52
438	1	8	210
438	2	5	240
438	3	10	180
439	1	8	60
439	2	5	60
440	1	8	45
440	2	5	60
441	1	8	90
441	2	5	100
442	1	8	90
442	2	5	120
443	1	8	80
443	2	5	95
443	3	4	70
445	1	8	50
445	2	10	30
445	3	4	40
446	1	8	40
446	2	5	50
446	3	4	35
447	1	8	30
447	2	5	30
448	1	8	40
448	2	5	55
449	1	8	120
449	2	5	100
450	1	5	20
501	1	8	105
501	2	5	60
502	1	8	130
502	2	5	140
502	3	4	60
503	1	8	90
503	2	5	105
504	1	8	60
504	2	4	50
504	3	5	80
505	1	8	45
505	2	5	55
505	3	4	30
507	1	8	90
507	2	5	100
507	3	4	80
508	1	8	120
508	2	5	150
508	3	9	150
509	1	8	50
509	2	5	65
509	3	4	40
510	1	8	120
510	2	5	130
510	3	4	60
511	1	8	80
511	2	5	90
511	3	4	60
512	1	8	90
512	2	5	70
512	3	7	100
513	1	8	150
513	2	4	120
513	3	5	180
514	1	8	40
514	2	5	50
514	3	4	30
515	1	8	90
515	2	5	70
515	3	4	120
516	1	8	30
516	2	5	40
516	3	4	25
517	1	8	40
517	2	5	60
517	3	4	30
518	1	5	15
518	2	4	10
518	3	1	30
519	1	8	35
519	2	5	40
519	3	4	25
520	1	8	45
520	2	4	20
520	3	5	43
521	1	8	55
521	2	5	55
521	3	4	45
522	1	8	120
522	2	7	110
522	3	5	110
523	1	8	60
523	2	5	50
523	3	4	40
524	1	8	60
524	2	5	85
524	3	4	45
525	1	8	80
525	2	5	80
525	3	4	60
526	1	8	20
526	2	5	30
526	3	4	15
527	1	5	40
527	2	4	30
527	3	8	45
528	1	8	90
528	2	5	120
528	3	4	80
529	1	5	10
529	2	8	10
529	3	4	5
530	1	5	90
530	2	8	85
530	3	4	70
531	1	5	90
531	2	8	60
531	3	4	50
532	1	8	90
532	2	4	80
532	3	10	95
533	1	8	120
