PLACEID	DISTIDR4	DISASTER	DISTYEAR	DISTMNTH	DISEFCT1	DISEFCT2	PRCEFFCT
613	1	3	2012	7	8	9	3
614	1	3	2010	6	8	9	2
615	1	3	2012	7	8	9	3
616	1	3	2012	8	8	9	3
619	1	3	2010	6	8	9	2
620	1	3	2011	6	8	9	3
621	1	3	2011	7	8	9	3
622	1	3	2012	7	8	9	3
623	1	3	2012	6	8	9	3
624	1	3	2012	7	8	9	3
625	1	3	2012	7	8	9	3
626	1	3	2012	6	8	9	3
628	1	3	2012	6	8	9	3
629	1	3	2013	6	8	9	2
630	1	3	2012	9	8	9	3
631	1	3	2011	6	8	1	3
632	1	3	2012	6	8	9	3
633	1	3	2012	8	8	9	1
634	1	3	2013	6	8	9	2
635	1	3	2012	6	8	9	3
636	1	3	2012	8	8	9	2
637	1	3	2010	8	8	9	1
642	1	3	2013	7	8	9	3
701	1	10	2011	11	8	9	2
702	1	6	2011	8	8	5	2
703	1	3	2012	8	8	88	3
704	1	6	2012	10	8	18	2
707	1	3	2012	1	8	88	1
708	1	3	2011	10	8	88	2
712	1	6	2010	10	8	88	1
716	1	3	2011	4	8	88	2
718	1	6	2011	10	8	88	1
719	1	6	2011	10	8	88	2
724	1	6	2013	8	8	88	1
724	2	6	2012	8	8	88	1
724	3	3	2011	9	8	8	1
725	1	6	2012	7	8	88	1
728	1	3	2012	10	8	88	3
728	2	6	2013	10	8	88	3
730	1	6	2011	7	8	88	2
731	1	6	2013	10	8	88	3
733	1	3	2010	8	8	88	1
736	1	3	2012	7	8	88	2
801	1	3	2012	8	8	1	1
802	1	3	2011	8	8	1	1
802	2	3	2012	8	8	1	1
803	1	3	2010	8	8	1	3
804	1	3	2010	8	8	1	3
804	2	3	2011	10	8	6	3
804	3	3	2012	7	8	1	3
805	1	3	2011	9	8	88	3
805	2	9	2010	3	8	88	3
806	1	6	2012	9	8	88	2
806	2	3	2011	8	8	88	3
807	1	3	2010	9	8	88	2
808	1	3	2012	1	8	88	1
808	2	3	2010	1	8	88	2
809	1	3	2013	9	8	1	1
809	2	3	2012	2	8	1	2
810	2	3	2011	8	8	88	2
810	3	3	2010	10	8	88	2
812	1	3	2010	10	8	5	2
813	1	2	2013	10	8	18	1
813	2	3	2011	8	8	1	1
814	1	3	2012	8	8	88	2
814	2	3	2011	8	8	88	2
815	1	6	2009	8	18	15	1
815	2	6	2013	10	18	9	1
816	1	3	2012	9	8	88	2
817	1	6	2013	10	8	9	2
817	2	3	2012	9	8	9	1
817	3	3	2011	9	8	9	1
817	4	6	2010	10	8	9	2
818	1	6	2013	10	8	18	2
819	1	6	2009	9	18	8	2
819	2	6	2013	10	8	9	1
820	2	6	2013	10	8	13	1
822	2	6	2013	10	8	88	1
822	3	6	2010	9	8	18	1
824	1	3	2012	8	8	88	2
825	1	3	2011	9	8	88	2
825	2	3	2012	8	8	88	1
826	1	3	2011	9	8	88	2
826	2	3	2012	8	8	88	2
827	1	3	2011	9	8	5	2
829	1	6	2013	10	1	8	1
829	2	6	2009	10	8	88	1
830	1	6	2009	10	8	88	2
832	1	6	2013	10	8	88	1
832	2	6	2009	9	8	9	1
951	1	2	2013	10	8	88	1
952	1	2	2012	10	8	88	3
954	1	1	2012	10	8	88	2
955	1	6	2012	10	8	88	1
956	1	3	2011	8	8	88	3
