PLACEID	SCPRIDR4	PRBLCTLY
301	1	0
301	2	0
301	3	0
301	4	0
301	5	0
301	6	0
301	7	0
301	8	1
301	9	0
301	11	0
301	12	0
302	1	0
302	2	0
302	3	0
302	4	0
302	5	0
302	6	0
302	7	0
302	8	1
302	9	0
302	11	0
302	12	0
303	1	0
303	2	0
303	3	0
303	4	0
303	5	0
303	6	0
303	7	0
303	8	1
303	9	0
303	11	0
303	12	0
304	1	1
304	2	1
304	3	0
304	4	0
304	5	0
304	6	0
304	7	0
304	8	1
304	9	0
304	11	0
304	12	0
305	1	0
305	2	0
305	3	0
305	4	0
305	5	0
305	6	0
305	7	0
305	8	1
305	9	0
305	11	0
305	12	0
306	1	0
306	2	0
306	3	0
306	4	0
306	5	0
306	6	0
306	7	0
306	8	1
306	9	0
306	11	0
306	12	0
307	1	1
307	2	0
307	3	0
307	4	0
307	5	0
307	6	0
307	7	0
307	8	1
307	9	0
307	11	0
307	12	0
308	1	1
308	2	0
308	3	0
308	4	0
308	5	0
308	6	0
308	7	0
308	8	1
308	9	0
308	11	0
308	12	0
309	1	0
309	2	0
309	3	0
309	4	0
309	5	0
309	6	0
309	7	0
309	8	1
309	9	0
309	11	0
309	12	0
310	1	1
310	2	0
310	3	0
310	4	0
310	5	0
310	6	0
310	7	0
310	8	1
310	9	0
310	11	0
310	12	0
311	1	0
311	2	0
311	3	0
311	4	0
311	5	0
311	6	0
311	7	0
311	8	1
311	9	0
311	11	0
311	12	0
312	1	0
312	2	0
312	3	0
312	4	0
312	5	0
312	6	0
312	7	0
312	8	1
312	9	0
312	11	0
312	12	0
313	1	1
313	2	0
313	3	0
313	4	0
313	5	0
313	6	0
313	7	0
313	8	1
313	9	0
313	11	0
313	12	0
314	1	0
314	2	0
314	3	0
314	4	0
314	5	0
314	6	0
314	7	0
314	8	1
314	9	0
314	11	0
314	12	0
315	1	1
315	2	0
315	3	0
315	4	0
315	5	0
315	6	0
315	7	0
315	8	1
315	9	0
315	11	0
315	12	0
316	1	0
316	2	0
316	3	0
316	4	0
316	5	0
316	6	0
316	7	0
316	8	1
316	9	0
316	11	0
316	12	0
317	1	0
317	2	0
317	3	0
317	4	0
317	5	0
317	6	0
317	7	0
317	8	1
317	9	0
317	11	0
317	12	0
318	1	1
318	2	0
318	3	0
318	4	0
318	5	0
318	6	0
318	7	0
318	8	1
318	9	0
318	11	0
318	12	0
319	1	0
319	2	0
319	3	0
319	4	0
319	5	0
319	6	0
319	7	0
319	8	1
319	9	0
319	11	0
319	12	0
320	1	0
320	2	0
320	3	0
320	4	0
320	5	0
320	6	0
320	7	0
320	8	1
320	9	0
320	11	0
320	12	0
321	1	1
321	2	0
321	3	0
321	4	0
321	5	0
321	6	0
321	7	0
321	8	1
321	9	0
321	11	0
321	12	0
322	1	0
322	2	1
322	3	0
322	4	0
322	5	0
322	6	0
322	7	0
322	8	1
322	9	0
322	11	0
322	12	0
323	1	1
323	2	1
323	3	0
323	4	0
323	5	0
323	6	0
323	7	0
323	8	1
323	9	0
323	11	0
323	12	0
324	1	1
324	2	1
324	3	0
324	4	0
324	5	0
324	6	0
324	7	0
324	8	1
324	9	0
324	11	0
324	12	0
325	1	1
325	2	0
325	3	0
325	4	0
325	5	0
325	6	0
325	7	0
325	8	1
325	9	0
325	11	0
325	12	0
326	1	0
326	2	0
326	3	0
326	4	0
326	5	0
326	6	0
326	7	0
326	8	1
326	9	0
326	11	0
326	12	0
327	1	0
327	2	0
327	3	0
327	4	0
327	5	0
327	6	0
327	7	0
327	8	1
327	9	0
327	11	0
327	12	0
328	1	0
328	2	0
328	3	0
328	4	0
328	5	0
328	6	0
328	7	0
328	8	1
328	9	0
328	11	0
328	12	0
329	1	1
329	2	0
329	3	0
329	4	0
329	5	0
329	6	0
329	7	0
329	8	1
329	9	0
329	11	0
329	12	0
330	1	0
330	2	0
330	3	0
330	4	0
330	5	0
330	6	0
330	7	0
330	8	1
330	9	0
330	11	0
330	12	0
331	1	0
331	2	0
331	3	0
331	4	0
331	5	0
331	6	0
331	7	0
331	8	1
331	9	0
331	11	0
331	12	0
332	1	0
332	2	0
332	3	0
332	4	0
332	5	0
332	6	0
332	7	0
332	8	1
332	9	0
332	11	0
332	12	0
333	1	1
333	2	0
333	3	0
333	4	0
333	5	0
333	6	0
333	7	0
333	8	1
333	9	0
333	11	0
333	12	0
334	1	1
334	2	0
334	3	0
334	4	0
334	5	0
334	6	0
334	7	0
334	8	1
334	9	0
334	11	0
334	12	0
335	1	0
335	2	0
335	3	0
335	4	0
335	5	0
335	6	0
335	7	0
335	8	1
335	9	0
335	11	0
335	12	0
336	1	0
336	2	0
336	3	0
336	4	0
336	5	0
336	6	0
336	7	0
336	8	1
336	9	0
336	11	0
336	12	0
337	1	1
337	2	0
337	3	0
337	4	0
337	5	0
337	6	0
337	7	0
337	8	1
337	9	0
337	11	0
337	12	0
338	1	1
338	2	0
338	3	0
338	4	0
338	5	0
338	6	0
338	7	0
338	8	1
338	9	0
338	11	0
338	12	0
339	1	1
339	2	0
339	3	0
339	4	0
339	5	0
339	6	0
339	7	0
339	8	1
339	9	0
339	11	0
339	12	0
340	1	1
340	2	0
340	3	0
340	4	0
340	5	0
340	6	0
340	7	0
340	8	1
340	9	0
340	11	0
340	12	0
341	1	1
341	2	0
341	3	0
341	4	0
341	5	0
341	6	0
341	7	0
341	8	1
341	9	0
341	11	0
341	12	0
342	1	0
342	2	0
342	3	0
342	4	0
342	5	0
342	6	0
342	7	0
342	8	1
342	9	0
342	11	0
342	12	0
343	1	0
343	2	0
343	3	0
343	4	0
343	5	0
343	6	0
343	7	0
343	8	1
343	9	0
343	11	0
343	12	0
344	1	0
344	2	0
344	3	0
344	4	0
344	5	0
344	6	0
344	7	0
344	8	1
344	9	0
344	11	0
344	12	0
345	1	1
345	2	1
345	3	0
345	4	0
345	5	0
345	6	0
345	7	0
345	8	1
345	9	0
345	11	0
345	12	0
346	1	1
346	2	0
346	3	0
346	4	0
346	5	0
346	6	0
346	7	0
346	8	1
346	9	0
346	11	0
346	12	0
