PLACEID	STRTDINT	DISTRID	CLUSTID	MAPLOC	CHRINF1	CHRINF2	CHRINF3	POPSIZE	PAVEDN	EARTHN	UNPAVEDN	TRACKSN	RIVERN	RAILN	OTTRANN	MAINRTR4	FACTORY	KNDFACE1	NTRLDIST	SOCINF1	SOCINF2	SOCINF3	ACCINF1	ACCINF2	ACCINF3	ECNINF1	ECNINF2	ECNINF3	LPRINF1	LPRINF2	LPRINF3	LPRINF4	LPRINF5	LPRINF6	LPRINF7	LPRINF8	LPRINF9	LPRINF10
802	15/09/2013 19:12:57	RANGAREDDY	99	0	1	2	13	2164	1	1	0	1	0	0	0	2	0	 	1	3	4	5	1	2	9	3	4	5	8	9	10	11	12	15	16	17	19	21
803	14/09/2013 13:08:28	RANGAREDDY	99	0	1	4	17	1158	1	1	0	1	0	0	0	2	0	 	1	1	2	4	1	17	18	6	7	8	10	11	12	13	14	15	16	20	21	18
804	14/09/2013 19:51:46	RANGAREDDY	99	0	1	2	3	2385	1	1	1	1	0	0	0	3	0	 	1	1	2	3	1	3	4	6	7	8	10	11	12	13	14	15	16	17	18	19
805	18/10/2013 19:35:36	MAHABOOBNAGAR	99	0	1	2	3	6000	1	0	1	1	0	1	0	3	0	 	1	1	4	6	1	2	4	1	4	6	7	8	9	10	11	12	13	14	4	5
246	12/10/2013 17:16:15	MAHABOOBNAGAR	99	0	1	2	5	157902	0	0	1	1	0	1	0	3	2	11	1	1	2	5	1	2	5	3	4	5	6	7	8	9	10	11	12	13	14	15
807	03/10/2013 17:59:56	MAHABUBNAGAR	99	0	1	2	5	1700	1	1	0	1	0	0	0	1	1	6	1	1	2	5	5	1	3	3	4	1	7	9	15	16	17	18	13	14	8	10
808	08/10/2013 08:41:25	RANGAREDDY	99	0	1	2	5	845	0	1	1	1	0	0	0	3	2	8	1	1	3	5	4	5	1	5	6	7	9	10	11	12	13	14	19	20	17	18
809	09/10/2013 14:27:36	MAHABOOBNAGAR	99	0	1	3	4	1845	1	1	1	1	0	0	0	1	2	8	1	1	3	4	3	4	5	5	7	8	9	10	11	12	13	14	15	16	17	18
810	15/10/2013 08:58:14	MAHABOOBNAGAR	99	0	1	3	4	845	1	1	1	1	0	0	0	3	0	 	1	4	5	6	4	5	6	4	5	6	8	9	10	11	12	13	14	15	16	17
812	29/10/2013 08:16:07	MAHABOOBNAGAR	99	0	2	3	4	3500	1	1	1	1	0	0	0	3	2	14	1	1	2	4	2	3	4	6	7	8	10	11	12	13	14	15	16	17	18	19
