PLACEID	TYWKIDR4	TYPWMALE	TYPWFMLE
301	1	-1111	-1111
301	2	-1111	-1111
301	3	-1111	-1111
301	4	-1111	-1111
301	5	150	-1111
302	1	300	100
302	2	-1111	-1111
302	3	-1111	-1111
302	4	-1111	-1111
302	5	-1111	-1111
303	1	300	150
303	2	-1111	-1111
303	3	-1111	-1111
303	4	150	150
303	5	500	-1111
304	1	300	-1111
304	2	-1111	-1111
304	3	-1111	-1111
304	4	200	200
304	5	400	-1111
305	1	300	150
305	2	-1111	-1111
305	3	-1111	-1111
305	4	150	-1111
305	5	300	-1111
306	1	240	-1111
306	2	-1111	-1111
306	3	-1111	-1111
306	4	-1111	-1111
306	5	200	-1111
307	1	400	300
307	2	200	-1111
307	3	-1111	100
307	4	200	150
307	5	500	500
308	1	300	100
308	2	-1111	-1111
308	3	-1111	-1111
308	4	-1111	-1111
308	5	350	-1111
309	1	300	150
309	2	-1111	-1111
309	3	-1111	-1111
309	4	-1111	-1111
309	5	400	400
310	1	300	200
310	2	-1111	-1111
310	3	-1111	-1111
310	4	-1111	-1111
310	5	300	-1111
311	1	350	-1111
311	2	-1111	-1111
311	3	-1111	-1111
311	4	-1111	-1111
311	5	150	-1111
312	1	200	150
312	2	-1111	-1111
312	3	-1111	-1111
312	4	-1111	-1111
312	5	200	-1111
313	1	350	250
313	2	250	-1111
313	3	-1111	200
313	4	170	170
313	5	450	-1111
314	1	-1111	-1111
314	2	-1111	-1111
314	3	-1111	-1111
314	4	-1111	-1111
314	5	-1111	-1111
315	1	300	250
315	2	-1111	-1111
315	3	-1111	-1111
315	4	-1111	-1111
315	5	600	-1111
316	1	400	300
316	2	300	-1111
316	3	-1111	200
316	4	300	200
316	5	400	400
317	1	300	200
317	2	-1111	-1111
317	3	-1111	-1111
317	4	-1111	-1111
317	5	-1111	-1111
318	1	400	250
318	2	300	-1111
318	3	-1111	150
318	4	250	200
318	5	400	400
319	1	350	250
319	2	-1111	-1111
319	3	-1111	-1111
319	4	-1111	-1111
319	5	400	-1111
320	1	350	250
320	2	-1111	-1111
320	3	-1111	200
320	4	150	100
320	5	500	500
321	1	350	250
321	2	-1111	-1111
321	3	-1111	100
321	4	200	150
321	5	300	300
322	1	250	200
322	2	-1111	-1111
322	3	-11111	-1111
322	4	-1111	-1111
322	5	500	-1111
323	1	350	200
323	2	-1111	-1111
323	3	-1111	-1111
323	4	-1111	-1111
323	5	400	-1111
324	1	300	200
324	2	-1111	-1111
324	3	-1111	-1111
324	4	-1111	-1111
324	5	300	-1111
325	1	300	200
325	2	-1111	-1111
325	3	-1111	-1111
325	4	-1111	-1111
325	5	300	-1111
326	1	350	250
326	2	-1111	-1111
326	3	-1111	150
326	4	200	150
326	5	500	-1111
327	1	350	250
327	2	-1111	-1111
327	3	-1111	-1111
327	4	150	-1111
327	5	400	400
328	1	300	200
328	2	-1111	-1111
328	3	-1111	-1111
328	4	-1111	-1111
328	5	350	-1111
329	1	400	300
329	2	300	-1111
329	3	-1111	200
329	4	250	200
329	5	500	400
330	1	350	250
330	2	-1111	-1111
330	3	-1111	150
330	4	-1111	-1111
330	5	450	-1111
331	1	300	250
331	2	-1111	-1111
331	3	-1111	-1111
331	4	-1111	-1111
331	5	500	-1111
332	1	350	250
332	2	-1111	-1111
