PLACEID	DWAGIDR4	MAVWG	FAVWG
301	1	200	100
302	1	250	100
303	1	200	100
304	1	250	100
305	1	200	100
306	1	200	100
307	1	250	150
308	1	200	100
309	1	200	100
310	1	200	120
311	1	200	120
312	1	200	150
313	1	-1111	-1111
314	1	200	120
315	1	250	120
316	1	300	200
317	1	250	120
318	1	250	150
319	1	200	100
320	1	250	150
321	1	250	150
322	1	110	100
323	1	250	120
324	1	200	100
325	1	200	100
326	1	250	180
327	1	250	200
328	1	200	150
329	1	300	200
330	1	200	100
331	1	200	100
332	1	200	150
333	1	250	200
334	1	130	100
335	1	200	100
336	1	120	120
337	1	-1111	-1111
338	1	250	200
339	1	200	100
340	1	-1111	-1111
341	1	-1111	-1111
342	1	30	30
343	1	150	100
344	1	150	100
345	1	150	100
346	1	-1111	-1111
347	1	300	150
348	1	250	130
349	1	100	50
350	1	200	100
351	1	200	100
401	1	200	100
402	1	100	803
403	1	150	120
404	1	150	100
406	1	300	200
407	1	2500	150
408	1	250	120
409	1	250	150
410	1	150	100
411	1	150	100
412	1	250	100
413	1	200	100
414	1	250	130
415	1	250	120
416	1	250	130
417	1	250	150
418	1	250	100
419	1	300	150
420	1	200	150
421	1	250	120
422	1	200	100
423	1	300	200
424	1	200	130
425	1	230	100
426	1	275	110
427	1	250	150
428	1	-1111	-1111
429	1	-1111	-1111
430	1	250	130
431	1	250	120
432	1	-1111	-1111
433	1	-1111	-1111
434	1	200	100
435	1	250	150
436	1	200	100
437	1	220	120
438	1	200	120
439	1	200	100
440	1	250	150
441	1	200	100
442	1	200	100
443	1	230	1003
445	1	0	0
446	1	-1111	-1111
447	1	250	130
448	1	250	150
449	1	-1111	-1111
450	1	250	120
501	1	200	130
502	1	200	150
503	1	250	200
504	1	150	100
505	1	150	100
506	1	200	250
507	1	200	150
508	1	200	150
509	1	140	120
510	1	250	200
511	1	200	150
512	1	250	200
513	1	200	150
514	1	250	150
515	1	250	100
516	1	250	150
517	1	250	150
518	1	1111	1111
519	1	200	100
520	1	250	125
521	1	200	150
522	1	250	150
523	1	200	100
524	1	200	150
525	1	250	200
526	1	200	120
527	1	250	150
528	1	200	120
529	1	1111	1111
530	1	250	100
531	1	200	120
532	1	250	150
533	1	150	100
534	1	200	100
535	1	200	120
536	1	100	60
537	1	250	120
538	1	250	170
539	1	-1111	-1111
540	1	200	100
541	1	1111	1111
542	1	200	100
601	1	130	100
602	1	200	100
603	1	160	100
604	1	150	100
605	1	150	120
606	1	150	100
607	1	200	150
608	1	150	120
609	1	150	100
610	1	200	150
611	1	200	150
612	1	150	120
613	1	150	100
614	1	200	100
615	1	150	100
616	1	150	100
617	1	150	100
618	1	200	100
619	1	200	120
620	1	200	150
621	1	150	70
622	1	150	80
623	1	150	100
624	1	150	100
625	1	150	100
626	1	150	100
628	1	200	100
629	1	200	100
630	1	200	100
631	1	200	120
632	1	200	100
633	1	150	100
634	1	200	120
635	1	200	80
636	1	150	70
637	1	250	150
638	1	250	150
639	1	200	150
640	1	-1111	-1111
641	1	-1111	-1111
642	1	150	100
701	1	200	150
702	1	200	120
703	1	200	120
704	1	150	100
705	1	200	150
706	1	200	160
707	1	200	150
708	1	200	150
709	1	-1111	-1111
710	1	-1111	-1111
711	1	200	150
712	1	200	180
713	1	200	200
715	1	200	150
716	1	200	150
717	1	200	150
718	1	250	150
719	1	150	150
720	1	200	140
721	1	200	120
722	1	200	120
723	1	250	150
724	1	250	200
725	1	300	120
726	1	220	200
727	1	300	200
728	1	250	200
729	1	200	150
730	1	200	120
731	1	250	200
732	1	200	150
733	1	250	150
734	1	300	200
735	1	200	150
736	1	250	200
737	1	200	150
738	1	300	200
739	1	280	230
740	1	250	200
741	1	250	200
801	1	250	120
802	1	200	100
803	1	200	100
804	1	200	100
805	1	250	150
806	1	200	150
807	1	200	150
808	1	200	150
809	1	200	100
810	1	200	100
812	1	200	120
813	1	200	150
814	1	250	150
815	1	250	120
816	1	300	200
817	1	200	100
818	1	250	150
819	1	200	120
820	1	300	130
821	1	250	200
822	1	250	120
823	1	250	150
824	1	150	100
825	1	200	120
826	1	200	100
827	1	150	100
828	1	250	150
829	1	250	125
830	1	200	150
831	1	200	120
832	1	200	150
951	1	180	130
952	1	250	150
953	1	-1111	-1111
954	1	200	100
955	1	200	120
956	1	200	150
957	1	250	180
958	1	-1111	-1111
959	1	200	120
