PLACEID	LCPRIDR4	LOCLUNI	PPSTD0101	CDVEN0101	CDIR0101	PPSTD0102	CDVEN0102	CDIR0102	PRCESTND
301	1	1	7	1	4	7	1	5	7
301	2	ONE PAIR	150	1	8	150	1	9	150
301	3	ONE SHIRT	200	1	8	200	1	9	200
301	4	ONE BLOUSE	150	1	8	150	1	9	150
301	5	ONE PANT	250	1	8	250	1	9	250
301	6	ONE SKIRT	200	1	8	200	1	9	200
301	7	one sachet	25	9	6	25	9	7	25
301	8	one tablet	1	9	6	1	9	7	1
301	9	one capsule	3	9	6	3	9	7	3
301	10	one tablet	5	9	6	5	9	7	5
301	11	pack of 10	30	1	4	30	1	5	30
301	12	125 gms	10	1	4	10	1	5	10
301	13	1 litre	35	1	4	35	1	5	35
301	14	1 kg	30	1	4	30	1	5	30
301	15	1 kg	32	1	4	32	1	5	32
301	16	1 kg	30	1	4	30	1	5	30
301	17	1 kg	15	1	4	15	1	5	15
301	18	1 kg	20	1	4	20	1	5	20
301	19	1 kg	80	1	4	80	1	5	80
301	20	1 kg	95	1	4	95	1	5	95
301	21	1 kg	100	1	4	100	1	5	100
301	22	1 kg	40	1	5	40	1	5	40
301	23	1 piece	10	1	4	10	1	5	10
301	24	1 kg	38	1	4	38	1	5	38
301	25	1 litre	40	1	4	40	1	5	40
301	26	1 kg	150	1	4	150	1	5	150
301	27	1 kg	300	1	4	300	1	5	300
301	28	1 kg	160	1	4	160	1	5	160
301	29	1 litre	40	1	4	40	1	5	40
301	30	1 piece	4	1	4	4	1	5	4
301	31	1 kg	250	1	4	250	1	5	250
301	32	1 kg	140	2	12	140	1	13	140
301	33	1 kg	350	1	12	350	1	13	350
301	34	1 kg	150	1	12	150	1	13	150
301	35	1 kg	400	1	12	400	1	13	400
301	36	1 kg	120	1	12	120	1	13	120
301	37	1 kg	140	1	12	150	1	13	145
301	40	1 kg	30	1	10	30	1	11	30
301	41	1 kg	25	1	10	30	1	11	30
301	42	1 kg	65	1	10	65	1	11	65
301	43	1 kg	40	1	10	40	1	11	40
301	44	1 kg	450	1	4	450	1	5	450
301	45	1 kg	1250	1	4	1300	1	5	1275
301	46	1 kg	40	1	4	40	1	5	40
301	47	1 kg	75	1	4	75	1	5	75
301	48	1 kg	16	1	4	18	1	5	17
301	49	1 kg	250	1	4	250	1	5	250
301	50	100 gms	50	1	4	50	1	5	50
301	51	1 kg	150	1	4	150	1	5	150
301	52	1 kg	150	1	4	150	1	5	150
301	53	per 12 piece	40	1	10	40	1	11	40
301	54	1 piece	25	1	10	25	1	11	25
301	55	1 kg	60	1	10	60	1	11	60
301	56	200 ml	12	1	10	12	1	11	12
301	57	1 litre	650	1	10	650	1	11	650
301	58	1 kg	20	1	10	20	1	11	20
301	59	-	0	88	 	0	88	 	0
302	1	1 NOTE BOOK	7	1	4	7	1	5	7
302	2	1 PAIR	150	1	8	150	1	9	150
302	3	BOY'S SHIRT	200	1	8	200	1	9	200
302	4	GIRLS BLOUSE	250	1	8	300	1	9	275
302	5	BOYS PANTS	250	1	8	300	1	9	275
302	6	GIRLS SKIRT	300	1	8	300	1	9	300
302	7	O, R. S PACKET 1	25	1	6	25	1	7	25
302	8	PARACETAMAL 1 tablet	1	1	6	1	1	4	1
302	9	AMOXICILLIN 1 capsule	3	1	6	3	1	7	3
302	10	MEBENDAZOL 1 tablet	5	1	6	5	1	7	5
302	11	CIGARETTES (pack of 10)	30	1	4	30	1	5	30
302	12	DETERGENT (OMO) 125 gms	10	1	4	10	1	5	10
302	13	KEROSENS 1 litre	35	1	4	35	1	5	35
302	14	RICE 1 kg	30	1	4	30	1	5	30
302	15	WHEAT FLOUR(UNPROCESSED) 1 kg	32	1	4	32	1	5	32
302	16	BARLEY 1 kg	30	1	4	35	1	5	32.5
302	17	SORGHUM 1 kg	15	1	4	15	1	5	15
302	18	MAIZE 1 kg	20	1	4	20	1	5	20
302	19	REDGRAM 1 kg	80	1	4	80	1	5	80
302	20	BLACKGRAM 1 kg	95	1	4	95	1	5	95
302	21	GREENGRAM 1 kg	100	1	4	100	1	5	100
302	22	HORSEGRAM 1 kg	40	1	4	40	1	5	40
302	23	BREAD 1 piece	10	1	4	10	1	5	10
302	24	WHEAT FLOUR (PROCESSED) 1 kg	38	1	4	38	1	5	38
302	25	MILK 1 litre	40	1	4	40	1	5	40
302	26	POWDERED/FORMULA MILK 1 kg	150	1	4	160	1	5	155
302	27	BUTTER 1 kg	300	1	4	300	1	5	300
302	28	CHEESE 1 kg	160	1	4	160	1	5	160
302	29	YOGHURT 1 litre	40	1	4	40	1	5	40
302	30	EGGS 1 piece	4	1	4	4	1	5	4
302	31	CREAM 1 kg	160	1	4	160	1	5	160
302	32	BEEF 1 kg	140	6	12	140	6	13	140
302	33	MUTTON 1 kg	350	6	12	350	6	13	350
302	34	CHICKEN 1kg	160	6	12	160	6	13	160
302	35	GOAT MEAT 1 kg	400	6	12	400	6	13	400
302	36	FRESH FISH 1 kg	100	6	12	100	6	13	100
302	37	PROCESSED FISH 1 kg	130	6	12	130	6	13	130
302	40	ROOT CROPS 1 kg	30	5	10	30	5	11	30
302	41	CUCUMBER 1 kg	20	5	10	20	5	11	20
302	42	ONIONS 1 kg	60	5	10	60	5	11	60
302	43	TOMATO 1 kg	40	5	10	40	5	11	40
302	44	COFFEE/TEA 1 kg	450	1	4	450	1	5	450
302	45	NESCAFE 1 kg	1300	1	4	1300	1	5	1300
302	46	SUGAR 1 kg	40	1	4	40	1	5	40
302	47	COOKING OIL 1 kg	70	1	4	70	1	5	70
302	48	SALT 1 kg	16	1	4	16	1	5	16
302	49	HONEY 1 kg	250	1	4	250	1	5	250
302	50	SPICES 100 gms	50	1	4	50	1	5	50
302	51	BISCUITS 1 kg	150	1	4	150	1	5	150
302	52	CAKES 1 kg	250	1	4	250	1	5	250
302	53	BANANA per 12 pieces	40	1	10	40	1	11	40
302	54	APPLE per piece	30	1	10	30	1	11	30
302	55	GRAPES 1 kg	60	1	10	60	1	11	60
302	56	SOFT DRINKS 200 ml	12	1	10	12	1	11	12
302	57	ALCOHOL 1 litre	650	1	10	650	1	11	650
302	58	POTATOES 1 kg	25	5	10	25	5	11	25
302	59	00	0	88	 	0	88	 	0
303	1	NOTE BOOK  ONE BOOK	7	1	4	7	1	5	7
303	2	SHOES ONE PAIR	150	1	8	150	1	9	150
303	3	BOY'SHIRT ONE SHIRT	200	1	8	200	1	9	200
303	4	GIRLS SHIRT ONE BLOSE	200	1	8	200	1	9	200
303	5	BOYS PANTS  ONE PANTS	250	1	8	250	1	9	250
303	6	GIRLS SKIRT ONE SKIRT	300	1	8	300	1	9	300
303	7	ORAL REHYDRATION SALT ONE	25	9	6	25	9	7	25
303	8	PARACETAM0L 500 GR	1	9	6	1	9	7	1
303	9	AMOXICILLIN 250	3	9	6	3	9	7	3
303	10	MEBENDAZOL 500 GR	5	9	6	5	9	7	5
303	11	CIGARETTES PACK OF 10	30	1	4	30	1	5	30
303	12	DETERGENT ONE SHOP	10	1	4	30	1	5	30
303	13	KEROSENE  ONE LITRE	35	1	4	35	1	5	35
303	14	RICE 1KG	30	1	4	30	1	5	30
303	15	WHEAT FLOUR 1KG	32	1	4	32	1	5	32
303	16	BARLY 1KG	30	1	4	30	1	5	30
303	17	SORGHUM 1KG	15	1	4	15	1	5	15
303	18	MAIZE 1KG	15	1	4	15	1	5	15
303	19	REDGRAM 1KG	80	1	4	80	1	4	80
303	20	BLACKGRAM  1KG	95	1	4	95	1	5	95
303	21	GREENGRAM 1KG	98	1	4	98	1	5	98
303	22	HORSEGRAM	40	1	4	40	1	5	40
303	23	BREAD 1PIECE	10	1	4	10	1	5	10
303	24	WHEAT 1KG	38	1	4	38	1	5	38
303	25	MILK 1LITRE	40	1	4	40	1	5	40
303	26	POWDERED MILK 11KG	300	1	4	300	1	4	300
303	27	BUTTER 1KG	350	1	4	350	1	5	350
303	28	CHEESE 1KG	180	1	4	200	1	5	190
303	29	YOUHURT 1 LITRE	40	1	4	40	1	5	40
303	30	EGGS 1 PICES	4	1	4	4	1	5	4
303	31	CREAM 1KG	200	1	4	250	1	5	225
303	32	beef 1kg	140	1	12	140	1	13	140
303	33	mutton 1kg	300	1	12	300	1	13	300
303	34	chicken	150	1	12	150	1	13	150
303	35	gote meat	350	1	12	350	1	13	350
303	36	fresh fish 1kg	100	1	12	100	1	13	100
303	37	procssed fish 1 kg	130	1	12	130	1	13	130
303	40	ROOT CROPS 1KG	30	1	10	30	1	11	30
303	41	CUCUMBER   1KG	22	1	10	20	1	11	21
303	42	ONIONS 1 KLG	65	1	10	65	1	11	65
303	43	TAMOT0 1KG	42	1	10	42	1	11	42
