formno	commid	midwife	batten	tradhe	villhel	menthel	sochel	v4051301	v4051302	v4051303	v4051304	v4051305	v4051306	v4051401	v4051402	v4051403	v4051404	v4051405	v4051406	v4051407	v4051408	v4051409	v4051410	v4051411	v4051501	v4051502	v4051503	v4051504	v4051505	v4051506	v4051507	v4051508	v4051509	v4051510	v4051512	v4051513	v4051514	v4051515	v4051516	v4051517	v4051518	v4051519	v4051520	v4051521	v4051522	v4051523	v450516	v4051701	v4051702	v4051703	v4051704	v4051705	v4051706	v4051707	v4051708	v4051709	v4051801	v4051802	v4051803	v4051804	v4051805	v4051806	v4051807	v4051808	v40519	v4052001	v4052002	v4052003	v4052004	v4052005	v40521	v4052201	v4052202	v4052301	v4052302	v4052303	v4052304	v4052305	v4052306	v4052307	v4052308	v4052309	v4052310	v4052312	v4052313	v4052314	v4052315	v4052316	v4052317	v4052318	v4052319	v4052320	v4052321	v4052322	v4052323	v40524	adultlit	v40525	v40526	v4052701	v4052702	v4052703	v4052704	v4052705	v4052706	v40528	v40529	v4053001	v4053002	v4053003	v4053004
R1COMM	VN021	1	2	2	1	2	2	0	2	5	1	0	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	 	1	1	 	0	0	0	0	0	0	0	 	0	0	 	4000	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	 	 	 	 	1	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	1	1	1	 	 	 	 	1	 	 	 	 	 	1	 
R1COMM	VN022	1	2	1	1	1	1	1	1	2	1	1	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	1	1	 	0	0	0	0	0	0	50000	 	0	0	 	3350	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	 	1	1	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	0	.00999999977648258	 	 	 	1	 	 	100	20	1	1	 	1
R1COMM	VN023	1	2	2	1	1	1	1	2	1	1	0	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	 	1	 	0	0	0	0	0	0	0	 	 	50000	 	997	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	2	0	1	 	 	 	 	1	1	100	10	1	 	 	 
R1COMM	VN024	1	2	1	1	2	2	0	3	4	1	0	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	 	1	1	1	1	 	1	 	0	0	0	 	0	0	50000	10000	 	0	 	1500	2	1	2	1	2	2	2	1	1	1	2	2	1	1	2	1	1	1	 	 	1	 	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6	2	0	0	 	 	 	 	 	 	80	2.5	1	1	 	1
R1COMM	VN025	2	2	2	1	2	1	1	1	1	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	0	1000	1000	5000	5000	0	50000	10000	0	0	 	1300	2	1	1	1	2	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	1	1	 	0	0	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	0	0	 	 	 	 	 	 	100	1.20000004768372	1	1	 	 
R1COMM	VN026	1	2	2	1	1	1	0	2	1	1	0	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	 	1	 	0	0	0	5000	5000	0	50000	 	 	0	 	2530	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	 	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	2	0	0	 	 	 	 	 	 	70	1	1	1	 	 
R1COMM	VN027	2	2	1	1	2	1	1	2	0	1	0	0	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	0	0	0	0	0	0	50000	0	0	0	 	1600	2	1	1	1	2	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	 	3	1	2	1	1	1	1	1	 	 	 	 	 	 	7000	1000	2000	3000	3000	 	 	 	 	 	 	2	2	0	0	 	 	 	 	 	 	100	8	1	1	 	 
R1COMM	VN028	1	2	1	2	1	1	1	3	0	1	0	0	2	2	1	1	1	1	1	1	1	2	1	1	1	1	 	1	1	 	 	 	 	 	0	1500	1500	 	10000	2000	 	 	 	 	 	2425	2	1	2	1	2	1	2	2	2	1	1	2	1	1	2	2	2	1	1	1	1	1	 	18	12	6	1	1	1	1	1	1	 	 	1	 	 	20000	2000	5000	5000	10000	3000	 	 	10000	 	 	8	1	0	.01	 	1	1	 	 	 	96.4000015258789	 	1	1	 	 
R1COMM	VN029	1	2	1	2	1	1	1	3	0	2	0	0	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	 	1	1	 	 	 	 	1000	1000	1000	5000	 	3000	100000	 	 	 	 	1465	2	1	2	1	2	1	2	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	 	49	9	40	1	1	1	1	1	1	 	 	 	 	 	15000	1000	5000	5000	10000	3000	 	 	 	 	 	25	1	0	.02	 	 	 	 	 	1	96	 	1	1	 	 
R1COMM	VN030	1	1	1	2	1	1	1	1	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	 	1	 	1000	1000	1000	10000	5000	1000	35000	 	 	4000	 	6500	2	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	8	3	5	1	1	1	1	1	 	1	 	 	 	 	1000	1000	1500	10000	 	 	30000	 	 	 	 	8	1	0	1	 	 	1	 	 	1	88.9000015258789	11	1	1	 	 
R1COMM	VN031	1	1	1	2	1	1	1	3	0	1	0	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	 	 	1	 	0	500	1000	15000	10000	0	80000	 	 	5000	 	 	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	 	1	1	1	 	20	8	12	1	1	1	1	1	 	 	 	1	 	 	15000	1000	5000	15000	10000	 	 	 	10000	 	 	18	1	0	2	 	1	 	 	 	1	95	 	1	1	 	 
