formno	commid	frmid	frman	frmwom	frmchld
R1COMM	VN001	1	20000	0	0
R1COMM	VN001	2	0	15000	0
R1COMM	VN001	3	0	15000	0
R1COMM	VN001	4	20000	15000	0
R1COMM	VN001	5	20000	15000	0
R1COMM	VN002	1	20000	0	0
R1COMM	VN002	2	0	15000	0
R1COMM	VN002	3	0	15000	15000
R1COMM	VN002	4	15000	15000	0
R1COMM	VN002	5	15000	15000	0
R1COMM	VN003	1	20000	0	0
R1COMM	VN003	2	0	15000	0
R1COMM	VN003	3	15000	15000	0
R1COMM	VN003	4	15000	15000	0
R1COMM	VN003	5	15000	15000	0
R1COMM	VN004	1	20000	0	0
R1COMM	VN004	2	20000	20000	0
R1COMM	VN004	3	0	20000	0
R1COMM	VN004	4	20000	20000	0
R1COMM	VN004	5	0	0	0
R1COMM	VN005	1	20000	0	0
R1COMM	VN005	2	10000	15000	0
R1COMM	VN005	3	15000	15000	0
R1COMM	VN005	4	15000	15000	0
R1COMM	VN005	5	0	0	0
R1COMM	VN006	1	20000	0	0
R1COMM	VN006	2	20000	15000	0
R1COMM	VN006	3	20000	15000	0
R1COMM	VN006	4	20000	15000	0
R1COMM	VN006	5	20000	15000	0
R1COMM	VN007	1	30000	0	0
R1COMM	VN007	2	30000	25000	0
R1COMM	VN007	3	30000	25000	0
R1COMM	VN007	4	30000	25000	0
R1COMM	VN007	5	30000	25000	0
R1COMM	VN008	1	30000	0	0
R1COMM	VN008	2	30000	15000	0
R1COMM	VN008	3	0	15000	0
R1COMM	VN008	4	30000	15000	0
R1COMM	VN008	5	30000	15000	0
R1COMM	VN009	1	0	0	0
R1COMM	VN009	2	0	0	0
R1COMM	VN009	3	25000	15000	0
R1COMM	VN009	4	40000	25000	0
R1COMM	VN009	5	25000	15000	0
R1COMM	VN010	1	30000	0	0
R1COMM	VN010	2	0	20000	0
R1COMM	VN010	3	0	15000	0
R1COMM	VN010	4	30000	20000	0
R1COMM	VN010	5	30000	20000	0
R1COMM	VN011	1	30000	0	0
R1COMM	VN011	2	0	20000	0
R1COMM	VN011	3	20000	20000	0
R1COMM	VN011	4	30000	20000	0
R1COMM	VN011	5	30000	20000	0
R1COMM	VN012	1	30000	15000	0
R1COMM	VN012	2	30000	15000	0
R1COMM	VN012	3	0	15000	0
R1COMM	VN012	4	30000	15000	0
R1COMM	VN012	5	30000	15000	0
R1COMM	VN013	1	30000	0	0
R1COMM	VN013	2	0	30000	0
R1COMM	VN013	3	30000	30000	0
R1COMM	VN013	4	30000	30000	0
R1COMM	VN013	5	30000	30000	0
R1COMM	VN014	1	25000	0	0
R1COMM	VN014	2	25000	15000	0
R1COMM	VN014	3	25000	15000	10000
R1COMM	VN014	4	25000	15000	0
R1COMM	VN014	5	25000	0	0
R1COMM	VN015	1	15000	0	0
R1COMM	VN015	2	10000	10000	0
R1COMM	VN015	3	10000	10000	0
R1COMM	VN015	4	15000	15000	5000
R1COMM	VN015	5	15000	0	0
R1COMM	VN016	1	30000	0	0
R1COMM	VN016	2	0	24000	20000
R1COMM	VN016	3	0	24000	20000
R1COMM	VN016	4	24000	24000	20000
R1COMM	VN016	5	24000	24000	0
R1COMM	VN017	1	20000	0	0
R1COMM	VN017	2	0	12000	0
R1COMM	VN017	3	9999	12000	0
R1COMM	VN017	4	0	12000	0
R1COMM	VN017	5	20000	12000	0
R1COMM	VN018	1	20000	0	0
R1COMM	VN018	2	0	10000	99999
R1COMM	VN018	3	10000	10000	99999
R1COMM	VN018	4	15000	10000	0
R1COMM	VN018	5	0	99999	99999
R1COMM	VN019	1	15000	0	0
R1COMM	VN019	2	0	15000	0
R1COMM	VN019	3	0	0	0
R1COMM	VN019	4	20000	20000	0
R1COMM	VN019	5	0	0	0
R1COMM	VN020	1	20000	0	0
R1COMM	VN020	2	10000	10000	0
R1COMM	VN020	3	10000	10000	0
R1COMM	VN020	4	10000	10000	0
R1COMM	VN020	5	10000	10000	0
R1COMM	VN021	1	15000	15000	0
R1COMM	VN021	2	15000	15000	0
R1COMM	VN021	3	15000	15000	0
R1COMM	VN021	4	15000	15000	0
R1COMM	VN021	5	9999	9999	0
R1COMM	VN022	1	30000	0	0
R1COMM	VN022	2	0	25000	0
R1COMM	VN022	3	0	20000	0
R1COMM	VN022	4	20000	20000	0
R1COMM	VN022	5	0	0	0
R1COMM	VN023	1	20000	0	0
R1COMM	VN023	2	0	0	0
R1COMM	VN023	3	0	12000	0
R1COMM	VN023	4	0	0	0
R1COMM	VN023	5	0	0	0
R1COMM	VN024	1	30000	30000	0
R1COMM	VN024	2	25000	30000	15000
R1COMM	VN024	3	0	12000	0
R1COMM	VN024	4	20000	15000	0
R1COMM	VN024	5	8000	8000	0
R1COMM	VN025	1	12000	0	0
R1COMM	VN025	2	0	10000	0
R1COMM	VN025	3	0	10000	0
R1COMM	VN025	4	15000	15000	0
R1COMM	VN025	5	0	0	0
R1COMM	VN026	1	20000	15000	0
R1COMM	VN026	2	0	20000	0
R1COMM	VN026	3	0	15000	0
R1COMM	VN026	4	20000	20000	0
R1COMM	VN026	5	20000	20000	0
R1COMM	VN027	1	60000	0	0
R1COMM	VN027	2	15000	15000	0
R1COMM	VN027	3	0	15000	0
R1COMM	VN027	4	20000	20000	0
R1COMM	VN027	5	20000	20000	0
R1COMM	VN030	1	5000	0	0
R1COMM	VN030	2	0	22000	0
R1COMM	VN030	3	0	21000	16000
R1COMM	VN030	4	30000	30000	30000
R1COMM	VN030	5	25000	25000	20000
